CED_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
CED101,2008,998,1071,2072,1047,1109,2151,1060,1093,2150,1051,1095,2144,5126,5397,10522,1071,1132,2201,969,1036,2004,871,934,1806,962,1049,2010,916,1020,1935,4789,5166,9963,832,915,1750,869,900,1767,760,836,1598,770,846,1617,641,742,1386,3873,4238,8110,718,735,1451,673,764,1436,627,746,1372,649,703,1353,602,673,1271,3269,3616,6878,504,628,1129,500,546,1050,484,529,1019,419,484,905,366,458,824,2280,2652,4931,1579,2160,3741,1088,1539,2629,473,872,1340,99,265,365,10,47,58,168,182,354,79381,82527,161904
CED102,1985,1017,1018,2031,987,1081,2071,1108,1090,2200,946,941,1891,5012,5163,10174,895,967,1865,937,975,1919,829,948,1776,817,915,1726,842,911,1748,4319,4720,9040,808,852,1665,777,897,1674,782,898,1680,647,745,1390,684,763,1447,3702,4154,7858,709,746,1459,661,706,1364,601,672,1273,648,720,1370,684,663,1351,3308,3504,6815,557,609,1171,551,579,1128,483,560,1047,466,471,932,424,478,903,2482,2696,5177,1855,2350,4205,1227,1553,2778,540,776,1315,117,245,361,14,18,26,225,271,490,90520,91250,181768
CED103,2086,1004,1149,2153,1120,1174,2294,1131,1172,2301,1044,1102,2140,5282,5691,10975,977,1112,2091,979,1058,2040,936,1006,1943,903,1069,1970,905,1074,1976,4708,5310,10019,904,1021,1931,862,941,1804,776,926,1697,780,886,1666,735,853,1582,4058,4625,8685,718,802,1521,754,741,1491,662,705,1367,603,696,1303,642,700,1341,3374,3652,7025,535,528,1063,417,491,913,439,517,957,373,491,860,398,477,883,2170,2505,4671,1633,2206,3839,1055,1473,2533,518,866,1383,132,285,415,17,35,54,301,366,664,93477,97634,191109
CED104,1978,955,1055,2008,1044,1073,2116,1073,1166,2233,1075,1090,2162,5116,5386,10503,973,1017,1985,942,987,1934,875,917,1799,885,1005,1893,875,931,1807,4558,4855,9420,850,877,1724,877,896,1773,773,851,1627,781,875,1657,683,794,1480,3960,4300,8257,719,720,1439,700,769,1469,670,742,1406,698,727,1418,692,800,1500,3472,3765,7232,596,677,1268,559,630,1184,592,555,1149,474,495,971,470,516,980,2684,2877,5558,1751,2074,3821,969,1311,2282,462,803,1271,119,289,405,5,49,62,151,205,358,74691,77153,151847
CED105,2020,1062,1064,2120,1031,1013,2041,1089,1079,2170,1035,1019,2054,5242,5166,10407,965,988,1955,1001,1021,2024,999,981,1982,987,924,1913,880,910,1793,4838,4823,9664,860,847,1704,756,868,1626,808,831,1638,722,743,1461,669,659,1329,3811,3946,7753,613,693,1306,621,649,1270,590,578,1168,600,606,1198,571,585,1155,2994,3111,6101,523,526,1045,474,448,921,471,420,891,404,395,794,338,381,717,2201,2169,4377,1402,1643,3045,889,1155,2039,416,686,1099,92,245,337,19,35,52,221,196,419,96501,92068,188568
CED106,2083,937,1068,2003,1018,1118,2143,1054,1088,2140,1054,1035,2090,5078,5388,10463,935,1036,1968,938,937,1877,792,902,1695,864,931,1798,814,867,1682,4342,4673,9019,778,909,1694,762,904,1667,763,802,1568,667,792,1454,657,846,1507,3626,4253,7882,705,810,1519,710,852,1560,689,751,1445,637,773,1409,704,808,1519,3450,3991,7448,621,748,1376,589,695,1283,532,688,1220,486,531,1018,519,554,1070,2754,3210,5962,1982,2529,4513,1292,1794,3079,660,1107,1775,172,407,579,15,39,54,319,344,660,81408,87528,168939
CED107,2050,1007,1078,2088,1118,1125,2243,1100,1165,2266,1142,1144,2287,5428,5503,10932,1157,1146,2300,1110,1116,2229,1096,1104,2193,1028,1055,2086,1002,1090,2098,5396,5512,10902,1003,1040,2040,1019,934,1950,945,929,1872,952,961,1911,953,902,1857,4866,4761,9630,975,952,1925,879,931,1815,874,880,1755,886,887,1773,889,976,1875,4510,4633,9142,781,734,1519,744,720,1466,640,654,1289,574,639,1212,525,614,1141,3262,3365,6623,1947,2280,4230,1029,1526,2559,408,744,1148,69,224,297,5,27,32,90,80,176,85149,84821,169971
CED108,2081,1040,1030,2067,995,1050,2046,1046,1086,2131,1037,1028,2059,5142,5252,10393,1033,962,1998,925,993,1918,914,974,1890,864,1000,1868,815,891,1709,4561,4823,9380,778,885,1663,820,892,1702,671,793,1460,663,778,1438,693,729,1426,3624,4074,7695,630,733,1367,663,709,1375,594,656,1247,601,652,1254,538,674,1206,3022,3418,6446,459,513,980,401,489,885,408,418,827,339,355,698,281,358,640,1887,2135,4025,1113,1442,2555,545,932,1476,220,518,733,56,167,225,5,19,27,175,249,421,100009,102064,202071
CED109,1836,916,1002,1926,961,977,1940,972,1030,1998,944,967,1916,4695,4918,9610,988,1021,2001,833,910,1740,859,916,1773,840,969,1806,810,850,1665,4331,4655,8989,811,897,1712,740,819,1566,672,806,1479,705,814,1520,663,768,1430,3595,4109,7703,658,787,1445,683,777,1458,638,731,1370,680,750,1430,741,763,1509,3398,3811,7214,567,695,1256,535,693,1229,560,666,1230,484,561,1043,455,527,982,2605,3138,5746,1869,2342,4216,1223,1699,2918,594,1098,1698,128,288,416,16,46,61,105,121,225,72115,76556,148670
CED110,2074,985,1238,2221,1105,1236,2337,1136,1230,2364,1191,1439,2630,5379,6245,11627,1192,1343,2532,1223,1412,2642,1249,1349,2596,1220,1400,2618,1294,1342,2637,6177,6849,13030,1280,1308,2586,1236,1338,2570,1220,1329,2552,1278,1303,2580,1172,1254,2431,6181,6526,12710,1270,1285,2555,1205,1224,2428,1146,1235,2381,1148,1202,2354,1238,1257,2499,6007,6206,12216,1013,1042,2056,931,1046,1977,838,983,1823,739,869,1608,796,779,1573,4319,4718,9038,2763,3290,6051,1555,2081,3636,661,1150,1809,157,403,560,16,44,63,161,118,278,83489,89410,172902
