CED_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
CED101,2645,4066,3006,19739,340,29797,37,147,73,1253,13,1533,30706,456,721,490,145,32521,1377,150,132,517,17,2200,334,97,88,232,5,761,6544,3053,2048,17823,254,29722,3299,94,325,69,13,3802,339,71,33,195,0,643,869,229,144,1467,16,2729,5231,933,485,3086,45,9779,319,53,32,76,3,485,3003,110,94,55,6,3276,1441,808,506,7033,61,9858,2930,888,426,2392,29,6669,678,13,55,12,0,761,5091,1057,541,1334,40,8062,2959,391,257,778,9,4394,574,169,95,413,11,1264,967,151,122,43,11,1297,480,202,106,91,0,885,541,88,56,161,0,857,484,42,29,79,0,625,519,75,20,16,4,632,1221,666,418,4935,50,7286,534,50,36,71,0,695,344,67,48,28,3,489,937,44,60,100,3,1150,213,26,16,18,0,280,3817,81,150,74,10,4126,189,77,36,237,0,540,24651,1861,1509,2083,160,30253,1440,123,67,330,6107,8068,92850,10077,7071,44361,7196,161551
CED102,3655,3621,2866,12263,211,22612,56,135,69,1009,19,1295,32811,361,692,409,202,34476,920,132,57,224,9,1333,352,135,85,180,6,760,7384,2348,1945,10747,193,22616,4312,104,359,65,25,4864,511,88,59,154,7,815,997,228,157,1022,15,2414,10985,1337,759,4131,98,17323,363,58,24,92,4,548,3842,113,87,47,18,4108,1879,821,497,5251,45,8493,4838,904,449,2263,56,8505,1005,19,38,8,5,1070,7554,1358,659,1464,40,11074,4726,397,235,676,42,6082,670,180,90,374,12,1336,802,111,80,37,14,1046,506,158,117,59,9,845,644,81,74,127,4,939,739,45,68,67,9,925,372,61,33,18,12,498,1413,557,459,3225,24,5682,969,110,57,100,5,1241,221,35,36,20,5,312,1384,62,69,109,11,1635,195,17,16,14,0,231,4060,82,148,74,25,4391,181,63,40,177,3,467,36634,1968,1705,2029,196,42537,2254,111,95,324,9474,12252,122118,9867,7346,31345,10596,181273
CED103,2381,4210,3692,18860,195,29338,52,63,38,748,13,915,52288,686,1212,648,268,55105,760,116,69,286,3,1231,563,189,114,308,3,1178,8204,3325,2366,16657,209,30757,4244,94,309,69,10,4726,523,84,58,199,5,867,1132,288,239,1455,22,3137,1382,249,166,901,19,2712,344,65,38,100,0,551,10125,142,133,69,22,10487,1987,830,634,7131,37,10615,4537,1169,532,3114,49,9402,11314,94,219,48,23,11704,1940,405,275,878,4,3500,233,27,19,67,0,339,349,98,100,320,5,872,276,59,35,31,5,402,509,189,143,91,0,925,743,118,83,190,4,1138,873,52,61,83,10,1083,112,27,8,3,0,150,1697,898,605,5417,42,8662,469,46,30,64,0,611,496,78,58,25,0,670,901,41,41,67,0,1060,942,40,35,33,6,1056,1975,72,104,47,3,2202,255,104,56,270,0,693,27117,1626,1693,1712,130,32279,1316,50,51,224,6551,8187,126119,9156,7719,39980,7477,190447
CED104,1651,5741,4635,28265,182,40480,25,76,50,806,15,973,21395,305,721,442,88,22946,460,110,72,225,5,877,1089,286,174,495,7,2051,11279,4767,3455,25585,211,45294,1925,65,217,53,8,2266,481,96,89,269,4,938,1533,421,330,2075,14,4369,588,165,108,461,5,1329,344,63,41,111,4,568,7880,160,144,89,18,8286,2422,1165,761,8953,41,13338,2663,748,353,2421,11,6196,3049,22,96,15,5,3188,1831,387,255,854,8,3329,61,17,11,29,0,112,533,187,112,574,3,1412,213,58,33,21,0,322,542,306,193,129,5,1170,853,120,108,243,0,1318,737,45,83,140,8,1011,65,26,8,9,0,104,2497,1119,863,8121,38,12634,224,51,19,64,0,367,1141,165,112,42,0,1460,672,46,51,69,5,841,1123,54,34,38,0,1254,742,32,45,39,4,868,475,108,63,401,0,1044,15681,1459,1457,1767,63,20426,617,64,50,301,3105,4135,72996,10577,8381,55808,3717,151481
CED105,7026,3388,1814,8369,269,20867,52,103,30,753,16,955,24603,158,273,217,229,25490,812,72,34,174,4,1094,124,33,14,63,0,231,6730,1573,942,7048,278,16568,2659,39,163,46,13,2923,258,14,13,53,0,338,529,98,59,514,13,1215,2335,350,171,766,25,3646,149,30,5,24,0,209,4812,47,31,23,15,4935,527,267,153,2343,24,3317,2218,444,149,1039,31,3872,2196,4,23,5,17,2248,18587,4465,1472,3530,136,28189,1822,180,96,224,8,2336,348,69,38,165,0,623,484,42,47,34,11,612,255,61,32,33,3,373,549,49,28,108,4,734,389,25,13,36,0,461,837,66,29,26,14,973,476,255,153,1535,26,2440,329,32,17,20,3,408,105,19,18,21,0,161,513,19,39,49,4,621,421,12,4,17,0,454,17580,131,268,179,75,18234,45,18,7,72,0,148,48604,2478,1337,1795,341,54557,4172,332,177,444,14508,19636,135286,10489,5290,21204,15882,188150
CED106,1887,5853,5067,22303,203,35321,32,41,28,330,0,438,38625,621,1238,762,196,41438,453,89,57,233,4,836,1038,287,170,411,10,1915,13914,4974,3661,21817,224,44592,2121,75,218,46,11,2472,669,120,108,287,7,1193,1918,390,320,1777,17,4417,679,193,104,473,8,1458,514,78,83,117,0,794,7251,179,144,94,11,7675,2883,1216,856,8346,51,13349,1820,572,313,1338,23,4071,5273,32,199,44,6,5553,454,126,35,263,0,877,104,12,12,38,0,172,178,61,43,180,0,459,152,41,26,4,0,223,666,234,168,94,6,1172,923,134,112,210,8,1389,972,58,99,89,4,1220,60,17,13,4,0,93,3077,1270,908,7614,46,12905,212,22,18,68,0,324,2478,174,198,38,5,2888,691,42,79,56,6,870,743,64,53,36,0,900,1000,30,106,31,6,1180,495,99,78,317,0,992,20475,1521,1866,1694,99,25660,720,43,45,202,4079,5087,97390,10647,9335,46026,4878,168278
CED107,631,4732,3448,62471,674,71961,25,297,185,11182,202,11888,977,49,103,384,15,1525,251,65,23,183,5,529,806,356,210,850,9,2232,6036,4318,3265,55051,793,69457,892,38,208,78,8,1221,229,56,50,396,3,732,1052,397,296,4276,54,6084,238,86,46,279,14,661,177,61,35,99,0,373,1116,45,34,55,0,1253,1326,1081,666,18559,172,21816,797,354,174,1881,16,3225,155,13,17,7,0,188,165,80,28,186,0,456,39,12,5,5,3,67,238,94,93,469,6,901,292,144,75,115,3,630,367,267,161,212,7,1011,362,122,62,333,7,884,179,39,40,102,8,370,73,33,10,11,0,122,1675,1104,889,13583,129,17370,119,19,5,44,0,189,282,58,46,21,0,408,214,26,13,117,0,374,118,25,9,10,0,158,215,0,15,3,0,234,268,119,63,568,5,1021,5091,871,671,2010,89,8733,238,75,62,1354,11576,13309,19920,8611,6220,121729,13319,169796
CED108,5536,4355,3021,23465,473,36850,73,584,269,6851,118,7893,5971,63,189,138,43,6401,898,156,73,252,16,1396,494,172,92,336,9,1112,8359,2983,1983,18254,516,32097,22779,414,887,205,75,24358,238,40,22,131,5,433,1191,231,152,1371,51,3000,763,173,73,427,8,1443,416,65,22,100,0,602,22455,156,114,87,57,22867,1159,566,352,4901,74,7049,1470,475,222,1363,19,3548,992,12,28,18,5,1048,1756,489,199,388,11,2833,198,21,15,48,3,284,2072,480,257,1344,31,4184,1849,282,204,142,22,2493,807,215,140,116,21,1293,905,95,79,239,14,1339,316,33,27,64,0,441,4906,541,258,149,72,5923,1316,609,413,3701,35,6076,541,49,19,58,6,674,419,50,43,44,5,563,1461,54,45,82,5,1648,887,27,35,14,4,969,991,40,46,36,3,1114,121,41,25,162,4,355,50966,2321,1367,1903,340,56896,2637,125,83,536,12300,15682,125962,9464,6384,45860,13972,201646
CED109,1490,5436,4186,31956,229,43289,28,128,91,1577,12,1839,7343,170,344,377,41,8271,1029,193,88,437,5,1755,653,222,159,439,6,1470,8400,4647,3315,30967,301,47626,1220,47,273,65,3,1601,550,114,75,391,3,1131,1242,377,268,2352,20,4260,6584,1172,625,3905,52,12333,282,78,39,135,3,542,1284,97,71,58,8,1509,2428,1156,866,11514,72,16032,3548,953,457,3322,36,8310,245,4,32,11,0,289,1520,357,216,722,9,2823,1558,235,115,506,16,2421,764,264,136,720,7,1885,653,198,96,70,12,1022,542,232,191,144,9,1114,757,105,83,226,8,1177,972,64,87,137,6,1260,168,60,22,21,0,268,1970,1056,720,8120,47,11909,740,86,53,123,3,1001,484,107,104,50,0,747,903,56,64,125,3,1151,122,32,28,27,0,209,625,16,58,30,3,728,317,119,71,397,4,909,12444,1841,1604,2458,89,18438,602,59,57,522,5520,6766,51714,11725,8479,70219,6316,148446
CED110,851,5860,4138,56450,836,68135,29,351,167,10617,228,11391,927,111,93,332,12,1474,195,66,22,120,3,406,1132,359,243,704,9,2452,10098,5606,3830,53198,1037,73770,953,38,234,50,22,1293,396,87,66,456,6,1008,1571,466,334,4569,53,6995,229,101,31,303,11,676,232,62,34,90,4,416,970,67,52,94,0,1190,2046,1282,752,16900,195,21180,889,424,156,1880,25,3373,106,8,18,4,0,136,84,45,10,152,0,297,26,8,3,20,0,50,272,112,79,380,5,845,262,126,61,102,6,562,452,286,191,185,11,1119,390,121,64,263,5,840,167,51,33,101,7,362,59,28,15,13,0,118,2434,1371,960,13626,147,18549,81,15,0,28,0,134,370,98,53,42,5,561,280,37,36,144,3,498,68,8,3,17,0,97,192,12,25,13,4,239,390,110,73,492,9,1079,6696,1222,942,2238,107,11203,333,58,59,1190,10852,12496,26536,10692,7357,114972,13062,172620
