CED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
CED101,0,0,0,0,7,5,4,3,0,0,0,0,0,0,0,22,0,0,0,4,21,68,270,191,41,37,34,38,17,6,15,748,3,6,8,18,26,29,39,16,9,3,8,3,3,0,4,181,11,44,74,224,2465,3427,5364,2260,438,464,355,431,146,25,382,16112,0,64,302,102,46,64,15,13,0,0,0,5,0,0,10,625,22,73,184,159,246,273,289,178,30,31,33,19,4,0,23,1554,5,0,21,73,285,215,163,41,11,9,10,14,9,0,17,872,48,54,51,21,35,33,42,31,5,6,0,4,0,0,8,350,14,329,887,239,71,64,47,125,16,13,7,11,5,0,53,1880,6,17,39,308,894,983,365,152,42,36,36,34,25,8,52,2975,0,3,47,83,211,389,624,317,68,70,111,96,18,9,40,2093,0,4,13,68,245,502,543,143,37,14,28,23,25,3,26,1686,0,0,0,5,22,52,31,57
CED102,0,0,0,0,5,14,9,4,3,0,0,0,0,0,0,37,0,0,0,10,29,161,694,480,88,137,111,101,39,23,39,1908,0,4,8,22,32,23,44,37,13,7,0,13,10,0,4,218,15,79,108,281,2652,3253,5063,2919,632,673,589,661,193,39,498,17654,4,54,221,62,33,62,17,6,0,0,0,0,0,0,22,491,16,89,232,207,157,194,108,82,7,11,18,20,3,0,84,1237,0,4,20,99,273,197,129,66,23,17,14,10,5,0,29,876,21,24,44,26,48,30,67,39,8,11,7,12,0,0,24,358,41,1020,2774,631,168,73,59,188,27,25,18,15,7,0,375,5410,0,19,48,294,720,771,330,214,62,63,42,58,26,9,43,2707,4,0,55,60,126,201,626,646,252,243,294,316,108,29,45,3004,0,5,17,111,316,543,760,312,84,76,92,99,34,4,47,2510,0,0,0,17,22,32,67,76
CED103,0,0,0,9,74,162,69,25,3,5,0,4,4,5,8,357,0,0,0,8,21,51,156,176,58,116,85,115,63,5,7,868,0,4,22,42,44,37,69,36,15,9,4,16,4,0,3,323,32,71,101,221,2494,3790,8850,5107,1213,1065,1019,1289,428,83,453,26214,0,28,144,54,28,34,20,7,0,0,0,0,0,0,11,334,6,36,91,61,79,55,46,44,17,41,18,25,22,0,12,563,3,13,23,79,158,122,111,26,3,9,4,11,10,0,19,594,51,63,54,31,51,46,88,44,11,19,12,18,7,0,14,507,3,104,210,52,26,9,0,31,13,0,0,5,6,4,21,492,10,25,86,426,1749,2076,738,400,133,146,137,155,149,56,100,6386,9,8,78,126,428,949,1513,1415,662,774,1001,1211,492,159,122,8943,0,6,25,92,260,472,526,225,57,66,75,108,46,4,22,1997,0,0,41,128,384,275,398,703
CED104,0,0,0,15,70,43,16,3,0,0,0,0,0,0,6,166,0,0,0,16,25,34,56,38,0,9,0,10,3,0,0,189,3,3,37,48,50,62,54,34,11,16,3,5,0,0,0,329,25,45,54,79,936,1508,3723,1773,364,265,259,327,83,36,117,9582,0,25,64,28,17,16,7,6,0,0,0,0,0,0,5,165,8,17,75,36,40,40,30,11,0,0,0,0,0,0,12,268,0,5,25,48,148,85,49,20,0,3,0,0,4,4,10,408,79,97,80,62,54,72,114,36,12,9,3,10,0,0,20,635,4,38,71,17,8,8,4,3,0,0,0,0,0,0,9,165,9,15,29,177,723,994,251,127,32,38,49,38,44,22,30,2594,12,14,93,152,496,1137,1870,882,289,257,254,189,87,27,33,5792,0,7,15,60,130,218,154,43,8,0,3,3,5,0,9,659,3,0,7,37,271,238,366,409
CED105,0,0,0,4,38,257,790,948,110,108,160,156,53,29,74,2731,0,0,0,0,22,155,696,414,95,117,93,60,35,10,30,1723,0,0,5,4,8,9,15,6,4,0,0,7,0,0,4,56,3,32,78,133,1427,1926,3731,1692,447,942,863,512,80,23,504,12389,0,29,256,79,22,28,11,7,0,0,0,0,0,0,16,452,9,19,98,105,120,127,252,152,44,49,44,30,10,0,41,1086,0,0,6,72,276,178,151,72,12,22,40,52,7,0,52,940,88,64,37,19,20,20,34,8,3,0,0,3,0,0,14,325,6,190,572,170,49,23,18,65,6,0,5,9,3,0,56,1181,0,0,5,69,239,229,137,63,21,21,4,15,9,4,12,831,0,3,31,56,107,183,977,618,233,312,506,498,122,29,96,3777,0,5,0,65,147,254,283,99,27,26,18,34,7,3,21,983,0,0,3,12,24,75,177,202
CED106,0,0,0,11,19,15,12,0,3,0,0,0,0,0,3,66,0,0,0,0,14,18,45,29,16,5,6,8,0,3,0,144,4,4,44,80,55,79,127,49,6,19,8,18,8,0,9,505,48,99,83,181,1570,2705,6411,3765,902,774,701,918,450,67,300,18981,0,35,74,14,11,15,11,8,0,0,0,0,0,0,4,174,17,37,46,18,22,10,11,9,0,3,17,6,0,0,0,208,5,12,14,48,54,42,39,14,0,3,4,9,6,0,0,244,68,76,72,54,62,80,131,49,8,4,15,12,15,5,17,681,7,41,61,15,6,5,5,3,0,0,3,0,7,0,8,154,9,54,103,381,1489,1345,603,354,94,114,104,146,166,75,74,5120,19,26,94,199,409,677,1351,948,294,417,432,478,191,68,58,5674,8,12,28,76,184,283,242,111,22,18,26,18,22,4,12,1071,0,0,23,87,387,247,551,478
CED107,0,0,0,0,0,0,16,11,0,0,0,0,0,0,4,33,0,0,0,0,0,9,28,38,3,14,5,3,7,0,0,114,3,3,9,20,25,21,46,27,0,7,3,5,9,0,8,200,10,13,8,33,45,51,135,65,5,16,20,13,4,0,39,457,5,13,44,20,4,9,0,3,0,0,0,0,0,0,8,114,0,4,5,0,0,5,6,5,0,0,6,0,6,0,0,40,0,4,9,17,39,25,38,17,5,6,12,10,0,0,11,182,96,129,71,31,44,25,26,19,15,5,4,0,0,0,13,474,0,22,36,13,0,3,0,0,0,3,0,0,0,0,6,85,0,0,9,15,21,9,13,12,0,4,0,0,4,0,11,103,6,0,19,20,25,36,250,289,80,95,110,102,44,10,19,1108,0,10,5,7,10,9,26,19,9,4,4,4,0,0,6,121,0,0,0,0,8,5,8,23
CED108,0,0,0,0,70,369,578,277,95,63,32,52,34,26,20,1622,0,0,0,3,62,306,835,421,78,73,49,35,22,0,22,1922,0,3,8,5,12,14,27,7,0,0,6,0,0,0,0,89,5,6,19,31,262,369,706,355,89,80,65,65,17,3,42,2117,4,22,187,63,41,103,14,0,0,0,0,0,0,0,14,455,0,14,86,93,202,182,265,188,18,34,9,17,0,0,25,1141,0,3,17,109,929,1369,1485,521,128,75,121,125,56,12,76,5002,107,100,67,34,25,29,29,13,0,3,0,6,0,0,11,425,6,43,157,50,29,18,11,20,0,0,0,0,0,0,8,334,0,4,8,24,96,98,58,29,8,4,6,4,6,0,3,343,0,6,51,102,287,1102,7445,4548,1096,1046,1263,1390,407,65,248,19043,0,3,5,53,133,216,216,69,12,22,20,10,13,0,14,800,0,0,5,25,41,89,128,206
CED109,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,10,0,0,0,3,11,43,36,19,8,0,0,3,0,0,0,129,4,0,22,33,37,44,72,53,11,5,15,16,5,3,3,314,3,28,28,54,670,848,1045,449,87,77,46,82,37,3,113,3578,0,53,206,30,32,42,10,8,0,0,0,0,0,0,13,404,36,116,275,197,207,189,135,71,8,15,3,10,4,3,36,1299,3,0,8,63,110,79,40,4,3,0,4,5,0,0,3,330,58,93,59,47,50,39,95,32,11,11,10,4,3,4,18,510,30,489,1167,219,55,36,26,135,16,26,11,8,0,0,87,2308,3,11,31,114,194,243,85,45,8,9,12,12,21,4,15,801,3,14,43,61,74,90,200,126,28,28,29,40,12,0,10,760,0,6,8,43,85,117,89,32,8,7,5,9,3,0,13,432,0,0,0,6,25,25,46,34
CED110,0,0,0,0,0,0,0,18,6,11,0,0,0,0,0,45,0,0,0,0,0,3,11,5,0,0,0,0,0,0,0,22,0,5,40,55,49,45,69,47,7,6,9,8,11,0,7,363,8,14,7,5,34,45,97,66,12,40,37,27,0,0,20,410,8,14,37,10,0,3,3,0,0,0,0,0,0,0,0,76,4,20,16,3,0,7,10,6,0,3,0,4,0,0,0,90,8,12,13,19,40,33,43,6,0,3,0,0,0,3,13,193,94,179,119,76,131,61,60,33,8,10,0,0,0,0,39,811,0,19,17,4,0,0,3,0,0,0,0,0,0,0,0,52,0,0,19,19,20,4,20,15,0,3,4,0,0,0,8,125,6,15,30,27,44,54,251,253,43,54,44,71,28,5,25,959,5,14,8,3,18,13,31,17,10,10,9,15,3,0,9,151,0,0,0,5,6,3,12,15
