CED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
CED101,7,8,12,5,4,3,0,205,0,0,9,10,8,80,70,22,4,4,0,0,0,0,0,211,4,7,37,49,65,40,79,66,5,3,12,0,0,5,5,379,40,274,341,109,33,14,37,47,5,0,6,5,0,0,39,951,0,0,3,17,47,71,98,40,9,5,3,5,9,0,7,313,0,0,5,47,98,106,162,54,10,0,13,4,0,0,4,501,12,68,342,717,629,345,362,150,30,48,25,32,19,5,88,2879,0,13,43,116,325,190,257,150,34,60,55,37,13,15,32,1329,0,0,0,0,13,97,863,807,394,773,1168,951,231,13,72,5382,11,28,13,3,14,5,19,7,0,0,0,0,0,0,3,106,0,17,81,232,412,510,508,259,46,45,38,34,16,17,67,2284,0,16,493,445,229,190,108,52,13,13,6,8,3,0,25,1592,0,0,3,7,33,49,106,132,31,41,50,38,30,3,10,534
CED102,14,9,9,9,4,3,3,276,0,0,5,11,11,48,46,38,6,7,9,7,4,0,3,195,0,8,26,26,77,65,132,138,7,17,15,21,8,0,12,558,40,553,727,121,38,54,93,144,29,15,22,10,0,4,166,2021,0,0,0,11,62,119,135,83,26,11,24,21,6,5,13,530,0,0,0,48,110,127,224,113,28,15,43,22,5,4,17,752,3,97,496,1174,979,556,452,214,36,49,59,46,39,24,142,4381,0,6,42,125,308,154,295,202,68,92,82,85,28,3,36,1526,0,0,0,3,4,88,1206,1201,635,1177,1966,1730,388,23,168,8598,9,19,15,7,11,7,20,10,0,3,0,3,4,0,7,115,3,15,67,218,435,537,525,255,42,45,44,39,14,23,103,2361,0,63,1101,921,359,282,199,75,18,9,19,18,10,0,122,3195,0,0,8,8,34,43,70,105,28,28,38,44,23,4,5,432
CED103,123,125,129,145,78,43,43,2602,0,0,22,22,18,76,73,33,4,9,7,3,0,4,9,270,5,12,33,43,104,75,112,77,9,4,12,8,0,0,13,488,90,514,620,112,46,36,74,141,24,19,17,18,10,0,55,1785,0,5,9,22,87,193,221,104,24,27,32,25,5,5,23,778,4,0,3,281,1217,1610,2975,1333,280,254,238,223,101,15,166,8696,19,66,238,332,230,135,77,41,3,13,9,17,10,6,37,1229,3,16,92,301,715,310,591,352,99,138,97,128,35,5,46,2916,0,0,0,0,0,32,157,168,70,177,179,148,23,4,16,986,7,54,28,13,15,21,32,12,3,4,3,10,0,0,3,205,14,30,86,258,354,399,437,226,32,28,47,54,36,16,45,2053,0,6,38,23,11,8,4,10,3,0,0,0,0,0,0,116,0,0,0,16,37,67,127,260,118,128,110,147,87,44,18,1157
CED104,50,55,52,48,11,8,24,1594,0,0,0,8,8,24,20,14,0,0,0,0,0,0,0,78,0,13,44,55,102,87,93,33,10,15,3,3,0,7,5,460,45,324,312,73,27,23,36,22,4,0,0,0,0,0,44,910,0,0,10,17,58,116,105,49,6,13,3,4,5,0,7,394,0,0,0,83,406,489,770,229,33,49,48,33,26,3,40,2206,16,89,229,165,147,95,58,16,0,6,0,10,13,0,18,862,3,18,97,225,545,254,330,224,36,42,17,26,12,3,24,1851,0,0,0,0,3,53,209,78,16,30,26,44,7,3,0,480,23,105,47,34,30,43,63,15,0,4,3,5,0,3,11,389,13,36,172,313,414,410,398,149,28,16,22,31,18,5,45,2065,0,0,8,3,3,3,0,0,0,0,0,0,0,0,0,24,0,0,3,32,55,94,100,129,43,29,25,21,10,0,9,548
CED105,15,22,6,25,13,0,51,633,0,0,3,18,24,673,579,462,33,49,55,35,11,8,59,2011,0,6,29,27,19,9,23,7,0,0,0,0,0,0,16,131,23,351,400,94,19,14,14,24,3,0,3,9,4,0,69,1027,0,0,4,6,14,27,33,9,0,7,8,5,0,0,0,117,0,0,0,86,266,338,585,210,65,40,35,35,10,0,62,1735,16,104,1036,2646,2034,1682,1868,874,145,187,183,159,79,31,439,11481,0,5,14,59,169,103,136,144,114,135,130,117,11,4,42,1187,0,0,0,0,0,41,562,557,380,869,1606,1405,356,8,150,5933,0,14,12,4,4,3,3,6,3,0,0,0,0,0,16,64,0,9,30,114,220,359,362,282,31,26,53,40,10,0,142,1681,0,22,361,370,152,150,85,19,5,0,0,3,0,0,25,1191,0,0,0,25,139,307,777,1145,273,278,311,336,158,46,76,3876
CED106,95,113,69,131,57,13,31,2281,0,0,3,10,3,22,16,6,0,0,0,0,0,0,0,61,7,10,33,42,108,92,133,63,3,6,4,5,3,0,10,508,37,174,144,41,19,26,42,42,5,4,5,3,6,5,36,581,0,4,16,52,201,272,298,148,56,41,74,93,62,49,41,1423,0,0,0,138,634,806,1370,487,84,65,100,93,78,31,66,3953,6,23,58,67,45,25,16,10,3,0,7,4,0,3,9,275,13,21,132,322,558,261,488,183,51,64,69,48,27,6,23,2255,0,0,0,0,0,31,261,213,109,197,297,234,40,3,34,1423,16,95,28,39,42,26,78,24,4,7,10,10,0,0,16,384,34,68,256,320,422,542,550,219,26,45,25,45,22,10,40,2624,0,0,3,12,0,8,3,0,0,0,0,0,3,0,0,38,0,0,7,23,29,45,45,93,32,45,23,17,9,6,6,389
CED107,3,0,5,4,4,0,15,78,0,0,0,0,0,7,18,14,7,0,0,0,0,0,3,55,0,21,36,35,25,21,44,23,0,0,5,3,0,0,12,232,10,67,92,17,5,0,10,11,4,0,3,12,0,0,17,250,0,6,6,0,11,16,22,11,3,9,5,0,0,0,3,76,0,0,0,4,10,9,35,45,4,4,10,8,4,0,7,143,0,7,27,19,13,5,5,0,0,0,0,0,0,0,22,104,0,3,22,28,36,3,33,24,3,9,3,10,8,0,9,194,0,0,0,0,4,7,107,99,61,102,81,42,8,0,13,504,36,153,59,33,29,17,6,4,0,0,3,0,0,0,10,347,10,23,154,310,375,264,268,110,23,13,20,15,10,3,121,1713,0,0,0,9,3,4,0,3,0,0,0,0,0,0,0,20,0,0,0,0,4,6,25,66,10,13,15,26,10,3,6,172
CED108,14,17,27,32,8,0,6,600,0,0,0,13,28,375,464,382,84,124,69,144,28,10,15,1741,0,11,44,44,39,15,30,26,0,3,4,0,4,0,3,221,9,118,221,56,27,11,26,18,4,3,0,5,0,0,27,534,0,0,0,3,4,9,13,13,3,0,8,0,3,0,3,77,0,0,0,20,128,178,265,110,15,12,8,3,4,0,19,754,0,9,96,232,209,186,150,73,12,20,6,32,8,0,30,1056,0,4,22,41,102,78,115,69,22,21,22,16,10,10,4,532,0,0,0,0,5,59,812,382,74,63,99,91,51,0,9,1640,5,113,37,16,8,0,15,7,0,0,0,0,0,0,5,206,0,10,45,210,606,1253,1163,814,167,150,159,131,43,23,221,4991,0,0,29,41,24,13,16,0,0,0,0,0,0,0,9,135,0,0,0,24,211,484,1047,1104,260,221,274,216,80,25,39,3977
CED109,8,4,0,0,0,0,0,155,0,0,6,3,13,41,25,3,0,0,0,0,0,0,0,98,0,16,55,51,111,52,171,108,15,17,16,11,4,4,5,634,37,361,322,79,36,23,44,65,11,3,3,8,0,0,48,1051,0,4,0,13,32,55,54,34,8,4,7,4,0,0,3,211,0,0,0,12,42,27,64,22,0,0,0,0,0,0,3,180,6,48,132,190,148,61,62,32,3,0,4,3,9,6,28,723,0,6,33,85,146,53,65,38,4,11,7,10,4,0,6,479,0,0,0,0,0,8,54,34,5,12,10,9,0,0,6,131,13,98,28,14,13,11,21,13,4,3,4,0,0,0,11,250,14,32,128,283,347,420,442,213,59,29,33,26,23,26,67,2144,0,11,227,215,113,88,68,38,10,6,11,0,0,0,22,815,0,0,7,4,12,7,10,15,11,0,3,6,0,0,0,84
CED110,5,0,0,0,0,0,0,52,0,0,3,3,0,6,10,11,10,82,144,111,20,4,14,408,4,10,37,49,37,26,54,54,4,0,3,0,0,0,5,294,11,92,60,13,5,12,20,19,0,0,0,5,0,0,17,258,0,0,0,9,7,21,50,14,5,12,8,9,3,4,6,140,0,0,0,5,10,12,24,26,6,0,0,3,0,0,4,91,0,4,17,0,0,4,3,6,0,0,0,0,0,0,6,44,0,8,28,26,24,14,28,43,29,35,35,62,13,3,25,376,0,0,0,0,4,0,28,26,27,55,48,62,24,0,5,285,38,241,83,38,44,28,37,8,0,0,0,7,7,0,15,543,17,60,248,519,534,275,302,124,14,13,23,12,11,3,122,2273,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,10,25,9,0,9,7,5,0,0,72
CED111,13,17,12,9,15,0,0,294,0,0,0,6,0,14,41,147,75,11,4,58,11,0,8,377,4,17,42,50,62,44,95,60,0,3,4,9,3,0,15,405,49,754,684,127,40,24,39,38,8,10,6,8,4,0,136,1935,0,4,6,0,26,35,38,34,4,9,9,11,6,0,4,185,0,0,0,4,35,42,86,48,12,6,11,10,11,0,8,267,6,16,64,107,74,43,52,24,5,6,6,5,3,0,12,427,0,5,26,34,46,24,33,44,12,21,24,24,14,0,8,308,0,0,0,0,0,4,52,57,38,40,31,55,20,0,5,305,36,282,62,21,20,22,35,21,13,6,4,3,0,0,17,548,21,31,130,304,334,289,334,173,23,16,20,35,21,11,60,1801,0,56,851,745,154,107,79,15,9,9,4,7,3,3,86,2132,0,4,5,4,9,24,41,90,33,56,57,50,38,0,6,409
CED112,0,0,0,0,0,0,0,91,0,0,0,0,0,13,3,6,0,0,0,0,0,0,0,25,0,23,104,70,117,33,73,54,8,4,6,0,0,0,15,522,16,133,157,35,9,10,13,12,0,6,0,3,0,0,24,421,0,4,0,3,12,28,37,13,7,0,0,3,3,0,5,125,0,4,0,19,50,71,125,50,8,5,9,4,0,0,10,347,4,10,33,32,11,11,14,9,0,0,0,0,0,0,0,121,0,0,23,33,40,24,40,23,7,3,9,4,4,0,15,233,0,0,0,0,0,4,52,37,28,30,34,15,3,0,5,197,33,153,70,29,24,21,26,16,0,0,0,3,0,0,15,372,13,25,197,481,614,490,396,156,35,39,17,34,17,15,78,2605,0,0,5,3,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,6,6,8,18,38,9,3,4,10,0,0,0,104
CED113,3,0,0,0,5,0,5,91,0,0,3,0,5,4,6,10,0,0,4,0,0,0,0,31,0,18,55,39,45,21,58,44,0,0,6,9,0,0,6,302,18,195,198,44,27,17,20,21,5,0,13,3,3,5,23,584,3,0,0,4,7,8,34,8,4,0,4,8,0,0,5,90,0,0,0,7,16,11,44,24,6,3,8,3,4,0,4,126,0,3,21,14,9,4,6,5,3,0,0,0,0,0,5,72,0,8,32,40,39,26,43,26,10,4,4,10,7,0,18,274,0,0,0,0,0,0,78,128,98,143,93,55,5,0,5,618,22,222,57,42,50,34,30,14,0,0,9,4,0,0,9,512,8,26,158,451,466,316,354,145,30,17,18,21,14,15,94,2139,6,9,82,148,133,88,50,41,3,0,0,3,0,0,12,592,0,0,6,3,0,6,47,67,11,22,30,26,3,5,8,235
CED114,0,0,3,0,0,0,0,37,0,0,0,0,0,7,8,7,0,3,0,0,0,0,4,28,0,9,20,20,29,15,38,31,0,0,5,0,5,0,5,173,144,538,325,44,20,8,13,28,8,4,11,23,4,0,93,1267,0,0,0,0,0,8,21,8,0,0,0,0,0,0,4,50,0,0,0,0,0,9,24,15,6,10,3,26,7,0,3,116,0,0,8,11,0,0,11,3,0,0,0,0,0,0,0,36,0,0,6,14,14,14,30,65,68,124,153,87,17,8,20,626,0,0,0,0,0,5,96,166,31,54,29,20,0,0,8,417,19,232,57,30,17,23,12,8,0,3,0,3,0,0,16,428,10,22,91,237,325,290,374,195,31,10,25,45,20,11,77,1769,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,10,42,98,22,25,39,24,6,4,14,285
CED115,11,12,13,11,17,0,20,969,4,0,218,308,293,2391,3491,3084,1575,1067,671,1407,268,26,227,15034,0,9,19,14,23,3,8,11,7,0,0,0,0,0,11,105,87,775,787,259,67,36,28,19,8,4,8,8,4,0,135,2215,0,6,0,4,12,8,21,10,0,0,4,0,4,0,0,68,0,0,0,0,28,23,53,19,3,7,3,5,0,0,5,155,0,13,175,398,403,300,319,145,55,46,44,77,23,8,110,2119,0,3,9,39,153,85,113,103,66,63,39,46,6,0,32,755,0,0,0,0,0,13,161,101,29,51,81,82,15,4,18,558,5,31,9,6,7,0,6,9,0,0,0,0,0,0,6,71,0,0,23,93,232,479,527,322,61,60,58,41,26,14,78,2019,0,3,164,261,123,112,73,37,13,15,12,14,0,0,23,845,0,0,0,8,32,43,140,244,43,76,81,69,40,9,11,808
