CED_CODE_2021,F_150_299_15_19_yr,F_150_299_20_24_yr,F_150_299_25_34_yr,F_150_299_35_44_yr,F_150_299_45_54_yr,F_150_299_55_64_yr,F_150_299_65_74_yr,F_150_299_75_84_yr,F_150_299_85_yr_over,F_150_299_Tot,F_300_399_15_19_yr,F_300_399_20_24_yr,F_300_399_25_34_yr,F_300_399_35_44_yr,F_300_399_45_54_yr,F_300_399_55_64_yr,F_300_399_65_74_yr,F_300_399_75_84_yr,F_300_399_85_yr_over,F_300_399_Tot,F_400_499_15_19_yr,F_400_499_20_24_yr,F_400_499_25_34_yr,F_400_499_35_44_yr,F_400_499_45_54_yr,F_400_499_55_64_yr,F_400_499_65_74_yr,F_400_499_75_84_yr,F_400_499_85_yr_over,F_400_499_Tot,F_500_649_15_19_yr,F_500_649_20_24_yr,F_500_649_25_34_yr,F_500_649_35_44_yr,F_500_649_45_54_yr,F_500_649_55_64_yr,F_500_649_65_74_yr,F_500_649_75_84_yr,F_500_649_85_yr_over,F_500_649_Tot,F_650_799_15_19_yr,F_650_799_20_24_yr,F_650_799_25_34_yr,F_650_799_35_44_yr,F_650_799_45_54_yr,F_650_799_55_64_yr,F_650_799_65_74_yr,F_650_799_75_84_yr,F_650_799_85_yr_over,F_650_799_Tot,F_800_999_15_19_yr,F_800_999_20_24_yr,F_800_999_25_34_yr,F_800_999_35_44_yr,F_800_999_45_54_yr,F_800_999_55_64_yr,F_800_999_65_74_yr,F_800_999_75_84_yr,F_800_999_85_yr_over,F_800_999_Tot,F_1000_1249_15_19_yr,F_1000_1249_20_24_yr,F_1000_1249_25_34_yr,F_1000_1249_35_44_yr,F_1000_1249_45_54_yr,F_1000_1249_55_64_yr,F_1000_1249_65_74_yr,F_1000_1249_75_84_yr,F_1000_1249_85_yr_over,F_1000_1249_Tot,F_1250_1499_15_19_yr,F_1250_1499_20_24_yr,F_1250_1499_25_34_yr,F_1250_1499_35_44_yr,F_1250_1499_45_54_yr,F_1250_1499_55_64_yr,F_1250_1499_65_74_yr,F_1250_1499_75_84_yr,F_1250_1499_85_yr_over,F_1250_1499_Tot,F_1500_1749_15_19_yr,F_1500_1749_20_24_yr,F_1500_1749_25_34_yr,F_1500_1749_35_44_yr,F_1500_1749_45_54_yr,F_1500_1749_55_64_yr,F_1500_1749_65_74_yr,F_1500_1749_75_84_yr,F_1500_1749_85_yr_over,F_1500_1749_Tot,F_1750_1999_15_19_yr,F_1750_1999_20_24_yr,F_1750_1999_25_34_yr,F_1750_1999_35_44_yr,F_1750_1999_45_54_yr,F_1750_1999_55_64_yr,F_1750_1999_65_74_yr,F_1750_1999_75_84_yr,F_1750_1999_85_yr_over,F_1750_1999_Tot,F_2000_2999_15_19_yr,F_2000_2999_20_24_yr,F_2000_2999_25_34_yr,F_2000_2999_35_44_yr,F_2000_2999_45_54_yr,F_2000_2999_55_64_yr,F_2000_2999_65_74_yr,F_2000_2999_75_84_yr,F_2000_2999_85_yr_over,F_2000_2999_Tot,F_3000_3499_15_19_yr,F_3000_3499_20_24_yr,F_3000_3499_25_34_yr,F_3000_3499_35_44_yr,F_3000_3499_45_54_yr,F_3000_3499_55_64_yr,F_3000_3499_65_74_yr,F_3000_3499_75_84_yr,F_3000_3499_85_yr_over,F_3000_3499_Tot,F_3500_more_15_19_yr,F_3500_more_20_24_yr,F_3500_more_25_34_yr,F_3500_more_35_44_yr,F_3500_more_45_54_yr,F_3500_more_55_64_yr,F_3500_more_65_74_yr,F_3500_more_75_84_yr,F_3500_more_85_yr_over,F_3500_more_Tot,F_Personal_inc_ns_15_19_yr,F_Personal_inc_ns_20_24_yr,F_Personal_inc_ns_25_34_yr,F_Personal_inc_ns_35_44_yr,F_Personal_inc_ns_45_54_yr,F_Personal_inc_ns_55_64_yr,F_Personal_inc_ns_65_74_yr,F_Personal_inc_ns_75_84_yr,F_Personal_inc_ns_85_yr_over,F_Personal_inc_ns_Tot,F_OS_vis_15_19_yr,F_OS_vis_20_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_OS_vis_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Neg_Nil_inc_15_19_yr,P_Neg_Nil_inc_20_24_yr,P_Neg_Nil_inc_25_34_yr,P_Neg_Nil_inc_35_44_yr,P_Neg_Nil_inc_45_54_yr,P_Neg_Nil_inc_55_64_yr,P_Neg_Nil_inc_65_74_yr,P_Neg_Nil_inc_75_84_yr,P_Neg_Nil_inc_85_yr_over,P_Neg_Nil_inc_Tot,P_1_149_15_19_yr,P_1_149_20_24_yr,P_1_149_25_34_yr,P_1_149_35_44_yr,P_1_149_45_54_yr,P_1_149_55_64_yr,P_1_149_65_74_yr,P_1_149_75_84_yr,P_1_149_85_yr_over,P_1_149_Tot,P_150_299_15_19_yr,P_150_299_20_24_yr,P_150_299_25_34_yr,P_150_299_35_44_yr,P_150_299_45_54_yr,P_150_299_55_64_yr,P_150_299_65_74_yr,P_150_299_75_84_yr,P_150_299_85_yr_over,P_150_299_Tot,P_300_399_15_19_yr,P_300_399_20_24_yr,P_300_399_25_34_yr,P_300_399_35_44_yr,P_300_399_45_54_yr,P_300_399_55_64_yr,P_300_399_65_74_yr,P_300_399_75_84_yr,P_300_399_85_yr_over,P_300_399_Tot
CED101,475,457,311,384,379,667,682,388,145,3889,244,425,441,503,580,901,1359,986,337,5781,181,439,502,505,588,797,1274,1180,756,6216,127,630,785,735,743,811,793,481,303,5398,103,568,1000,898,884,825,520,273,109,5181,51,611,1195,974,1061,873,409,190,75,5435,23,561,1438,1149,1083,903,360,110,34,5658,7,383,1147,995,847,681,207,51,22,4337,5,144,1023,871,746,556,148,48,15,3555,0,44,639,748,672,444,117,22,8,2701,0,37,845,1299,1054,620,115,28,4,4002,0,5,87,234,241,94,19,8,0,690,0,4,93,336,332,167,34,19,11,990,199,267,658,517,474,405,392,461,660,4036,4,3,16,18,19,48,35,13,6,167,4376,5271,11201,11393,10864,10620,7886,4828,2723,69163,4812,1096,1377,1358,1269,2109,1882,758,332,14990,1358,447,245,278,325,566,544,269,81,4114,922,857,498,527,562,1066,1174,706,276,6602,426,816,751,771,910,1492,2408,1908,765,10251
CED102,454,458,413,421,396,581,598,353,109,3789,174,458,604,550,596,898,1545,1112,339,6281,107,530,690,578,582,769,1216,1284,725,6488,127,785,1251,819,838,789,694,451,216,5962,72,798,1570,978,870,743,437,237,97,5794,38,736,2019,1173,1020,805,359,156,60,6362,25,637,2225,1332,1114,817,301,85,31,6573,3,384,1710,1101,816,571,189,38,27,4832,5,154,1454,1102,831,476,143,42,9,4216,0,78,970,822,652,406,87,17,12,3049,0,35,1330,1616,1182,560,106,23,12,4864,0,3,167,333,268,102,25,7,0,905,0,15,158,450,380,149,31,17,15,1209,222,451,1218,802,623,509,482,566,706,5574,10,8,41,26,37,57,41,21,0,248,3875,6444,17388,13503,11421,9941,7702,5068,2595,77945,4467,1485,2141,1611,1418,2077,1962,900,386,16448,1121,453,323,331,300,473,560,304,97,3959,853,921,678,621,606,914,1036,708,244,6571,373,892,1036,871,949,1533,2813,2280,786,11540
CED103,478,552,374,452,412,604,700,358,159,4095,247,542,535,524,546,764,1154,795,319,5425,150,498,524,553,492,676,1014,1025,733,5662,136,597,880,883,680,770,767,516,308,5532,74,543,1118,918,759,682,566,332,140,5141,41,549,1341,1043,901,755,509,249,108,5501,20,615,2086,1379,1058,929,454,165,63,6770,17,416,2012,1321,882,700,281,69,34,5733,7,164,1801,1314,861,651,220,50,29,5091,4,69,1249,1099,774,523,162,27,22,3925,0,44,1736,2393,1543,925,204,29,18,6902,0,7,241,528,405,219,44,11,7,1461,0,10,217,696,719,305,73,24,13,2057,153,293,821,639,445,392,361,341,427,3880,11,23,38,29,34,100,82,26,3,346,4464,5999,16755,15879,11905,11098,8360,4732,2661,81855,5003,1708,2304,2198,1486,2277,2232,939,328,18468,1621,603,382,477,381,699,772,308,109,5359,936,1110,608,601,595,905,1172,635,300,6871,438,1021,924,796,806,1233,2015,1448,660,9339
CED104,566,445,189,297,300,467,655,393,140,3452,285,402,226,302,420,509,937,746,263,4087,182,356,222,355,475,539,875,893,466,4364,140,446,322,519,661,669,834,607,283,4477,94,379,411,674,736,743,684,445,125,4289,48,415,554,727,862,797,560,298,109,4374,20,434,764,909,1085,931,567,217,66,4987,3,306,756,904,948,783,329,108,35,4180,0,128,728,908,980,707,247,83,31,3812,0,47,480,762,827,573,183,46,18,2926,0,22,711,1687,1733,1063,231,54,23,5525,0,7,95,446,417,238,64,13,11,1291,0,3,88,667,746,397,99,39,16,2058,109,118,210,288,305,234,266,388,577,2484,4,5,17,14,15,53,65,19,3,196,5041,4065,6289,10543,11609,10296,8128,4969,2463,63406,5357,832,680,1093,1139,1643,1753,774,364,13636,2064,471,151,268,334,596,711,324,94,5018,1071,869,313,383,410,689,1065,679,211,5688,506,757,387,398,571,783,1576,1402,516,6886
CED105,708,735,820,794,722,800,539,280,110,5514,208,560,959,905,1020,1441,1716,928,292,8030,145,623,921,788,835,1006,1321,996,720,7341,132,819,1284,1045,942,781,549,289,161,6002,86,718,1326,1047,934,756,351,168,61,5445,41,686,1334,1003,985,716,267,96,28,5153,29,557,1383,1002,858,639,200,42,16,4726,6,329,1082,617,531,371,119,13,12,3086,4,120,729,465,390,278,65,9,7,2083,3,39,439,375,286,166,43,6,4,1365,0,31,449,489,375,194,51,5,5,1604,0,4,58,86,42,35,9,3,3,236,0,6,42,75,67,39,8,13,4,257,493,636,1453,1183,884,777,609,430,501,6975,4,10,35,22,27,38,28,9,4,173,5571,7092,14910,11978,10637,10023,7081,3820,2117,73236,6244,1923,3406,2429,2101,2644,1763,759,263,21534,1361,583,423,407,363,455,396,218,65,4277,1321,1386,1270,1172,1185,1411,1011,584,230,9566,444,1098,1725,1506,1684,2394,3260,2085,625,14827
CED106,549,503,182,344,365,410,544,419,151,3469,262,449,259,390,363,447,725,625,223,3740,136,427,277,357,423,461,765,718,500,4065,133,455,401,600,627,581,743,605,335,4485,68,401,529,659,665,603,643,459,197,4217,45,412,698,793,830,687,577,442,190,4684,14,439,978,1037,943,836,588,347,175,5347,3,319,962,943,867,663,408,216,105,4489,4,136,870,991,882,712,356,213,89,4250,0,52,638,889,796,564,262,139,55,3387,4,23,980,2173,1852,1097,365,182,88,6777,3,6,175,652,652,332,130,54,27,2032,4,12,165,1228,1693,722,242,147,76,4282,126,153,324,353,342,293,343,430,680,3046,18,11,30,28,49,87,78,23,0,318,5401,4495,8261,13202,13018,10148,8327,5763,3349,71957,6333,1059,1002,1785,1701,1838,1836,901,549,16996,2094,540,197,384,429,532,636,359,145,5309,981,1029,317,439,503,610,879,630,287,5681,462,853,459,497,543,690,1215,1097,461,6280
CED107,609,319,347,305,354,557,634,353,94,3565,271,337,479,428,537,890,1685,1100,309,6031,228,375,597,538,655,966,1761,1532,858,7498,251,544,992,888,885,1005,1061,657,324,6608,165,590,1089,980,936,945,763,379,125,5976,109,667,1264,1048,1128,1003,514,220,82,6033,45,444,1279,1126,1165,1046,432,122,26,5682,25,294,960,828,846,669,252,50,10,3933,12,125,742,685,766,546,216,90,34,3210,8,50,492,531,671,450,129,26,16,2356,5,36,498,875,969,616,122,31,14,3160,0,3,47,110,140,87,35,16,6,440,0,6,55,175,208,157,91,38,8,741,379,314,723,686,738,724,730,660,477,5430,0,7,19,6,15,8,5,5,0,70,4967,4417,10259,9860,10711,11025,9399,5652,2513,68816,3704,470,716,685,813,1551,1118,472,154,9685,2153,202,244,232,261,481,582,226,75,4456,1132,611,583,514,612,951,1144,646,182,6378,493,594,765,682,944,1561,3090,2294,626,11046
CED108,688,563,603,579,522,633,500,208,61,4346,279,521,714,711,732,1055,1613,778,184,6585,224,544,883,781,702,781,1502,1031,491,6938,213,730,1290,1134,870,715,708,383,262,6309,116,807,1537,1378,982,792,406,189,40,6254,98,808,1729,1659,1357,932,268,83,26,6962,48,640,1889,1830,1385,965,222,34,9,7015,16,336,1479,1341,951,608,117,9,4,4861,6,136,1113,1094,688,416,117,24,3,3590,0,39,656,759,460,233,50,0,3,2199,0,29,668,1097,611,314,49,3,3,2778,0,3,74,154,84,42,15,6,0,374,5,12,49,125,65,42,22,5,0,327,474,512,1301,1177,806,585,528,423,386,6189,7,13,21,17,17,82,68,9,6,239,6074,6638,16045,15845,11667,10152,7565,3594,1636,79215,6548,1583,2441,2225,1659,2445,2008,643,221,19769,1430,458,360,354,318,408,420,132,42,3918,1294,1058,958,870,841,1061,931,397,101,7513,514,978,1197,1118,1272,1749,3096,1676,365,11962
CED109,511,305,189,249,245,395,521,400,167,2984,249,283,220,300,362,555,1005,841,340,4164,168,294,274,359,434,607,1056,1126,788,5090,161,414,466,575,672,682,872,665,373,4866,94,417,597,723,814,778,721,431,157,4744,71,565,785,831,916,853,592,314,149,5076,20,590,1233,939,1112,1003,514,192,72,5678,6,398,1213,808,926,750,328,121,57,4596,5,157,1088,908,881,657,258,94,41,4093,0,66,782,707,735,503,168,51,24,3040,0,44,1065,1403,1337,793,221,64,31,4949,0,4,149,334,331,185,71,28,15,1113,3,0,172,583,570,265,97,55,26,1760,169,173,486,436,450,340,366,504,643,3573,5,3,10,25,17,20,18,0,5,107,4158,4074,9267,9992,10653,9598,7942,5484,3139,64316,3803,577,675,856,928,1349,1322,682,315,10508,1644,258,135,199,231,413,537,290,115,3818,899,553,289,316,353,584,837,678,283,4792,431,512,366,423,562,893,1685,1598,676,7142
CED110,656,345,342,377,380,799,967,456,178,4507,315,386,530,505,651,1380,2531,1692,472,8462,263,383,584,610,736,1337,2381,1916,944,9152,217,531,986,924,980,1380,1786,1118,479,8409,154,578,1004,1021,1024,1183,1070,584,199,6823,72,518,1082,1074,1250,1220,703,351,117,6391,32,328,947,1065,1279,1173,533,212,94,5657,5,182,677,734,872,712,281,84,32,3573,4,50,556,551,720,567,206,112,61,2815,0,22,362,453,592,426,112,31,5,2009,0,11,292,628,891,547,131,40,14,2553,0,4,42,92,100,93,33,13,0,380,4,5,43,135,188,139,61,47,22,643,405,276,689,674,687,823,917,957,837,6265,5,3,22,23,20,20,14,7,3,108,4801,3894,8637,9415,11024,13116,12750,8014,3682,75324,3222,365,560,648,772,1539,1202,454,245,8995,2225,222,231,218,301,584,675,291,86,4825,1269,699,657,633,719,1368,1674,822,314,8158,546,715,1002,906,1166,2380,4705,3407,999,15825
