CED_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
CED101,536,3998,197,6,4739,507,4867,301,12,5688,801,9904,693,33,11433,1000,9161,538,27,10723,1155,8321,356,19,9847,938,8608,371,21,9935,806,6034,299,26,7174,384,3253,218,9,3868,82,1417,171,3,1670,6211,55561,3160,153,65086,565,3639,170,4,4376,716,4295,251,3,5271,968,9586,633,16,11201,1461,9412,504,18,11393,1421,9022,408,19,10864,1033,9196,331,48,10620,898,6650,302,35,7886,417,4049,349,13,4828,92,2162,460,6,2723,7571,58016,3407,167,69163,1102,7641,370,8,9119,1222,9169,555,14,10955,1772,19489,1326,51,22634,2463,18575,1042,43,22120,2572,17343,764,39,20717,1970,17805,706,73,20555,1709,12686,596,67,15058,795,7301,574,23,8694,180,3579,631,6,4397,13781,113576,6565,326,134249
CED102,406,3746,229,5,4386,497,6223,500,28,7238,1202,15194,1286,38,17718,1040,11876,801,21,13741,1029,8995,568,32,10632,789,8042,500,33,9367,552,6048,409,29,7045,248,3632,455,14,4344,49,1509,331,0,1893,5819,65265,5072,211,76363,484,3180,204,10,3875,713,5307,411,8,6444,1394,14768,1181,41,17388,1420,11300,757,26,13503,1272,9552,562,37,11421,894,8520,469,57,9941,683,6567,407,41,7702,298,4298,448,21,5068,59,1955,585,0,2595,7214,65449,5026,248,77945,887,6923,431,11,8259,1201,11529,908,40,13685,2594,29960,2459,80,35102,2458,23179,1559,51,27240,2301,18546,1130,68,22049,1683,16561,968,92,19307,1231,12621,816,72,14746,549,7934,905,33,9415,110,3462,911,3,4488,13030,130715,10097,463,154307
CED103,756,3907,145,13,4811,834,5238,282,15,6371,1361,13716,866,28,15974,1670,13062,678,44,15457,1663,8863,436,38,11003,1396,8209,385,53,10047,1043,6121,270,66,7503,501,3108,198,16,3817,98,1430,186,7,1722,9322,63663,3444,274,76701,854,3459,140,11,4464,1047,4642,283,23,5999,1638,14264,815,38,16755,2252,12973,625,29,15879,2129,9349,391,34,11905,1611,9031,358,100,11098,1200,6784,291,82,8360,591,3835,287,26,4732,136,2169,361,3,2661,11455,66502,3549,346,81855,1610,7362,284,24,9277,1887,9883,565,37,12367,3005,27980,1678,68,32724,3925,26036,1300,75,31336,3796,18215,823,73,22907,3008,17243,748,151,21146,2238,12908,563,155,15864,1091,6934,483,39,8549,232,3599,550,4,4384,20777,130165,6997,625,158557
CED104,904,4460,129,12,5501,684,3818,101,5,4607,690,5299,171,11,6169,1439,7668,261,11,9381,2166,8471,256,15,10909,1768,7716,186,28,9703,1513,5742,166,42,7465,826,3399,210,21,4454,159,1187,211,3,1564,10157,47763,1692,148,59759,1141,3812,86,4,5041,851,3122,89,5,4065,803,5277,195,17,6289,2127,8153,260,14,10543,2581,8766,241,15,11609,1890,8177,174,53,10296,1548,6310,206,65,8128,939,3725,283,19,4969,152,1873,430,3,2463,12033,49217,1967,196,63406,2046,8269,212,16,10545,1534,6933,195,6,8678,1495,10576,366,29,12459,3562,15820,523,26,19926,4752,17236,500,25,22513,3661,15901,359,81,20000,3063,12057,370,103,15590,1766,7125,492,38,9420,308,3066,635,9,4029,22187,96980,3654,342,123164
CED105,369,5207,532,15,6120,473,6867,870,23,8233,850,14000,1816,35,16705,848,10542,1431,41,12867,658,9098,1044,29,10834,558,8734,789,26,10106,428,5848,534,24,6823,184,3035,382,3,3607,36,1109,267,0,1415,4414,64436,7675,201,76716,447,4674,441,4,5571,690,5781,611,10,7092,1039,12454,1388,35,14910,1014,9826,1119,22,11978,689,9091,822,27,10637,623,8653,711,38,10023,451,6066,538,28,7081,182,3215,418,9,3820,40,1599,473,4,2117,5174,61373,6524,173,73236,822,9885,971,17,11694,1166,12651,1479,39,15331,1886,26451,3204,69,31615,1858,20366,2555,61,24845,1351,18190,1869,54,21467,1180,17385,1503,64,20129,878,11909,1070,52,13911,367,6249,801,19,7435,79,2712,735,4,3529,9579,125807,14192,376,149949
CED106,1120,4428,139,9,5700,773,3926,150,17,4861,830,6534,286,21,7677,1476,9657,342,39,11515,2332,8885,243,47,11508,1825,7367,229,67,9483,1464,5432,186,59,7142,1020,3527,185,21,4755,231,1756,162,3,2150,11077,51498,1923,294,64790,1416,3850,117,18,5401,1012,3344,129,11,4495,908,7000,318,30,8261,2423,10426,332,28,13202,3202,9486,279,49,13018,1983,7845,237,87,10148,1649,6340,261,78,8327,1044,4405,290,23,5763,213,2723,409,0,3349,13856,55426,2359,318,71957,2542,8281,250,26,11094,1787,7270,279,31,9359,1743,13535,601,53,15930,3899,20073,678,67,24718,5536,18372,521,100,24528,3809,15211,460,151,19632,3117,11771,444,136,15462,2063,7935,477,42,10513,447,4477,572,3,5498,24929,106924,4277,618,136748
CED107,671,4328,465,0,5466,455,3815,583,5,4863,964,8015,1344,16,10339,1380,7282,1253,14,9927,1675,7814,990,15,10502,1684,8331,806,15,10835,1868,6843,671,6,9389,968,3804,437,9,5207,145,1212,155,0,1514,9817,51432,6705,89,68043,757,3861,358,0,4967,532,3567,311,7,4417,1173,8394,674,19,10259,1911,7280,665,6,9860,1950,8064,688,15,10711,2007,8392,613,8,11025,2183,6651,565,5,9399,1096,4052,489,5,5652,173,2045,295,0,2513,11782,52303,4656,70,68816,1424,8183,819,4,10432,994,7383,891,22,9285,2133,16405,2018,37,20598,3293,14559,1910,20,19786,3624,15882,1679,27,21208,3690,16722,1423,25,21864,4048,13483,1235,12,18790,2062,7860,925,9,10863,323,3256,452,0,4029,21601,103737,11361,157,136855
CED108,491,5450,554,3,6497,499,6103,583,10,7200,927,12511,1258,30,14723,1198,13546,1139,19,15899,912,9847,775,12,11544,659,8441,598,30,9729,433,5846,370,42,6687,179,2597,230,9,3011,21,712,99,3,834,5307,65047,5611,167,76130,565,5060,442,7,6074,674,5462,491,13,6638,1124,13650,1254,21,16045,1290,13390,1146,17,15845,1027,9871,750,17,11667,806,8737,526,82,10152,563,6456,475,68,7565,193,3094,295,9,3594,27,1351,256,6,1636,6268,67066,5645,239,79215,1057,10507,999,10,12573,1170,11569,1074,20,13833,2049,26158,2510,53,30767,2492,26930,2292,39,31748,1934,19720,1528,28,23212,1462,17181,1127,112,19886,996,12301,846,106,14252,369,5689,523,26,6605,44,2065,351,8,2474,11578,132117,11253,405,155349
CED109,550,3635,173,4,4366,391,3597,130,4,4127,667,7551,450,14,8682,1011,7766,423,13,9219,1329,8184,398,19,9932,1085,7628,308,20,9043,952,5791,252,15,7010,558,3647,267,6,4475,123,1613,226,6,1961,6672,49415,2642,92,58815,625,3377,151,5,4158,552,3371,153,3,4074,804,8006,445,10,9267,1370,8185,414,25,9992,1574,8693,376,17,10653,1179,8101,301,20,9598,1068,6573,289,18,7942,613,4498,374,0,5484,157,2476,506,5,3139,7932,53273,3006,107,64316,1179,7014,327,8,8526,943,6964,291,8,8203,1465,15557,900,28,17953,2384,15958,835,37,19203,2906,16875,777,33,20593,2263,15727,607,35,18641,2017,12366,539,30,14950,1168,8144,644,3,9958,279,4082,730,11,5104,14603,102689,5653,198,123128
CED110,585,3929,459,3,4978,391,3220,399,8,4016,775,6589,954,42,8367,1212,6570,865,21,8663,1573,7448,783,22,9824,1864,8925,766,20,11572,2379,9060,747,15,12200,1100,5391,592,7,7090,157,1872,356,0,2392,10046,53007,5920,141,69113,706,3701,392,5,4801,481,3136,269,3,3894,982,6955,668,22,8637,1702,7030,655,23,9415,1980,8373,650,20,11024,2410,9993,696,20,13116,2909,9064,763,14,12750,1423,5810,777,7,8014,202,2797,683,3,3682,12796,56866,5558,108,75324,1294,7628,852,9,9781,871,6354,673,15,7914,1761,13550,1626,61,17000,2914,13601,1524,47,18079,3550,15819,1433,40,20848,4269,18920,1461,36,24690,5286,18131,1506,27,24951,2524,11195,1367,10,15109,360,4670,1040,4,6077,22838,109873,11480,250,144440
