CED_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
CED101,2971,5868,3322,2277,5279,765,73,20555,1791,3689,2566,1730,4597,624,67,15058,1110,1800,1108,837,3217,595,23,8694,584,635,307,196,2017,644,6,4397,24561,33025,16388,12207,40894,6846,326,134249
CED102,2740,5100,2862,2053,5462,1002,92,19307,1842,3410,2157,1550,4838,877,72,14746,1212,1865,1078,807,3498,929,33,9415,542,533,270,166,2048,921,3,4488,27295,36393,16237,11846,51623,10447,463,154307
CED103,3124,6504,3752,2290,4534,783,151,21146,1880,4175,2882,1939,4235,596,155,15864,1137,1961,1281,820,2807,514,39,8549,588,643,339,265,1997,546,4,4384,30613,42879,20241,13574,43379,7248,625,158557
CED104,2950,7353,3984,2454,2796,382,81,20000,1754,4642,3447,2313,2934,403,103,15590,1148,2285,1644,1264,2541,495,38,9420,429,608,310,244,1775,646,9,4029,25223,36788,19743,13032,24291,3747,342,123164
CED105,2465,4066,2299,2146,7515,1581,64,20129,1630,2620,1633,1431,5408,1135,52,13911,866,1221,692,573,3230,839,19,7435,328,343,169,116,1812,750,4,3529,21421,25252,12298,12974,62814,14815,376,149949
CED106,3016,7095,3917,2149,2816,497,151,19632,2021,4703,3180,1959,3011,456,136,15462,1402,2855,1876,1223,2630,491,42,10513,702,925,471,332,2478,591,3,5498,28175,40231,20779,13139,29392,4416,618,136748
CED107,3515,6865,3408,2240,4348,1471,25,21864,2265,4602,3174,2530,4910,1300,12,18790,1193,2065,1442,1300,3859,997,9,10863,428,549,283,194,2110,463,0,4029,25231,36866,17609,12995,32423,11566,157,136855
CED108,2593,4449,2373,2105,7047,1196,112,19886,1564,2531,1700,1552,5865,925,106,14252,759,1030,568,481,3161,578,26,6605,235,212,81,60,1515,360,8,2474,23443,31969,15479,14734,57501,11823,405,155349
CED109,3197,6208,3106,1767,3683,635,35,18641,2051,4239,2623,1687,3735,585,30,14950,1243,2233,1469,1041,3313,654,3,9958,617,777,436,257,2234,768,11,5104,25813,34722,16142,10812,29608,5841,198,123128
CED110,3980,7938,3928,2375,4929,1501,36,24690,2968,6449,4610,3145,6165,1587,27,24951,1583,3003,2193,1848,4996,1474,10,15109,644,760,449,348,2828,1044,4,6077,25867,38775,19575,13749,34438,11783,250,144440
CED111,3099,6567,3364,2015,3881,724,19,19670,1802,4112,2854,1946,4031,699,28,15476,1160,2070,1360,1106,3383,788,3,9875,514,597,320,236,2072,813,3,4557,26861,38240,17836,12091,31335,7125,161,133651
CED112,2942,6180,3225,2112,4404,881,33,19776,2009,4261,2986,2224,5128,969,28,17603,1136,1988,1346,1199,4159,1083,5,10919,447,526,282,223,2271,1041,0,4788,24193,34529,17031,13386,33724,8382,126,131375
CED113,4078,8370,3954,2353,3792,1663,38,24258,2406,5394,3686,2862,4131,1321,29,19828,1159,2134,1534,1292,2883,882,7,9881,399,477,271,201,1631,479,5,3462,27714,41239,19003,12661,27010,10398,300,138328
CED114,3984,7082,3235,2090,5031,1772,35,23236,2499,4698,3089,2448,5749,1632,15,20129,1282,2144,1531,1466,4173,1231,7,11837,487,583,344,257,2300,687,0,4663,26209,35955,16990,12609,36207,12384,357,140704
CED115,2596,4208,2491,2500,8938,1515,61,22312,1804,2899,1758,1639,6875,1156,43,16175,830,1196,615,586,3735,931,11,7900,282,306,128,100,1904,827,9,3562,20672,24354,11464,11720,62171,12030,270,142675
CED116,3880,8400,4435,2628,4307,1399,25,25073,2872,7213,5195,3663,5817,1387,20,26172,1457,3085,2236,2078,4818,1120,18,14811,594,777,426,324,2612,644,0,5381,24142,38842,20291,14601,30738,9894,152,138643
CED117,2853,6025,2525,1048,2779,718,50,15991,1693,3603,1867,900,2795,563,54,11479,867,1493,796,443,2074,461,6,6135,333,363,148,94,1297,376,0,2619,28767,43764,15808,7388,24293,6367,277,126666
CED118,2659,5192,2725,2056,4729,850,163,18372,1575,2976,1968,1615,4321,628,166,13253,752,1157,726,552,2521,448,36,6185,245,240,138,84,1096,257,3,2059,27309,39062,19502,15383,45410,9585,480,156722
CED119,2747,6421,3295,1879,2954,408,26,17728,1626,3883,2763,1736,3094,408,32,13548,936,1717,1152,890,2524,561,10,7790,329,415,216,138,1271,749,3,3123,24658,35664,17484,11461,25529,4339,135,119270
CED120,3250,6591,3495,2458,3889,1010,24,20722,2002,4193,3077,2582,4113,917,25,16911,1031,1749,1266,1121,2907,765,10,8843,348,418,183,164,1515,462,3,3094,26333,37736,18779,14741,30653,7888,161,136287
CED121,3206,6641,3569,2398,4472,1033,20,21337,1999,4451,3331,2753,5174,947,14,18668,1118,2038,1577,1355,3881,880,8,10855,410,603,253,193,2371,529,0,4362,25285,37702,18750,14315,35123,9309,124,140612
CED122,3234,5821,2681,1432,4008,1039,128,18352,1924,3637,1966,1206,4045,873,97,13748,1234,1871,1100,734,3071,781,33,8822,525,582,241,142,1645,626,4,3761,33338,42257,15979,9504,42123,10809,876,154885
CED123,2904,5540,2767,1962,4852,1053,43,19118,1711,3377,2233,1850,4594,893,66,14727,894,1315,829,712,2799,793,13,7344,265,283,133,131,1104,563,8,2477,27151,38006,17107,14089,40284,11093,246,147989
CED124,3627,7830,4326,2898,4577,1292,25,24580,2765,6638,5119,4106,6294,1509,13,26449,1587,3064,2287,2222,5178,1256,12,15613,579,702,384,380,2686,794,5,5523,21741,35846,19871,15321,31180,8903,113,132983
CED125,2942,5620,2905,2265,5984,958,96,20761,1877,3455,2228,1769,5305,779,93,15497,838,1207,816,641,2623,605,23,6748,229,235,107,75,850,282,11,1779,27426,38130,17744,15901,48748,9277,363,157588
CED126,3533,7585,3521,1628,2754,637,33,19691,2180,5021,3096,1651,3026,569,32,15569,1488,2805,1830,1238,3032,642,14,11059,580,733,372,267,2230,679,9,4868,27681,38856,18107,10721,25471,5198,243,126273
CED127,2914,7164,3827,2313,2896,665,15,19794,1889,4847,3470,2578,3405,607,20,16823,968,2054,1441,1198,2615,494,10,8783,348,412,248,193,1455,321,0,2981,22448,36185,18690,13411,22762,5007,133,118635
CED128,2508,4585,2583,2217,7524,1203,37,20659,1627,2855,1812,1638,6079,900,48,14968,937,1331,767,677,3526,612,19,7876,306,335,176,86,1611,423,13,2949,20884,26750,13026,12573,56071,10010,242,139560
CED129,2965,6581,3521,2264,3623,505,103,19559,1863,4282,3025,2203,3686,469,146,15684,1112,2015,1305,1014,2784,439,31,8692,322,424,215,121,1445,388,11,2931,29801,42307,21192,14882,34408,4704,443,147739
CED130,3390,6325,3290,2042,4328,1638,17,21033,2212,4446,3144,2681,4834,1496,17,18828,1213,2192,1442,1515,3804,1305,3,11474,458,534,272,264,1932,718,0,4181,22796,33753,16624,12462,31458,12460,307,129866
CED131,3425,6465,2877,1400,3786,860,42,18845,1927,4024,2609,1572,3746,839,40,14747,1001,1689,1110,875,3006,846,10,8532,459,509,259,148,2028,854,0,4259,30353,41280,16536,9602,31760,8326,229,138082
CED132,3253,6759,3035,1433,2654,683,75,17889,2311,4742,2638,1359,2781,687,99,14609,1307,2284,1370,727,2229,649,43,8611,500,629,291,203,1664,725,8,4016,31398,45148,17867,9906,27232,6656,536,138754
CED133,4030,8237,4190,2649,4772,1752,34,25661,2774,6297,4439,3462,5847,1627,13,24455,1318,2483,1874,1723,4195,1111,12,12706,549,656,359,301,2236,731,6,4835,24677,38413,19755,14524,31879,12304,393,141944
CED134,3357,5829,2647,1924,5071,2493,18,21337,2118,3646,2408,2061,5085,2025,23,17366,1082,1631,1147,1170,3588,1489,8,10123,402,400,212,209,1875,670,3,3778,21632,30498,13982,11253,33110,16532,214,127225
CED135,2525,4757,2611,1940,5826,1310,134,19106,1534,2905,1937,1456,4518,919,139,13407,905,1406,828,596,2708,684,33,7165,330,371,192,130,1358,508,12,2903,25636,36781,17630,13953,57640,13456,567,165668
CED136,3383,6699,3380,2118,4702,849,25,21158,2195,4769,3407,2663,5606,905,18,19564,1219,2227,1546,1343,4067,869,12,11283,435,488,253,203,1667,519,8,3575,25995,38640,18373,13690,36118,7075,122,140017
CED137,3217,6139,3161,1996,5054,890,135,20596,2031,3905,2455,1600,4184,780,97,15047,1170,1864,1152,774,2814,689,34,8497,481,573,266,152,1928,681,6,4091,32056,43317,18286,12489,54844,11339,620,172947
CED138,4176,8183,3872,2042,4227,1583,29,24108,3004,6493,4198,2695,5496,1472,50,23398,1572,2760,1901,1498,4358,1149,24,13269,608,697,337,309,2917,882,7,5752,27192,39924,19028,12356,31237,11411,320,141467
CED139,3431,6270,3023,1995,4432,1441,19,20614,2314,4182,2814,2458,5083,1285,12,18157,1237,1955,1396,1191,4036,1003,6,10823,497,550,298,263,2288,527,0,4424,24694,34017,16104,12236,33487,10770,226,131540
CED140,3320,7327,3387,1993,3644,879,31,20583,2163,4995,3468,2312,4539,988,28,18494,1381,2497,1693,1284,3873,985,12,11724,559,673,334,261,2079,990,9,4900,24093,36303,17849,12334,28024,7267,167,126044
CED141,3172,6535,3226,1916,4006,657,19,19533,1881,4589,3323,2295,4871,767,12,17740,1338,2371,1708,1351,3883,819,3,11474,520,638,328,228,1982,535,7,4240,23735,35064,17395,11561,29866,5689,93,123396
CED142,3415,5636,1934,872,3990,1624,241,17708,1786,3183,1539,703,3315,1114,125,11767,784,1218,576,319,1941,724,36,5602,262,238,98,47,801,399,7,1856,43177,55252,14656,7058,53788,18308,1765,194003
CED143,3516,6958,3018,1336,2222,468,63,17573,1984,4235,2299,1216,2361,393,38,12538,1264,2227,1331,810,2256,371,14,8279,505,666,305,186,1502,397,3,3562,29341,40079,16082,9103,22648,4263,354,121872
CED144,2586,4615,2490,2180,7008,1285,65,20227,1714,2804,1874,1475,5331,865,51,14111,1052,1464,855,630,3706,694,16,8420,461,453,250,122,2199,507,9,3997,23482,29510,14065,13080,55916,11474,363,147892
CED145,3135,5447,2188,985,2113,622,86,14572,2278,3924,1704,808,2557,570,57,11905,1279,1916,915,563,2348,772,24,7822,507,575,211,114,1340,1032,12,3791,30866,37787,12892,7062,24725,7574,587,121483
CED146,2892,4815,2687,2490,8014,1145,67,22106,1681,2558,1641,1427,5569,764,70,13712,842,952,568,462,2889,670,19,6399,230,186,100,72,1123,587,0,2296,24606,30379,14894,14870,58970,9935,250,153906
CED147,3278,6485,3495,2413,4654,785,32,21148,2049,4832,3373,2690,5084,844,25,18901,1330,2506,1776,1482,4041,915,10,12065,471,641,350,220,2009,769,3,4464,25125,36879,18655,14158,34890,7032,138,136883
CED197,4,5,0,0,3,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,3,0,14,0,3,38
CED201,3500,6877,3208,1944,4246,577,68,20415,2029,4237,2701,1880,4307,517,63,15733,1081,1790,1213,897,3266,566,31,8836,421,461,225,137,1882,452,8,3585,28029,36801,16173,11027,34200,5043,265,131529
CED202,3203,6410,3171,1823,3603,937,24,19166,1958,4350,3064,2380,4070,960,19,16805,975,1714,1228,1136,2956,808,7,8825,375,465,259,188,1663,579,0,3521,24104,35372,16552,11915,27590,7609,113,123254
CED203,3365,6479,3326,1970,3537,1171,11,19857,2118,4660,3298,2510,4147,1020,25,17774,1048,1997,1467,1349,3128,914,9,9905,447,462,278,280,1846,712,9,4043,23762,35386,17155,12374,26851,8802,114,124446
CED204,3305,5698,2760,2025,6353,1110,82,21329,1841,3455,2121,1552,5308,816,82,15188,977,1434,824,687,3485,637,23,8065,372,379,160,132,1848,362,13,3258,26748,32739,14456,11894,49896,9737,323,145792
CED205,2375,3708,1883,1665,7228,999,67,17927,1196,1949,1136,917,4837,580,57,10675,555,763,370,331,2509,382,20,4934,161,130,59,51,908,162,0,1474,22045,27089,11924,12134,60532,9777,267,143763
CED206,3339,7257,3483,1991,3242,729,22,20061,1899,4438,3151,2293,3499,549,21,15843,965,1882,1293,1133,2656,477,12,8412,340,439,196,167,1322,178,0,2650,26301,38495,18072,12296,25779,5172,131,126247
CED207,3068,6614,3344,2073,4020,622,114,19870,1993,4479,2945,1901,4172,571,133,16191,1602,2788,1965,1345,4051,615,32,12394,759,998,523,356,3084,585,11,6314,31546,40651,18891,12170,44387,7298,712,155660
CED208,2643,5222,2327,1345,3814,718,33,16099,1410,2846,1582,1110,3362,632,38,10977,877,1550,916,698,2933,590,16,7583,519,584,285,157,1890,572,3,4009,28532,40457,14774,8893,31711,6965,219,131552
CED209,2978,6352,3139,1717,2739,670,24,17618,2039,5033,3491,2288,3626,768,13,17256,984,2045,1560,1242,2873,733,5,9451,354,442,299,239,1913,563,0,3815,24731,36985,17655,11621,24709,5796,105,121599
CED210,3048,5918,2872,1672,4326,910,21,18765,1798,3838,2609,1861,4498,817,22,15445,995,1817,1253,1067,3151,709,11,9008,432,532,286,238,1816,449,0,3756,25876,36075,15910,11157,33164,8528,161,130878
CED211,3451,6951,3104,1596,3643,545,72,19361,2015,4461,2992,1849,3878,557,82,15826,1231,2345,1625,1177,3150,698,20,10246,521,684,366,249,2109,910,4,4849,29056,40173,18036,11077,31923,5588,280,136143
CED212,3305,6492,2794,1505,4160,884,13,19159,1893,3850,2554,1613,4157,688,26,14788,950,1689,1284,915,3021,706,14,8585,390,439,221,200,1718,608,7,3575,26260,36285,15801,10584,31079,7326,138,127464
