CED_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
CED101,1231,1305,27,2563,17203,717,73,20555,287,1437,20,1748,12641,606,67,15058,51,246,8,298,7806,560,23,8694,9,17,0,18,3730,629,6,4397,27419,4465,308,32189,95171,6561,326,134249
CED102,1288,1103,42,2440,15782,992,92,19307,278,1336,25,1640,12178,847,72,14746,48,306,4,362,8121,903,33,9415,13,28,0,37,3530,917,3,4488,28167,4334,268,32782,110838,10224,463,154307
CED103,1457,1273,35,2770,17504,726,151,21146,464,2034,29,2523,12618,559,155,15864,69,339,7,409,7628,474,39,8549,9,22,0,29,3803,551,4,4384,35278,5013,281,40568,110318,7045,625,158557
CED104,1370,1591,29,2991,16577,354,81,20000,287,2216,14,2522,12593,376,103,15590,50,431,9,490,8411,486,38,9420,4,19,0,25,3376,615,9,4029,29637,5593,353,35587,83656,3580,342,123164
CED105,1246,1058,62,2361,16188,1521,64,20129,185,886,16,1083,11691,1083,52,13911,42,182,0,223,6391,805,19,7435,9,16,0,22,2784,723,4,3529,27637,4075,323,32040,103113,14427,376,149949
CED106,1905,1254,35,3196,15800,486,151,19632,420,2307,35,2759,12122,447,136,15462,66,577,0,650,9358,463,42,10513,5,24,0,32,4903,562,3,5498,35283,5370,292,40944,90880,4304,618,136748
CED107,758,2949,41,3745,16664,1426,25,21864,149,2378,17,2544,14978,1252,12,18790,32,460,0,497,9403,953,9,10863,4,39,0,48,3536,447,0,4029,25938,9410,1212,36568,88774,11362,157,136855
CED108,1046,1575,39,2663,15998,1114,112,19886,238,1212,22,1468,11811,862,106,14252,26,182,0,206,5824,543,26,6605,3,6,0,13,2105,346,8,2474,36362,5926,608,42898,100631,11414,405,155349
CED109,1032,1776,22,2827,15167,606,35,18641,158,2333,18,2505,11847,564,30,14950,36,414,7,456,8873,627,3,9958,6,24,0,38,4336,726,11,5104,25808,5994,353,32152,85156,5620,198,123128
CED110,909,2759,46,3713,19446,1491,36,24690,192,2649,24,2860,20553,1506,27,24951,61,497,3,557,13141,1391,10,15109,13,33,0,45,4990,1033,4,6077,23181,9023,1208,33416,99321,11456,250,144440
CED111,893,2272,34,3193,15741,716,19,19670,125,2200,7,2336,12453,658,28,15476,33,391,0,429,8703,745,3,9875,6,27,0,32,3723,793,3,4557,26461,7113,496,34069,92459,6959,161,133651
CED112,761,2166,42,2970,15936,839,33,19776,128,1711,14,1860,14781,932,28,17603,20,268,0,296,9567,1050,5,10919,11,13,0,21,3749,1010,0,4788,27157,6854,779,34783,88329,8137,126,131375
CED113,964,2830,42,3834,18729,1653,38,24258,200,2540,16,2761,15733,1302,29,19828,36,452,4,491,8549,836,7,9881,4,32,0,40,2946,470,5,3462,25622,8931,1078,35636,92121,10267,300,138328
CED114,786,3194,43,4020,17449,1732,35,23236,156,2445,7,2609,15949,1551,15,20129,27,531,3,564,10057,1211,7,11837,5,32,0,39,3930,685,0,4663,25037,9649,1136,35823,92378,12150,357,140704
CED115,1299,1167,29,2495,18291,1465,61,22312,255,1030,15,1294,13716,1115,43,16175,39,172,6,216,6761,915,11,7900,8,11,0,19,2710,824,9,3562,23400,4079,257,27737,102964,11710,270,142675
CED116,772,2988,35,3796,19874,1367,25,25073,164,2992,20,3181,21658,1313,20,26172,43,473,3,510,13209,1069,18,14811,9,21,3,28,4720,625,0,5381,21756,9217,1081,32054,96744,9697,152,138643
CED117,1293,620,12,1927,13318,698,50,15991,141,1057,17,1215,9671,537,54,11479,36,250,4,289,5399,441,6,6135,4,11,0,16,2226,374,0,2619,25109,3159,280,28543,91636,6206,277,126666
CED118,954,1365,26,2344,15067,803,163,18372,270,1356,31,1660,10841,591,166,13253,26,238,0,269,5443,439,36,6185,4,8,0,14,1793,247,3,2059,43091,5218,457,48765,98134,9340,480,156722
CED119,931,1760,20,2712,14612,382,26,17728,138,2037,17,2190,10946,375,32,13548,20,362,3,386,6876,519,10,7790,3,12,0,18,2358,743,3,3123,29771,5713,370,35855,79120,4154,135,119270
CED120,838,2673,38,3545,16155,994,24,20722,142,1883,12,2036,13976,871,25,16911,20,320,0,338,7779,720,10,8843,0,21,0,17,2610,462,3,3094,31558,7711,882,40148,88288,7691,161,136287
CED121,713,3428,34,4180,16168,973,20,21337,151,2722,9,2878,14852,923,14,18668,24,498,0,530,9493,823,8,10855,0,24,0,21,3798,535,0,4362,28509,10402,1132,40036,91380,9076,124,140612
CED122,1334,1007,24,2363,14841,1016,128,18352,205,1490,10,1702,11113,835,97,13748,63,368,5,434,7608,743,33,8822,3,31,0,34,3115,614,4,3761,29050,4520,320,33894,109514,10595,876,154885
CED123,749,1911,34,2694,15362,1017,43,19118,148,1496,18,1656,12157,847,66,14727,31,194,0,226,6344,766,13,7344,4,14,0,18,1902,554,8,2477,34444,6642,756,41839,95090,10809,246,147989
CED124,730,2966,31,3731,19585,1240,25,24580,140,2425,15,2580,22427,1422,13,26449,42,445,0,479,13906,1216,12,15613,11,23,0,31,4711,771,5,5523,20172,8443,900,29521,94670,8674,113,132983
CED125,950,2049,54,3059,16695,915,96,20761,158,1513,25,1692,12992,718,93,15497,27,194,3,228,5926,576,23,6748,0,7,0,7,1486,272,11,1779,40093,6861,737,47692,100590,8944,363,157588
