CED_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
CED101,..,149,3503,6807,6435,6406,4820,2602,880,31612,..,229,1423,914,713,545,246,76,6,4164,..,7,31,175,336,339,173,94,95,1252,13713,..,..,..,..,..,..,..,..,13713,..,4748,..,..,..,..,..,..,..,4748,..,3178,2989,893,560,314,54,0,0,7983,..,553,547,214,191,292,253,142,116,2308,..,377,664,251,189,146,83,19,0,1731,..,607,961,300,242,325,195,57,16,2706,..,140,610,643,777,1156,987,635,341,5291,105,116,177,108,101,88,64,24,16,807,7,16,26,15,15,15,24,4,3,140,13828,10122,10940,10323,9566,9631,6906,3668,1468,76454,..,346,4628,7389,6716,6189,4231,1891,405,31790,..,375,1512,880,707,468,163,44,9,4155,..,56,450,1102,1634,1212,582,389,314,5733,12790,..,..,..,..,..,..,..,..,12790,..,4920,..,..,..,..,..,..,..,4920,..,2299,2080,520,326,199,46,3,0,5480,..,403,425,154,188,494,608,482,284,3030
CED102,..,213,4824,7485,5977,5501,4457,2808,914,32181,..,413,2934,1628,918,632,304,72,8,6904,..,15,40,147,386,315,169,147,118,1325,13431,..,..,..,..,..,..,..,..,13431,..,4300,..,..,..,..,..,..,..,4300,..,2753,2924,1042,833,370,54,0,0,7980,..,708,825,241,207,287,253,173,94,2785,..,744,1108,352,177,146,71,15,10,2631,..,1467,2606,765,406,371,248,81,19,5965,..,341,1298,1218,1031,1122,969,539,283,6798,119,142,202,159,138,102,65,36,17,982,11,24,27,9,22,27,29,9,0,160,13563,11113,16786,13060,10104,8861,6624,3870,1457,85441,..,544,6294,7568,6221,5229,4061,1999,365,32285,..,615,3033,1463,851,502,164,29,8,6673,..,48,458,1151,1681,1216,583,535,341,6014,12622,..,..,..,..,..,..,..,..,12622,..,4271,..,..,..,..,..,..,..,4271,..,1890,2019,632,513,236,53,4,0,5349,..,585,611,214,224,544,620,498,307,3599
CED103,..,91,4821,10298,7403,6791,5295,2620,881,38205,..,487,2989,1185,707,472,217,85,11,6140,..,9,36,197,351,305,130,94,83,1203,16144,..,..,..,..,..,..,..,..,16144,..,5368,..,..,..,..,..,..,..,5368,..,2292,2593,744,464,256,51,0,0,6407,..,488,497,181,148,193,216,115,86,1927,..,290,631,271,130,112,54,16,6,1514,..,869,1762,484,257,252,193,62,16,3888,..,442,1622,1319,1002,1118,897,544,322,7270,121,155,225,134,98,93,71,23,10,937,16,11,21,22,24,40,60,15,7,223,16283,10493,15191,14844,10588,9636,7183,3571,1409,89214,..,191,6590,10542,7517,6607,4663,1948,385,38437,..,697,3113,1125,648,398,160,37,4,6186,..,17,299,1173,1552,1116,489,356,284,5282,15224,..,..,..,..,..,..,..,..,15224,..,5048,..,..,..,..,..,..,..,5048,..,1710,1917,496,317,187,52,0,0,4680,..,437,455,160,141,618,667,439,292,3210
CED104,..,44,1734,7013,8457,7482,5913,3383,771,34800,..,164,787,604,716,533,258,83,15,3164,..,3,23,136,288,252,86,63,65,917,14573,..,..,..,..,..,..,..,..,14573,..,5917,..,..,..,..,..,..,..,5917,..,3130,2514,674,396,167,22,0,0,6910,..,213,167,90,114,160,148,121,63,1076,..,123,204,97,86,81,47,19,3,656,..,114,211,124,135,145,130,46,16,925,..,79,237,325,430,611,580,438,281,2989,104,138,150,82,83,80,51,39,11,748,6,12,10,10,10,26,36,19,5,130,14690,9946,6043,9172,10707,9528,7278,4207,1231,72795,..,74,2553,8203,8625,7392,5390,2396,386,35016,..,216,875,625,743,469,182,55,9,3179,..,22,182,674,1159,800,342,253,160,3596,13391,..,..,..,..,..,..,..,..,13391,..,5893,..,..,..,..,..,..,..,5893,..,2145,1705,358,230,133,25,4,0,4604,..,170,114,59,89,300,544,418,283,1976
CED105,..,334,4889,6966,6085,6081,4302,2350,616,31617,..,197,898,554,465,347,167,62,8,2693,..,13,79,137,348,339,197,101,97,1319,18177,..,..,..,..,..,..,..,..,18177,..,5576,..,..,..,..,..,..,..,5576,..,4018,3940,1229,698,275,46,0,0,10201,..,866,935,388,368,444,270,141,84,3482,..,705,1228,537,448,290,95,17,0,3319,..,1288,2452,957,647,476,204,50,12,6086,..,203,751,804,768,1079,959,470,251,5279,190,151,240,156,161,105,66,17,16,1099,20,32,33,32,23,12,17,5,0,170,18385,13375,15433,11758,10001,9457,6329,3213,1083,89033,..,956,6933,7158,6055,5394,3577,1453,236,31762,..,302,961,558,438,291,118,38,8,2715,..,131,931,1662,1799,1328,669,427,265,7214,17378,..,..,..,..,..,..,..,..,17378,..,5932,..,..,..,..,..,..,..,5932,..,2596,2637,640,393,197,54,6,0,6519,..,624,511,180,286,673,628,471,310,3688
CED106,..,54,2351,8567,8977,7217,5532,3524,1154,37369,..,220,1262,761,580,513,227,93,20,3676,..,3,26,159,326,252,83,70,64,985,16112,..,..,..,..,..,..,..,..,16112,..,6851,..,..,..,..,..,..,..,6851,..,2065,1886,525,350,155,34,0,0,5016,..,306,293,93,79,111,106,94,71,1142,..,171,255,113,57,70,32,11,4,712,..,284,554,220,158,152,122,61,19,1585,..,189,612,633,614,616,593,511,356,4130,114,165,167,95,78,88,87,29,21,841,13,20,22,32,29,52,54,15,3,240,16238,10327,7433,11197,11251,9221,6878,4411,1704,78663,..,114,3352,9615,9275,6737,5238,2753,559,37645,..,296,1366,751,604,339,171,66,4,3598,..,22,158,993,1632,941,388,247,242,4628,15149,..,..,..,..,..,..,..,..,15149,..,6565,..,..,..,..,..,..,..,6565,..,1544,1337,438,257,174,38,0,0,3784,..,291,248,96,93,374,501,378,256,2246
CED107,..,111,2751,4668,5215,5599,5425,2976,617,27349,..,781,2357,1360,1163,975,469,145,20,7269,..,27,137,312,441,275,167,97,69,1520,15618,..,..,..,..,..,..,..,..,15618,..,2971,..,..,..,..,..,..,..,2971,..,3212,1270,573,453,257,37,4,0,5805,..,374,257,119,166,211,201,99,46,1474,..,254,237,108,106,73,49,13,3,848,..,491,550,201,251,319,254,98,14,2174,..,334,903,877,1266,1861,1763,1094,368,8462,276,431,331,256,207,147,155,62,22,1890,7,3,11,9,4,5,4,6,0,43,15901,8984,8800,8469,9278,9731,8526,4589,1153,75430,..,208,3544,5137,5675,5853,4969,2122,302,27821,..,1167,2428,1392,1143,894,329,92,12,7458,..,282,1161,1469,1432,729,385,313,242,6009,14586,..,..,..,..,..,..,..,..,14586,..,3064,..,..,..,..,..,..,..,3064,..,1840,699,245,196,148,40,3,0,3176,..,300,140,68,119,279,342,262,132,1632
CED108,..,141,4734,10515,7059,6079,4425,1872,342,35166,..,520,1769,1021,839,540,194,67,5,4949,..,36,147,303,442,359,194,120,52,1648,22125,..,..,..,..,..,..,..,..,22125,..,5415,..,..,..,..,..,..,..,5415,..,4692,3847,1231,690,242,30,0,0,10735,..,855,955,397,309,417,331,146,58,3477,..,325,591,283,189,149,65,16,0,1626,..,496,840,330,318,286,185,66,11,2535,..,175,627,710,884,1040,839,445,136,4858,241,159,243,192,142,100,60,31,8,1186,5,14,23,14,4,32,38,11,0,138,22378,12840,13774,15000,10879,9242,6370,2765,614,93862,..,390,7279,10463,6782,5536,3682,1145,148,35423,..,738,1810,1049,796,466,157,42,3,5058,..,387,1544,1860,1918,1374,728,445,185,8451,21107,..,..,..,..,..,..,..,..,21107,..,5672,..,..,..,..,..,..,..,5672,..,3210,2494,589,322,174,35,0,0,6826,..,638,565,196,288,729,853,491,210,3965
CED109,..,30,2078,5606,6266,5800,4872,3074,993,28717,..,271,2294,1261,878,665,323,113,19,5834,..,0,31,164,443,315,115,95,66,1237,12688,..,..,..,..,..,..,..,..,12688,..,4017,..,..,..,..,..,..,..,4017,..,3077,2027,559,484,253,36,0,0,6432,..,216,229,95,97,161,162,103,89,1159,..,110,167,83,70,76,37,13,0,554,..,240,548,210,181,206,144,71,13,1619,..,159,706,726,979,1154,973,672,391,5769,144,133,171,113,127,82,61,50,11,895,9,7,7,9,12,10,12,6,3,76,12835,8255,8268,8835,9541,8721,6739,4197,1603,68996,..,62,2983,6205,6607,5682,4534,2413,479,28961,..,515,2422,1193,837,582,250,79,9,5890,..,24,306,892,1448,840,368,334,277,4486,11729,..,..,..,..,..,..,..,..,11729,..,4387,..,..,..,..,..,..,..,4387,..,2176,1453,320,276,186,52,3,0,4468,..,192,152,57,89,222,382,334,245,1675
CED110,..,66,1787,3782,4598,5583,6684,4176,1068,27743,..,621,1838,1357,1283,1165,878,274,52,7468,..,24,142,332,511,367,195,104,71,1734,13131,..,..,..,..,..,..,..,..,13131,..,2891,..,..,..,..,..,..,..,2891,..,2867,1474,697,570,298,53,3,0,5963,..,411,255,141,141,259,251,126,65,1646,..,298,302,155,161,117,74,31,4,1143,..,379,556,235,335,483,419,156,31,2593,..,209,601,693,1064,1973,2181,1277,560,8566,315,412,349,274,235,211,221,84,28,2130,11,4,22,14,3,8,7,0,0,70,13453,8175,7319,7677,8909,10462,10974,6233,1876,75075,..,128,2478,4321,5112,6102,6224,3204,505,28075,..,880,1959,1399,1371,1238,671,194,36,7754,..,230,1105,1691,1830,964,509,398,281,7007,12808,..,..,..,..,..,..,..,..,12808,..,2989,..,..,..,..,..,..,..,2989,..,1801,714,314,230,221,64,3,0,3351,..,355,157,53,161,364,442,311,203,2064
