CED_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED101,..,331,444,150,84,80,30,9,3,1130,..,316,492,194,147,250,162,54,5,1627,..,143,531,505,666,1288,1713,1571,1002,7411,112,147,170,99,82,109,98,54,40,907,11,9,9,10,18,45,31,7,5,148,12913,9340,10736,11000,10565,10339,7653,4503,2068,79119,..,494,8133,14201,13148,12596,9048,4490,1284,63398,..,606,2944,1792,1415,1015,413,120,15,8318,..,66,480,1278,1970,1552,756,487,403,6987,26500,..,..,..,..,..,..,..,..,26500,..,9670,..,..,..,..,..,..,..,9670,..,5481,5071,1408,884,515,94,3,0,13466,..,952,972,369,376,785,861,619,397,5336,..,715,1108,401,270,227,117,31,7,2868,..,917,1452,489,396,577,358,115,24,4326,..,282,1139,1143,1446,2444,2700,2201,1345,12706,215,263,347,211,179,196,165,77,57,1714,22,28,33,30,36,64,57,17,5,284,26743,19461,21675,21324,20129,19964,14561,8167,3540,155573
CED102,..,513,818,246,97,79,41,8,6,1809,..,913,1738,429,280,287,196,60,17,3922,..,287,1276,995,906,1296,1492,1363,756,8372,132,160,211,122,113,101,87,45,35,1017,13,15,22,19,26,54,36,16,0,212,12773,9848,16485,12853,10913,9549,7334,4562,1825,86143,..,757,11126,15057,12201,10726,8515,4802,1283,64466,..,1032,5972,3097,1772,1130,469,99,7,13573,..,59,495,1300,2063,1533,748,681,457,7340,26048,..,..,..,..,..,..,..,..,26048,..,8576,..,..,..,..,..,..,..,8576,..,4646,4940,1672,1347,604,105,3,0,13325,..,1295,1429,458,433,833,876,671,395,6386,..,1264,1924,605,274,218,119,28,11,4440,..,2382,4343,1196,682,661,445,141,38,9890,..,623,2579,2220,1942,2416,2456,1898,1034,15171,253,303,414,284,250,204,156,82,46,1994,31,37,48,33,52,80,67,23,0,374,26335,20960,33275,25910,21014,18414,13960,8435,3285,171577
CED103,..,276,486,158,109,87,42,11,4,1174,..,792,1259,339,192,210,164,55,20,3027,..,421,1644,1184,937,1357,1645,1422,975,9577,104,182,233,132,88,114,97,59,25,1037,14,17,21,22,22,81,81,17,0,276,15342,9791,16007,15332,11521,10772,8058,4344,1991,93160,..,278,11409,20830,14924,13398,9960,4574,1263,76639,..,1189,6102,2310,1359,869,374,117,17,12334,..,31,335,1369,1905,1420,616,449,363,6487,31365,..,..,..,..,..,..,..,..,31365,..,10415,..,..,..,..,..,..,..,10415,..,4003,4516,1248,780,442,107,0,0,11088,..,920,951,343,293,811,879,550,379,5128,..,565,1112,431,238,205,99,24,12,2687,..,1658,3017,823,447,461,356,118,34,6912,..,865,3265,2506,1940,2470,2542,1964,1291,16843,229,339,458,267,188,204,175,83,36,1971,29,34,41,47,50,126,138,37,7,497,31626,20286,31201,30174,22112,20407,15246,7914,3399,182376
CED104,..,120,155,63,68,54,38,9,6,513,..,91,132,49,94,123,91,44,18,635,..,79,209,207,296,718,1143,1354,733,4739,111,171,190,103,73,91,100,58,35,939,8,10,15,16,7,45,61,15,3,187,13504,8988,6138,10344,11395,10131,7916,4607,1623,74657,..,114,4288,15214,17085,14874,11301,5782,1161,69812,..,386,1668,1227,1454,1000,440,136,26,6340,..,25,209,808,1445,1049,430,323,222,4509,27968,..,..,..,..,..,..,..,..,27968,..,11811,..,..,..,..,..,..,..,11811,..,5277,4223,1037,627,298,47,4,0,11514,..,382,281,146,210,460,694,534,346,3056,..,239,359,159,151,134,83,29,12,1165,..,206,344,173,224,268,223,90,26,1554,..,155,447,538,724,1331,1730,1793,1010,7723,220,310,341,186,162,173,150,92,45,1684,14,24,26,23,23,73,96,36,7,315,28196,18928,12185,19511,22103,19658,15194,8814,2857,147450
CED105,..,517,674,225,162,128,56,8,0,1765,..,510,559,215,216,272,139,31,13,1960,..,155,467,330,514,1065,1267,938,573,5303,163,149,185,108,85,113,78,32,26,938,20,15,20,12,20,34,21,8,3,156,17563,11882,13891,11093,9975,9479,6608,3408,1429,85335,..,1289,11823,14120,12142,11471,7876,3802,859,63383,..,500,1859,1116,900,638,288,94,15,5410,..,146,1015,1800,2148,1669,871,526,355,8536,35562,..,..,..,..,..,..,..,..,35562,..,11514,..,..,..,..,..,..,..,11514,..,6609,6574,1866,1092,470,94,6,0,16718,..,1487,1447,568,654,1115,900,613,395,7172,..,1224,1904,755,609,414,150,24,0,5081,..,1795,3015,1170,862,749,351,85,18,8048,..,356,1217,1139,1276,2140,2229,1406,830,10587,350,297,422,265,248,216,142,51,37,2036,35,45,51,44,42,47,41,10,3,324,35949,25261,29325,22847,19980,18934,12934,6623,2515,174364
CED106,..,167,231,93,65,45,30,11,9,653,..,234,404,168,116,130,127,44,16,1248,..,160,617,586,571,960,1336,1694,1155,7081,92,236,208,116,90,111,109,69,31,1062,7,26,21,17,31,68,63,22,0,251,15248,9666,7944,12871,12732,9890,8004,5293,2273,83909,..,171,5702,18182,18244,13951,10772,6275,1714,75009,..,515,2625,1512,1184,850,402,158,20,7272,..,27,181,1149,1957,1197,478,320,308,5612,31262,..,..,..,..,..,..,..,..,31262,..,13419,..,..,..,..,..,..,..,13419,..,3611,3219,960,603,332,70,0,0,8807,..,593,540,195,177,483,607,470,320,3387,..,337,486,205,123,116,63,22,7,1367,..,521,959,392,276,285,248,106,39,2829,..,347,1235,1219,1181,1579,1937,2206,1503,11209,205,400,375,204,170,203,199,100,51,1907,18,46,41,49,61,122,115,39,0,495,31486,19987,15371,24066,23984,19117,14880,9700,3973,162573
CED107,..,223,159,50,56,42,26,10,6,574,..,475,414,122,188,244,218,59,26,1752,..,326,673,520,939,1870,2236,2062,955,9579,279,492,269,158,153,207,163,99,48,1880,7,4,10,3,6,4,5,6,0,48,14878,8381,9504,9168,9918,10280,8704,5028,1710,77576,..,322,6294,9806,10890,11457,10390,5096,922,55174,..,1948,4783,2753,2309,1869,801,236,27,14729,..,310,1297,1779,1870,1002,548,416,317,7529,30209,..,..,..,..,..,..,..,..,30209,..,6033,..,..,..,..,..,..,..,6033,..,5053,1970,816,649,408,71,9,0,8978,..,668,403,188,291,487,542,363,171,3106,..,479,393,160,161,120,69,25,14,1423,..,963,966,322,436,567,476,156,35,3923,..,659,1577,1390,2208,3729,3996,3155,1318,18043,556,926,601,415,365,355,316,170,65,3768,13,13,24,13,12,11,6,10,0,93,30773,17371,18301,17642,19195,20007,17226,9625,2865,153014
CED108,..,300,390,126,69,54,37,9,4,982,..,246,376,163,190,211,163,54,3,1407,..,146,411,356,601,1015,1378,967,349,5223,222,215,187,102,89,99,98,49,21,1088,13,9,16,8,15,73,69,9,5,226,21343,11963,15071,14913,11063,9736,7196,3215,925,95418,..,531,12014,20979,13838,11611,8108,3018,487,70584,..,1253,3571,2065,1633,1003,353,111,5,10007,..,428,1691,2167,2365,1733,919,558,237,10097,43240,..,..,..,..,..,..,..,..,43240,..,11089,..,..,..,..,..,..,..,11089,..,7902,6344,1820,1012,414,67,4,0,17555,..,1499,1517,587,595,1149,1183,635,263,7442,..,623,975,414,263,202,107,26,4,2612,..,741,1215,488,507,496,351,118,16,3939,..,322,1042,1066,1477,2057,2215,1410,486,10077,466,378,425,298,233,205,156,82,34,2274,16,30,41,27,22,103,106,18,0,366,43722,24800,28845,29913,21949,18974,13564,5978,1542,189276
CED109,..,93,129,50,42,46,15,5,4,386,..,223,457,141,130,181,152,63,7,1351,..,153,753,646,758,1468,1819,1754,1214,8558,123,170,180,114,108,104,86,74,58,1027,8,3,11,16,8,17,11,0,3,95,11866,8005,8852,9632,10313,9326,7662,5065,2299,73007,..,87,5059,11811,12874,11476,9406,5487,1469,57672,..,781,4717,2454,1725,1249,574,192,29,11726,..,25,339,1051,1888,1160,478,424,345,5719,24411,..,..,..,..,..,..,..,..,24411,..,8405,..,..,..,..,..,..,..,8405,..,5250,3485,881,755,435,89,4,0,10906,..,405,380,151,189,380,549,444,334,2830,..,202,294,133,105,119,58,21,9,942,..,463,1012,356,310,385,290,127,21,2963,..,311,1466,1366,1736,2624,2787,2430,1609,14331,267,307,347,233,237,190,144,125,72,1924,23,9,23,25,26,34,26,3,3,173,24699,16256,17123,18468,19849,18046,14401,9259,3896,142005
CED110,..,289,216,106,78,81,47,15,3,830,..,518,402,157,265,492,369,123,25,2353,..,238,534,449,982,2317,2984,2712,1447,11656,310,466,310,176,198,271,274,111,51,2156,8,3,7,12,8,11,6,5,0,62,13122,7890,7886,8674,10241,12070,11586,7084,2550,81104,..,198,4267,8100,9706,11684,12905,7381,1573,55821,..,1499,3797,2761,2655,2408,1550,469,90,15212,..,254,1248,2024,2344,1327,700,503,350,8740,25937,..,..,..,..,..,..,..,..,25937,..,5879,..,..,..,..,..,..,..,5879,..,4670,2191,1007,804,518,119,8,0,9320,..,762,418,190,310,629,701,439,269,3710,..,592,511,263,242,197,125,46,3,1977,..,893,953,396,604,971,785,284,54,4943,..,443,1137,1142,2052,4294,5168,3988,2003,20219,625,870,654,448,432,485,492,196,81,4287,17,10,27,19,13,16,15,8,0,132,26574,16070,15204,16350,19149,22533,22554,13313,4431,156180
