CED_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED101,525,13019,13541,14967,1979,16950,9810,724,10530,10082,494,10570,4342,212,4552,2418,105,2523,42142,16536,58674
CED102,585,15616,16201,17830,3828,21659,11084,1443,12524,9757,745,10497,4066,319,4387,2490,159,2649,45807,22106,67913
CED103,727,17205,17930,19880,3205,23091,12170,948,13113,11674,474,12149,4106,190,4300,2066,107,2173,50622,22129,72751
CED104,485,7755,8247,13945,1028,14970,8910,278,9188,11243,216,11463,4457,101,4559,2345,37,2384,41392,9412,50805
CED105,319,11265,11581,11470,2382,13852,9045,1286,10329,9151,1124,10272,5768,691,6460,5695,496,6196,41450,17246,58694
CED106,642,11229,11867,16609,1606,18217,10750,457,11210,11989,300,12290,4535,117,4654,1747,44,1787,46271,13748,60024
CED107,944,19116,20053,19814,3412,23224,8413,935,9343,7766,558,8325,3946,325,4273,2021,143,2163,42907,24479,67381
CED108,437,10624,11060,13561,2226,15783,11747,956,12701,12364,874,13238,6026,466,6499,4742,307,5047,48872,15443,64321
CED109,676,14621,15296,16821,2174,18992,8385,494,8877,9002,295,9295,3781,130,3923,1501,48,1543,40164,17759,57922
CED110,929,21027,21955,22411,4531,26941,8460,962,9423,7155,546,7703,3328,256,3586,1963,151,2113,44240,27477,71721
CED111,714,17266,17976,18179,3123,21300,8674,1085,9757,8959,561,9521,3526,203,3726,1479,116,1596,41534,22349,63880
CED112,732,15809,16545,18084,2712,20803,9015,668,9683,8756,418,9168,3992,217,4208,2114,100,2214,42687,19927,62618
CED113,1001,17721,18721,20135,3560,23691,8356,894,9249,7955,639,8594,3487,310,3798,1721,166,1892,42665,23290,65954
CED114,992,20586,21579,21320,3774,25093,8226,993,9218,7691,665,8357,3848,346,4195,1897,198,2090,43977,26561,70532
CED115,352,11511,11862,12304,2191,14494,9400,837,10237,9077,618,9696,5122,342,5467,4648,239,4885,40908,15739,56642
CED116,943,19003,19946,24046,3969,28006,7887,807,8696,6962,599,7563,3145,273,3416,1621,138,1757,44603,24784,69384
CED117,888,19175,20061,18303,4090,22397,8500,1413,9916,7828,688,8506,2052,198,2252,685,75,759,38252,25632,63884
CED118,513,9969,10483,14360,2054,16414,12675,820,13501,15235,646,15884,5662,296,5957,3258,138,3397,51708,13929,65640
CED119,571,9037,9608,14680,1263,15940,8746,293,9037,10696,217,10912,4535,90,4623,1745,35,1781,40970,10930,51905
CED120,681,12546,13233,17683,2221,19901,9067,553,9618,9985,456,10445,5090,219,5305,2753,131,2880,45257,16117,61379
CED121,974,15897,16871,20113,2777,22891,9658,690,10351,9073,430,9507,4053,186,4241,2226,97,2324,46098,20083,66181
CED122,895,20025,20921,19554,5120,24679,10314,1720,12031,9677,735,10411,3298,251,3543,1362,113,1469,45094,27961,73050
CED123,687,15239,15925,17098,2808,19907,11060,834,11891,10749,537,11282,5070,267,5336,3012,169,3178,47669,19853,67525
CED124,876,18107,18986,23488,3604,27085,7556,694,8248,6513,439,6953,3136,248,3387,1766,127,1896,43332,23216,66549
CED125,596,11993,12589,16629,2176,18800,12151,743,12900,12624,578,13199,6257,304,6554,4175,208,4379,52430,16001,68428
