CED_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
CED101,629,161,148,0,0,949,141,47,37,0,0,224,141,32,38,0,0,210,181,51,91,3,0,328,255,80,99,0,0,432,750,217,295,0,0,1269,800,307,485,0,0,1595,1629,632,933,13,3,3209,1309,566,521,9,3,2407,2400,766,295,0,3,3464,2420,441,114,5,0,2979,870,222,155,3,0,1243,11526,3536,3209,36,14,18316
CED102,578,114,309,0,0,999,114,29,82,0,0,234,111,20,57,0,0,192,165,46,124,4,0,337,225,68,189,0,0,484,611,146,563,3,0,1323,587,169,984,0,0,1743,1201,336,2163,7,0,3708,952,282,1358,9,0,2601,1709,440,794,4,5,2947,2359,374,424,5,0,3161,801,143,449,0,0,1388,9412,2169,7483,30,15,19117
CED103,833,172,274,3,0,1285,126,37,52,0,0,214,121,23,49,0,0,188,179,35,103,0,0,315,219,60,136,0,0,408,619,179,434,4,4,1236,582,206,673,0,0,1459,1246,475,1837,4,0,3565,1007,443,1349,0,3,2797,1792,587,1005,3,3,3389,3869,605,485,0,3,4961,905,180,378,0,3,1472,11491,3001,6768,15,18,21291
CED104,1071,77,31,0,0,1171,229,16,3,0,0,254,173,24,8,0,0,202,276,24,16,0,0,317,361,18,14,0,0,401,983,90,65,0,4,1148,1136,108,123,0,3,1369,2257,186,360,4,0,2807,1881,181,248,4,0,2311,3448,342,158,3,0,3953,5133,194,78,0,0,5409,1185,58,59,0,3,1306,18126,1313,1182,15,10,20643
CED105,602,123,157,3,3,894,138,31,55,0,0,230,124,30,57,0,0,212,193,53,89,0,0,331,276,62,136,4,0,479,766,246,403,10,0,1424,865,288,694,10,0,1860,1660,560,914,18,7,3162,1356,425,266,3,0,2062,1701,354,154,3,0,2220,1035,134,88,0,7,1263,893,209,203,7,0,1315,9612,2522,3214,66,24,15438
CED106,927,49,245,0,0,1227,147,8,39,0,0,192,109,5,51,0,0,169,161,6,75,0,0,246,178,11,91,0,0,282,620,45,362,4,0,1029,581,46,438,0,5,1058,1179,83,1211,15,4,2487,941,75,936,7,0,1956,1959,139,833,12,0,2942,6817,206,589,5,0,7614,992,42,290,0,0,1327,14604,701,5160,45,3,20523
CED107,777,29,11,11,0,827,391,11,9,4,0,416,408,15,0,0,3,436,808,30,3,3,4,846,1169,44,9,4,0,1234,3420,110,36,12,0,3583,3941,81,7,17,3,4057,4151,41,6,17,3,4215,1676,15,0,15,4,1710,1253,9,0,3,0,1277,858,7,0,9,5,873,1058,28,5,9,6,1101,19920,421,95,108,34,20579
CED108,806,61,23,0,0,888,197,17,4,0,0,225,190,19,6,0,0,217,363,32,5,0,0,405,498,64,19,0,0,583,1676,215,84,0,0,1975,2253,377,133,3,3,2768,4597,861,162,0,4,5624,4061,442,40,0,6,4540,3451,246,30,0,0,3726,1386,123,10,0,0,1526,1429,180,28,0,0,1641,20898,2652,546,7,17,24117
CED109,612,134,150,0,0,900,142,33,41,0,0,215,115,30,56,0,0,193,150,50,73,0,0,269,214,75,118,3,0,411,608,154,337,0,0,1105,587,208,511,3,0,1312,1281,400,1034,4,3,2725,1125,413,782,5,6,2323,2120,625,543,0,3,3304,3997,522,282,3,3,4806,925,180,235,4,0,1344,11869,2827,4172,26,23,18913
CED110,795,71,48,3,5,920,413,42,24,0,0,478,337,47,31,0,0,415,666,56,38,4,3,767,949,74,62,6,0,1097,2560,220,181,7,8,2982,2906,256,126,8,0,3303,3577,183,87,3,5,3863,1424,48,18,4,3,1493,951,39,21,3,0,1007,489,29,16,0,0,529,871,56,35,6,0,974,15949,1126,683,52,27,17837
