CED_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED101,3188,1897,1268,611,175,36,10514,91,472,578,539,455,350,95,16,2588,2429,7731,6571,4561,3389,1856,697,231,27462,1141,2291,2909,2963,2439,1381,534,192,13850,1340,2647,2644,3072,2964,1798,989,437,15881,185,159,202,248,291,163,57,18,1323,144,222,382,576,714,535,256,119,2945,1665,3030,3227,3891,3969,2500,1304,575,20156,81,172,192,189,214,159,101,43,1152,958,1501,1294,1027,988,989,955,854,8561,6513,18384,17961,15066,12717,7851,3860,1947,84292
CED102,4488,2296,1250,573,155,30,15085,87,679,669,552,421,252,74,15,2756,3181,12824,8640,4773,3177,1616,567,187,34963,1656,3378,3323,3064,2143,1171,439,125,15308,1290,2839,2639,2715,2280,1371,767,261,14166,140,217,233,280,216,102,25,12,1217,153,324,405,677,640,419,169,61,2855,1590,3379,3277,3679,3138,1889,964,330,18241,103,333,239,217,213,158,75,29,1369,1390,2711,1822,1394,1262,1197,1200,1039,12010,8252,29359,22455,15967,11593,6867,3471,1758,99727
CED103,8091,3946,2614,1333,463,90,24355,91,777,941,795,695,504,180,39,4019,3360,13485,11728,7142,5182,3146,1232,438,45715,968,2489,3017,2992,2619,1738,761,296,14875,1054,2215,2075,2195,2235,1456,797,365,12393,165,156,156,179,242,140,65,23,1136,122,221,335,537,659,579,313,141,2901,1340,2599,2568,2913,3140,2167,1176,529,16433,89,263,277,232,209,236,147,59,1503,889,1817,1548,1043,1055,931,813,729,8831,7025,28964,28173,19065,15513,10056,4767,2180,115733
CED104,4722,3799,2485,1503,520,119,14893,54,308,732,949,842,647,207,49,3786,1988,5034,7258,7082,5232,3351,1410,405,31759,582,1089,2059,3059,2797,2027,1069,356,13045,1236,1741,1998,2817,2727,1722,1080,332,13658,181,94,117,179,204,185,94,22,1070,133,131,237,550,721,741,427,132,3077,1549,1965,2354,3552,3651,2643,1600,491,17811,42,70,123,192,219,207,177,71,1107,401,404,642,662,583,674,870,903,5138,4684,10539,17897,19305,15806,11056,5860,2395,87543
CED105,2159,930,568,281,89,17,7765,83,422,380,255,174,113,27,7,1463,2509,8073,4639,2657,1901,1087,395,101,21375,1748,3110,2881,2283,1578,807,311,95,12809,1412,2928,2733,2543,2142,1212,639,237,13846,203,218,287,269,237,116,22,5,1360,208,331,414,514,488,316,111,42,2426,1819,3476,3432,3326,2874,1648,777,281,17636,112,289,210,210,164,135,50,14,1175,2531,3516,2809,2135,1839,1449,1047,847,16176,9021,22406,16507,11791,9098,5514,2698,1358,78389
CED106,7240,5732,3581,2054,1059,270,23363,50,417,944,1194,900,698,304,80,4591,2492,7122,10426,9550,6625,4263,2434,935,43847,586,1255,1917,2648,2403,2023,1417,677,12920,611,1040,1071,1270,1280,855,601,295,7023,113,70,83,152,134,118,74,33,778,86,107,207,423,504,528,448,202,2506,811,1218,1361,1845,1923,1503,1116,534,10304,47,92,234,227,185,242,212,102,1340,546,669,800,716,680,716,863,898,5881,4656,14073,22918,21909,16289,11496,7418,3498,102255
CED107,1014,903,815,628,213,40,4553,45,349,485,544,478,436,128,24,2474,723,3788,3576,3022,2310,1929,714,164,16241,390,1549,1911,2391,2313,1628,776,197,11158,2728,6097,5324,5338,4982,3008,1310,322,29114,337,372,326,354,368,256,75,25,2100,171,283,316,474,671,630,301,73,2918,3237,6749,5963,6163,6022,3889,1689,416,34131,43,61,94,119,143,162,116,41,782,1731,2159,2096,1985,1891,1968,1618,771,14221,6218,15542,15146,15126,13966,10646,5265,1647,83558
CED108,4513,1319,691,353,81,18,9990,62,483,636,344,194,111,32,0,1859,1871,7555,7878,3955,2914,1738,429,108,26450,999,3144,3356,2408,1673,831,279,77,12763,2143,4430,4053,3736,2937,1602,626,175,19698,301,345,372,304,239,117,42,4,1714,207,345,530,550,523,344,113,39,2643,2648,5119,4951,4590,3700,2059,780,217,24061,70,216,298,200,162,151,42,12,1158,2184,2793,2592,1881,1526,1356,930,602,13867,7976,22172,24228,14698,10854,6605,2587,1030,90147
CED109,2064,1647,1128,725,262,62,7436,45,398,541,512,545,441,115,34,2625,1760,6205,5649,4484,3224,2127,790,241,24479,654,2039,2851,3387,2583,1625,770,296,14209,1450,3391,3186,3796,3435,2199,1381,565,19414,149,143,167,243,262,162,86,27,1243,167,226,381,675,799,719,397,165,3527,1760,3758,3741,4713,4501,3078,1866,759,24182,37,108,138,181,213,214,145,62,1092,653,1053,1045,1060,933,960,1107,1041,7849,4980,15041,16023,15993,13133,9169,5057,2488,81878
CED110,912,936,799,741,259,55,4377,31,298,450,558,648,645,191,24,2851,552,3142,3355,3205,2765,2573,1017,264,16879,316,1282,2015,2628,2858,2471,1048,307,12929,2213,4602,4641,5116,5946,4438,2081,561,29597,363,381,279,310,432,351,102,26,2240,179,229,335,504,703,885,445,122,3405,2755,5206,5257,5928,7080,5669,2632,713,35246,41,84,86,112,175,233,167,48,956,1588,1775,1721,1738,2060,2335,2144,1430,14797,5315,12446,13799,15104,16394,14681,7448,2848,88035
