CED_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
CED101,3345,2723,1920,1009,334,141,12943,478,1331,1419,1216,924,475,125,30,5994,272,580,462,271,170,92,44,20,1915,269,498,525,404,273,165,59,21,2215,3,12,5,15,9,16,7,17,83,48,115,129,135,90,64,24,13,611,452,745,641,524,483,465,524,562,4390,3347,9458,9428,7848,6128,3658,1713,1037,42621,216,543,475,491,495,258,116,33,2633,638,1192,1540,893,467,116,16,3,4869,399,1610,1649,1959,2423,1564,863,396,10862,378,863,799,785,601,346,218,81,4070,46,142,143,148,120,77,36,9,722,648,1984,1369,1099,1050,614,273,104,7135,288,1274,1051,1098,1052,853,356,122,6099,1272,5136,5574,4396,3144,1749,607,236,22103,681,2024,2059,1766,1398,779,249,58,9022,470,939,798,446,308,169,75,21,3219,403,869,886,663,438,264,114,34,3661,31,20,8,23,22,23,17,20,161,79,210,244,241,220,136,49,20,1197,965,1580,1381,1058,993,892,867,800,8537,6513,18384,17961,15066
CED102,3895,2749,1619,760,207,70,15076,532,2001,1697,1326,956,449,97,20,7087,350,1101,765,498,233,91,36,13,3100,268,619,571,452,254,156,51,9,2378,23,8,7,5,21,18,6,0,99,54,172,205,158,119,53,30,8,789,645,1378,943,668,599,561,585,626,6018,4099,15036,11394,8357,5716,3216,1511,932,50257,294,872,656,559,488,214,101,23,3213,1016,2275,1907,886,373,109,20,0,6594,453,2643,1994,1769,1866,1198,676,248,10846,346,1078,894,784,473,281,159,54,4066,31,179,183,129,102,61,28,8,723,691,2803,1535,1108,911,544,216,76,7888,275,1305,1077,999,793,641,282,101,5466,1763,8818,6851,4410,2689,1322,413,117,26379,819,3095,2591,1999,1480,821,206,52,11057,559,1813,1307,845,446,172,73,24,5244,474,1244,1127,773,439,253,106,18,4423,38,50,21,14,39,32,15,4,214,99,347,370,283,241,116,57,22,1528,1392,2841,1944,1406,1246,1093,1141,1013,12088,8252,29359,22455,15967
CED103,5218,3385,2283,1237,445,174,18877,491,1844,1984,1497,1188,688,262,67,8017,396,982,794,507,281,146,42,27,3181,217,494,512,412,242,139,47,18,2088,22,6,11,10,21,27,12,0,103,64,163,229,186,105,82,35,14,894,429,979,821,543,507,416,425,436,4565,3646,15246,14457,9917,7744,4814,2279,1129,59233,359,1318,1061,891,893,567,275,83,5452,456,2265,3459,1539,900,259,43,6,8923,421,3201,3175,2208,2461,1726,884,378,14447,291,977,886,739,608,338,197,81,4107,51,208,194,160,177,98,49,13,954,623,2855,1999,1480,1358,1014,473,187,9983,232,1330,1194,1095,1152,1048,577,203,6841,1801,9053,8987,5801,4005,2344,835,324,33156,758,2946,2897,2291,1861,1190,472,137,12543,641,1595,1274,780,443,246,87,39,5107,352,911,953,653,389,230,80,26,3589,43,26,22,16,30,33,15,4,186,99,315,378,310,203,162,70,36,1568,895,1974,1686,1105,1038,795,707,666,8863,7025,28964,28173,19065
CED104,3152,3057,2263,1382,591,178,12589,405,821,1420,1552,1123,762,241,60,6376,299,439,549,479,295,157,77,32,2322,191,256,293,394,256,157,66,17,1634,9,3,5,8,9,11,7,9,56,36,73,150,180,128,99,39,24,730,172,233,349,316,271,262,406,556,2568,2357,5538,9613,9898,7797,5280,2663,1271,44419,264,431,677,860,889,599,302,84,4110,227,556,1996,1521,899,279,39,4,5518,340,1047,2002,2439,2533,1931,1148,367,11822,402,622,798,977,779,441,267,79,4369,84,192,259,318,241,161,83,27,1371,460,1184,1502,1674,1567,1131,611,219,8350,187,788,1076,1467,1352,1348,694,213,7128,868,2594,5303,5531,4161,2705,1170,329,22660,607,1334,2017,2272,1746,1284,502,128,9899,479,787,847,722,469,254,134,43,3727,254,426,470,558,382,220,105,27,2453,20,12,5,11,16,16,8,6,95,69,142,231,292,220,173,85,40,1241,414,437,706,659,547,512,706,821,4798,4684,10539,17897,19305
CED105,2199,1517,1002,480,140,43,9104,597,1609,1318,1037,686,266,70,14,5591,156,373,214,146,105,39,18,6,1059,262,656,543,399,177,89,41,8,2172,22,17,14,18,18,9,7,0,110,60,128,136,85,55,31,15,0,510,1110,1620,1293,965,820,696,495,518,7515,4470,11096,8061,5743,4146,2380,1102,713,37718,318,632,412,373,291,200,81,21,2332,882,1571,1312,632,324,57,12,0,4787,457,1940,1482,1520,1718,1075,570,201,8970,450,936,712,623,394,223,115,50,3496,31,102,89,65,90,48,19,4,451,765,2190,1006,702,564,364,135,57,5778,380,1412,1038,688,615,424,189,62,4814,1511,5638,4098,2497,1662,880,279,70,16630,818,2251,1797,1431,1008,494,147,41,7981,240,646,394,253,178,82,34,11,1836,434,1032,918,588,305,156,74,13,3525,53,41,40,39,30,28,12,4,241,99,273,266,204,146,73,46,15,1112,2580,3733,2948,2179,1788,1404,994,822,16441,9021,22406,16507,11791
CED106,4718,4026,2292,1407,767,310,16494,358,1098,1791,2007,1376,959,514,160,8266,311,633,738,628,399,197,128,77,3111,113,240,280,276,179,118,69,33,1303,18,3,4,12,20,14,11,4,88,30,123,207,235,136,132,61,28,951,257,364,445,386,322,350,385,563,3079,2408,7551,12380,11637,8145,5823,3686,1887,53520,286,566,831,982,866,700,507,183,4928,292,970,2516,1576,810,276,69,13,6536,228,1193,2242,1887,1850,1348,1027,471,10237,192,450,579,623,539,376,219,79,3049,52,120,179,206,177,130,69,27,964,477,1536,1922,2172,1766,1291,966,463,10596,140,728,932,1190,1194,1265,880,310,6638,1073,4351,8213,7536,4907,3078,1694,649,31501,600,1782,2653,3238,2405,1715,950,307,13642,510,1017,1108,919,617,326,176,101,4782,176,448,516,442,276,167,98,44,2160,26,12,12,20,27,33,13,6,143,53,200,328,382,240,196,112,48,1556,541,705,885,729,622,610,638,795,5524,4656,14073,22918,21909
CED107,1731,1866,1624,988,340,98,8722,502,1282,1305,1234,1062,600,183,36,6202,113,341,299,262,191,122,64,21,1409,372,722,603,508,298,167,82,19,2775,22,20,9,13,10,5,3,0,78,25,66,80,91,64,46,25,8,402,723,788,768,849,780,871,763,475,6012,3115,7942,7684,7673,6882,5019,2410,901,41623,94,266,294,316,275,222,99,13,1586,82,253,283,214,183,99,29,0,1140,705,2386,2173,2389,2425,1841,866,208,12996,483,912,859,768,770,507,257,65,4615,161,485,531,671,648,448,250,47,3248,590,1891,1634,1498,1708,1242,565,164,9283,280,1203,1279,1390,1273,1299,515,122,7363,586,2361,2565,2714,2415,1587,571,146,12945,636,1721,1776,1744,1474,954,328,75,8712,179,492,433,393,290,205,109,23,2133,527,1096,951,793,518,308,145,33,4370,37,45,12,14,14,9,6,0,138,73,146,165,181,168,115,59,18,923,1785,2279,2190,2040,1809,1808,1464,726,14110,6218,15542,15146,15126
CED108,3640,1998,1516,721,175,31,11794,596,1643,1710,1273,811,340,68,18,6460,204,409,293,134,83,44,13,4,1186,394,745,628,369,229,110,40,8,2527,9,24,21,17,18,19,7,4,109,50,196,283,150,96,50,12,10,849,1010,1445,1358,929,712,700,485,418,7065,4118,12154,12241,7318,5171,3070,1131,630,45836,208,652,784,444,331,200,43,9,2680,418,1827,3088,881,219,75,19,0,6532,544,2306,3019,2375,2348,1426,498,158,12668,404,782,592,562,368,254,134,26,3123,71,199,176,165,153,62,19,0,850,620,2433,1892,1282,932,558,128,66,7914,316,1292,938,789,623,516,209,60,4743,1267,5132,6497,3376,2439,1202,343,61,20311,843,2273,2303,1723,1168,565,164,34,9066,362,755,503,224,147,91,28,6,2120,559,1211,1177,603,382,185,70,17,4202,25,45,30,21,26,28,11,4,185,100,370,499,306,231,139,36,13,1691,2241,2894,2720,1941,1500,1301,882,577,14061,7976,22172,24228,14698
CED109,2831,2779,2052,1181,551,246,12347,408,1270,1286,1205,841,488,163,47,5714,332,675,523,308,172,113,58,19,2210,222,530,486,593,323,257,114,41,2559,5,9,0,3,4,5,7,0,42,19,80,91,116,76,51,18,5,456,311,532,517,511,387,406,561,657,3879,2674,7966,8437,8190,6391,4299,2244,1301,41500,135,389,378,440,410,281,144,36,2213,114,369,709,535,324,114,13,0,2185,414,1633,1601,2120,2308,1738,1116,486,11405,525,1317,1175,1167,815,499,275,101,5878,68,158,172,144,129,82,33,13,807,450,1542,1348,1327,1259,801,431,154,7318,236,1204,1155,1199,1298,1168,459,161,6889,973,3471,4750,4623,3525,2259,990,378,20973,576,2006,1873,1783,1286,840,305,90,8765,489,1040,811,508,267,191,91,32,3423,284,681,743,836,486,341,185,59,3621,12,9,7,15,6,11,3,5,68,44,144,200,231,183,106,53,17,976,654,1073,1087,1062,830,743,948,965,7359,4980,15041,16023,15993
CED110,1642,1931,1952,1502,588,169,9487,432,1102,1333,1578,1516,987,277,60,7288,76,258,316,268,276,214,65,22,1505,354,685,631,524,461,341,116,30,3144,20,10,4,5,11,10,15,14,89,23,67,81,91,102,77,17,10,466,717,764,794,819,944,1075,1102,855,7064,2793,6661,7481,8196,8652,6983,3406,1517,45690,60,205,211,295,293,331,155,39,1576,92,278,283,222,236,193,44,5,1354,420,1184,1260,1598,2225,2365,1372,392,10812,287,770,833,920,1120,962,476,111,5481,116,338,408,496,476,311,114,36,2308,537,1785,1712,1846,2120,1608,692,214,10516,216,1041,1270,1420,1610,1779,778,195,8315,634,1836,2417,2825,2874,2408,963,281,14240,549,1515,1850,2181,2099,1528,498,109,10326,147,411,501,412,426,346,108,38,2395,509,1042,1039,913,740,572,210,49,5075,32,27,9,16,15,21,18,13,145,62,145,171,185,223,181,80,28,1081,1645,1866,1839,1780,1941,2083,1933,1331,14416,5315,12446,13799,15104
