CED_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED101,12717,7851,3860,1947,84292
CED102,11593,6867,3471,1758,99727
CED103,15513,10056,4767,2180,115733
CED104,15806,11056,5860,2395,87543
CED105,9098,5514,2698,1358,78389
CED106,16289,11496,7418,3498,102255
CED107,13966,10646,5265,1647,83558
CED108,10854,6605,2587,1030,90147
CED109,13133,9169,5057,2488,81878
CED110,16394,14681,7448,2848,88035
CED111,13780,9568,4828,2019,87823
CED112,12203,9688,5321,2241,77989
CED113,16629,12171,5181,1606,89158
CED114,13326,9793,4899,1740,79111
CED115,8816,5766,2637,1123,65756
CED116,17259,16097,7841,2492,87841
CED117,12150,7596,2930,942,94854
CED118,11663,7040,2742,764,104951
CED119,12690,8391,4068,1539,79834
CED120,12944,9547,4272,1435,83177
CED121,13167,10375,5315,1941,83678
CED122,13042,8155,4234,1635,109637
CED123,10775,7082,3176,1138,86840
CED124,15910,15069,7715,2477,78980
CED125,11347,7406,2867,663,91749
CED126,15008,10612,6678,2681,87498
CED127,14285,11094,5001,1561,78478
CED128,9804,5998,2576,948,69590
CED129,14530,10029,4806,1406,103720
CED130,12957,10321,5395,1754,76143
CED131,13070,9217,4453,2025,90978
CED132,14778,11016,5919,2493,109278
CED133,16555,14079,5969,1996,85434
CED134,12351,8574,4188,1449,72938
CED135,11859,7038,3328,1357,114073
CED136,12879,10327,5287,1489,81168
CED137,14338,9234,4243,1791,124284
CED138,16591,14245,6701,2742,91211
CED139,12316,9434,4482,1618,75019
CED140,14232,11462,6300,2481,81049
CED141,12768,10102,5554,1815,75502
CED142,13176,8095,3359,1010,153063
CED143,14271,9217,5360,2005,91569
CED144,10687,5801,2854,1444,84660
CED145,11959,9000,5243,2453,95533
CED146,10914,5646,2300,861,81645
CED147,13073,10559,5804,2093,82242
CED197,12,0,0,0,15
CED201,12634,8366,4165,1636,82857
CED202,12020,9544,4310,1494,76069
CED203,12603,10169,5118,1888,76494
CED204,11774,7149,3176,1102,83026
CED205,8099,3798,1386,390,77811
CED206,12960,9123,4238,1154,79684
CED207,14421,9834,6494,2981,105645
CED208,10290,5501,2340,1144,87979
CED209,12046,10434,5235,1876,80691
CED210,11370,8218,4008,1414,79998
CED211,12859,9085,5300,2488,89569
CED212,11831,8135,4303,1664,79179
CED213,13721,12437,7355,2695,78470
CED214,8710,5180,2328,1121,86687
CED215,10520,5808,2246,792,97324
CED216,13256,11354,5409,1815,74366
CED217,15610,10726,5698,2483,89239
CED218,9211,5078,1970,550,78163
CED219,9407,6137,2406,641,74515
CED220,12764,9254,5134,2008,100488
CED221,8512,4424,1794,513,82217
CED222,10605,6844,3519,1535,95549
CED223,14743,11789,5370,1716,81372
CED224,11876,7755,3870,1669,82604
CED225,13632,10019,4786,1630,88127
CED226,16151,11518,6234,2698,99244
CED227,9154,5646,2833,894,81080
CED228,8966,5100,1865,573,96928
CED229,13350,9432,4319,1657,114937
CED230,13002,10006,4838,1901,74245
CED231,11002,7167,3295,1134,82713
CED232,11037,7159,2967,718,78307
CED233,11148,7326,3309,998,145057
CED234,14523,9779,6126,2355,95358
CED235,12992,11235,5243,1579,71514
CED236,11869,8724,4554,1766,71252
CED237,8779,5028,2185,847,77053
CED238,13611,10782,4777,1755,74328
CED239,9069,4849,2136,1176,89617
CED297,147,17,0,0,530
CED301,11836,7543,3383,1034,85907
CED302,12085,7693,3666,1401,86223
CED303,13899,10453,5051,1832,79991
CED304,14100,7848,3441,1064,122767
CED305,13643,8247,3408,1052,84147
CED306,13340,9252,3889,1080,79558
CED307,12178,7577,3097,795,79673
CED308,14081,10492,5444,1527,97970
CED309,15649,12443,6249,2157,91638
CED310,14881,12034,6450,2150,91254
CED311,13259,8738,3210,747,76541
CED312,11218,7607,3641,1137,88347
CED313,12793,7138,3149,1191,112089
CED314,11317,8190,4218,1431,76400
CED315,11841,7690,3281,943,79778
CED316,13674,13204,6978,1848,74413
CED317,15983,12955,4972,1225,87909
CED318,17249,12171,4759,1136,100907
CED319,11115,7130,3884,1924,88549
CED320,12590,10431,5198,1452,84689
CED321,12715,10053,4355,1218,72048
CED322,12780,9755,5091,2143,88870
CED323,15084,11745,6418,2228,105819
CED324,11408,7510,3703,1343,93488
CED325,10745,6484,2887,797,84853
CED326,12453,9293,4855,1880,90024
CED327,10273,6851,2710,795,82573
CED328,12847,9352,5033,1696,95360
CED329,15540,13591,6299,1705,77149
CED330,13639,9118,3692,973,84062
CED397,27,12,0,0,308
CED401,13793,10078,4401,1751,112200
CED402,12783,10067,4592,1492,73538
CED403,14774,12038,6198,2439,96563
CED404,14802,11147,4925,1461,80042
CED405,13195,9245,4349,1686,85362
CED406,12369,9516,4297,1419,79135
CED407,10899,8041,4295,1519,79843
CED408,16245,14605,6781,1865,88963
CED409,9875,6304,3033,1216,71758
CED410,14749,11663,6724,2619,102741
CED497,5,0,0,0,28
CED501,10852,6307,3214,1035,79983
CED502,9416,6338,3022,1043,81024
CED503,11446,9161,4969,1640,69969
CED504,11151,7940,3807,1054,82557
CED505,15235,11660,7008,2940,103970
CED506,23326,15709,5014,1011,138825
CED507,12544,9506,4258,1386,74957
CED508,12485,8284,3569,1370,87909
CED509,11590,8008,4071,1357,81729
CED510,15090,10817,4271,1375,85694
CED511,15653,10459,4640,1452,90246
CED512,10349,5730,2739,941,80179
CED513,13635,8868,4051,1626,110564
CED514,12470,8590,4198,2004,104749
CED515,15219,11608,5713,2256,98566
CED597,465,123,24,0,2853
CED601,8579,6643,3444,1157,53055
CED602,8858,6852,3408,1033,49636
CED603,8813,6826,3338,1280,64135
CED604,9402,7403,3620,1138,57615
CED605,9493,7331,3172,760,51124
CED697,70,27,4,0,303
CED701,11673,7838,1684,210,68257
CED702,9222,5795,1860,340,66162
CED797,96,35,6,0,406
CED801,12611,9005,4369,1296,83305
CED802,12142,9130,4843,1973,94980
CED803,9100,6084,2744,699,86722
CED897,0,0,0,0,0
CED997,0,0,0,0,0
