CED_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
CED101,191,1261,5260,5917,5290,3769,738,52,0,22472,695,1349,1795,1306,1168,1268,539,108,9,8236,426,783,1203,975,943,973,272,33,0,5612,18,106,233,168,107,77,27,0,0,745,1334,3495,8484,8369,7508,6092,1576,193,9,37061,49,201,358,280,245,220,35,0,0,1397,165,181,149,70,51,105,40,0,0,755,217,380,514,348,292,325,79,3,0,2153,1550,3873,8997,8718,7801,6416,1650,202,9,39221,3040,1537,1762,1495,1690,3147,5200,3436,1499,22812,150,261,645,490,335,352,289,220,164,2901,4735,5679,11398,10703,9829,9918,7143,3859,1666,64932,120,1382,4526,4221,3991,2628,374,15,0,17248,857,1497,2360,2858,2709,2194,614,62,3,13145,461,668,996,912,742,702,189,25,3,4705,18,68,178,106,101,44,14,9,0,537,1453,3601,8060,8085,7545,5566,1196,106,5,35638,28,105,224,136,152,130,13,0,0,791,148,150,149,136,120,147,36,0,0,871,175,247,372,275,273,278,46,0,0,1664
CED102,155,1424,7842,7311,5310,3391,709,41,3,26186,652,2033,3398,2010,1465,1302,543,67,7,11479,304,704,1332,991,808,812,246,24,3,5227,30,133,365,219,154,91,42,4,0,1039,1137,4293,12934,10534,7740,5599,1537,141,13,43922,49,251,595,384,327,251,27,4,0,1881,164,323,271,122,65,103,40,4,0,1088,212,574,871,505,393,351,69,5,0,2973,1350,4871,13804,11033,8130,5945,1598,150,13,46895,2835,1905,2708,1949,1921,2926,5002,3736,1542,24528,196,438,1164,729,547,461,406,443,339,4726,4383,7215,17679,13718,10591,9330,7014,4333,1890,76149,94,1491,6917,5118,4222,2411,368,17,0,20636,686,1935,3782,3189,2646,1826,536,40,3,14639,316,630,1362,995,727,665,154,21,0,4868,25,113,251,134,103,77,24,6,0,726,1116,4166,12316,9436,7697,4982,1086,79,7,40878,28,126,313,192,197,153,19,0,0,1028,135,194,278,177,139,144,22,0,0,1095,161,322,590,373,336,302,40,4,0,2127
CED103,138,1690,9011,10032,6651,4360,956,64,4,32903,798,1641,2464,1898,1408,1470,778,134,16,10621,376,676,933,754,589,640,215,34,0,4222,17,92,295,209,113,85,24,3,3,851,1333,4101,12705,12890,8762,6551,1977,237,24,48595,36,166,454,415,316,246,60,0,0,1701,226,255,173,81,54,110,44,9,0,943,257,422,620,496,374,365,98,9,0,2640,1593,4529,13324,13387,9137,6916,2085,254,26,51240,3085,1581,1846,1412,1436,2713,5088,3369,1514,22038,124,249,770,614,397,363,260,184,180,3150,4804,6358,15946,15412,10963,9989,7435,3800,1721,76424,81,1412,8141,6697,4933,3061,493,27,0,24832,1012,1817,3045,3708,2865,2383,765,99,5,15694,422,725,1277,1000,628,567,189,16,3,4820,10,62,170,159,68,56,20,3,0,559,1530,4023,12642,11561,8483,6070,1467,138,4,45908,25,128,379,329,217,120,12,0,0,1209,186,209,241,262,170,149,32,0,0,1254,212,333,621,592,389,268,41,0,0,2456
CED104,367,1485,3717,6763,7739,5238,1232,139,5,26683,1095,1364,981,1096,1248,1528,996,243,16,8564,438,505,352,338,398,437,221,48,5,2733,15,24,85,106,95,65,18,13,4,438,1913,3378,5139,8303,9485,7265,2467,436,36,38421,43,114,188,161,220,209,34,0,0,975,259,138,51,35,46,59,57,12,0,664,304,259,240,195,268,271,94,9,0,1643,2213,3635,5381,8495,9747,7532,2562,445,38,40060,3183,882,634,649,922,1964,4713,3770,1296,18007,100,86,148,220,225,178,155,211,228,1542,5496,4607,6159,9363,10894,9672,7424,4435,1559,59612,132,1134,2996,4518,5126,3150,563,28,3,17647,1327,1489,1405,3148,3482,2831,1032,143,3,14862,531,497,534,605,534,555,184,25,0,3475,20,29,70,92,64,50,21,8,0,355,2008,3145,5003,8365,9212,6585,1799,200,11,36334,14,67,90,105,123,88,4,0,0,499,212,98,94,122,134,106,29,0,0,799,226,168,183,236,257,195,37,3,0,1296
CED105,166,1240,4855,4316,3442,2702,569,36,0,17324,606,1766,2633,1581,1124,1049,366,49,0,9176,313,731,1484,1084,1028,909,248,21,0,5808,39,217,467,287,201,115,34,6,0,1379,1125,3954,9437,7267,5795,4771,1216,114,4,33680,97,340,758,542,429,347,51,0,0,2550,188,355,268,125,109,133,32,0,0,1206,293,692,1021,660,534,481,75,7,0,3756,1418,4647,10458,7922,6330,5251,1291,116,4,37443,4235,2779,4650,3681,3545,4086,4999,3094,1152,32216,457,782,1555,1218,932,741,519,394,262,6857,6110,8211,16663,12823,10806,10078,6806,3605,1415,76520,98,1292,3610,2480,2452,1647,310,13,0,11894,718,1734,2482,2084,1645,1272,353,28,0,10318,262,581,998,717,714,567,141,4,0,3990,36,133,272,142,114,81,14,0,0,792,1107,3736,7363,5425,4927,3571,821,40,0,26994,60,182,311,203,225,153,12,0,0,1149,196,250,266,203,178,162,17,0,0,1266,256,433,585,409,396,316,29,0,0,2420
CED106,136,1273,4645,8323,8103,5054,1188,150,10,28880,982,1499,1231,1253,1328,1397,1138,352,40,9229,373,538,354,362,318,328,185,45,11,2518,8,40,111,129,105,57,24,6,3,484,1502,3359,6341,10072,9854,6838,2542,549,56,41118,20,140,229,250,279,272,47,0,0,1245,260,182,73,51,51,75,53,12,0,763,285,323,307,292,329,353,99,11,0,2007,1783,3678,6647,10368,10184,7192,2645,561,56,43126,3799,1038,759,812,1059,2021,4261,3975,1928,19651,109,125,245,294,217,206,179,186,160,1714,5691,4848,7652,11475,11461,9421,7077,4731,2147,64489,52,1098,3975,5600,5476,2994,533,38,0,19769,1123,1662,1701,3377,3524,2568,1125,222,13,15311,552,567,670,738,496,437,177,24,0,3681,12,30,100,109,69,51,19,3,4,399,1739,3356,6448,9822,9569,6052,1861,296,22,39160,20,63,141,232,175,101,17,0,0,746,207,130,84,176,176,119,35,7,0,934,222,192,226,412,354,214,47,6,0,1682
CED107,953,2316,6392,6365,6561,5175,1417,225,11,29415,1344,855,1071,878,1006,1366,1051,288,33,7885,178,119,272,215,253,312,130,24,0,1509,53,121,177,127,144,99,53,34,10,803,2524,3405,7907,7586,7959,6948,2656,570,60,39609,123,187,248,205,241,195,24,0,0,1227,165,86,84,61,53,80,38,11,0,571,287,279,324,264,293,282,65,12,0,1805,2815,3685,8229,7848,8251,7231,2714,579,63,41412,2318,829,1411,1327,1522,2885,6059,4191,1280,21820,330,338,680,740,712,703,611,437,170,4722,5466,4855,10318,9917,10488,10823,9383,5208,1514,67956,411,1514,3758,3624,4592,3106,593,73,6,17680,1848,1377,2959,3391,3100,3073,1082,159,15,17007,167,196,699,373,255,351,121,20,4,2177,68,54,121,102,76,82,32,24,4,568,2489,3142,7541,7488,8018,6610,1830,270,31,37425,77,105,132,108,117,93,4,0,0,630,193,116,137,120,109,128,25,0,0,820,268,214,268,223,223,220,33,0,0,1445
CED108,317,1749,6438,8937,5687,3845,705,32,0,27717,929,1529,2271,1818,1306,962,344,37,4,9204,375,726,1298,1062,864,770,209,21,0,5337,57,158,411,324,173,124,29,6,0,1284,1689,4163,10420,12138,8030,5706,1293,98,6,43533,145,374,530,469,331,243,47,0,0,2135,286,254,179,79,92,74,29,4,0,1003,434,630,713,546,426,320,74,4,0,3132,2117,4793,11133,12687,8452,6026,1367,100,6,46673,3903,1855,2409,2155,2330,3102,4891,2654,719,24011,471,535,1159,1040,757,580,391,248,101,5281,6491,7187,14690,15878,11541,9704,6645,2999,834,75968,218,1621,5317,5843,4255,2568,384,14,0,20215,1091,1599,2986,3194,2068,1492,394,17,5,12853,356,611,1146,905,637,541,131,10,0,4344,48,98,259,188,130,84,18,5,0,832,1710,3932,9705,10126,7096,4683,929,51,5,38241,113,201,360,320,215,124,11,0,0,1355,281,198,314,253,147,126,15,0,0,1331,396,401,677,570,357,252,27,0,0,2683
CED109,408,1603,5256,6020,6163,4134,930,99,7,24621,952,989,1343,1264,1369,1474,867,221,27,8508,420,458,549,509,556,554,243,43,4,3332,21,44,149,125,105,77,36,8,3,569,1800,3093,7294,7919,8198,6239,2080,371,35,37035,47,100,215,150,209,212,24,0,0,960,171,73,58,31,39,77,44,4,3,505,215,175,279,182,255,283,74,7,3,1467,2009,3265,7571,8100,8449,6528,2154,379,40,38504,2210,721,674,701,1087,2209,4598,3838,1689,17736,139,129,420,401,383,285,246,255,229,2486,4362,4121,8668,9204,9918,9023,6997,4470,1960,58728,147,1410,4429,3791,4303,2607,455,29,0,17174,1125,1227,1991,3109,3212,2689,953,105,12,14429,487,523,953,806,694,624,230,29,7,4347,20,43,110,97,76,54,17,10,8,431,1779,3201,7491,7790,8284,5977,1652,175,24,36382,15,62,99,103,116,80,0,0,0,478,171,70,77,104,106,98,30,0,0,667,188,132,175,213,222,178,35,0,0,1141
CED110,599,1504,4131,4669,5164,4002,967,104,8,21140,1525,938,1448,1363,1524,2045,1150,212,33,10239,136,125,193,206,255,374,131,23,5,1450,68,91,156,132,135,116,32,19,4,758,2322,2644,5926,6379,7084,6528,2286,372,45,33586,140,220,337,246,268,259,44,0,0,1512,230,112,134,81,104,148,54,6,0,865,371,332,476,327,366,403,95,7,0,2379,2696,2978,6401,6705,7449,6935,2379,375,49,35966,1955,770,1325,1307,1688,3931,9108,6145,2007,28239,327,256,600,628,668,695,701,567,332,4765,4979,4002,8324,8643,9800,11556,12188,7083,2390,68970,289,1072,2584,3016,4174,2881,495,42,3,14561,1973,1384,2719,3378,3497,3800,1124,135,8,18021,182,147,501,315,284,427,133,19,3,2008,51,80,129,107,111,108,26,21,8,628,2491,2686,5932,6822,8070,7215,1781,218,20,35220,73,92,135,127,133,112,11,0,0,681,271,107,130,160,163,205,47,6,4,1088,340,194,268,283,295,312,56,3,4,1769
