CED_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED101,1626,3851,8432,8357,7816,5845,1244,106,9,37299,2599,1186,2182,2548,2646,4386,6298,4361,2253,28452,145,225,566,467,385,336,307,348,461,3238,4374,5263,11188,11375,10843,10566,7852,4815,2721,68991,310,2638,9784,10135,9283,6397,1109,68,0,39722,1553,2841,4151,4162,3883,3464,1152,163,9,21386,892,1448,2200,1883,1679,1680,463,58,4,10312,37,168,413,275,205,123,42,10,0,1278,2783,7096,16552,16461,15055,11663,2770,302,16,72702,82,303,587,415,399,352,50,0,0,2194,311,328,295,203,172,249,71,0,0,1627,394,628,881,620,569,601,117,3,0,3815,3178,7727,17434,17073,15623,12264,2891,308,18,76517,5635,2723,3942,4043,4340,7536,11500,7800,3748,51259,290,484,1215,962,719,683,603,569,624,6142,9106,10945,22582,22077,20680,20480,14994,8670,4391,133924
CED102,1276,4492,12905,9805,8034,5279,1129,77,4,43004,2423,1570,3362,2956,2817,4161,6128,4505,1999,29908,167,374,1081,715,537,441,407,468,588,4784,3869,6432,17347,13478,11380,9884,7659,5053,2596,77696,242,2912,14763,12432,9535,5800,1071,57,3,46823,1333,3968,7182,5200,4108,3134,1082,104,7,26123,618,1334,2687,1987,1532,1475,400,47,5,10090,52,247,614,357,261,164,70,5,0,1766,2256,8465,25249,19965,15439,10576,2620,225,20,84802,80,378,912,575,522,404,46,5,0,2914,300,521,545,300,199,246,59,4,0,2187,376,902,1454,876,724,649,104,7,0,5102,2629,9363,26702,20839,16165,11226,2724,231,15,89899,5261,3473,6072,4901,4733,7082,11131,8242,3535,54433,361,808,2249,1449,1080,904,814,913,932,9504,8250,13644,35020,27195,21974,19215,14672,9384,4486,153846
CED103,1733,4358,13262,12155,8873,6337,1506,138,4,48367,2595,1371,2694,3130,2628,4337,6490,4278,2284,29810,121,249,761,568,374,328,278,290,365,3331,4457,5977,16718,15848,11871,11007,8277,4706,2658,81509,224,3098,17156,16724,11581,7419,1448,89,4,57742,1811,3465,5515,5608,4268,3850,1546,230,22,26311,799,1406,2210,1752,1212,1205,408,44,0,9042,28,156,466,366,182,144,46,10,3,1409,2857,8124,25347,24454,17245,12619,3446,376,29,94497,61,294,830,745,531,366,70,0,0,2907,406,459,411,343,225,262,72,8,0,2199,470,754,1239,1088,761,633,147,8,0,5098,3326,8882,26587,25537,18004,13250,3591,388,30,99602,5683,2958,4539,4540,4064,7047,11578,7649,3801,51849,242,492,1531,1183,768,694,538,480,547,6484,9254,12334,32658,31263,22832,20994,15705,8510,4382,157934
CED104,2241,3314,5188,8600,9469,6774,1831,209,11,37635,2736,678,910,1705,1905,3306,6036,4452,1995,23732,61,73,174,228,214,161,195,289,451,1846,5038,4062,6269,10531,11592,10244,8063,4949,2459,63208,500,2621,6711,11283,12868,8382,1796,168,9,44331,2422,2852,2389,4244,4733,4354,2028,382,24,23427,971,1003,889,940,932,990,405,76,6,6210,32,56,160,201,164,117,43,19,7,793,3926,6525,10140,16667,18696,13849,4265,638,45,74757,56,184,279,271,347,292,38,0,0,1471,473,241,146,159,183,166,90,16,0,1464,531,420,425,427,526,463,128,14,0,2940,4452,6947,10567,17090,19220,14307,4395,657,49,77694,5919,1562,1541,2355,2830,5266,10747,8228,3292,41738,159,160,325,451,438,341,347,500,675,3391,10534,8667,12431,19899,22489,19919,15488,9385,4018,122825
CED105,1367,4168,7945,5825,5321,3883,847,44,0,29416,3823,2361,5640,5060,4481,5424,5643,3362,1641,37432,380,554,1291,1073,806,680,557,411,472,6220,5567,7083,14879,11959,10606,9991,7051,3815,2108,73064,261,2534,8465,6790,5898,4347,880,47,0,29217,1321,3502,5120,3667,2770,2316,720,78,0,19492,573,1309,2484,1803,1739,1477,390,23,0,9799,74,347,739,426,314,199,48,6,6,2170,2235,7690,16806,12691,10723,8342,2037,156,5,60680,158,521,1067,739,650,499,61,0,0,3703,386,604,535,324,278,299,45,0,0,2478,548,1129,1601,1064,931,799,105,5,0,6176,2780,8816,18407,13752,11656,9138,2141,158,5,66856,8058,5145,10287,8740,8022,9512,10642,6455,2787,69648,840,1335,2847,2291,1738,1418,1076,805,727,13074,11678,15289,31542,24779,21414,20071,13857,7420,3526,149578
CED106,1960,3544,6678,10235,9918,6269,1910,298,22,40840,3317,831,1274,2649,2788,3582,6095,5180,2909,28629,101,108,281,295,265,210,242,265,417,2176,5382,4484,8229,13177,12970,10059,8249,5740,3350,71640,186,2369,8617,13923,13579,8045,1727,188,15,48651,2110,3163,2926,4625,4853,3968,2262,568,51,24540,929,1107,1027,1104,815,765,368,76,15,6196,15,69,219,236,175,109,43,12,9,887,3242,6707,12794,19895,19425,12891,4399,842,82,80277,39,204,374,480,456,376,63,0,0,1988,469,311,160,225,227,193,89,19,0,1695,508,515,538,709,682,570,153,17,0,3690,3749,7225,13326,20604,20105,13463,4553,862,82,83962,7119,1872,2031,3462,3844,5602,10355,9154,4834,48276,204,231,523,590,477,416,417,450,574,3892,11070,9330,15878,24649,24432,19478,15330,10472,5490,136132
CED107,2761,3363,7811,7715,8243,6829,1862,270,31,38875,1948,759,1788,1527,1798,3598,6952,4854,2181,25406,258,290,642,611,657,587,585,525,306,4462,4968,4410,10240,9854,10697,11011,9394,5647,2513,68744,1364,3828,10151,9986,11145,8282,2018,300,21,47094,3197,2239,4030,4268,4101,4437,2127,449,48,24893,344,315,969,587,510,662,253,43,4,3684,118,174,297,229,221,175,85,51,16,1366,5020,6554,15442,15074,15974,13561,4483,843,93,77039,198,293,377,306,353,289,29,0,0,1859,358,202,217,184,158,210,62,11,0,1394,559,495,590,491,515,495,95,12,0,3247,5577,7044,16041,15565,16490,14055,4572,849,90,80288,4267,1588,3200,2855,3324,6486,13010,9043,3458,47230,586,633,1322,1350,1367,1296,1194,958,473,9186,10432,9266,20560,19770,21183,21835,18775,10852,4029,136700
CED108,2106,4337,10383,10698,7452,4936,954,50,5,40924,3585,1833,4446,4037,3480,4641,6064,3212,1372,32683,373,454,1195,1092,715,496,472,319,254,5370,6071,6624,16027,15832,11650,10069,7495,3586,1631,78978,534,3376,11754,14779,9941,6414,1093,42,0,47935,2022,3124,5256,5008,3376,2460,741,58,4,22053,734,1345,2447,1973,1503,1317,338,33,0,9676,103,257,669,507,300,205,48,11,0,2115,3397,8095,20126,22270,15121,10391,2217,140,9,81783,260,572,895,784,542,367,65,0,0,3488,566,452,493,331,238,198,38,6,0,2329,831,1031,1392,1115,778,566,101,6,0,5820,4224,9125,21515,23386,15901,10958,2320,151,11,87595,7495,3690,6847,6194,5813,7737,10957,5866,2099,56695,847,995,2349,2134,1471,1078,866,566,359,10651,12563,13809,30714,31709,23184,19772,14138,6581,2464,154940
CED109,1971,3338,7668,8003,8509,6153,1691,176,21,37527,2071,598,1164,1592,1778,3147,5958,4941,2614,23858,116,134,431,370,358,273,277,374,495,2827,4159,4076,9258,9967,10642,9573,7924,5480,3131,64208,554,3016,9693,9808,10464,6735,1385,133,13,41796,2078,2220,3332,4370,4584,4169,1823,327,33,22936,909,972,1500,1312,1244,1178,479,73,9,7681,38,87,261,223,182,135,51,17,9,1006,3581,6296,14787,15713,16482,12219,3737,548,57,73421,58,164,314,257,325,289,26,0,0,1440,341,147,135,140,152,176,80,5,0,1174,403,307,453,397,477,458,104,10,0,2610,3979,6603,15234,16109,16958,12680,3844,552,65,76034,4280,1321,1840,2296,2860,5359,10554,8778,4303,41589,258,264,852,772,741,560,521,626,723,5309,8518,8195,17925,19169,20561,18602,14921,9956,5095,122934
CED110,2834,2882,6202,7101,8365,7529,1844,223,24,36992,1667,773,1808,1681,2033,4902,10158,7048,3013,33082,295,241,607,611,601,662,742,736,642,5143,4802,3892,8615,9395,10999,13095,12738,8008,3682,75221,879,2574,6717,7686,9340,6881,1461,145,11,35701,3499,2324,4164,4744,5023,5840,2277,352,38,28256,318,267,689,522,544,801,261,42,6,3462,118,166,284,240,243,223,65,46,14,1387,4814,5328,11857,13197,15150,13745,4066,588,66,68809,216,309,479,377,395,370,54,3,0,2197,500,221,271,239,269,346,99,12,5,1954,712,525,747,614,671,714,155,11,5,4147,5531,5858,12600,13806,15817,14462,4220,596,70,72957,3626,1541,3135,2986,3719,8836,19265,13191,5022,61324,623,498,1206,1243,1269,1356,1436,1304,977,9907,9773,7896,16939,18037,20803,24656,24921,15092,6073,144186
