CED_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
CED101,1334,3495,8484,8369,7508,6092,1576,193,9,37061,0,5,9,11,12,6,0,0,0,47,0,0,3,10,8,3,0,0,0,20,42,58,197,324,344,312,67,0,0,1347,0,5,32,39,53,21,0,0,0,147,12,56,231,264,253,124,28,3,0,980,7,52,163,232,275,171,33,5,0,932,402,630,730,645,562,441,99,9,0,3520,474,321,323,267,251,230,25,7,0,1900,18,83,240,346,351,228,36,8,0,1299,13,50,140,132,88,52,10,0,0,482,6,180,619,835,670,309,40,3,0,2666,14,66,166,182,146,85,11,5,0,684,33,362,833,788,599,356,85,14,0,3065,18,124,304,261,256,187,56,10,0,1205,19,98,362,483,503,373,72,0,0,1914,143,401,1033,1021,1129,884,204,11,0,4820,115,801,1981,1555,1484,1357,317,18,0,7630,77,81,116,90,61,50,18,0,0,484,38,112,233,234,221,174,31,4,0,1046
CED102,1137,4293,12934,10534,7740,5599,1537,141,13,43922,0,4,17,11,10,4,3,0,0,54,0,0,9,4,5,5,0,0,0,26,22,95,330,288,289,280,54,4,0,1353,0,10,41,40,24,11,3,0,0,127,5,61,340,266,205,102,21,0,0,1009,12,71,255,265,241,138,30,3,0,1023,306,718,1131,791,667,422,85,3,0,4128,396,485,738,396,285,228,36,3,0,2565,16,93,338,414,375,247,42,0,0,1523,8,72,245,233,164,70,11,0,0,803,9,174,993,928,642,252,35,0,0,3032,12,72,227,209,139,65,12,0,0,746,33,390,1542,1026,580,313,76,4,0,3964,7,181,591,385,319,242,65,5,0,1792,15,98,502,554,582,332,61,5,0,2142,98,350,1141,1020,1065,632,147,11,0,4465,91,935,2776,1712,1454,1205,309,13,0,8501,34,73,178,158,93,55,8,5,0,611,24,79,327,296,257,166,35,3,0,1191
CED103,1333,4101,12705,12890,8762,6551,1977,237,24,48595,0,3,15,20,22,7,0,0,0,74,0,5,11,16,9,10,0,0,0,48,45,75,423,501,375,254,39,0,0,1716,0,11,46,77,55,31,5,0,0,220,8,66,322,370,257,137,35,3,0,1194,14,74,448,567,394,207,45,4,0,1760,455,691,1025,760,558,433,112,8,0,4044,446,421,565,387,288,190,44,0,0,2333,7,39,208,212,178,155,21,0,0,821,18,86,397,380,229,115,24,0,0,1245,13,215,1232,1219,707,340,63,0,0,3774,8,69,312,298,178,119,30,9,0,1017,40,459,1983,1635,918,514,128,23,0,5708,14,69,316,307,240,211,56,0,0,1216,12,101,438,498,407,345,76,0,0,1878,182,467,1422,1294,1246,973,225,27,5,5829,144,825,2439,2033,1763,1539,430,40,0,9216,68,95,166,123,77,54,5,0,0,585,32,122,308,302,260,204,48,7,0,1287
CED104,1913,3378,5139,8303,9485,7265,2467,436,36,38421,10,8,34,27,77,71,34,12,0,279,0,0,0,4,13,0,0,5,0,28,74,68,149,317,369,229,64,12,0,1292,0,9,18,40,49,22,9,0,0,151,18,63,188,326,341,253,61,9,0,1260,10,51,129,348,364,216,64,12,0,1198,550,531,409,505,576,451,135,16,0,3175,578,228,137,169,159,151,29,5,0,1456,6,28,57,119,176,108,30,5,0,530,9,57,134,249,187,76,25,3,0,742,11,109,354,887,571,327,70,9,0,2328,21,54,117,174,185,133,36,11,0,733,64,391,687,1066,1015,615,193,23,0,4054,5,56,113,209,219,179,43,6,0,827,10,52,204,447,470,307,59,0,0,1555,257,459,700,1227,1712,1257,340,20,3,5967,197,709,1127,1585,1994,1715,473,39,0,7845,58,58,67,96,113,56,14,5,0,468,78,117,156,226,311,213,53,7,0,1169
CED105,1125,3954,9437,7267,5795,4771,1216,114,4,33680,0,9,8,10,12,10,3,0,0,56,0,3,0,0,3,0,0,0,0,12,22,87,243,275,443,386,76,3,0,1535,0,8,23,27,26,19,3,0,0,103,11,65,179,179,125,75,22,0,0,651,6,77,171,151,169,136,23,0,0,746,311,626,728,499,455,316,80,3,0,3018,326,342,327,233,251,176,26,0,0,1685,21,73,217,217,209,174,43,0,0,960,4,45,83,67,42,27,11,0,0,287,13,216,448,327,271,112,32,4,0,1425,14,26,101,68,71,34,9,0,0,318,20,231,574,345,186,137,38,7,0,1533,15,140,292,198,209,183,42,0,0,1077,22,100,275,288,253,170,31,0,0,1143,90,345,878,768,565,408,103,7,0,3162,112,963,1974,1164,1119,877,201,6,0,6409,25,53,63,49,27,19,7,0,0,248,26,86,253,185,189,107,23,7,0,875
CED106,1502,3359,6341,10072,9854,6838,2542,549,56,41118,4,6,11,19,20,13,18,4,0,106,0,0,14,17,17,10,3,0,0,57,48,70,174,301,278,157,50,7,0,1095,0,0,20,44,50,15,4,0,0,137,3,38,139,233,233,126,40,3,0,819,11,61,195,399,383,221,55,12,0,1330,443,555,522,571,485,351,128,16,0,3075,488,248,255,280,209,142,43,4,0,1663,0,12,86,168,158,90,25,3,0,533,25,79,174,303,253,133,32,0,0,997,21,154,642,1355,983,385,89,13,0,3648,14,53,154,290,275,155,66,18,0,1027,51,495,999,1565,1383,784,260,45,0,5595,20,55,140,222,251,170,64,11,0,935,8,50,227,418,423,243,55,7,0,1430,289,451,700,1049,1424,1036,315,47,0,5316,156,730,1422,1807,2018,1600,496,75,0,8297,54,90,87,114,106,61,17,3,0,526,57,97,189,229,259,163,42,8,0,1030
CED107,2524,3405,7907,7586,7959,6948,2656,570,60,39609,38,55,128,183,223,287,277,123,15,1336,7,44,187,141,97,42,0,0,0,522,92,88,240,256,244,213,49,4,0,1196,0,6,36,39,51,29,6,0,0,171,32,63,177,205,179,156,42,0,0,861,15,45,79,78,89,86,23,4,0,420,688,456,791,667,671,605,149,16,0,4040,855,417,527,407,390,359,108,5,0,3076,8,29,88,128,172,165,45,3,0,638,11,30,60,78,58,37,9,3,0,285,8,57,175,155,172,101,26,0,0,699,14,33,102,92,123,77,30,5,0,470,40,110,391,373,360,275,86,5,0,1633,26,90,255,279,326,302,57,0,0,1344,26,146,603,739,834,517,93,0,0,2963,130,333,1016,1238,1463,1023,237,22,0,5457,246,859,2081,1910,2020,1909,436,26,0,9497,72,49,90,79,73,54,18,5,0,436,85,136,319,264,274,187,50,6,0,1336
CED108,1689,4163,10420,12138,8030,5706,1293,98,6,43533,0,8,36,38,35,34,5,0,0,159,0,0,0,4,8,3,0,0,0,11,25,113,418,525,524,396,53,0,0,2059,0,9,67,74,63,35,0,0,0,244,16,72,264,301,216,103,27,0,0,1003,8,92,261,381,240,172,28,0,0,1186,436,768,1059,1011,694,454,91,0,0,4513,685,374,358,246,208,157,24,0,0,2054,41,161,416,523,400,280,55,0,0,1880,13,34,147,158,54,29,6,0,0,450,13,204,718,824,449,209,36,0,0,2454,12,63,134,127,57,35,6,0,0,428,22,198,681,657,240,109,30,0,0,1952,31,166,392,403,276,197,29,7,0,1501,18,115,433,573,445,326,58,0,0,1971,109,334,965,872,719,468,101,7,0,3589,124,845,2538,2659,1969,1333,298,13,0,9783,28,66,85,52,31,30,4,0,0,313,31,85,184,197,129,122,21,0,0,763
CED109,1800,3093,7294,7919,8198,6239,2080,371,35,37035,3,4,4,12,12,13,0,0,0,52,0,0,4,6,3,8,0,0,0,23,60,69,167,237,309,226,79,8,3,1167,0,3,24,42,48,26,4,0,0,150,19,84,271,338,326,186,59,8,0,1299,18,59,166,241,248,176,40,6,0,961,488,481,582,604,704,567,146,17,0,3597,571,279,274,240,244,160,40,5,0,1818,21,82,304,352,474,310,66,0,0,1607,18,58,171,133,94,35,9,0,0,528,10,149,521,658,597,312,54,10,0,2311,23,92,227,210,206,147,43,9,0,956,49,371,910,908,716,462,170,20,0,3601,17,53,223,261,310,183,50,9,0,1104,6,129,406,459,512,320,64,4,0,1899,148,336,1032,993,1191,928,282,10,0,4922,149,639,1462,1408,1650,1484,396,39,0,7228,61,70,132,114,110,73,22,0,0,577,78,110,312,277,251,188,41,11,0,1260
CED110,2322,2644,5926,6379,7084,6528,2286,372,45,33586,18,41,119,120,135,164,104,57,5,763,0,0,0,3,7,7,0,0,0,24,51,45,116,116,151,164,49,3,0,691,0,3,36,80,117,81,7,0,0,325,15,29,131,173,183,159,38,8,0,744,7,17,46,60,72,70,24,3,0,309,772,440,616,647,733,725,176,16,0,4132,1003,511,529,489,470,418,92,8,0,3524,15,29,59,81,126,138,31,3,0,476,22,9,41,52,44,46,11,4,0,232,13,35,109,140,171,126,16,7,0,614,14,42,102,94,132,90,35,7,0,510,19,74,281,391,344,314,107,13,0,1543,24,74,201,291,321,331,66,3,0,1305,14,80,311,457,558,344,69,0,0,1835,88,244,826,1092,1364,1045,225,14,0,4890,206,761,1909,1970,2605,2550,560,30,0,10599,59,37,69,68,80,59,30,0,0,404,66,113,266,276,221,205,64,3,0,1210
