CED_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
CED101,29,131,343,382,285,204,60,14,0,1440,1453,3601,8060,8085,7545,5566,1196,106,5,35638,3,10,19,28,25,35,4,3,0,138,0,0,9,19,18,7,4,0,0,59,92,208,638,828,983,950,233,33,0,3957,5,23,98,145,171,90,21,0,0,553,262,562,1366,1219,1075,747,144,20,0,5401,27,120,370,609,645,459,115,14,0,2358,662,1213,1528,1259,1036,755,197,24,0,6680,851,752,858,612,484,501,75,6,0,4151,64,249,765,1122,1268,1122,215,19,0,4820,17,100,346,378,275,157,25,6,0,1302,20,369,1324,1626,1294,565,91,8,0,5306,28,123,316,343,304,190,42,14,0,1358,46,678,1818,1824,1313,836,248,41,4,6808,40,243,654,512,482,383,114,13,0,2445,45,202,823,995,1026,792,181,3,0,4058,209,520,1420,1336,1435,1185,316,18,0,6455,147,1008,2603,2030,1897,1788,446,30,0,9947,111,153,226,203,144,117,39,3,0,994
CED102,30,206,599,431,301,200,54,11,0,1826,1116,4166,12316,9436,7697,4982,1086,79,7,40878,3,12,43,37,23,16,11,4,0,148,0,0,18,17,11,13,0,0,0,68,43,259,884,832,749,763,175,17,4,3726,0,17,104,151,108,55,25,0,0,468,174,518,1964,1454,1071,675,171,12,0,6031,29,153,592,608,560,389,88,8,0,2430,566,1485,2429,1580,1167,776,207,29,0,8240,710,1158,1787,982,647,482,108,10,0,5886,56,321,1163,1307,1335,1043,226,11,0,5460,18,144,563,598,429,169,37,0,0,1963,11,366,2002,1930,1145,467,63,10,0,5994,25,134,458,449,286,153,44,8,0,1550,62,742,3241,2429,1308,695,205,23,0,8716,28,396,1101,712,585,461,156,9,0,3452,26,215,1081,1074,1077,781,147,6,0,4400,159,513,1645,1518,1470,952,242,16,0,6518,129,1172,3730,2362,1940,1615,452,22,0,11419,68,160,380,313,225,140,35,3,0,1324
CED103,25,144,573,571,311,229,64,14,0,1935,1530,4023,12642,11561,8483,6070,1467,138,4,45908,5,7,48,38,38,32,9,0,0,176,0,7,31,36,36,14,0,0,0,127,67,213,1023,1219,970,771,190,17,0,4461,4,20,126,207,163,103,29,0,0,653,139,494,1620,1530,1125,783,171,14,0,5868,34,181,910,1278,904,586,130,15,4,4036,797,1407,2031,1494,1021,845,251,30,0,7870,827,860,1253,883,576,447,111,7,0,4961,27,149,670,788,699,671,163,15,3,3189,34,197,908,1103,636,322,70,5,0,3268,25,478,2447,2716,1554,741,149,10,4,8129,19,135,599,620,357,256,85,15,0,2080,84,992,4247,3960,2224,1308,423,61,3,13307,28,166,651,613,539,446,146,12,0,2598,29,204,999,1156,861,728,189,7,0,4171,317,781,2098,1903,1685,1381,369,48,5,8579,193,1090,3456,2753,2385,2035,646,77,0,12642,109,197,344,258,161,111,31,3,0,1218
CED104,37,101,210,348,314,189,65,17,0,1289,2008,3145,5003,8365,9212,6585,1799,200,11,36334,32,27,86,105,169,174,102,40,3,738,4,7,14,33,31,27,12,4,0,136,126,181,410,778,985,791,228,46,5,3547,4,21,71,145,176,134,36,0,0,581,326,740,1065,1307,1534,1068,312,41,4,6395,43,111,314,738,888,634,178,43,0,2952,943,1038,804,976,1072,823,256,44,4,5975,1086,454,278,362,333,282,66,15,0,2882,46,103,200,420,605,577,182,25,0,2154,35,120,309,648,626,300,78,3,0,2127,26,294,740,1860,1471,818,210,25,0,5455,50,111,210,358,350,292,107,31,0,1521,120,777,1440,2461,2536,1673,585,88,8,9692,45,119,243,438,473,409,131,18,0,1872,28,143,444,924,1072,754,172,18,0,3558,398,725,1004,1633,2243,1701,509,31,5,8250,267,948,1518,2079,2563,2250,717,78,4,10425,124,142,157,189,220,131,49,9,0,1014
CED105,65,239,532,358,300,198,53,6,0,1756,1107,3736,7363,5425,4927,3571,821,40,0,26994,0,18,35,26,25,34,8,0,0,146,0,3,14,4,7,9,7,0,0,41,62,289,865,865,1178,1194,239,21,0,4710,4,28,100,115,81,60,16,0,0,408,188,545,1428,1115,899,571,118,10,0,4868,36,164,480,460,462,406,84,6,0,2095,549,1303,1756,1098,865,659,154,13,0,6399,629,800,839,559,472,381,81,4,0,3771,69,346,1135,1049,985,896,219,11,0,4713,18,85,290,273,164,81,16,0,0,934,21,384,944,685,454,197,51,3,0,2738,18,74,204,160,138,85,30,3,0,713,40,465,1331,896,499,311,104,13,0,3659,40,376,666,449,399,343,96,9,0,2371,44,217,731,721,548,421,107,6,0,2795,123,467,1195,1022,750,580,149,11,0,4294,133,1191,2652,1614,1453,1114,293,14,0,8468,49,110,158,112,66,57,22,0,0,581
CED106,44,110,289,449,355,198,67,13,8,1536,1739,3356,6448,9822,9569,6052,1861,296,22,39160,6,17,26,41,53,41,37,11,3,241,0,5,21,48,50,36,19,5,0,184,76,155,425,703,709,505,189,21,0,2782,0,15,53,147,145,81,25,5,0,476,103,347,656,895,821,618,202,33,0,3678,28,140,395,831,882,588,145,36,0,3049,831,1109,1036,1145,1013,685,261,49,7,6122,912,577,606,605,445,309,113,6,0,3578,38,79,253,493,505,409,114,12,0,1898,37,148,415,788,743,353,68,8,4,2564,29,406,1374,3086,2567,1146,280,60,6,8963,36,111,333,578,552,345,147,45,8,2162,88,960,2199,3733,3417,2201,879,208,20,13703,41,159,349,460,510,372,154,24,0,2072,13,125,489,817,836,576,154,24,3,3031,493,789,1045,1427,1838,1414,485,93,3,7589,224,993,1977,2517,2819,2256,792,137,0,11720,112,181,193,219,197,115,33,3,0,1059
CED107,87,99,201,177,196,178,77,35,6,1052,2489,3142,7541,7488,8018,6610,1830,270,31,37425,124,201,482,669,780,975,871,398,51,4539,44,321,1286,1303,1074,608,78,8,0,4725,242,367,920,927,1010,843,190,35,4,4542,14,51,173,221,266,236,30,0,0,990,476,794,1505,1291,1175,937,308,24,0,6518,62,127,299,281,301,301,73,9,0,1457,1177,846,1411,1076,1042,944,278,40,0,6821,1569,727,933,687,607,566,217,18,5,5325,55,114,355,457,620,661,272,44,0,2579,23,53,133,138,117,88,29,4,0,587,16,80,237,261,270,188,65,5,0,1122,22,57,165,160,222,153,83,12,3,879,73,186,670,631,662,513,239,35,0,3021,60,194,425,436,510,492,116,11,0,2254,66,268,1123,1370,1661,1194,247,12,0,5932,169,454,1300,1581,1847,1401,376,31,0,7164,280,1049,2655,2431,2537,2392,616,48,0,12016,133,77,154,141,142,136,49,4,0,832
CED108,92,219,554,502,330,192,52,11,0,1938,1710,3932,9705,10126,7096,4683,929,51,5,38241,9,22,79,86,83,69,21,5,0,369,0,6,17,34,17,20,4,0,0,99,124,410,1315,1691,1677,1350,235,9,0,6810,5,46,216,271,232,163,22,0,0,954,209,672,1566,1389,1012,605,137,4,0,5601,44,233,696,1022,687,509,85,10,0,3284,763,1461,2072,1994,1271,811,158,11,0,8538,1215,632,712,561,370,285,51,3,0,3826,145,652,1879,2137,1605,1235,275,10,0,7945,20,76,347,586,217,98,22,0,0,1373,21,330,1236,1762,729,339,57,0,0,4467,25,96,244,276,147,79,25,0,0,890,48,394,1408,1857,682,313,81,8,0,4783,75,328,717,779,506,401,81,8,0,2906,31,253,992,1231,991,720,169,5,3,4395,155,460,1272,1175,956,633,168,20,0,4832,159,1103,3268,3455,2471,1716,408,16,0,12603,44,124,178,130,76,71,16,0,0,644
CED109,46,131,305,298,280,179,69,17,14,1330,1779,3201,7491,7790,8284,5977,1652,175,24,36382,3,10,15,34,39,23,12,7,0,143,0,0,17,34,27,27,3,3,0,118,126,190,499,691,901,784,262,47,6,3491,9,25,102,139,207,108,39,0,0,627,491,988,2144,1818,1685,1015,279,38,4,8458,33,125,336,555,609,496,126,22,4,2305,835,863,1016,1064,1182,1002,289,36,3,6285,1022,504,536,512,475,335,103,23,0,3503,59,212,681,983,1334,1044,260,19,0,4601,30,122,310,339,292,125,38,0,0,1262,22,299,1001,1294,1181,613,127,15,6,4550,44,169,406,425,412,307,129,33,11,1930,77,620,1606,1769,1504,1012,466,72,3,7125,39,113,381,476,562,397,112,25,0,2103,24,244,969,1010,1112,767,165,12,0,4311,214,435,1335,1279,1516,1214,411,26,0,6426,188,772,1848,1801,2027,1894,568,90,8,9200,118,137,273,245,213,145,34,4,0,1185
CED110,87,96,163,213,234,187,76,33,10,1088,2491,2686,5932,6822,8070,7215,1781,218,20,35220,65,116,365,392,445,506,372,161,16,2441,0,11,29,55,71,55,6,0,0,227,131,212,488,518,568,546,156,17,0,2628,14,18,167,291,349,280,33,3,0,1154,328,652,1314,1250,1262,1160,306,23,0,6294,48,81,184,226,270,250,78,8,5,1134,1376,857,1202,1186,1265,1200,361,52,5,7503,1791,885,1001,869,825,714,200,29,5,6329,41,99,268,345,523,648,227,30,6,2173,40,30,87,109,111,109,29,4,0,528,11,50,201,253,294,229,61,13,3,1113,11,57,145,161,212,187,96,9,3,886,40,133,527,687,680,596,276,43,0,2987,68,138,407,516,617,618,157,9,0,2536,27,159,635,944,1173,835,163,4,0,3938,119,322,1159,1497,1820,1459,371,24,0,6779,262,950,2550,2694,3406,3299,798,54,0,14011,122,76,135,152,193,129,60,5,0,873
