CED_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED101,86,223,495,512,491,469,100,23,0,2404,65,329,863,854,691,517,163,19,7,3512,2783,7096,16552,16461,15055,11663,2770,302,16,72702
CED102,58,222,660,619,588,430,104,18,0,2705,92,471,1392,981,719,489,138,20,7,4312,2256,8465,25249,19965,15439,10576,2620,225,20,84802
CED103,71,237,605,648,582,485,132,15,3,2783,66,306,1293,1243,722,546,156,32,6,4379,2857,8124,25347,24454,17245,12619,3446,376,29,94497
CED104,135,247,357,452,607,490,161,33,0,2484,95,218,462,751,741,522,180,56,8,3029,3926,6525,10140,16667,18696,13849,4265,638,45,74757
CED105,66,202,541,459,456,317,90,12,0,2140,147,619,1443,1007,834,613,167,13,3,4842,2235,7690,16806,12691,10723,8342,2037,156,5,60680
CED106,82,180,358,428,466,341,127,24,3,2002,92,222,583,914,853,494,175,46,13,3399,3242,6707,12794,19895,19425,12891,4399,842,82,80277
CED107,211,322,683,544,556,455,133,19,0,2934,196,263,537,466,573,470,197,86,18,2789,5020,6554,15442,15074,15974,13561,4483,843,93,77039
CED108,98,241,547,550,453,353,81,10,0,2335,199,571,1371,1275,927,611,145,23,3,5127,3397,8095,20126,22270,15121,10391,2217,140,9,81783
CED109,136,203,636,528,537,455,126,28,0,2653,108,260,668,719,687,479,168,39,15,3149,3581,6296,14787,15713,16482,12219,3737,548,57,73421
CED110,145,252,525,522,532,446,144,14,0,2582,171,237,466,535,555,480,166,75,20,2699,4814,5328,11857,13197,15150,13745,4066,588,66,68809
CED111,141,355,611,521,511,427,99,20,0,2695,102,305,629,568,486,362,88,15,7,2561,4134,8479,16666,15710,15570,11313,2594,269,23,74762
CED112,145,301,649,566,589,422,111,13,0,2793,148,264,592,623,602,464,118,44,9,2866,4815,6416,14115,15095,15129,11541,2831,313,26,70283
CED113,198,297,568,531,551,428,151,30,0,2745,176,274,621,607,589,534,202,42,23,3072,4887,6579,16013,16481,18369,15002,4683,789,98,82890
CED114,192,310,632,553,521,427,156,19,0,2824,252,341,723,625,614,591,228,92,23,3489,5175,6529,15620,15154,16076,14986,5065,870,104,79567
CED115,60,190,509,468,471,309,78,7,0,2094,138,421,950,885,913,718,136,16,3,4180,2188,6502,14013,11479,11105,8951,2085,136,13,56472
CED116,146,226,493,451,519,433,136,21,0,2416,185,204,456,442,533,468,155,45,15,2506,4314,4941,11737,12649,14028,13482,3925,501,40,65606
CED117,64,181,692,600,528,340,135,8,0,2539,47,245,967,811,621,327,121,26,3,3168,1893,6265,23594,21158,17232,10455,3096,357,20,84060
CED118,121,261,648,716,591,387,87,5,0,2819,130,421,1302,1533,922,526,116,17,0,4964,3914,8400,21514,29348,18911,10864,2498,156,8,95618
CED119,165,275,546,593,642,454,121,23,0,2811,109,191,563,670,615,425,143,27,4,2748,4290,6801,14034,17728,17577,12140,3094,319,11,75998
CED120,238,364,758,704,714,474,146,13,0,3426,234,361,759,735,770,566,186,47,6,3681,5434,7397,17093,17665,17781,13462,3941,561,41,83372
CED121,258,406,883,672,698,414,117,24,0,3480,198,335,689,635,592,427,139,35,8,3065,5334,7203,16798,16121,16189,12183,3048,400,33,77317
