CED_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
CED101,28,168,375,453,184,968,102,478,32,2783,337,1498,907,1178,943,1088,291,710,134,7096,1763,5519,1829,1767,2243,1200,661,1197,381,16552,2917,5227,1627,1189,2637,1027,740,759,339,16461,2596,3776,1487,1257,2837,988,951,886,283,15055,1568,2467,1402,1025,2260,713,1028,1022,180,11663,308,640,304,218,569,176,222,269,61,2770,36,72,27,25,64,23,18,23,19,302,4,4,0,0,7,0,0,0,5,16,9554,19382,7967,7101,11733,6174,4014,5345,1433,72702
CED102,30,173,233,283,190,831,80,388,42,2256,395,1640,968,1385,989,1431,369,1065,209,8465,2673,8904,2622,2591,2953,1866,984,2061,596,25249,3421,6558,1956,1464,2826,1262,869,1188,416,19965,2720,4004,1534,1248,2688,1013,946,994,287,15439,1436,2290,1190,964,1780,707,910,1086,201,10576,305,564,270,219,428,173,248,356,71,2620,27,56,31,17,27,26,9,27,12,225,6,4,4,0,4,0,0,0,3,20,11017,24197,8809,8166,11889,7307,4419,7154,1841,84802
CED103,42,285,207,481,241,997,86,475,29,2857,428,2205,847,1257,1198,1307,208,532,146,8124,2997,11701,2288,1709,3183,1644,514,807,513,25347,4823,10311,2016,1305,3189,1222,474,667,458,24454,3666,6071,1442,1144,2600,844,480,754,245,17245,2152,3813,1256,929,2143,732,579,843,177,12619,452,1131,288,213,644,196,174,283,57,3446,52,131,24,17,78,27,17,10,19,376,3,4,5,0,0,0,0,5,3,29,14618,35651,8375,7052,13275,6972,2531,4383,1649,94497
CED104,44,275,486,746,270,1187,130,729,46,3926,317,1609,1012,1063,873,933,185,441,90,6525,1317,4152,1226,822,1217,593,235,415,161,10140,3660,6944,1328,907,2135,741,274,383,290,16667,4649,6449,1533,1181,2843,837,433,562,211,18696,2944,4382,1317,848,2400,741,434,620,162,13849,737,1442,362,242,788,241,146,241,66,4265,149,189,45,23,103,42,26,40,26,638,12,16,0,0,9,0,0,0,3,45,13836,25471,7315,5831,10639,5314,1870,3428,1055,74757
CED105,28,122,275,229,190,795,98,409,76,2235,281,1292,851,1205,986,1169,504,1106,284,7690,1334,4667,1881,2037,2074,1257,1246,1672,637,16806,1548,2873,1597,1307,1934,770,1104,1143,400,12691,1216,1759,1444,1180,1666,614,1172,1375,296,10723,787,1034,1131,792,1248,474,1262,1399,207,8342,196,326,232,172,344,112,269,327,57,2037,20,33,16,12,28,6,8,23,12,156,0,0,5,0,0,0,0,0,3,5,5419,12122,7431,6938,8463,5207,5675,7456,1974,60680
CED106,41,361,183,731,236,973,123,530,47,3242,328,1999,564,1248,936,1022,149,364,102,6707,1676,5911,993,1006,1470,871,181,464,220,12794,4600,9276,1043,829,2253,901,239,379,375,19895,5447,7868,878,929,2453,875,242,399,335,19425,3150,5047,700,680,1788,639,243,434,211,12891,862,1776,241,186,739,253,81,179,87,4399,163,370,22,36,129,54,9,31,26,842,24,19,5,0,9,8,0,0,10,82,16300,32630,4622,5646,10018,5593,1272,2782,1415,80277
CED107,65,91,813,972,196,1433,163,1194,83,5020,289,668,1454,1450,536,755,420,867,108,6554,1494,3328,2960,2124,1514,1062,1249,1479,245,15442,2127,3322,2265,1784,1826,858,1332,1279,284,15074,2551,3107,2044,1848,2229,827,1555,1524,287,15974,2212,2363,1584,1441,1987,755,1401,1615,193,13561,1184,800,411,341,525,253,433,427,98,4483,418,91,41,20,65,31,60,78,45,843,51,4,5,3,4,0,0,4,21,93,10395,13771,11573,9989,8872,5978,6617,8469,1367,77039
CED108,61,108,364,351,188,1173,314,757,88,3397,319,1036,975,1157,1034,1158,1219,966,225,8095,1644,5094,2228,2177,2771,1262,2728,1672,549,20126,2643,5805,2027,2126,3514,1210,2768,1654,526,22270,1460,2557,1695,1580,2578,733,2405,1798,319,15121,813,1312,1196,1128,1778,567,1906,1464,218,10391,163,281,250,251,408,121,385,310,52,2217,10,25,16,13,22,8,15,18,10,140,5,0,0,0,4,0,0,0,0,9,7116,16228,8761,8773,12299,6236,11733,8640,1985,81783
CED109,52,146,598,718,245,1062,116,609,37,3581,381,1356,1121,1042,850,855,200,374,124,6296,2247,4892,2207,1474,1830,955,385,503,289,14787,3723,4624,1660,1147,2344,947,472,508,299,15713,3745,4023,1679,1304,2869,1171,666,714,305,16482,2275,2933,1245,932,2421,921,660,674,153,12219,655,1001,335,238,771,281,206,205,54,3737,101,143,45,23,100,37,19,44,23,548,10,11,8,0,9,6,0,4,16,57,13186,19129,8890,6880,11442,6244,2729,3626,1294,73421
CED110,76,57,596,932,162,1637,140,1124,91,4814,261,507,1007,1284,478,780,220,674,114,5328,1017,2855,2010,1937,1194,916,491,1248,191,11857,1763,3381,1780,1836,1555,894,545,1214,235,13197,2186,3479,1736,2202,2079,1036,737,1433,255,15150,1878,2702,1499,1981,1985,1010,927,1570,198,13745,741,930,386,395,557,338,262,380,77,4066,227,78,27,23,71,29,29,41,64,588,24,5,3,4,3,8,4,3,20,66,8173,13991,9039,10597,8078,6650,3359,7680,1241,68809
