GCCSA_PEP_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
1GSYD,183898,34540,31224,6963,7051,7453,7698,3852,1456,5904,290044,249301,93805,85085,24944,27286,30413,30771,10266,2349,8503,562729,56201,13802,16613,5086,5902,5730,7682,2770,914,3881,118582,623,125,159,55,76,97,151,106,62,274,1721,306131,107726,101861,30080,33260,36238,38606,13142,3326,12657,683035,418,89,122,31,41,86,67,29,18,5074,5970,490452,142359,133212,37074,40360,43772,46376,17020,4797,23637,979049,178202,31743,29566,6798,6677,7149,7780,3683,1404,5532,278536,261255,98071,92103,26362,27434,29257,30710,10958,2746,8057,586956,83423,20795,21915,6600,6279,6166,9941,4137,1158,4859,165278,693,131,139,49,64,83,131,88,43,338,1758,345372,118992,114160,33014,33777,35506,40782,15183,3944,13250,753986,467,116,141,36,39,59,68,26,17,4584,5555,524042,150855,143868,39845,40494,42716,48626,18895,5365,23364,1038072,362104,66285,60792,13759,13733,14600,15480,7539,2853,11434,568580,510563,191871,177188,51309,54720,59673,61482,21221,5098,16555,1149684,139625,34592,38534,11688,12186,11892,17625,6913,2077,8740,283860,1318,263,304,99,133,177,286,187,100,609,3477,651504,226724
1RNSW,76799,8816,6655,1150,1147,1168,1445,887,387,3434,101901,19014,8764,10055,2982,3250,3685,4060,1532,530,1060,54928,2964,693,1050,394,477,677,1112,366,147,369,8246,91,21,20,13,9,19,21,14,20,46,269,22065,9477,11120,3387,3734,4383,5196,1914,695,1476,63447,157,21,20,0,5,9,13,7,6,1843,2075,99020,18308,17795,4542,4888,5558,6657,2806,1084,6755,167421,80108,9080,7357,1379,1265,1313,1569,882,338,3728,107021,22690,9535,11151,3127,3394,3881,4361,1604,446,1212,61407,4316,948,1298,466,530,722,1421,446,110,439,10697,97,20,33,13,11,21,34,7,13,60,299,27104,10500,12486,3613,3931,4617,5818,2058,567,1710,72397,207,9,16,5,5,15,11,7,4,634,911,107416,19591,19856,4990,5195,5954,7398,2949,909,6070,180327,156907,17893,14010,2527,2414,2484,3016,1770,730,7165,208922,41704,18303,21210,6110,6636,7564,8423,3138,982,2273,116334,7275,1638,2342,866,1008,1399,2533,812,252,808,18941,185,39,54,24,17,39,51,23,31,104,565,49171,19980
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,161299,33916,28710,5751,6025,6335,6882,2744,1249,5602,258514,185534,101531,85824,22486,24369,27912,29548,9557,2285,7202,496259,40011,10476,13199,3668,4154,4781,6749,2674,916,2921,89551,566,164,131,48,48,73,138,68,50,267,1558,226115,112177,99154,26200,28570,32767,36439,12298,3251,10400,587370,345,95,146,36,46,42,69,20,18,2171,2994,387765,146191,128013,31983,34644,39143,43395,15058,4512,18175,848878,164037,31359,27639,5699,6004,5945,6409,2712,1166,5505,256474,195252,97399,93730,24296,25089,26203,28608,10269,2756,6967,510568,61777,15653,18601,5235,5320,5645,9162,3965,1123,4063,130530,608,155,152,38,45,58,136,71,55,328,1645,257636,113206,112477,29568,30449,31916,37909,14300,3930,11356,642746,411,97,142,32,54,47,54,20,11,1554,2420,422079,144665,140264,35291,36512,37900,44371,17032,5106,18416,901636,325338,65278,56350,11447,12028,12278,13297,5462,2414,11106,514988,380788,198929,179555,46783,49461,54112,58156,19828,5037,14171,1006822,101782,26134,31796,8894,9472,10430,15912,6633,2038,6982,220082,1171,319,281,88,92,136,275,133,108,603,3198,483753,225382
2RVIC,40130,4875,3808,660,573,657,774,392,164,2024,54060,9644,6387,6361,1758,1908,2323,2805,989,316,749,33241,1644,719,1080,356,465,566,748,209,81,282,6148,72,19,23,4,3,11,28,16,15,53,237,11364,7126,7464,2113,2378,2899,3578,1212,407,1081,39626,97,18,9,3,7,5,6,5,0,1218,1371,51593,12016,11281,2784,2952,3564,4361,1610,574,4328,95062,41777,4964,3971,736,684,750,813,403,142,2087,56325,11404,6261,6870,2019,2016,2356,2714,991,292,764,35687,2330,927,1153,365,482,620,847,297,73,333,7435,70,13,24,7,8,17,14,15,0,41,204,13804,7199,8045,2392,2505,2987,3578,1299,372,1140,43325,118,11,14,5,3,10,3,3,0,269,439,55705,12178,12029,3137,3197,3745,4389,1704,517,3497,100092,81911,9837,7784,1400,1259,1406,1584,791,307,4115,110391,21053,12645,13234,3777,3923,4682,5515,1979,607,1511,68924,3975,1650,2235,720,950,1188,1598,505,156,613,13582,141,33,44,8,11,23,41,25,17,97,441,25172,14326
29799,12,6,0,0,0,0,0,0,0,0,21,3,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,18,6,4,0,0,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,19,4,0,0,0,0,0,0,0,0,28,3,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
3GBRI,100867,28934,18935,3065,2804,3140,3334,1744,903,4102,167827,43347,33006,26802,6396,6643,7824,9110,3299,830,2155,139406,6659,2852,3192,858,889,1202,2029,848,263,692,19489,88,52,51,23,16,30,32,27,21,71,411,50095,35908,30050,7272,7551,9055,11171,4179,1110,2917,159303,143,51,56,3,4,18,24,12,4,1367,1688,151106,64888,49036,10342,10357,12212,14532,5936,2023,8385,328822,103025,27769,19136,3181,3123,3238,3407,1754,858,3938,169434,49195,34839,31442,7401,7612,8549,9983,3840,1084,2322,156270,9986,4487,4753,1307,1270,1542,2945,1286,355,880,28811,126,61,47,18,18,11,47,25,12,84,447,59307,39382,36244,8732,8895,10109,12974,5153,1455,3284,185530,169,57,74,12,13,9,30,7,5,641,1022,162501,67213,55458,11917,12039,13349,16404,6918,2319,7864,355989,203891,56704,38068,6242,5933,6373,6738,3501,1765,8040,337257,92542,67845,58243,13795,14258,16373,19087,7147,1915,4470,295676,16647,7336,7952,2166,2162,2744,4977,2128,615,1569,48297,216,104,102,40,31,46,77,50,30,161,860,109404,75293
3RQLD,99614,22876,15031,2552,2415,2477,2956,1684,785,4478,154875,19289,14248,12665,3184,3577,4239,5620,2244,718,1431,67211,2197,1048,1163,306,407,668,1323,511,232,387,8245,84,27,27,10,7,17,38,29,29,71,338,21573,15319,13861,3501,3993,4921,6984,2783,982,1885,75799,148,49,26,5,3,17,25,15,14,726,1038,121340,38239,28914,6060,6413,7421,9959,4485,1786,7098,231707,104369,24108,16701,3029,2759,2874,3380,1746,768,4519,164249,25360,16256,16219,4110,4407,4918,6356,2514,722,1615,82480,3154,1596,1839,488,650,922,1685,625,143,416,11517,109,43,40,10,6,18,35,19,12,83,373,28624,17886,18096,4608,5062,5859,8068,3164,878,2120,94372,193,38,31,6,4,13,25,8,7,598,928,133184,42035,34832,7643,7829,8748,11478,4913,1656,7233,259553,203988,46980,31729,5578,5173,5352,6334,3428,1558,9000,319129,44648,30502,28886,7292,7987,9156,11976,4758,1442,3049,149692,5348,2637,3004,790,1059,1593,3013,1138,377,803,19759,197,66,66,27,12,32,66,44,45,148,711,50197,33210
39799,4,0,0,0,0,0,3,0,0,3,12,0,0,0,6,3,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,8,4,9,0,0,4,39,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,6,0,0,0,0,0,5,0,0,3,19,0,0,0,6,3,0,6,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,55853,9280,5836,1003,1008,1152,1285,756,267,1856,78305,26845,18679,16530,4640,4960,6077,7033,2900,404,1403,89475,5620,1768,2652,622,572,742,1244,538,172,424,14358,98,27,31,3,13,13,25,15,8,44,272,32565,20476,19210,5275,5536,6830,8299,3451,591,1869,104103,111,20,13,7,4,8,11,11,0,309,493,88537,29779,25061,6285,6552,7990,9594,4221,858,4029,182897,59119,9252,5811,1016,1004,1196,1285,732,270,2108,81794,29667,18499,17996,5047,5355,6025,6822,2686,432,1319,93862,8925,2845,3334,853,843,996,1847,804,224,632,21297,125,37,34,0,8,5,10,22,0,43,297,38722,21384,21362,5899,6207,7025,8684,3511,656,2002,115453,144,20,23,6,8,4,14,5,0,230,455,97984,30654,27193,6929,7219,8227,9986,4250,926,4339,197700,114972,18527,11647,2017,2016,2349,2570,1492,538,3960,160096,56513,37181,34530,9689,10318,12100,13859,5589,836,2726,183337,14546,4614,5981,1477,1411,1738,3089,1343,395,1061,35652,224,62,65,6,19,19,40,36,12,87,569,71281,41860
