GCCSA_PEP_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
1GSYD,1490194,1486779,2976980,2865,2986,5857,110213,109187,219407,771,861,1634,67205,77207,144409,120423,138741,259169,6856,8013,14867,194488,223955,418441,8517,9463,17977,9248,10042,19293,6296,7241,13541,34593,38481,73071,19647,17864,37512,12655,11783,24434,38361,37878,76241,33970,27636,61607,23847,20395,44243,5931,6096,12028,24192,19279,43469,7627,7671,15295,166232,148596,314830,25396,27809,53201,6359,9181,15539,5500,6614,12113,28137,31943,60080,9472,9690,19157,7850,7885,15737,12889,12495,25381,5100,6354,11453,12828,13671,26498,7963,10509,18478,7647,8290,15937,9461,10319,19788,11484,15117,26592,14119,16455,30579,19450,26355,45808,3921,4682,8605,48973,62613,111584,29759,33449,63206,18741,17966,36702,8251,15232,23481,10897,10981,21878,52022,61046,113064,104181,105123,209304,944034,1011257,1955289,140836,137130,277971,6506,6974,13479,2581571,2642142,5223712
1RNSW,1210434,1255612,2466050,1566,1559,3126,4105,3687,7794,1753,2088,3841,2140,2385,4519,5411,6096,11509,267,324,588,7812,8804,16619,1152,1303,2449,1990,2233,4221,2921,3644,6562,2728,2880,5599,1118,970,2089,1278,1131,2409,1976,1795,3774,3440,3068,6501,4955,4253,9205,798,769,1563,1899,1263,3163,397,356,750,15856,13607,29465,5186,5589,10778,1042,1447,2490,243,315,555,1042,1179,2224,4495,4444,8938,2595,2553,5154,737,671,1409,855,1169,2020,1767,1946,3713,612,990,1598,771,594,1368,1513,1596,3113,1585,2695,4279,744,972,1714,2107,3701,5811,888,1112,1995,5323,8480,13803,4032,4539,8571,919,812,1735,1381,3159,4539,1026,939,1967,2171,2668,4839,16987,17965,34947,91105,99057,190163,97747,88305,186056,2229,1742,3971,1401513,1444721,2846239
19799,31,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,31,4,38
2GMEL,1477871,1502637,2980512,2312,2393,4709,43865,43755,87619,286,376,660,37464,43000,80466,97725,114769,212498,7091,8218,15303,142278,165983,308259,7635,8708,16342,7817,8703,16513,6066,7190,13252,48928,54532,103462,7322,7042,14363,12244,10798,23040,33264,30976,64237,10935,9200,20130,52895,44816,97713,24374,23062,47437,20211,16114,36327,5981,5930,11910,167226,147930,315159,38163,45190,83351,4720,6517,11236,7811,9201,17018,7428,8714,16144,13663,14116,27781,10965,10766,21727,11145,10358,21498,5375,7162,12536,4000,4470,8470,7491,9811,17311,6041,6521,12568,7869,8538,16416,8662,11733,20392,7542,9308,16850,10881,14865,25736,4862,5647,10519,31948,41547,73496,19142,21168,40308,16853,15822,32678,3929,8550,12473,16361,16940,33296,52806,62380,115188,119430,118017,237445,811322,865072,1676393,118566,114517,233083,5352,5840,11189,2413108,2488067,4901169
2RVIC,663282,692445,1355732,611,706,1311,2016,1753,3766,219,276,494,905,979,1889,4318,4838,9156,240,218,463,5464,6039,11501,1341,1540,2885,878,1065,1944,1336,1780,3109,1746,1788,3535,402,365,760,606,513,1124,1485,1171,2651,957,863,1823,3901,3321,7221,1047,963,2008,1023,723,1744,242,204,448,9658,8120,17774,4207,4512,8726,473,651,1121,222,288,516,288,379,666,789,765,1553,1849,1755,3604,472,409,879,454,622,1082,328,409,730,340,486,820,357,239,597,672,718,1383,1263,1919,3179,440,586,1018,1288,2003,3285,1141,1295,2436,4131,5801,9929,1323,1455,2780,744,666,1409,692,1496,2196,790,753,1544,1628,1865,3494,12216,11949,24168,55087,58071,113156,52481,48079,100562,935,799,1736,771787,799391,1571178
29799,141,20,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,0,13,335,49,385,0,0,0,493,72,565
3GBRI,957589,986079,1943671,3696,3892,7583,6132,5865,11996,767,949,1709,10050,11667,21715,29174,34906,64083,1324,1595,2915,40551,48168,88713,1026,1185,2208,3118,3457,6574,3279,3823,7099,3602,3804,7412,1697,1614,3314,3745,3473,7220,8447,8659,17104,3613,3448,7065,12032,10466,22500,2996,2954,5949,3192,2857,6049,1582,1538,3113,37307,35010,72319,4534,4876,9411,3132,4501,7632,1077,1272,2350,7123,8002,15124,408,474,875,4151,4117,8268,3389,3273,6664,1523,1948,3471,3281,3727,7004,2009,2786,4791,7206,7868,15073,1781,1826,3613,3189,4915,8104,1470,2131,3597,4354,7179,11535,1168,1854,3022,10181,16081,26266,9282,10183,19459,2881,2743,5622,1670,3887,5558,903,840,1747,12285,14354,26641,35868,37595,73462,211601,235817,447421,63426,58594,122022,3033,2867,5899,1235654,1283364,2519014
3RQLD,1103146,1135697,2238840,3628,3800,7426,2221,2008,4232,8579,9225,17799,2642,3135,5775,8548,11145,19689,399,468,868,11587,14742,26335,809,928,1734,2708,3127,5834,3705,4605,8312,1536,1663,3201,682,596,1273,1397,1191,2585,2168,2095,4267,2554,2433,4995,4550,3789,8348,1023,989,2012,906,721,1623,401,362,763,13687,12170,25857,4331,4464,8801,4158,6134,10297,204,313,511,3111,3662,6773,258,261,511,2354,2377,4730,933,907,1846,948,1272,2222,3885,4092,7974,1189,1806,2997,841,713,1549,797,871,1670,2400,4198,6606,874,1348,2225,3192,5864,9053,917,1413,2335,7388,12827,20214,4793,5457,10247,908,820,1734,1393,3736,5129,577,481,1059,2188,2640,4824,28553,30479,59034,109190,126883,236071,112948,94409,207363,5363,3611,8979,1330649,1360596,2691254
39799,89,19,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,8,0,8,0,0,0,18,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,29,189,29,220,17,10,24,317,65,385
4GADE,504924,525127,1030044,1083,1154,2239,5551,5214,10766,478,607,1082,4757,5189,9949,13978,16975,30957,768,846,1609,19504,23009,42514,1209,1404,2619,1115,1298,2413,1969,2524,4489,9729,10715,20442,1442,1323,2762,3889,3422,7312,5124,4524,9656,4794,4690,9489,10114,8638,18756,1988,1974,3971,2668,2148,4814,918,850,1767,30942,27578,58519,10383,12228,22611,916,1221,2145,2099,2388,4482,1686,1913,3595,290,302,588,2345,2311,4658,2713,2613,5328,2188,2742,4928,1233,1328,2555,1484,1906,3395,94,86,181,2048,2135,4179,1554,2353,3908,676,924,1600,2155,3300,5450,721,1063,1786,5109,7635,12744,3281,3626,6911,1664,1505,3161,628,1431,2063,344,374,722,9831,11482,21309,22998,22742,45741,142506,152969,295475,25754,25286,51043,1208,1286,2497,674396,704664,1379064
