GCCSA_PEP_CODE_2021,M_Neg_Nil_inc_15_19_yr,M_Neg_Nil_inc_20_24_yr,M_Neg_Nil_inc_25_34_yr,M_Neg_Nil_inc_35_44_yr,M_Neg_Nil_inc_45_54_yr,M_Neg_Nil_inc_55_64_yr,M_Neg_Nil_inc_65_74_yr,M_Neg_Nil_inc_75_84_yr,M_Neg_Nil_inc_85_yr_over,M_Neg_Nil_inc_Tot,M_1_149_15_19_yr,M_1_149_20_24_yr,M_1_149_25_34_yr,M_1_149_35_44_yr,M_1_149_45_54_yr,M_1_149_55_64_yr,M_1_149_65_74_yr,M_1_149_75_84_yr,M_1_149_85_yr_over,M_1_149_Tot,M_150_299_15_19_yr,M_150_299_20_24_yr,M_150_299_25_34_yr,M_150_299_35_44_yr,M_150_299_45_54_yr,M_150_299_55_64_yr,M_150_299_65_74_yr,M_150_299_75_84_yr,M_150_299_85_yr_over,M_150_299_Tot,M_300_399_15_19_yr,M_300_399_20_24_yr,M_300_399_25_34_yr,M_300_399_35_44_yr,M_300_399_45_54_yr,M_300_399_55_64_yr,M_300_399_65_74_yr,M_300_399_75_84_yr,M_300_399_85_yr_over,M_300_399_Tot,M_400_499_15_19_yr,M_400_499_20_24_yr,M_400_499_25_34_yr,M_400_499_35_44_yr,M_400_499_45_54_yr,M_400_499_55_64_yr,M_400_499_65_74_yr,M_400_499_75_84_yr,M_400_499_85_yr_over,M_400_499_Tot,M_500_649_15_19_yr,M_500_649_20_24_yr,M_500_649_25_34_yr,M_500_649_35_44_yr,M_500_649_45_54_yr,M_500_649_55_64_yr,M_500_649_65_74_yr,M_500_649_75_84_yr,M_500_649_85_yr_over,M_500_649_Tot,M_650_799_15_19_yr,M_650_799_20_24_yr,M_650_799_25_34_yr,M_650_799_35_44_yr,M_650_799_45_54_yr,M_650_799_55_64_yr,M_650_799_65_74_yr,M_650_799_75_84_yr,M_650_799_85_yr_over,M_650_799_Tot,M_800_999_15_19_yr,M_800_999_20_24_yr,M_800_999_25_34_yr,M_800_999_35_44_yr,M_800_999_45_54_yr,M_800_999_55_64_yr,M_800_999_65_74_yr,M_800_999_75_84_yr,M_800_999_85_yr_over,M_800_999_Tot,M_1000_1249_15_19_yr,M_1000_1249_20_24_yr,M_1000_1249_25_34_yr,M_1000_1249_35_44_yr,M_1000_1249_45_54_yr,M_1000_1249_55_64_yr,M_1000_1249_65_74_yr,M_1000_1249_75_84_yr,M_1000_1249_85_yr_over,M_1000_1249_Tot,M_1250_1499_15_19_yr,M_1250_1499_20_24_yr,M_1250_1499_25_34_yr,M_1250_1499_35_44_yr,M_1250_1499_45_54_yr,M_1250_1499_55_64_yr,M_1250_1499_65_74_yr,M_1250_1499_75_84_yr,M_1250_1499_85_yr_over,M_1250_1499_Tot,M_1500_1749_15_19_yr,M_1500_1749_20_24_yr,M_1500_1749_25_34_yr,M_1500_1749_35_44_yr,M_1500_1749_45_54_yr,M_1500_1749_55_64_yr,M_1500_1749_65_74_yr,M_1500_1749_75_84_yr,M_1500_1749_85_yr_over,M_1500_1749_Tot,M_1750_1999_15_19_yr,M_1750_1999_20_24_yr,M_1750_1999_25_34_yr,M_1750_1999_35_44_yr,M_1750_1999_45_54_yr,M_1750_1999_55_64_yr,M_1750_1999_65_74_yr,M_1750_1999_75_84_yr,M_1750_1999_85_yr_over,M_1750_1999_Tot,M_2000_2999_15_19_yr,M_2000_2999_20_24_yr,M_2000_2999_25_34_yr,M_2000_2999_35_44_yr,M_2000_2999_45_54_yr,M_2000_2999_55_64_yr,M_2000_2999_65_74_yr,M_2000_2999_75_84_yr,M_2000_2999_85_yr_over,M_2000_2999_Tot,M_3000_3499_15_19_yr,M_3000_3499_20_24_yr,M_3000_3499_25_34_yr,M_3000_3499_35_44_yr,M_3000_3499_45_54_yr,M_3000_3499_55_64_yr,M_3000_3499_65_74_yr,M_3000_3499_75_84_yr,M_3000_3499_85_yr_over,M_3000_3499_Tot,M_3500_more_15_19_yr,M_3500_more_20_24_yr,M_3500_more_25_34_yr,M_3500_more_35_44_yr,M_3500_more_45_54_yr,M_3500_more_55_64_yr,M_3500_more_65_74_yr,M_3500_more_75_84_yr,M_3500_more_85_yr_over,M_3500_more_Tot,M_Personal_inc_ns_15_19_yr,M_Personal_inc_ns_20_24_yr,M_Personal_inc_ns_25_34_yr,M_Personal_inc_ns_35_44_yr,M_Personal_inc_ns_45_54_yr,M_Personal_inc_ns_55_64_yr,M_Personal_inc_ns_65_74_yr,M_Personal_inc_ns_75_84_yr,M_Personal_inc_ns_85_yr_over,M_Personal_inc_ns_Tot,M_OS_vis_15_19_yr,M_OS_vis_20_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_OS_vis_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Neg_Nil_inc_15_19_yr,F_Neg_Nil_inc_20_24_yr,F_Neg_Nil_inc_25_34_yr,F_Neg_Nil_inc_35_44_yr,F_Neg_Nil_inc_45_54_yr,F_Neg_Nil_inc_55_64_yr,F_Neg_Nil_inc_65_74_yr,F_Neg_Nil_inc_75_84_yr,F_Neg_Nil_inc_85_yr_over,F_Neg_Nil_inc_Tot,F_1_149_15_19_yr,F_1_149_20_24_yr,F_1_149_25_34_yr,F_1_149_35_44_yr,F_1_149_45_54_yr,F_1_149_55_64_yr,F_1_149_65_74_yr,F_1_149_75_84_yr,F_1_149_85_yr_over,F_1_149_Tot
1GSYD,76775,19175,16668,11025,11491,17541,18932,8782,3051,183441,21885,6150,2439,1880,2295,4095,5677,2846,967,48230,13987,12481,6910,5380,6232,9533,11542,7280,2491,75828,6123,11502,11219,8829,10224,15437,29779,24315,7900,125327,5852,11524,11190,8277,9378,13074,21910,16071,6946,104219,8106,17670,17523,11113,10864,13591,17449,11075,3480,110867,5056,20136,23352,14925,13525,14951,13862,8346,2380,116527,2831,21350,37982,24734,21533,21639,13800,6203,1682,151763,1386,19310,52933,36807,30702,28206,15644,5745,1180,191913,436,11638,45351,33567,26253,21831,10815,3392,729,154019,219,6059,39832,33890,26587,20538,8782,2703,631,139247,106,2782,29080,30003,23069,16813,6154,1817,404,110216,87,2660,51545,72989,51676,32696,9884,2665,584,224797,44,413,10230,22459,16814,9663,2880,863,217,63568,45,406,13503,44040,46258,26198,7888,2404,649,141386,8616,12515,30068,24614,18845,15342,12134,10424,7511,140064,204,448,1264,958,818,903,1014,321,85,6014,151742,176218,401071,385494,326575,282054,208153,115241,40868,2087418,66875,16073,33348,35355,28446,37574,27528,11302,4757,261249,26258,6367,5461,7458,6780,9171,8756,3834,1265,75364
1RNSW,30546,4629,4237,3587,4685,9111,8669,3502,1181,70138,15535,1953,986,952,1451,3016,4183,1828,546,30456,8550,5609,4280,3420,4285,7103,9388,5201,1462,49298,3637,5274,6016,5034,7264,12799,27923,22355,6493,96800,4676,4878,5675,5085,7384,12788,24393,16946,6678,88503,6281,7344,7085,5757,7203,11603,18557,10894,2835,77561,3893,10082,10256,7160,7948,11124,13698,7865,1993,74012,2396,12229,18794,12973,13932,16395,12183,5200,1244,95347,1128,9429,24163,18648,18927,20504,13261,4538,754,111338,368,4915,18290,15539,15087,14783,7591,2223,378,79178,146,2590,15499,14861,14377,13189,5575,1839,463,68532,52,1259,11037,12783,12676,10234,3397,939,213,52604,41,1209,16470,25461,25296,17470,4657,1115,222,91945,9,140,2686,5525,5842,4046,1237,349,64,19902,76,205,2726,7934,10226,7803,3018,1002,240,33229,7214,7235,15422,14074,13961,13675,12713,9675,5424,99400,44,211,677,394,243,208,182,87,21,2060,84593,79188,164297,159174,170790,185851,170634,95558,30212,1140295,25238,3585,8217,8259,9064,18360,11285,4208,1813,90026,19352,2126,2669,2936,3224,5996,5777,2291,832,45200
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,71386,18638,15089,10717,11037,15521,16307,7200,2515,168415,25818,7577,2700,1947,2479,3848,5146,2570,898,52983,14053,14979,7738,5553,6077,8602,10838,6712,2407,76960,5096,13191,12233,8466,9586,13174,26241,23273,7856,119113,4422,12432,11651,8025,9073,11480,20656,15678,7438,100852,5414,16828,17390,10633,10173,12082,16871,10968,3484,103846,3104,18204,24127,14672,12648,13165,13728,8401,2503,110556,2131,20489,42378,26902,22396,20824,13417,5829,1578,155941,1079,16899,55616,38730,31094,26817,13878,4865,1126,190095,314,8994,46352,34396,26415,20894,9251,2863,653,150129,169,4471,40192,35124,26766,19783,7408,2327,606,136831,65,1942,27251,29771,22469,15672,5125,1435,326,104064,73,1627,43474,66688,48369,30225,8324,2001,477,201258,30,277,7757,18698,14761,8789,2338,606,155,53405,63,466,8405,31467,34827,19984,6000,1731,492,103452,7631,11308,27122,21158,17151,13375,10411,8967,5765,122888,188,413,921,724,782,822,824,271,73,5014,141025,168727,390390,363661,306117,255052,186766,105710,38350,1955807,60744,15835,33155,34059,26126,34433,23766,9486,4333,241925,30848,8436,6773,8368,7242,8912,8004,3497,1253,83332
2RVIC,17028,2538,2554,2153,2720,5048,4762,1801,621,39225,9443,1086,598,558,824,1578,2302,990,306,17686,4832,3011,2364,1891,2368,3953,5328,2915,832,27495,1683,2799,3342,2786,3791,6543,15147,11602,3244,50939,2326,2742,3206,2767,4064,6554,13713,9045,3601,48013,2966,4160,3967,3197,3987,6176,10419,5965,1638,42472,1667,5631,5891,4140,4701,6448,8140,4534,1103,42260,1061,6775,11461,7752,8276,9650,7117,2814,695,55595,569,5141,14883,11041,11252,12107,6808,2091,366,64261,157,2486,10840,9215,9095,8705,4022,1078,203,45795,70,1240,9104,8907,8482,7517,2937,841,250,39352,32,543,5694,7005,6977,5485,1805,440,90,28068,33,424,7522,12422,12522,9181,2482,561,125,45265,7,66,1161,2616,2946,2128,663,181,43,9820,37,116,1354,3981,5282,4023,1583,523,170,17062,3912,3546,8107,7611,7874,7726,7564,5507,3060,54906,37,75,267,159,107,93,71,26,9,850,45846,42386,92317,88215,95276,102904,94861,50905,16362,629074,14227,1956,4869,4929,5104,10184,6372,2169,905,50721,11638,1272,1761,1988,1922,3308,3081,1209,399,26581
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,4,4,3,0,0,0,0,7,0,0,0,7,4,6,0,0,0,19,0,0,4,16,19,23,0,0,0,62,0,0,3,0,10,0,0,0,0,12,0,0,0,7,15,8,0,0,0,43,0,9,19,84,116,96,13,0,0,337,0,0,0,0,0,0,0,0,0,0,0,4,30,131,163,141,16,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,35223,7435,6188,4299,4661,7167,6431,2624,719,74748,14982,2807,1164,945,1233,2000,2710,1163,312,27316,8834,6769,4182,2869,3047,4277,5780,3074,839,39663,3814,6465,6622,4539,5018,7225,15724,12116,3174,64707,3090,5649,5543,4066,4791,6533,13149,9256,3461,55541,3942,8102,8235,5148,5135,6367,10897,6519,1704,56039,2783,10259,11416,6880,5774,6609,7767,4485,1114,57076,1920,12560,21055,13326,11378,10316,7196,2961,704,81414,902,10149,26670,19899,16723,14441,7603,2478,442,99316,274,5677,21555,17405,14356,11176,4747,1329,241,76758,116,2769,18522,16916,14139,10327,3720,1030,259,67803,41,1102,12330,14795,12457,8259,2377,582,111,52050,37,974,18237,31116,27028,15955,3585,765,155,97862,20,141,3208,7921,7458,4101,943,255,47,24090,46,215,3327,13324,16529,9313,2450,701,181,46092,4437,6114,13777,10968,8897,6568,5480,4459,2693,63395,94,255,805,441,336,397,374,103,28,2846,80546,87455,182842,174857,158958,131035,100940,53905,16189,986723,28319,6095,11816,12726,11301,15595,9432,3178,1323,99778,18006,2940,2964,3757,3350,4524,4029,1539,454,41554
3RQLD,29206,4460,4451,3717,4922,8979,8479,3236,872,68332,15338,1709,968,913,1294,2675,3811,1650,445,28807,8786,4985,4172,3367,4030,6469,8703,4690,1203,46410,3489,4524,5563,4602,6322,10578,25343,18824,4631,83869,3535,4204,4800,4278,5878,9751,21172,13972,4840,72441,4819,6617,6842,5456,6508,9821,16673,9594,2300,68633,3529,9013,9989,6738,7378,9385,11766,6529,1429,65764,2344,11214,18485,12734,13214,14098,10370,4214,899,87559,1127,8789,22876,18613,18386,18712,10865,3647,564,103567,401,5068,17192,15530,15323,13567,6288,1829,295,75483,216,2740,14639,15321,15091,12510,4807,1481,333,67146,96,1439,10352,12540,12636,9656,3102,830,150,50788,70,1700,16050,24335,24899,16902,4447,1097,182,89669,15,195,3031,6009,6279,4396,1216,322,78,21549,61,239,2992,8219,10176,7421,2818,977,204,33102,7012,8533,19858,17465,17767,16325,13877,9099,3989,113940,89,632,2094,795,446,418,420,226,41,5170,80127,76060,164326,160643,170552,171669,154175,82204,22471,1082234,23474,4095,9632,10010,10490,18485,11057,3670,1307,92228,18889,2087,2885,3373,3297,5543,4945,1902,638,43550
39799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,7,0,0,0,4,4,0,0,0,0,12,0,0,4,3,6,0,0,0,0,11,0,0,5,5,6,0,0,0,0,17,0,0,3,3,3,0,0,0,0,11,0,0,4,7,7,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,44,74,50,16,6,0,0,194,0,0,6,6,0,0,4,0,0,17,8,8,69,107,77,26,23,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4GADE,18259,4614,3299,2205,2376,3885,3497,1270,505,39921,8121,2048,805,600,742,1328,1572,601,196,16014,4908,4604,2974,2116,2369,3234,3486,1829,664,26194,1748,3949,4077,3089,3729,5367,10123,8219,2860,43157,1458,3469,3413,2704,3478,4921,8647,6324,3194,37601,1868,4867,5123,3207,3324,4364,6947,4352,1477,35527,1005,5267,6592,4351,3882,4363,5291,3247,1037,35035,639,5908,11805,8119,7286,6798,4904,2416,763,48636,315,4733,15662,11711,10143,9331,5406,2063,468,59833,80,2413,11793,10026,8419,6998,3410,1055,231,44430,53,1103,9277,9122,7758,6188,2519,748,229,37001,16,476,5791,7615,6385,4834,1580,465,109,27278,16,309,7537,13519,12643,8575,2318,620,132,45672,3,51,1079,2841,2892,2000,603,193,47,9701,24,122,1205,4415,5877,4308,1517,486,130,18079,1793,2229,4852,4193,3793,3326,2834,2375,1666,27061,54,82,235,166,166,162,186,61,18,1120,40370,46244,95539,90001,85262,79976,64830,36315,13723,552258,14708,3562,6583,5973,5175,8386,5100,1693,874,52052,9387,2071,1836,2020,1796,2779,2891,1105,289,24174
