GCCSA_PEP_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
1GSYD,415197,257914,315112,295372,228397,164563,89206,35427,9262,1810446,40214,39315,45595,51316,57289,67471,62533,35926,11927,411572,1809,3648,5643,7463,11782,20260,26852,20073,7782,105313,87,269,685,1476,3618,8960,15274,14742,6833,51942,42116,43235,51922,60250,72693,96690,104651,70740,26540,568832,36347,26164,32775,28917,24668,19894,13273,8755,4982,195788,493661,327312,399810,384535,325753,281151,207134,114924,40784,2575068,403503,230230,309151,292832,230450,169364,99983,39683,12468,1787659,27591,47262,57951,57534,63533,70781,69003,43312,19379,456341,1365,6903,10579,11254,16372,24036,29321,23733,12894,136463,56,425,1257,2762,6183,11734,16335,16388,11070,66205,29009,54589,69788,71551,86083,106559,114656,83429,43340,659003,34123,22307,29791,26898,22670,18940,14348,10447,8974,188499,466636,307125,408728,391277,339203,294866,228986,133562,64783,2635166,818702,488142,624263,588201,458843,333929,189189,75114,21720,3598102,67802,86579,103546,108853,120817,138253,131538,79236,31301,867920,3170,10552,16222,18722,28158,44301,56172,43802,20682,241776,145,698,1942,4231,9799,20695,31608,31132,17906,118152,71122,97824,121708,131801,158774,203250,219309,154169,69883,1227840,70475,48472,62566,55807,47344,38835,27625,19205,13957,384289
1RNSW,202256,115747,113157,104630,103705,92664,63060,25396,5973,826587,30157,25971,26902,29351,35867,48409,51425,29262,8593,285938,2131,3386,4575,5963,9610,18132,25797,17944,6143,93680,111,263,646,1396,3697,9543,16988,14976,6040,53671,32395,29620,32125,36709,49177,76084,94207,62187,20781,433291,26400,18160,18342,17440,17668,16893,13189,7889,3433,139415,261054,163529,163618,158787,170541,185645,170455,95473,30194,1399291,197873,99740,106272,103074,102773,95058,65510,27351,8210,805860,22632,33417,36894,36392,41209,51232,53281,33624,14266,322953,1634,6524,9229,10059,14152,21524,26600,20050,10034,119806,82,493,1384,2870,6692,13022,17615,15887,9716,67774,24345,40433,47509,49326,62053,85784,97498,69560,34017,510526,24812,15148,14467,14499,14997,15205,12771,9067,5619,126587,247027,155325,168252,166903,179824,196043,175782,105978,47847,1442975,400129,215491,219429,207707,206476,187718,128568,52749,14185,1632449,52789,59390,63803,65740,77074,99641,104707,62888,22861,608885,3761,9911,13803,16024,23761,39656,52398,37996,16178,213486,192,757,2034,4266,10390,22570,34605,30866,15763,121447,56739,70050,79636,86036,111224,161864,191707,131748,54799,943814,51214,33311,32805,31944,32665,32100,25961,16958,9054,266001
19799,0,0,0,4,17,5,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,14,5,0,0,0,26,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2GMEL,383283,241130,298106,271027,208675,146310,79162,31772,8619,1668084,39128,40131,52725,55724,58018,62779,56446,33107,11243,409296,1978,4023,7374,8850,12355,19190,24657,18959,7631,105008,113,280,819,1586,3794,8509,14385,14327,7248,51062,41214,44434,60918,66159,74167,90478,95490,66386,26123,565370,32468,23592,30451,25760,22488,17444,11293,7281,3530,174300,456968,309155,389468,362938,305331,254229,185946,105443,38272,2407757,373685,212955,285131,266340,210462,149989,88047,35841,11410,1633857,26866,50595,68344,63352,65556,67927,64595,41425,18485,467139,1509,8353,14202,13718,18103,24190,28894,23468,13240,145670,78,463,1564,2914,6417,11419,16404,16768,12216,68235,28456,59408,84104,79985,90079,103526,109889,81650,43944,681049,30739,20528,27181,23860,20952,16769,12641,8664,5991,167321,432877,292895,396418,370186,321492,270284,210571,126159,61346,2482226,756965,454088,583237,537366,419136,296298,167207,67612,20034,3301943,65995,90726,121065,119080,123576,130709,121037,74524,29729,876440,3482,12372,21571,22567,30457,43375,53549,42423,20879,250675,194,745,2384,4498,10211,19926,30787,31091,19461,119302,69672,103837,145028,146144,164245,194008,205373,148042,70062,1246417,63202,44121,57629,49616,43442,34212,23934,15946,9519,341620
2RVIC,111573,62909,63646,57713,57968,52634,35992,13793,3438,459669,16137,14210,15886,16912,20106,26225,28658,15540,4646,158319,1169,1898,2679,3440,5473,9621,13716,9326,3180,50502,47,156,395,845,2098,5176,8973,7803,3131,28617,17349,16258,18957,21203,27677,41017,51343,32673,10958,237443,13711,8954,9433,9134,9520,9158,7450,4414,1952,73741,142636,88118,92043,88060,95168,102813,94789,50879,16350,770853,109084,53773,58729,57506,57758,53897,36765,14630,4714,446851,11936,17835,21551,21252,23373,28650,29612,18014,7668,179891,856,3601,5606,6031,8367,12093,14705,10442,5234,66943,30,275,851,1693,3788,7302,9745,8032,4982,36713,12821,21719,28007,28976,35526,48050,54068,36495,17886,283545,12958,7803,7627,7934,8248,8177,7210,5000,3236,68193,134861,83295,94362,94412,101531,110129,98042,56122,25835,798589,220652,116679,122378,115228,115725,106526,72761,28425,8152,906526,28071,32049,37437,38162,43479,54877,58268,33554,12313,338210,2026,5501,8288,9476,13841,21716,28423,19774,8413,117447,79,430,1244,2534,5888,12477,18724,15834,8112,65335,30172,37976,46970,50177,63207,89073,105413,69166,28849,520989,26671,16757,17061,17070,17772,17337,14662,9409,5192,141932
29799,0,3,10,29,39,27,7,0,0,120,0,0,0,10,9,8,0,0,0,27,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,9,0,0,0,34,0,4,19,90,121,100,13,0,0,338,0,9,30,131,163,141,16,0,0,493,0,0,4,3,4,5,0,0,0,18,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,3,10,36,44,36,7,0,0,133,0,0,4,8,8,10,0,0,0,34,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,9,10,15,0,0,0,45,0,4,38,98,129,111,13,0,0,389
3GBRI,204597,125867,131834,123021,101998,69594,38496,14528,3283,813231,23199,24503,28567,30222,32813,33775,30789,16765,4652,225293,1687,3082,4794,5716,8374,11948,15157,10292,3391,64432,88,280,639,1387,3032,6357,10183,8724,3180,33871,24974,27861,33991,37331,44223,52077,56137,35790,11222,323599,19174,13916,16200,14071,12400,8964,5934,3487,1655,95790,248743,167648,182030,174419,158614,130635,100565,53798,16160,1232619,198378,111544,127320,122794,101778,71188,42734,16466,4726,796924,17424,32825,38406,36709,37709,36743,34032,19940,7853,261645,1356,5935,9166,9588,12243,15008,16856,11704,5686,87551,87,492,1402,2562,5568,8740,11369,9731,5430,45387,18864,39253,48974,48852,55526,60496,62255,41380,18966,394574,17947,12397,13605,12247,10802,8276,6261,4286,3157,88994,235190,163200,189899,183896,168105,139960,111261,62134,26846,1280494,402979,237411,259157,245821,203781,140780,81234,30993,8005,1610161,40622,57333,66969,66931,70525,70519,64826,36712,12506,486935,3042,9015,13959,15299,20619,26958,32012,21995,9078,151982,176,770,2038,3947,8605,15098,21553,18456,8610,79256,43840,67120,82966,86180,99747,112572,118388,77163,30191,718173,37114,26316,29810,26317,23196,17246,12195,7770,4817,184784
3RQLD,198317,113839,113905,107137,104599,87469,58845,22957,4744,811817,22976,20518,22402,26100,32539,41867,45393,24767,6511,243070,1598,2342,3437,4895,8475,14990,21234,14769,4312,76051,96,201,514,1256,3181,7998,13945,11772,4219,43187,24676,23058,26350,32249,44194,64855,80572,51309,15045,362310,25235,18576,21986,20461,21307,18917,14328,7713,2640,151159,248228,155467,162233,159846,170105,171249,153754,81978,22424,1325293,191761,103151,111989,110555,106103,90520,60319,23456,5998,803858,17437,27012,31362,32635,37712,45237,46577,27008,9635,274616,1181,4781,6876,8525,12370,18079,21972,15275,6858,95929,71,356,1002,2410,5405,10607,13814,11707,6319,51685,18693,32151,39242,43576,55484,73927,82364,53983,22808,422228,23501,15766,17480,16343,16560,16228,13159,7864,3995,130902,233953,151065,168710,170480,178149,180677,155848,85304,32802,1356986,390086,216991,225888,217694,210710,177993,119162,46411,10735,1615677,40419,47528,53760,58739,70251,87107,91967,51770,16147,517684,2786,7127,10310,13423,20848,33068,43211,30041,11176,171982,168,556,1516,3667,8582,18609,27763,23472,10538,94874,43365,55209,65590,75826,99684,138786,162941,105288,37852,784537,48736,34331,39468,36809,37863,35144,27496,15578,6635,282056
39799,0,5,19,25,24,6,3,0,0,89,0,0,5,0,6,3,4,0,0,21,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,5,10,6,3,5,0,0,26,0,4,42,72,44,16,12,0,0,194,6,17,69,102,77,26,14,0,0,306,0,0,4,3,3,4,0,0,0,21,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,12,3,0,0,0,0,0,29,0,13,23,7,3,5,0,0,0,53,0,12,27,24,28,7,3,0,0,103,0,0,6,4,6,4,4,0,0,24,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,6,14,6,7,5,0,0,32,0,13,60,75,43,16,12,0,0,220
4GADE,102300,67104,71988,64707,55570,42901,25471,10217,2846,443090,11086,12042,14519,15742,17654,21036,20554,11734,4065,128441,631,1414,2345,2932,4519,7369,9410,6864,2889,38376,37,116,318,648,1618,3658,5981,5441,2882,20695,11760,13570,17191,19319,23786,32064,35950,24034,9839,187507,7993,5810,6129,5811,5748,4854,3227,2003,1019,42583,122047,86484,95305,89837,85098,79815,64645,36252,13704,673187,99480,58893,67556,63965,54511,44873,28904,11971,3945,434091,8085,15466,18632,18299,19614,22504,22900,15032,6916,147442,596,2824,4602,4751,6361,8941,11081,8434,5028,52626,37,204,641,1292,2840,5167,6750,6401,4924,28262,8717,18499,23872,24346,28817,36610,40723,29867,16864,228323,7399,5189,5333,5304,5154,4629,3600,2660,1693,40961,115595,82578,96768,93621,88480,86110,73227,44494,22497,703380,201773,125995,139539,128678,110078,87776,54367,22191,6783,877183,19173,27514,33149,34042,37267,43543,43457,26764,10976,275885,1225,4234,6953,7686,10887,16307,20487,15297,7915,90997,74,321,960,1941,4457,8824,12727,11839,7805,48955,20477,32071,41065,43668,52605,68673,76673,53898,26700,415837,15386,10995,11463,11118,10900,9482,6831,4658,2714,83548
