GCCSA_PEP_CODE_2021,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_vis,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_vis,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_vis,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_vis,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_vis,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_vis,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_vis,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_vis,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_vis,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Tot_OS_vis,M_Total_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_vis,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_vis,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_vis,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_vis,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_vis,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_vis,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_vis,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_vis,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_vis,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Tot_OS_vis,F_Total_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_vis,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_vis,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_vis,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_vis,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_vis,P_45_54_yr_Tot
1GSYD,61440,13078,1258,565,67092,8109,204,151742,54662,26371,3909,1974,76852,12008,448,176218,99698,99551,20903,9687,140231,29743,1264,401071,81280,121807,38606,17959,100547,24334,958,385494,72314,108978,33646,14409,78757,17649,818,326575,59581,88840,29253,13452,75770,14256,903,282054,36072,57784,25317,13014,64214,10740,1014,208153,18510,26469,12311,6975,41922,8731,321,115241,5444,6057,2735,1760,18840,5959,85,40868,488997,548925,167930,79791,664229,131534,6014,2087418,60636,17876,2129,886,53161,7134,188,142017,50689,38318,7982,4286,54356,9668,449,165749,70417,116136,44283,45516,106267,26110,1098,409825,36641,106327,75109,77929,74219,21050,718,391997,31996,104834,72534,55533,59069,15240,756,339957,28682,86525,59733,44704,62710,12508,1557,296420,19275,54005,46055,36555,61687,11407,1272,230257,13225,26233,20477,17043,45449,11140,356,133917,6947,8193,4263,2934,30410,12037,101,64886,318515,558448,332565,285383,547330,126286,6496,2175026,122075,30953,3391,1452,120251,15244,387,293755,105350,64693,11892,6264,131213,21670,897,341968,170114,215688,65183,55204,246497,55853,2366,810897,117920,228137,113715,95886,174764,45387,1678,777488,104309,213810,106175,69941,137835,32884,1575,666530
1RNSW,35593,6723,673,315,34137,7119,44,84593,26473,12918,1957,887,29775,6966,211,79188,44158,46410,10597,4588,42861,15009,677,164297,36980,54272,16524,7363,30016,13625,394,159174,40509,57741,17192,7411,34700,13002,243,170790,41383,58647,19525,9961,43574,12557,208,185851,27902,47238,23217,13779,47025,11294,182,170634,13326,21063,11725,8459,32689,8216,87,95558,3654,4341,2249,1731,14045,4167,21,30212,269979,309350,103646,54491,308812,91948,2060,1140295,35575,9819,1163,485,26374,6278,53,79747,22838,20400,4738,3174,19137,5351,169,75803,24882,52741,25175,26680,27277,11493,440,168693,14837,52871,36793,33278,18315,10809,237,167141,18998,64663,38577,24332,22813,10436,178,180001,20319,63309,41398,28005,32226,10791,252,196295,12622,40330,38154,32772,41264,10645,187,175969,8674,18617,16527,16538,35615,10008,84,106068,4843,5888,3158,2589,23825,7543,24,47873,163594,328627,205684,167846,246847,83354,1635,1197584,71167,16545,1833,796,60512,13397,93,164336,49314,33318,6692,4065,48907,12316,385,154994,69037,99143,35774,31268,70140,26505,1117,332989,51819,107143,53318,40634,48342,24432,627,326311,59508,122405,55769,31742,57505,23436,423,350787
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,7,0,0,16,4,5,0,0,3,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,14,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,0,0,0,7,0,0,18
2GMEL,59169,10014,837,389,63189,7236,188,141025,55380,24664,3197,1414,73107,10554,413,168727,104878,100955,18407,7331,130845,27053,921,390390,84253,119744,33402,13423,91100,21019,724,363661,75587,104417,27151,10468,72149,15569,782,306117,59703,82180,22858,9324,68400,11765,822,255052,34641,53147,21556,10305,57601,8700,824,186766,17150,24380,11416,6259,39169,7066,271,105710,5244,5860,2622,1767,18722,4064,73,38350,496004,525359,141446,60685,614280,113019,5014,1955807,59457,14580,1548,551,50959,6578,173,133846,53030,37051,6634,3150,50812,8546,363,159589,74061,121227,42232,40505,95226,23161,826,397243,37896,108228,71266,69622,65072,18107,515,370701,32543,107066,67532,47670,53112,13560,666,322154,27852,85344,54373,37344,54547,10827,1361,271644,17369,50827,43014,33159,56412,9792,1140,211710,11952,24395,20191,16791,43920,8913,341,126499,6395,8028,4311,2940,32031,7633,81,61429,320569,556748,311106,251724,502098,107110,5469,2054818,118629,24590,2386,937,114147,13815,361,274875,108408,61711,9829,4566,123921,19100,781,328318,178941,222186,60644,47833,226080,50210,1748,787633,122146,227971,104664,83047,156177,39119,1239,734368,108132,211490,94681,58141,125261,29125,1443,628266
2RVIC,20069,3489,296,150,18066,3752,37,45846,14671,6963,990,445,15968,3275,75,42386,25130,26657,5874,2600,23896,7884,267,92317,21088,30606,9214,4141,15718,7299,159,88215,23492,32560,9284,4066,18618,7153,107,95276,23773,32786,10561,5171,23705,6818,93,102904,15962,26176,12777,7678,25730,6467,71,94861,7053,11290,6131,4512,17254,4634,26,50905,1924,2239,1249,1008,7613,2318,9,16362,153156,172777,56368,29755,166569,49600,850,629074,19955,5029,551,214,13847,3459,28,43098,12279,10848,2498,1606,10284,2712,74,40300,13570,30059,13844,15368,15331,6194,194,94554,8153,29080,20891,20222,9975,6094,105,94519,9933,36310,22421,14843,12107,5924,87,101621,10627,35289,24242,16426,17594,5949,107,110234,6298,21847,21614,19800,22388,6098,102,98142,4151,9341,9009,9760,18324,5534,40,56163,2388,2997,1846,1584,13018,4007,19,25856,87345,180795,116916,99823,132864,45981,751,664477,40027,8521,845,365,31913,7208,66,88945,26951,17813,3489,2046,26254,5991,155,82691,38700,56722,19715,17967,39228,14076,465,186871,29236,59684,30101,24357,25696,13391,263,182735,33417,68869,31700,18911,30726,13077,191,196897
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,7,0,0,6,19,0,30,8,4,5,0,15,84,0,131,4,10,3,0,27,121,0,163,10,3,0,3,22,100,0,141,0,0,0,0,4,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,23,14,3,83,339,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,17,0,0,0,0,3,8,0,14,0,6,0,0,0,13,0,18,4,3,0,0,0,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,9,49,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,3,0,0,8,38,0,52,5,4,5,4,21,96,0,140,8,10,9,0,26,129,0,182
3GBRI,36164,7106,623,287,32057,4202,94,80546,30468,14807,1879,845,33327,5872,255,87455,50975,51495,10327,4271,51288,13680,805,182842,41526,61780,18020,7120,35086,10887,441,174857,39569,58149,15565,5951,30965,8428,336,158958,30768,44434,13429,5922,30107,5976,397,131035,17391,29198,13790,7228,28159,4795,374,100940,7842,12655,6848,4162,18706,3584,103,53905,2077,2409,1171,831,7806,1864,28,16189,256770,282034,81653,36615,267500,59296,2846,986723,35659,9542,1131,470,26062,3949,96,76915,27354,22892,4661,2692,23839,4955,235,86612,34526,60933,23544,22938,36666,11289,576,190475,19975,59573,37660,33554,24155,8981,312,184211,20486,62024,34344,21853,22473,6923,305,168404,17021,47040,27999,18115,24346,5446,545,140506,9169,26804,23835,19363,27174,4915,418,111678,5819,11766,10134,8850,21015,4548,133,62266,2897,3387,1714,1225,13748,3885,37,26883,172896,303961,165028,129059,219472,54891,2652,1047958,71827,16651,1757,762,58123,8153,195,157459,57813,37701,6544,3535,57160,10824,490,174069,85493,112431,33872,27211,87951,24966,1382,373315,61503,121352,55684,40678,59236,19865,755,359068,60053,120170,49908,27802,53436,15354,637,327363
3RQLD,33834,6548,625,359,31960,6719,89,80127,24350,11948,1699,854,28335,8251,632,76060,42487,41614,9016,4225,45367,19526,2094,164326,37813,51402,14629,6948,31992,17059,795,160643,40945,54486,15000,7037,35715,16921,446,170552,37857,51288,16411,8533,41917,15231,418,171669,25279,40534,19515,11640,44093,12684,420,154175,11388,17219,9743,6902,28892,7827,226,82204,2806,3014,1655,1315,10474,3157,41,22471,256756,278054,88292,47819,298760,107375,5170,1082234,33583,8993,1140,479,26083,5951,80,76320,21449,19031,4421,2935,20364,6634,398,75233,26949,49954,21755,24162,30948,14947,1183,169898,17829,54337,33908,31199,20555,12645,398,170875,21667,63622,34168,22375,24040,12273,327,178472,21067,56912,34826,24004,31673,12195,432,181105,12213,35253,31632,28034,37644,11078,432,156278,7229,14704,12987,13235,28740,8406,168,85471,3209,3767,2130,1850,16513,5329,42,32848,165199,306573,176971,148278,236552,89471,3454,1126489,67418,15546,1757,842,58042,12671,171,156447,45797,30981,6124,3789,48702,14881,1029,151289,69429,91568,30773,28391,76308,34478,3280,334223,55642,105740,48536,38148,52540,29712,1192,331524,62609,118109,49172,29411,59759,29197,772,349030
39799,0,0,0,0,3,0,0,8,3,0,0,0,3,5,0,8,6,3,0,0,14,40,6,69,3,8,0,0,21,74,6,107,7,8,3,0,14,45,0,77,0,3,0,0,9,16,0,26,0,3,0,0,3,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,3,0,70,187,17,317,0,0,0,0,3,4,0,6,0,0,0,0,0,4,5,9,0,0,0,4,8,12,7,35,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,29,10,65,0,0,0,0,6,10,0,11,4,0,0,0,4,8,5,18,3,0,0,4,21,57,15,102,3,8,0,0,23,77,6,114,7,4,3,0,14,45,0,79
4GADE,18003,2839,246,97,17406,1734,54,40370,16991,7338,900,399,18472,2065,82,46244,28123,26953,5275,2042,28147,4763,235,95539,22159,32187,8957,3575,18837,4127,166,90001,21814,31043,8172,2986,17509,3573,166,85262,19626,27503,7781,3149,18813,2945,162,79976,11858,19978,8571,4204,17590,2439,186,64830,5637,9004,4767,2595,12426,1825,61,36315,1741,2152,1084,762,6854,1111,18,13723,145947,158992,45753,19804,156059,24576,1120,552258,17997,4147,456,175,13984,1592,50,38394,15588,10840,2053,1124,12827,1799,63,44292,18211,31052,12160,11873,19340,4131,195,96961,9890,30781,20053,17332,12077,3497,151,93770,10441,33338,19049,11134,11534,2985,141,88624,10023,30504,17779,10564,14539,2697,252,86369,5777,18722,16828,12448,16805,2648,256,73483,3977,8740,7794,6638,14688,2654,75,44572,2397,3066,1674,1266,12115,1980,26,22526,94300,171197,97846,72543,127915,23981,1207,588994,36000,6982,696,270,31390,3323,103,78764,32581,18176,2951,1514,31297,3861,143,90532,46331,58007,17431,13906,47487,8900,433,192501,32051,62968,29012,20903,30907,7618,313,183767,32256,64375,27220,14124,29044,6558,308,173885
