GCCSA_PEP_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1GSYD,..,8218,11342,3705,2352,1880,948,319,130,28893,..,18423,32233,8030,5680,6502,4665,1804,506,77852,..,7662,28696,24249,24697,39112,49113,41377,21978,236886,4144,5875,6402,3512,2807,3248,3004,1641,967,31596,275,400,648,406,507,1265,1047,289,65,4907,447139,291121,386373,373147,326186,285115,219905,122196,45966,2497158,..,11791,252920,467604,401193,343100,259375,127905,27666,1891549,..,31439,154436,82063,55779,35942,16370,4956,654,381634,..,3368,19873,43606,60452,40553,19139,12897,8591,208479,910955,..,..,..,..,..,..,..,..,910955,..,284491,..,..,..,..,..,..,..,284491,..,157661,126986,37339,23373,11646,2198,95,0,359296,..,26149,26169,10225,10856,20314,22342,15362,8920,140330,..,17116,27651,10242,6944,5364,2530,793,222,70859,..,40851,78446,22146,14762,14863,10434,3950,951,186403,..,15307,59974,54723,54981,73322,77547,59009,29854,424715,8509,10927,12883,7786,6396,6214,5107,2580,1313,61728,555,782,1281,915,979,1888,1832,518,117,8871,920025,599878,760624,736647,635714,553199,416880,228062,78288,4929313
1RNSW,..,4534,3484,1207,1092,974,530,191,77,12095,..,9358,8698,2659,3677,5554,4165,1559,412,36089,..,4398,10271,8292,14801,31572,40038,35532,18821,163720,4280,7202,4641,2558,2725,3590,2906,1486,780,30166,85,115,204,120,102,193,126,54,8,1012,231065,141633,155832,155378,168065,182527,162968,95187,33733,1326392,..,3987,94172,164441,178769,199926,193441,101767,19891,956390,..,28783,79681,47374,41480,33703,18245,5412,734,255410,..,4041,19244,30005,34195,19115,9801,7515,5328,129251,466330,..,..,..,..,..,..,..,..,466330,..,103088,..,..,..,..,..,..,..,103088,..,87369,38505,15379,12027,7657,1542,52,0,162544,..,11866,7270,3180,4760,8871,9738,6434,3621,55743,..,9013,8775,3557,3160,2562,1459,506,150,29175,..,18283,21099,6853,8181,11495,9095,3400,761,79171,..,8957,23450,21587,34585,61692,69728,53167,25831,299007,8806,13242,9873,6302,6050,6602,5420,2495,1100,59899,182,225,461,255,210,317,244,106,22,2019,475320,288852,302522,298946,323417,351942,318715,180861,57441,2598016
19799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,..,6945,8949,2305,1436,1085,552,184,83,21542,..,22207,33984,7216,4576,5301,3819,1449,388,78947,..,9168,34658,27833,26571,39225,48503,41704,22822,250480,3717,6086,6245,3151,2589,3016,2341,1429,791,29365,208,276,466,278,444,1186,999,272,49,4172,416249,276281,376339,354395,309443,261281,202102,115674,43491,2355253,..,7840,229454,435744,370394,310153,237580,121617,26672,1739451,..,29863,167742,88438,58543,35221,15254,4358,622,400048,..,2479,17125,41386,60395,37964,16660,11447,7515,194962,847913,..,..,..,..,..,..,..,..,847913,..,272886,..,..,..,..,..,..,..,272886,..,136413,110727,30305,20628,10064,1860,69,0,310067,..,25302,26933,9081,9116,16398,16951,10909,6297,120985,..,14924,22882,6853,4310,3148,1456,463,153,54185,..,47964,84252,19981,11974,11770,8138,3131,725,187935,..,17610,69868,59268,58037,71861,75414,58183,30898,441138,7475,11121,12916,7283,6022,5851,4110,2276,1069,58117,386,575,937,697,911,1788,1686,484,97,7564,855781,566979,742831,699021,600336,504224,379103,212941,74042,4635264
2RVIC,..,2114,1794,556,420,309,205,59,32,5493,..,4819,5055,1402,1749,2571,1884,704,121,18299,..,2415,7009,5801,9423,19393,24043,19714,10397,98190,1708,3219,2118,1134,1315,1571,1161,533,290,13054,34,54,100,56,52,79,72,18,8,467,126676,75672,87533,87981,95087,102985,91502,50510,17232,735183,..,1890,50917,93126,101330,115026,110713,55349,10428,538790,..,14228,47575,27790,24145,18353,9759,2748,322,144918,..,1674,9516,15703,19025,10441,4926,3413,2372,67072,256917,..,..,..,..,..,..,..,..,256917,..,61132,..,..,..,..,..,..,..,61132,..,46409,21542,7812,5834,3195,637,16,0,85446,..,5587,4052,1573,2284,4181,4257,2647,1479,26055,..,4233,4597,1582,1260,909,560,185,48,13376,..,9747,12491,3821,4029,5226,4135,1512,275,41249,..,4833,15358,13917,21513,37212,41593,29573,14407,178405,3517,5813,4435,2682,2779,2823,2083,951,419,25509,90,94,186,119,103,129,112,38,9,885,260517,155647,170667,168121,182305,197507,178789,96432,29757,1439737
29799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,..,5527,4963,1531,1048,865,476,173,47,14628,..,14581,14586,3523,3324,3918,2651,989,201,43774,..,5061,13900,11060,13710,21021,25292,20281,9669,119998,2516,4463,3650,1833,1844,2302,2091,1037,449,20179,105,206,330,148,202,435,358,108,22,1909,225729,152729,179531,175784,161678,134802,106382,56654,18507,1211795,..,4773,107322,200017,186014,155540,123046,58871,10397,845976,..,29867,90459,48745,34036,20250,8788,2501,274,234924,..,3129,15695,28310,32494,16813,8060,5128,3120,112757,458788,..,..,..,..,..,..,..,..,458788,..,122700,..,..,..,..,..,..,..,122700,..,74541,39376,13485,8968,4417,862,42,0,141689,..,15242,11844,4626,5080,8677,9367,6068,2976,63879,..,11203,12421,4404,3146,2280,1221,401,98,35172,..,29083,34305,9546,7933,8349,5671,2080,405,97376,..,9632,29321,26088,29999,38002,40270,29042,13202,215554,5149,8348,7740,4455,3935,4082,3626,1715,636,39694,197,361,670,317,369,689,648,183,39,3475,464130,308867,349158,339995,311978,259101,201558,106026,31150,2371970
3RQLD,..,5166,4192,1389,1223,1118,614,207,57,13968,..,10079,10730,3209,4016,5603,3941,1496,290,39365,..,4837,10185,8533,13998,26105,31223,25808,11836,132526,3493,5769,4067,2314,2822,4090,3988,1873,671,29079,70,168,360,124,149,243,209,73,19,1429,217664,135539,151247,156133,163080,160296,134311,73503,22641,1214424,..,4594,86616,160154,173281,175251,157710,79745,13961,851311,..,30146,79876,48940,39943,29438,14948,4625,623,248534,..,3589,17386,29993,32494,16274,8101,5741,3693,117270,441091,..,..,..,..,..,..,..,..,441091,..,97709,..,..,..,..,..,..,..,97709,..,75040,31345,12368,9310,5406,1082,38,0,134585,..,12763,7920,3631,4901,8496,8961,6046,3163,55876,..,10192,10007,3943,3486,2745,1615,559,138,32684,..,18775,23800,8050,9047,11461,8685,3396,586,83800,..,9691,22805,21448,31879,50047,53959,39002,16625,245455,7061,10567,8632,5481,5941,7476,7571,3447,992,57167,159,319,690,287,314,422,383,172,38,2789,448304,273384,289076,294293,310600,307008,263010,142783,39816,2368276
39799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,..,2502,2451,605,351,264,130,35,17,6346,..,6021,6569,1607,1533,1906,1359,430,110,19533,..,2356,7079,6246,8166,15114,18968,16328,9309,83559,1481,2445,2030,1130,1024,1200,889,458,238,10902,27,65,117,65,88,206,197,50,11,826,111780,78131,92790,90224,85602,83411,70377,40737,15496,668551,..,2434,59106,102969,95701,92236,80742,42359,9162,484708,..,10760,41284,23442,18058,13150,6413,1756,247,115105,..,1215,7139,14941,18719,11464,4983,3178,2236,63878,226771,..,..,..,..,..,..,..,..,226771,..,69091,..,..,..,..,..,..,..,69091,..,41796,27028,8003,5454,3083,524,19,0,85905,..,7492,6120,2075,2273,4161,4014,2387,1456,29979,..,5120,5848,1786,1084,848,413,87,27,15206,..,12852,16810,4731,3909,4222,2889,924,195,46541,..,4650,15657,15226,19430,28242,30150,22692,12591,148644,3036,4586,4395,2735,2353,2259,1627,772,347,22108,63,146,228,142,192,309,337,91,21,1529,229872,160144,183614,176050,167167,159977,132096,74259,26281,1309458
