GCCSA_PEP_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
1GSYD,1055358,3258193,83390,187624,161710,431367,245095,618990,100413,196136,163343,328731,197804,411026,126518,262626,9016,22985,597093,1221505,930,1389,1206,1786,219,318,7161,15427,9527,18920,4576,9432,1911653,5127049,164628,..,2076284,5127049
1RNSW,933689,2391018,74711,125719,40130,80522,114840,206241,43855,70571,12250,20541,11542,19779,5059,8955,2318,4796,75032,124642,6633,10958,7081,10804,1316,1910,2975,6280,18008,29955,5043,9221,1146610,2761075,134891,..,1281496,2761075
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,..,0,5
2GMEL,1250313,3612293,168510,346358,132774,327077,301290,673439,92183,166102,56291,92307,66890,109585,81248,140119,1185,2593,297802,510706,603,826,1853,2352,721,770,3986,7823,7169,11770,2224,4380,1858799,4812587,198685,..,2057482,4812587
2RVIC,578704,1414932,41823,64263,5854,11380,47674,75648,11675,17179,643,1102,454,761,191,344,203,359,13167,19747,2901,4453,3152,4916,527,713,1268,2526,7839,12605,1449,2844,648837,1525770,99346,..,748182,1525770
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
3GBRI,690414,1974805,34390,59750,75610,166123,110003,225869,38046,63153,36640,63782,33045,59211,33068,58026,1990,3979,142788,248153,2067,3094,2343,3281,633,870,361,776,5409,8017,2019,3694,950630,2460538,66060,..,1016682,2460538
3RQLD,772014,2051406,64301,113107,60318,126429,124615,239533,41499,70625,26125,46160,21010,38251,22971,41525,1172,2391,112782,198946,19992,37368,4954,8208,3184,5247,1183,2498,29317,53318,8666,16416,1047392,2559616,126340,..,1173733,2559616
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8,9,5,12,0,..,5,12
4GADE,412207,1087097,66938,123457,24706,53073,91645,176537,31404,52476,4665,7514,5970,9905,4043,6751,378,900,46455,77546,928,1510,496,678,160,182,498,1045,2080,3416,1435,2737,553819,1347331,40066,..,593881,1347331
