GCCSA_PEP_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
1GSYD,370270,57490,80879,1642,439,510714,419940,72704,116535,917,638,610733,144031,58883,277121,3820,1524,485386,19183,18273,23824,20,121,61418,3179,4470,8988,53,103,16786,36234,10521,33176,968,510,81417,7121,2187,4923,552,293,15076,1149,500,1498,61,25,3232,210896,94832,349528,5476,2578,663310,12059,6901,12395,234,188,31773,42202,13172,37760,1256,733,95127,1055358,245095,597093,9527,4576,1911653
1RNSW,366247,27052,12793,8167,1509,415770,311400,16114,7928,901,461,336795,105367,36269,30273,1101,435,173445,18365,8057,5624,44,59,32141,5187,3919,2339,32,70,11552,46038,6985,5452,759,439,59678,9682,1508,1202,2528,674,15592,1176,521,328,56,27,2107,185813,57264,45218,4510,1705,294510,17383,5501,2563,575,470,26491,52847,8918,6534,3854,889,73049,933689,114840,75032,18008,5043,1146610
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,421578,71158,39042,1394,342,533516,518628,85779,57046,683,368,662506,179376,90093,139496,1690,594,411245,11853,9925,12416,10,32,34238,2062,2256,3646,20,41,8025,42323,15606,17035,609,229,75800,6541,1847,1835,1068,136,11427,1280,572,618,29,22,2519,243436,120307,175039,3425,1047,543247,14641,8858,6298,170,90,30062,52031,15183,20379,1498,377,89469,1250313,301290,297802,7169,2224,1858799
2RVIC,227543,10388,2192,3146,390,243665,197123,5240,1060,392,253,204070,66105,15811,5104,280,147,87446,9644,4680,1200,14,10,15553,1816,1357,548,31,25,3772,27257,3087,897,278,165,31683,4662,624,297,1351,157,7080,737,271,83,51,5,1148,110217,25832,8128,1999,506,146683,10608,1703,401,376,109,13201,33210,4514,1382,1927,194,41221,578704,47674,13167,7839,1449,648837
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,201687,16238,18358,1827,281,238388,288672,19916,21377,184,222,330371,119999,42360,66470,187,523,229548,12201,5630,7330,12,52,25218,1080,1377,1992,15,40,4501,28939,6465,11584,134,248,47367,5197,5448,2868,1412,193,15121,740,480,431,27,8,1692,168152,61755,90680,1794,1060,323440,6422,4419,3135,86,122,14182,25481,7678,9232,1521,332,44237,690414,110003,142788,5409,2019,950630
3RQLD,258449,24593,23019,15882,3147,325087,278680,21296,14862,1110,667,316618,103357,39758,39736,426,659,183939,13676,6825,4868,56,85,25507,2960,2027,1675,40,53,6760,43232,9255,9938,696,584,63705,12283,4904,4114,4122,1549,26973,1072,513,476,75,21,2151,176576,63291,60800,5425,2948,309044,14338,5366,2512,875,704,23797,43971,10071,11586,6016,1205,72850,772014,124615,112782,29317,8666,1047392
39799,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,8,5
4GADE,141460,18250,6209,753,216,166889,172237,20343,6442,118,303,199451,43402,19951,17028,138,266,80784,9211,10049,3317,0,58,22635,2921,3315,1624,10,43,7913,22657,7637,5497,117,176,36084,2977,976,974,360,105,5395,486,357,228,12,9,1083,81650,42284,28667,633,652,153887,4842,5837,2382,60,79,13204,12019,4922,2757,518,174,20391,412207,91645,46455,2080,1435,553819
