GCCSA_PEP_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1GSYD,125666,72548,46328,26907,9660,1902,398175,2112,16890,21365,19111,15176,11353,3534,655,90198,68770,272795,229977,153408,102940,65009,25864,7327,926087,29384,76909,88368,85529,65339,41220,18490,5761,411000,46588,100562,95524,95040,82763,50027,26071,8074,504650,6233,6178,6621,7184,6678,4317,1556,384,39157,4641,8016,11500,16717,18129,14798,7368,2418,83589,57459,114759,113650,118940,107570,69141,34997,10879,627398,2170,5907,6436,5602,5505,5284,3319,1116,35329,37238,59718,50991,39105,34758,32394,29298,22681,306181,202042,657231,636454,494241,377613,251306,125161,50316,2794370
1RNSW,20148,16951,14914,11798,4137,736,86762,751,6266,8583,9024,9384,8506,2246,322,45085,13967,66174,62772,51975,41417,35100,13390,3140,287933,7577,28317,35992,41906,41604,31445,13394,3453,203701,41631,90582,83695,85853,87425,59056,26362,6957,481565,6041,5907,4933,5168,5850,4230,1328,308,33766,2834,4188,5283,8435,11711,11473,5613,1552,51096,50513,100677,93912,99458,104987,74757,33306,8814,566423,757,1403,1566,1817,2580,3204,2121,743,14185,26342,28753,27434,28060,30967,32657,28496,16846,219555,100660,248904,250415,249198,245847,197473,97077,34055,1423635
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,15
2GMEL,108496,58008,35602,20647,7699,1431,352362,2506,22736,28747,26559,20258,13112,3919,650,118487,65428,248434,215185,140389,86597,55014,21726,6024,838797,27418,81783,90123,78468,58349,38629,17750,5343,397855,44850,106866,96165,95222,80369,46060,22917,7197,499650,6616,6540,6063,5356,4672,2863,943,209,33257,3829,7531,10001,12580,12049,8649,4416,1578,60635,55299,120933,112226,113157,97089,57568,28274,8987,593539,1752,4819,5136,3686,3469,3405,2280,976,25532,32514,52221,42882,34400,29583,27964,25441,17628,262638,192191,644125,602797,454658,330954,216341,107094,41042,2589213
2RVIC,10245,8425,7406,5611,1830,247,45335,554,5084,6906,7072,6758,5559,1467,183,33582,7997,37442,36027,28302,22430,18928,6999,1513,159638,4925,18065,21569,23421,22761,18783,7915,1857,119293,20822,50210,45999,46501,45656,29393,12115,3131,253835,3005,2979,2774,2355,2345,1733,486,109,15788,1213,2029,2598,3466,3931,3624,1655,491,19000,25040,55220,51379,52329,51931,34747,14254,3725,288625,308,746,768,768,948,1198,935,347,6012,13521,14140,14005,15026,16922,18748,16151,9538,118051,53137,141474,140896,135332,129152,103578,49556,17409,770538
29799,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,6,3,6,0,0,0,19,0,3,5,8,6,0,0,0,32,0,5,21,32,14,0,0,0,73,0,0,0,0,0,0,0,0,8,0,0,3,4,0,0,0,0,8,0,5,22,32,22,0,0,0,86,0,0,0,0,0,0,0,0,5,4,38,94,127,108,13,0,0,389,7,48,136,178,147,17,0,0,530
3GBRI,39075,26768,17159,9967,3447,611,128065,1213,10789,12672,12355,8708,5440,1580,271,53020,29333,100748,92696,66441,39254,25513,10243,2405,366626,15892,36803,42213,41815,32306,19969,8378,2040,199411,42377,73205,66663,61572,51433,32211,14258,3625,345335,10062,5332,3942,3086,2534,1789,579,98,27437,3412,4436,5975,6926,6447,5291,2516,676,35671,55857,82972,76577,71580,60415,39295,17350,4398,408443,970,1842,2152,1985,1794,1881,1249,430,12304,18690,24536,20662,17569,14731,14371,12827,8551,131931,123655,287010,286052,238521,174364,116429,55073,18702,1299808
3RQLD,17053,14404,11975,8414,2871,390,70409,881,6623,8200,8994,7912,5841,1624,239,40312,16155,63784,61820,49366,36355,27744,10565,2139,267931,10877,29091,37375,42873,39158,27326,10838,2296,199835,43466,84462,83512,82933,78094,53252,21773,4604,452093,11044,5964,4578,3963,3621,2698,841,113,32823,3443,4306,5899,7427,7809,7225,3251,783,40146,57952,94737,93991,94321,89517,63180,25866,5499,525067,784,1429,1633,1881,2125,2386,1705,510,12470,27739,35158,31712,32483,32809,31268,23874,12115,227170,115226,245293,251790,244326,219860,166162,77342,23186,1343193
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,6,3,4,0,3,0,0,0,9,4,20,6,9,0,5,0,0,37,0,0,8,0,0,0,0,0,10,0,0,0,4,0,0,0,0,6,4,17,15,15,3,3,0,0,56,0,0,0,0,0,0,0,0,0,13,57,78,46,16,6,0,0,223,20,79,96,65,27,12,0,0,308
4GADE,20168,12360,8718,6065,2331,487,70882,473,4736,6257,5861,5279,4095,1241,191,28140,15080,53223,47099,32568,22362,17152,7007,1848,196347,4448,15651,19954,21216,19492,14351,5924,1636,102660,18840,38077,34770,33948,30701,20075,9667,3104,189172,3141,3668,2749,2081,1700,1145,375,106,14961,1266,2030,2854,3903,3904,3508,1790,630,19880,23247,43773,40375,39926,36298,24731,11829,3836,224022,538,1077,1130,1021,1016,1056,809,302,6953,7618,9467,8614,8147,7836,8210,7932,5343,63175,52601,147482,143599,121094,101009,75666,37075,13638,692178
4RSAU,1186,979,1030,904,309,39,5739,68,580,803,885,1119,983,249,30,4725,1363,6114,5878,4870,4214,3973,1509,312,28233,517,2555,3635,4921,5662,4846,1769,336,24236,5623,12740,12097,12561,12844,8884,3475,828,69043,962,1261,1075,826,744,506,126,24,5525,341,583,834,1184,1230,1165,500,120,5947,6935,14574,14001,14572,14817,10552,4102,977,80520,95,184,238,260,300,343,256,90,1757,3399,3839,3811,4587,5329,5446,4324,2035,32763,12473,29038,29546,31063,32469,27035,12516,3817,177972
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,9,0,0,12,7,5,0,0,0,28
5GPER,30036,19643,12782,7677,2756,558,99350,809,8153,10408,9585,7402,4333,1361,227,42286,20906,79246,79160,54919,35040,23400,9239,2343,304252,9851,28531,34787,32893,27649,19154,8518,2330,163701,30887,59616,54732,49468,43461,27880,12395,3375,281810,10498,4639,3358,2716,2258,1490,572,113,25655,2193,3147,4651,6124,5882,4648,2420,785,29861,43579,67399,62749,58312,51598,34026,15392,4273,337325,932,1999,2514,2301,2106,2237,1566,553,14207,12726,17864,16605,14006,12355,12440,11728,8328,106048,90450,227430,236258,191656,148930,103262,50564,18612,1067165
