GCCSA_PEP_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
1GSYD,236,460,1163,1134,1236,1142,546,206,32,6148,26,132,652,977,854,735,192,39,0,3615,1830,5246,16486,19652,21021,18139,4463,515,34,87381,135,594,2901,4169,3750,2602,584,55,0,14792,8356,18598,45099,37218,29776,19531,4820,463,34,163881,664,2526,9049,12248,11550,8738,2312,370,35,47478,9568,16815,24162,19868,14630,10847,3364,544,43,99833,14091,11649,15689,11109,7230,5372,1464,209,23,66825,1358,5652,18590,21475,21324,18425,4888,419,9,92140,411,1871,8336,11123,8062,4125,838,101,14,34879,286,5262,22322,29175,19835,9211,2223,394,62,88772,393,1611,5488,6249,5058,3495,1487,368,69,24213,882,9346,38996,42194,28033,17482,7232,1329,92,145586,869,3640,9442,8927,7712,6089,2018,270,12,38978,606,4159,16143,18065,16778,12244,3113,254,12,71368,2318,5184,13118,12608,11225,9628,3645,425,23,58168,1008,5883,19734,17760,15260,12867,5227,830,47,78621,1185,2278,4778,4030,2985,2135,800,136,12,18338,1641,3695,9327,9132,8678,7090,2239,349,15,42162,2028,6311,18432,16966,13352,9592,2825,620,114,70246
1RNSW,1434,2557,6547,6888,7991,9706,6914,2612,418,45067,288,1369,6444,7522,6384,4027,531,37,6,26600,2180,4311,10804,10663,11565,9877,2197,272,19,51898,144,569,2262,2965,3287,2868,432,22,0,12552,7123,12449,24483,20466,18723,15462,4048,352,20,103106,709,1200,3212,3726,4085,3572,975,165,12,17661,7832,6973,9620,7404,7130,6447,2287,362,26,48086,11820,6266,7569,5077,4294,3961,1500,216,16,40728,649,1614,5242,6492,8817,9619,3397,460,23,36324,233,426,1111,1259,1225,947,266,63,11,5530,64,541,1837,2354,2417,1692,550,94,13,9571,174,410,1113,1410,1560,1447,719,192,24,7039,440,1919,6371,7100,6461,5264,2856,457,25,30886,556,1462,3556,3620,4091,3848,1217,129,0,18492,918,2760,9008,11280,13104,10081,2034,123,9,49310,579,1810,5631,6360,7030,6293,2260,214,9,30181,636,2771,9540,9090,9212,8757,2811,321,15,43152,926,890,1412,1330,1396,1265,491,101,9,7823,1728,2845,5380,4753,4970,4382,1446,236,27,25763,1850,2890,6292,5777,5868,5001,1752,609,157,30192
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,272,706,1791,1795,1898,1655,832,338,43,9334,15,86,522,810,838,639,158,23,5,3091,1993,6659,22215,26583,28329,22575,5305,586,42,114285,134,761,3914,5233,3935,2726,553,51,8,17309,7261,21967,55648,44617,35437,22369,5323,547,36,193190,736,2749,8785,11311,11724,8663,2280,299,34,46578,11043,18180,24729,19365,15159,10531,3426,489,25,102944,16200,13792,17287,11097,6744,4890,1332,167,16,71524,992,6198,21915,22826,18886,16155,4412,348,11,91752,446,1742,6420,8451,5845,3130,629,84,5,26748,177,3350,15546,20004,13160,6390,1675,289,47,60644,218,1199,4780,5096,4027,2773,1131,292,35,19550,604,7127,35594,38173,25510,15500,6188,1153,56,129902,841,3796,10361,8857,7953,6112,2017,305,11,40256,600,3908,15798,16953,14912,11147,3030,347,21,66719,1854,4763,15034,14569,11838,9658,3447,375,17,61555,833,5034,19617,17692,14764,11811,4409,627,43,74834,2183,3122,6012,4673,3414,2187,856,144,10,22611,1163,3942,10274,9279,8952,7070,2281,371,21,43349,1909,6544,18850,16878,13623,9754,2781,580,124,71037
2RVIC,1198,2067,5450,5504,6386,7279,5211,1985,303,35383,56,227,899,1081,969,734,160,14,0,4150,1299,2927,7751,7791,8915,7689,1806,158,10,38338,52,258,1466,1823,2065,2015,346,19,0,8046,3744,7517,15882,12779,11214,9111,2257,183,19,62708,399,738,1861,2271,2677,2485,721,106,5,11255,4789,3954,5332,4354,4268,3758,1442,201,13,28117,5980,2997,3717,2460,2039,1812,779,108,4,19897,283,928,3204,3711,4841,5728,2046,224,13,20982,108,290,746,756,766,531,182,26,0,3408,34,290,1092,1572,1562,948,315,61,10,5872,55,226,588,682,749,712,363,81,4,3464,183,892,3309,3812,3625,2845,1620,282,15,16589,276,677,1750,1852,1992,1964,720,93,7,9313,374,1159,4448,5212,5808,4898,1186,99,9,23194,370,868,3330,3866,3660,3506,1244,96,0,16935,256,1280,4771,4571,4801,4622,1562,148,0,22029,526,550,1010,887,989,848,345,58,0,5224,768,1443,2945,2588,2681,2585,925,137,9,14083,933,1510,3475,3077,3565,2979,1174,424,93,17235
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,7,0,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,24,15,26,5,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,9
3GBRI,266,525,1300,1060,1188,1109,613,239,30,6341,40,305,1888,3063,2593,1397,256,20,4,9560,1682,4438,10961,12669,12787,9372,1791,197,12,53897,131,435,1752,3004,2936,1975,334,26,0,10585,4077,9621,23267,21015,17405,10937,2633,236,6,89196,569,1521,4161,5262,5287,3798,893,105,0,21602,6830,9132,12184,8755,7003,4944,1451,189,15,50501,11852,6691,7673,4549,2967,1909,582,79,0,36294,826,3270,10500,11542,11262,9588,2699,263,9,49961,213,834,2129,2263,1899,1071,220,28,0,8657,110,1315,4487,5615,4573,2209,579,106,11,19008,200,749,2268,2599,2297,1756,766,192,19,10844,532,4289,14212,16289,12858,7323,2618,341,10,58484,709,2168,4962,4485,3912,2759,807,96,0,19903,309,2578,9271,10814,11081,7273,1472,107,8,42921,1078,2709,6388,6935,6569,5223,1591,175,4,30662,674,3431,10993,10350,9331,6754,2068,264,14,43872,943,1423,2314,1852,1503,956,308,57,3,9359,1074,2621,5762,4955,4508,3527,1085,142,13,23688,1486,3739,8506,8043,6663,4415,1190,237,55,34340
3RQLD,1332,2491,6134,5449,6406,6956,4295,1543,211,34821,391,1758,7591,9643,8881,5855,948,61,0,35131,2350,4400,9414,10048,10492,8631,2042,233,8,47629,213,637,2007,2651,2872,2445,396,30,0,11241,5047,9830,22642,21720,20178,15327,3830,356,21,98952,667,1204,2970,3635,4142,3429,972,139,9,17172,7756,6640,9311,7530,7117,5636,2045,296,21,46351,11722,5570,8132,5455,4657,3731,1374,238,21,40902,638,1649,5723,6966,8983,9518,3281,358,14,37125,184,521,1191,1239,1211,874,263,45,0,5522,95,562,1766,2183,2352,1583,631,116,20,9302,187,492,1412,1850,2226,1989,1121,282,25,9592,480,1769,5790,6766,6429,4740,2370,375,9,28728,622,1533,3545,3616,4259,3604,1207,135,3,18519,429,2707,7668,8107,10060,8178,1607,110,4,38859,613,1564,4441,5546,6204,5427,1808,201,13,25817,519,2553,8881,8860,8883,7650,2292,278,8,39929,990,1200,1996,1746,1768,1374,512,87,12,9687,1703,2846,5518,5042,4678,3978,1300,199,15,25276,1940,3187,6842,6508,6368,4884,1762,571,108,32183
39799,0,0,7,11,13,6,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,182,344,920,1026,1187,1001,559,157,29,5408,28,165,1004,1126,942,630,137,17,0,4042,714,2186,6321,7286,7895,6239,1362,169,10,32182,93,274,1380,1615,1694,1271,207,9,0,6553,1858,5317,12744,10391,8995,6789,1622,173,5,47904,290,763,2024,2509,2822,2193,596,71,4,11272,4469,5207,6867,5001,4094,3162,1003,154,10,29968,5170,3831,4738,2849,1921,1399,381,68,3,20367,305,1497,4812,4899,4798,4640,1253,123,5,22333,91,397,1168,1441,1050,652,141,26,0,4959,63,599,2166,2656,2094,1313,359,76,3,9331,65,310,873,919,895,827,371,103,12,4383,196,1766,6483,7144,5357,3595,1583,268,15,26410,322,1206,2928,2435,2368,2060,597,66,6,11993,165,1487,5217,6467,6458,4906,807,53,0,25554,449,1480,3827,4092,3725,3163,1107,102,3,17950,312,1898,6548,6391,5512,4557,1502,181,4,26903,630,741,1265,906,731,511,213,43,3,5051,495,1426,3170,2676,2801,2232,786,111,12,13700,450,1369,3151,2976,2724,1974,604,194,37,13480
