GCCSA_PEP_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
1GSYD,47893,110913,299924,304053,248335,179473,54282,7901,663,1253431,144,265,702,795,1003,756,306,85,15,4079,5,47,222,258,250,152,32,10,0,978,1328,2518,8605,10720,10976,7787,1660,131,8,43725,23,253,1206,1548,1337,687,114,8,0,5182,465,2116,8672,9155,7412,4318,1111,126,9,33391,331,1796,6924,8570,7711,4691,1026,112,13,31171,13541,18278,25446,20924,18436,13403,3261,318,20,113618,17484,11777,13752,9108,7180,5183,1092,101,11,65687,487,2082,6829,7637,7466,5052,1020,88,4,30663,397,1787,7107,6755,4530,2198,472,62,3,23302,336,4969,22012,25641,17109,7805,1542,137,19,79575,418,1960,5768,5834,4648,2741,897,205,32,22508,1083,10573,37515,31398,21261,11860,3675,469,16,117847,559,3122,10111,9165,8125,5730,1434,143,7,38399,500,3444,13803,16608,15047,9726,1970,106,9,61214,4193,11346,33212,33670,33923,24187,6349,467,19,147363,4179,22778,60813,53893,50987,41318,10913,899,23,245800,1388,2341,4529,3621,2846,1810,599,102,6,17238,1464,3367,8889,7935,7338,4839,1215,141,8,35205
1RNSW,40282,56029,127438,125523,129606,114500,38684,7060,839,639963,576,1073,2506,2751,3554,4189,3239,1130,143,19166,43,329,1151,1049,836,374,54,4,3,3847,1341,1445,3824,3808,4071,3188,732,81,9,18500,49,142,543,761,901,553,86,8,0,3044,426,941,3224,3499,3357,2698,768,79,3,14991,235,508,1337,1470,1689,1336,396,53,5,7036,11941,8666,11894,10952,12486,10944,2640,235,16,69773,15570,8544,8800,6923,6771,5812,1439,144,9,54027,208,585,1583,1925,2571,2483,746,103,6,10211,224,429,969,923,843,616,196,25,0,4225,161,975,3798,4004,3656,2316,412,47,5,15372,262,800,1899,1773,1988,1420,538,89,5,8782,563,2395,7555,7711,6806,4792,1579,172,6,31576,452,1520,4218,4695,5327,4617,1039,87,0,21952,518,2112,8302,10659,11423,7010,1093,60,0,41167,1826,5158,16126,20221,21922,16659,3888,240,7,86043,3330,13027,34590,32400,36148,33980,7379,375,13,161242,947,981,1600,1462,1398,1008,345,57,7,7803,1399,2354,5305,4511,4400,3124,904,101,7,22098
19799,0,0,0,4,16,10,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,49473,115628,315080,304265,246933,175747,52061,7423,604,1267211,157,429,1258,1322,1424,1101,433,135,10,6272,5,31,182,295,299,110,29,5,0,955,2396,3332,10539,12740,13410,8991,1784,170,7,53368,28,351,2115,2893,1830,812,124,6,0,8159,368,2233,8742,8594,7066,4422,1053,117,0,32601,326,1655,5863,7055,6826,4149,923,100,5,26905,16137,23775,27337,20551,20077,14017,3285,295,12,125481,21944,16002,15938,9296,7565,4779,984,96,3,76622,349,2086,6736,6993,6648,4289,829,55,3,27990,558,1443,4787,4696,3221,1532,342,42,6,16622,174,2905,14930,17537,11482,5310,1085,91,8,53517,259,1572,5511,4570,3905,2372,761,136,14,19097,581,7567,33080,28516,19338,10340,3088,350,19,102871,531,3394,10687,8926,8293,5481,1447,129,9,38887,414,3460,15497,17756,15993,10370,2120,191,7,65808,2949,9929,35891,37048,35140,24549,5609,423,12,151554,2555,20860,67550,58720,53088,40054,9934,640,17,253423,2157,3174,5274,4416,3480,1980,575,79,8,21151,1195,3980,10817,9370,8166,5218,1283,118,7,40156
2RVIC,21680,30802,73025,70642,73571,67042,24419,4503,520,366203,512,822,2306,2382,2819,3273,2530,839,90,15580,5,63,144,133,144,104,26,0,3,621,1211,1136,2659,2820,3266,2583,602,43,4,14327,27,137,525,618,607,375,62,4,0,2345,178,603,1791,1958,2005,1547,389,26,5,8500,165,320,861,886,1075,890,202,26,7,4428,6908,5249,6771,6113,7318,6420,1461,95,10,40342,8109,4441,4512,3413,3511,3127,813,61,6,27977,136,392,1011,1123,1533,1484,404,45,0,6137,115,247,571,577,561,403,126,13,0,2610,55,387,1818,2197,1975,1205,232,13,0,7892,89,365,878,843,921,632,223,37,0,3984,227,1157,3803,4134,3607,2582,858,75,0,16444,252,727,2052,2224,2512,2229,544,55,3,10600,213,1025,4208,5469,5894,4400,862,60,0,22136,812,2516,9183,11100,11542,8978,2059,94,4,46286,1284,6943,20555,18990,21223,20460,4468,178,4,94102,576,670,1092,1054,1005,757,243,31,0,5429,564,1268,2954,2441,2330,1787,527,58,3,11934
29799,0,4,11,39,44,43,5,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,6,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,33614,61788,144965,145107,128629,88292,23950,3092,232,629680,148,293,1045,771,829,684,300,111,9,4189,12,167,842,1094,722,333,42,4,0,3212,950,1626,4483,5216,5252,3514,650,61,5,21759,35,166,792,1305,1110,479,79,3,0,3983,346,1185,3866,4338,3612,2222,562,50,5,16191,272,795,2318,2655,2677,1696,386,26,0,10827,9872,10605,12965,9516,9497,6797,1541,127,9,60926,15816,8238,8399,4704,3640,2283,459,39,3,43590,225,1181,3561,4160,3947,2711,550,42,0,16375,238,694,1445,1354,1052,535,126,11,0,5456,159,1382,5587,6556,4959,2349,413,42,7,21451,237,1021,2686,2634,2335,1534,608,92,13,11159,643,4795,13638,12738,9133,4796,1302,137,0,47179,493,2187,5683,5103,4629,3060,752,54,0,21955,233,2081,8106,10710,10657,5998,978,57,6,38828,1889,5317,15607,19970,21370,13855,2696,187,7,80896,2918,13994,35981,33925,31324,23005,4722,245,4,146112,1002,1515,2280,1816,1497,863,254,41,0,9263,1165,2622,6046,5170,4635,2779,712,76,0,23205
3RQLD,37885,53113,122963,124556,128160,105824,34061,5651,523,612734,679,1203,3224,2917,3405,3326,2071,679,63,17563,142,687,1991,1695,1411,757,93,14,0,6804,1162,1391,3218,3686,3987,3020,750,73,0,17290,71,166,631,796,779,469,86,6,0,3004,388,985,3666,4426,4156,3068,800,86,3,17581,250,625,1542,1832,2071,1498,370,49,5,8238,11630,8663,11891,10962,12556,10415,2626,227,18,68992,15884,8020,10163,7524,6954,5175,1371,118,9,55213,281,688,2173,2583,3123,2587,766,84,0,12294,213,497,926,827,794,525,144,23,0,3944,177,981,3060,3394,3147,1968,363,38,4,13131,254,860,2163,2423,2649,2179,832,146,8,11509,635,2625,7250,7659,6528,4351,1353,144,3,30546,548,1579,4366,4721,5283,4106,1043,88,3,21732,289,1637,5904,7473,7945,5264,967,60,4,29531,1469,4306,13414,19678,21860,15051,3217,220,10,79221,2660,11723,31410,31290,33519,28981,6266,317,7,146172,1141,1341,2094,1905,1652,1211,391,53,4,9793,1329,2436,5732,5217,4844,3240,860,98,3,23750
39799,0,3,16,28,25,10,6,0,0,90,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,16367,32246,77592,74807,68067,53119,15201,2159,177,339737,57,166,473,575,644,531,268,55,14,2786,6,73,310,287,246,124,28,0,0,1078,706,971,2454,2927,3081,2261,535,49,0,12964,15,102,536,679,527,264,48,0,0,2172,186,569,1710,1763,1757,1232,388,31,7,7639,88,289,915,1029,1285,888,216,26,0,4733,6044,6180,6664,5058,5484,4516,1005,87,8,35042,7151,5049,4463,2733,2176,1550,328,40,0,23493,82,320,1017,1234,1278,1008,195,17,0,5152,106,274,748,750,544,300,93,15,0,2835,76,717,2854,3261,2917,1671,284,20,0,11800,62,304,915,923,942,772,265,62,4,4245,183,1703,5504,5565,4236,2690,828,74,3,20793,215,1225,3126,2826,3008,2458,614,45,4,13519,113,1038,4394,6105,5644,3843,665,21,0,21822,815,2868,8608,10319,10178,7769,1777,121,0,42452,1037,7109,21341,19614,18486,15890,3337,164,3,86987,575,825,1162,930,775,573,193,29,3,5060,540,1355,3218,2776,2591,1879,516,70,3,12953
