GCCSA_PEP_CODE_2021,Ag_Frs_Fsh_Mgr,Ag_Frs_Fsh_Pfn,Ag_Frs_Fsh_Tch_trwk,Ag_Frs_Fsh_Co_Pswk,Ag_Frs_Fsh_Cl_Adwk,Ag_Frs_Fsh_Sal,Ag_Frs_Fsh_MchOp,Ag_Frs_Fsh_Lab,Ag_Frs_Fsh_Inad_ns,Ag_Frs_Fsh_To,Min_Mgr,Min_Pfn,Min_Tch_trwk,Min_Co_Pswk,Min_Cl_Adwk,Min_Sal,Min_MchOp,Min_Lab,Min_Inad_ns,Min_To,Manf_Mgr,Manf_Pfn,Manf_Tch_trwk,Manf_Co_Pswk,Manf_Cl_Adwk,Manf_Sal,Manf_MchOp,Manf_Lab,Manf_Inad_ns,Manf_To,ElecGWWSvc_Mgr,ElecGWWSvc_Pfn,ElecGWWSvc_Tch_trwk,ElecGWWSvc_Co_Pswk,ElecGWWSvc_Cl_Adwk,ElecGWWSvc_Sal,ElecGWWSvc_MchOp,ElecGWWSvc_Lab,ElecGWWSvc_Inad_ns,ElecGWWSvc_To,Con_Mgr,Con_Pfn,Con_Tch_trwk,Con_Co_Pswk,Con_Cl_Adwk,Con_Sal,Con_MchOp,Con_Lab,Con_Inad_ns,Con_To,WhlTr_Mgr,WhlTr_Pfn,WhlTr_Tch_trwk,WhlTr_Co_Pswk,WhlTr_Cl_Adwk,WhlTr_Sal,WhlTr_MchOp,WhlTr_Lab,WhlTr_Inad_ns,WhlTr_To,ReTr_Mgr,ReTr_Pfn,ReTr_Tch_trwk,ReTr_Co_Pswk,ReTr_Cl_Adwk,ReTr_Sal,ReTr_MchOp,ReTr_Lab,ReTr_Inad_ns,ReTr_To,Acc_Fdsvc_Mgr,Acc_Fdsvc_Pfn,Acc_Fdsvc_Tch_trwk,Acc_Fdsvc_Co_Pswk,Acc_Fdsvc_Cl_Adwk,Acc_Fdsvc_Sal,Acc_Fdsvc_MchOp,Acc_Fdsvc_Lab,Acc_Fdsvc_Inad_ns,Acc_Fdsvc_To,TrPo_wh_Mgr,TrPo_wh_Pfn,TrPo_wh_Tch_trwk,TrPo_wh_Co_Pswk,TrPo_wh_Cl_Adwk,TrPo_wh_Sal,TrPo_wh_MchOp,TrPo_wh_Lab,TrPo_wh_Inad_ns,TrPo_wh_To,InMe_Telco_Mgr,InMe_Telco_Pfn,InMe_Telco_Tch_trwk,InMe_Telco_Co_Pswk,InMe_Telco_Cl_Adwk,InMe_Telco_Sal,InMe_Telco_MchOp,InMe_Telco_Lab,InMe_Telco_Inad_ns,InMe_Telco_To,FinIn_Mgr,FinIn_Pfn,FinIn_Tch_trwk,FinIn_Co_Pswk,FinIn_Cl_Adwk,FinIn_Sal,FinIn_MchOp,FinIn_Lab,FinIn_Inad_ns,FinIn_To,REst_Mgr,REst_Pfn,REst_Tch_trwk,REst_Co_Pswk,REst_Cl_Adwk,REst_Sal,REst_MchOp,REst_Lab,REst_Inad_ns,REst_To,PSc_Tech_Mgr,PSc_Tech_Pfn,PSc_Tech_Tch_trwk,PSc_Tech_Co_Pswk,PSc_Tech_Cl_Adwk,PSc_Tech_Sal,PSc_Tech_MchOp,PSc_Tech_Lab,PSc_Tech_Inad_ns,PSc_Tech_To,AdmSu_Mgr,AdmSu_Pfn,AdmSu_Tch_trwk,AdmSu_Co_Pswk,AdmSu_Cl_Adwk,AdmSu_Sal,AdmSu_MchOp,AdmSu_Lab,AdmSu_Inad_ns,AdmSu_To,PubAd_Sf_Mgr,PubAd_Sf_Pfn,PubAd_Sf_Tch_trwk,PubAd_Sf_Co_Pswk,PubAd_Sf_Cl_Adwk,PubAd_Sf_Sal,PubAd_Sf_MchOp,PubAd_Sf_Lab,PubAd_Sf_Inad_ns,PubAd_Sf_To,EdTr_Mgr,EdTr_Pfn,EdTr_Tch_trwk,EdTr_Co_Pswk,EdTr_Cl_Adwk,EdTr_Sal,EdTr_MchOp,EdTr_Lab,EdTr_Inad_ns,EdTr_To,Hlth_SAss_Mgr,Hlth_SAss_Pfn,Hlth_SAss_Tch_trwk,Hlth_SAss_Co_Pswk,Hlth_SAss_Cl_Adwk,Hlth_SAss_Sal,Hlth_SAss_MchOp,Hlth_SAss_Lab,Hlth_SAss_Inad_ns,Hlth_SAss_To,ArtRec_Mgr,ArtRec_Pfn,ArtRec_Tch_trwk,ArtRec_Co_Pswk,ArtRec_Cl_Adwk,ArtRec_Sal,ArtRec_MchOp,ArtRec_Lab,ArtRec_Inad_ns,ArtRec_To,OthS_Mgr,OthS_Pfn,OthS_Tch_trwk,OthS_Co_Pswk,OthS_Cl_Adwk,OthS_Sal,OthS_MchOp,OthS_Lab,OthS_Inad_ns,OthS_To,Inad_ns_Mgr,Inad_ns_Pfn,Inad_ns_Tch_trwk,Inad_ns_Co_Pswk,Inad_ns_Cl_Adwk,Inad_ns_Sal,Inad_ns_MchOp,Inad_ns_Lab,Inad_ns_Inad_ns,Inad_ns_To
1GSYD,3789,650,1048,33,830,333,627,2788,121,10221,983,1094,717,12,480,42,1056,149,46,4590,25958,17582,26233,1374,14577,6722,17174,19935,1563,131109,3814,4824,3019,81,2858,499,3186,1394,292,19975,32586,14952,85165,411,21956,2840,10956,25747,2671,197272,20992,16619,4693,173,13467,9296,9523,3012,867,78650,37647,17780,10843,1589,14282,99274,13830,16603,1609,213457,25650,3463,19595,32769,5250,17984,3504,23276,1026,132516,13683,9773,4632,2596,26086,5141,52452,6598,1840,122805,11359,29090,6277,238,6205,3146,667,563,631,58182,34005,73065,1634,575,50854,4714,106,210,3186,168343,8037,7891,1211,319,7881,18790,795,1047,749,46717,41934,160261,16625,649,34958,4500,761,1346,2412,263438,11463,13576,5151,4947,9066,1824,3388,27217,745,77380,19895,34070,8761,28372,31267,790,2286,4502,2629,132583,19138,124343,4122,32095,20858,531,612,2655,1172,205528,21071,137569,10616,94099,44695,1913,2245,9870,2341,324419,7117,9838,3195,7481,3918,1376,257,1887,514,35572,8766,10134,28891,12088,9178,1487,1093,5089,649,77369,18451,20659,11268,4175,14847,6921,11372,9921,21751,119363
1RNSW,36340,1683,3796,177,2924,765,3301,14519,732,64231,2388,2926,8915,115,1459,81,13163,1110,307,30450,10352,5409,19138,896,6006,3542,9288,14855,912,70393,1956,2158,4582,64,2157,312,2823,1317,225,15598,14433,3246,58111,220,10198,1321,11084,18241,1236,118100,4668,2534,3400,81,3454,5189,3490,1614,256,24696,17866,3726,7663,1137,5479,65983,3925,11574,506,117853,16083,757,12015,26007,3894,11274,2650,21501,565,94753,4677,1994,2649,746,8897,1540,23008,2559,462,46535,1581,3645,1588,70,1281,1129,122,218,125,9756,3634,7759,318,182,11564,836,55,111,478,24943,1914,1307,628,192,2893,7590,384,683,241,15821,6756,32135,7692,247,13179,710,376,884,489,62467,3013,3785,3959,2756,4203,477,1830,20062,353,40445,12757,18562,7024,19529,21263,489,3638,5316,1902,90481,9179,65758,2723,23410,11462,243,354,2528,584,116227,10472,74443,6274,76462,25180,906,1261,8106,1294,204396,2486,3471,1830,3741,1379,565,258,1690,202,15625,3422,3418,23255,7512,4674,780,691,3792,309,47862,5335,4376,7046,2841,4956,2895,4525,6183,11120,49279
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,5460,1028,1550,90,1225,516,1035,4478,231,15603,861,1178,556,21,372,30,815,139,80,4050,31780,20951,33943,2064,16677,8778,22592,28704,2170,167649,4996,6705,2717,55,4613,1131,3289,1434,537,25472,30676,13157,109812,427,21227,3016,12449,31714,3304,225793,18201,12511,4739,271,12767,10100,10345,3703,838,73477,38669,17616,11443,1879,14974,113365,11969,16794,1707,228425,24350,2278,22773,41234,4250,20266,2397,29577,1030,148146,13091,9751,4523,2499,24138,4541,54142,5169,1888,119743,8148,19565,5254,302,5432,3045,507,547,572,43367,19090,47197,1228,745,40024,3413,194,229,2039,114155,6294,5435,1214,414,6696,15893,970,1051,679,38647,34661,140773,17015,771,31666,3324,798,1493,2272,232776,9753,11948,7366,4906,10035,1478,3372,29322,959,79143,19220,35232,6348,31555,30549,531,1041,5605,2430,132520,18033,128730,5143,38653,18340,494,347,2054,1319,213108,19134,140234,10812,98689,43903,1834,2017,9340,2281,328251,8214,11051,3415,12082,4053,1737,307,2151,768,43758,8904,9266,32807,14327,8847,1623,1129,5779,825,83510,15964,17096,12670,4565,13603,6392,12450,11660,22330,116725
2RVIC,29353,1255,2870,137,1868,546,2511,11888,533,50965,513,553,1204,38,241,16,1792,338,63,4766,7864,3547,12699,845,3973,2816,6719,13519,674,52662,1444,1403,2581,37,1758,167,1880,928,200,10388,8382,1770,35858,161,5852,832,6641,10867,842,71207,2884,1475,1664,40,2045,3616,2383,1442,121,15685,10365,2489,4487,642,3275,37410,2827,6649,316,68457,8330,326,5903,12443,1515,6384,896,11804,282,47875,2924,1006,1382,633,4923,1304,13425,1252,272,27118,974,2061,1009,42,988,660,77,135,67,6024,2116,4648,177,90,5982,394,37,62,261,13764,834,662,393,102,1443,3447,168,275,123,7440,3543,16584,4327,156,7221,418,131,363,294,33036,1522,1923,2743,1437,1840,228,537,9511,175,19913,5805,9369,2648,13282,9695,143,1330,2332,734,45328,4599,36716,1558,13223,5285,113,200,1216,316,63222,6100,43772,3658,40673,14220,522,615,5819,747,116126,1809,2261,1386,2456,829,440,95,1203,176,10649,2007,1840,12671,3769,2385,431,397,2343,176,26018,3215,2154,3806,1411,2493,1504,2581,3738,6964,27872
29799,0,0,0,0,0,0,0,0,0,0,9,0,19,0,0,0,10,0,0,40,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,19,13,21,0,0,18,22,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,15
3GBRI,3874,571,720,44,706,240,576,3670,124,10532,2736,4396,1910,66,1272,86,1803,320,186,12768,12354,6652,17644,843,7578,3579,10414,15626,957,75658,2447,3849,2564,44,2264,314,2044,808,236,14561,14105,6052,48778,176,11289,1572,7261,14823,1338,105386,6711,4620,2786,204,5549,4672,5500,2007,388,32433,17088,6374,6164,1037,6602,55964,7203,10322,676,111431,12277,1280,9277,21776,2402,12264,2465,17660,488,79887,6849,5924,3472,1661,13089,2152,28066,4244,884,66336,2400,5547,2112,114,1964,1305,188,266,219,14111,6065,14584,552,139,16555,1703,68,118,676,40465,3429,2495,803,209,3824,9345,651,940,312,22004,14682,60752,9636,362,16475,1387,505,923,936,105654,4413,5867,3063,3123,6505,764,1342,16295,496,41858,11395,21608,5056,16387,20951,391,1543,2853,1555,81738,9000,61718,3123,22313,10398,359,269,3756,620,111552,11056,76377,6592,60099,26849,1134,1087,5564,1221,189983,3295,4511,1697,4956,1737,786,210,1142,292,18620,4552,4964,18507,8135,5040,892,740,3667,395,46892,6992,7207,6911,2532,6683,3184,5834,5870,10330,55543
3RQLD,24587,1551,2325,204,2680,537,3802,16146,555,52386,2980,3777,13402,246,2101,150,16641,1848,787,41937,9449,4127,19780,810,6172,3388,8582,11813,801,64919,1610,1605,4716,46,1922,301,2469,1287,298,14248,13971,3590,54505,183,12390,1420,11474,17451,1538,116529,5062,2311,3159,108,3777,5322,3717,1707,253,25411,17958,4065,7138,1036,5901,63464,4139,10958,679,115336,16130,1093,12195,25406,4325,12298,2144,21827,698,96112,4910,3624,3233,1517,8891,1776,22152,2720,598,49417,1489,3069,1828,131,1352,1069,166,238,134,9470,3025,7266,307,125,9784,1202,64,144,518,22432,2865,1545,1008,223,3734,9684,634,1080,336,21102,6479,28998,7739,244,12965,985,345,998,527,59277,3447,3679,3655,3089,4798,891,2226,18009,457,40256,7645,12782,6132,16822,15265,452,2900,5192,1207,68389,7629,56020,2944,23105,9395,320,341,4667,624,105042,9167,69109,5445,67141,24452,1089,1005,7344,1351,186102,3053,3465,2229,5458,1664,1102,408,1769,328,19478,3819,3508,22305,8208,4971,911,728,4196,383,49029,6262,4702,7805,2972,5999,3284,4457,6334,11849,53674
39799,0,22,0,0,0,0,0,20,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,16,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
4GADE,3382,408,609,23,547,188,446,2450,139,8195,762,1308,1118,30,433,20,1127,241,84,5119,7718,5033,10234,700,4399,2553,5100,8833,573,45145,1492,1868,1663,21,1468,323,1177,513,193,8729,7047,2390,27044,459,5248,821,3510,8131,893,55540,3277,1899,1565,77,2431,2636,2678,1231,212,16006,9663,3014,3485,624,3293,34574,3137,6809,406,65011,7225,458,5931,12406,1135,5607,806,9994,298,43862,2651,1424,1295,819,5531,914,13142,1350,363,27484,1090,2831,1397,33,1298,820,63,147,125,7795,2725,6567,283,122,10198,782,34,57,365,21131,1316,897,333,138,1643,3561,220,375,151,8624,5974,27129,4741,156,7610,511,195,407,474,47202,2125,2804,2388,2533,3679,365,663,10640,321,25513,6600,12665,3092,10581,11743,231,554,1208,723,47376,4978,34923,1818,11626,5828,127,122,582,405,60408,5895,44036,3815,38358,15413,612,777,4128,849,113895,1810,2187,934,3171,862,411,66,495,170,10108,2378,2534,11052,4720,2728,530,361,2103,246,26656,2640,2421,2621,1163,2415,1233,2093,2603,4490,21673
