GCCSA_PEP_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
1GSYD,842,2185,11170,4419,1819,10205,3300,13119,838,47893,5420,18810,24923,11505,9089,13565,9952,15035,2604,110913,37284,92922,55276,18152,22786,18186,24546,23708,7066,299924,65862,95056,45392,13323,22694,14572,23753,16952,6451,304053,59849,62776,38087,10944,18083,11730,24775,17129,4972,248335,37428,40926,28669,7798,13444,8830,23050,16066,3263,179473,10130,15473,7141,2260,4216,3103,6005,4866,1083,54282,1794,2752,677,223,537,556,456,546,355,7901,180,198,42,12,41,47,12,39,98,663,218795,331091,211377,68641,92706,80789,115845,107453,26735,1253431,759,2975,1648,11513,4287,21491,1034,5389,738,49826,5442,25907,4996,25482,19429,18311,2434,5527,1956,109471,33681,119452,11613,36585,48123,20161,4414,10211,5505,289744,46003,101235,9517,28684,55277,16469,3755,9367,5106,275414,38236,70918,7808,28317,56282,15883,4213,11698,3537,236892,19025,42779,5407,20383,43640,11731,3507,11289,2174,159934,3926,11755,1214,4207,12344,2896,653,2653,741,40373,436,1084,113,274,1366,339,42,201,235,4088,49,48,7,13,66,34,0,11,85,310,147548,376146,42327,155451,240805,107318,20047,56344,20076,1166062
1RNSW,877,494,10942,3415,666,8164,2228,12726,772,40282,2751,4022,19144,6329,2060,5557,4755,10385,1024,56029,13605,20210,38368,10175,5045,6597,13734,17252,2446,127438,22469,22305,30285,8497,5422,5189,15176,13635,2540,125523,26155,20821,26856,8735,6425,5561,17906,14524,2618,129606,22930,16522,22100,6884,6025,5317,18125,14505,2092,114500,10671,6849,5302,1683,1892,1952,5215,4300,824,38684,3191,1045,517,125,271,316,562,612,419,7060,476,65,36,13,16,36,25,41,141,839,103106,92339,153549,45864,27819,38698,77741,87978,12875,639963,602,972,1879,11322,2364,17234,499,5872,686,41436,2367,7614,3487,17698,7599,8939,901,4350,791,53741,10681,38509,7148,24433,20528,10258,1802,7884,1789,123035,15611,38174,5817,20920,24527,8910,1526,7884,1818,125190,17593,33536,5731,22944,30009,10496,1783,9875,1888,133855,13055,24969,3998,19278,25976,9560,1527,10333,1390,110079,4927,6524,916,3713,6906,2345,410,2355,593,28693,1245,428,63,212,728,182,45,297,369,3562,138,16,13,10,45,13,3,20,100,355,66211,150746,29040,120535,118681,67944,8494,48874,9429,619947
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2GMEL,713,1252,9092,6101,1665,11782,2480,15488,904,49473,4863,14745,28899,12596,8841,15030,10265,17595,2797,115628,33734,86129,68341,20436,23793,17904,28531,28624,7590,315080,60451,86190,54202,14078,21550,13811,26890,20376,6699,304265,56009,56635,44468,11418,16823,11669,25168,19634,5106,246933,35593,36702,31770,8270,12644,8403,22464,16560,3334,175747,9725,13858,7652,2177,3895,2894,5666,5097,1096,52061,1714,2299,772,209,484,519,363,741,320,7423,171,139,33,17,34,42,16,54,99,604,202970,297964,245233,75302,89741,82045,121846,124164,27948,1267211,710,1612,1323,12756,3319,26836,653,6621,770,54602,5166,20964,5537,27301,17732,23949,2375,7450,2023,112500,29508,115749,14898,43263,47371,21116,4639,13091,5539,295169,40336,98319,11725,35939,50125,15789,3889,11135,4963,272221,35221,66987,9570,33276,52900,16366,4700,13337,3807,236154,17383,39232,5756,22827,40615,12213,3417,11794,2172,155410,3727,9979,1192,4601,10617,2888,607,2974,680,37269,470,857,77,283,941,272,43,347,255,3553,28,52,3,4,36,11,0,13,93,247,132548,353746,50079,180245,223662,119451,20334,66761,20307,1167127
2RVIC,590,222,5424,1791,333,4754,894,7206,468,21680,1921,1997,10583,2868,1110,3011,2536,6152,625,30802,8456,11440,21447,5374,2878,3771,7094,11032,1530,73025,13934,12229,17008,4322,3085,2997,7119,8545,1397,70642,16246,11028,15202,4639,3471,3298,9317,8778,1588,73571,14715,9062,12602,3849,3382,3102,10312,8618,1401,67042,7384,3888,3186,1027,1236,1232,3063,2818,579,24419,2326,516,302,95,159,203,245,381,278,4503,319,24,23,3,8,14,10,36,76,520,65882,50412,85775,23971,15662,22388,40599,53568,7944,366203,351,231,807,5361,1077,10203,253,3434,411,22130,1330,3978,2006,8934,3833,5361,580,2912,446,29363,5752,22600,4324,13905,10377,5594,860,5310,981,69707,8578,21953,3662,11771,12854,4840,736,5044,1014,70457,10144,18625,3361,13496,15803,6092,1006,6419,1024,75978,8073,14163,2519,11698,14212,5573,1015,6948,820,65030,3530,3617,527,2362,3671,1259,193,1805,405,17367,858,225,33,107,314,81,20,221,206,2054,84,13,6,5,19,3,4,14,79,230,38698,85401,17247,67644,62157,39003,4659,32111,5394,352319
29799,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,4,0,0,0,3,4,0,11,3,11,6,7,0,0,5,7,0,39,9,10,11,0,4,0,11,6,4,44,0,8,7,3,0,0,12,8,0,43,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,39,6,4,0,31,33,5,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,22
3GBRI,522,817,5884,3480,1045,7782,2752,10777,552,33614,2559,8121,14446,6991,4530,7038,6391,10388,1333,61788,14534,34202,33644,10520,10048,8146,15134,15599,3134,144965,25941,37597,28475,7702,10019,6227,14422,11695,3027,145107,26942,29742,23159,6934,8922,5586,14090,10807,2456,128629,16593,17997,16172,4421,6508,4387,12062,8624,1539,88292,4272,5749,3625,1123,1724,1490,3124,2389,460,23950,777,777,282,97,212,253,254,291,154,3092,74,41,9,4,20,17,9,11,43,232,92216,135038,125700,41271,43019,40924,68238,70577,12699,629680,608,1109,1235,9792,2741,15995,670,5058,542,37740,3009,11610,3328,16297,11149,10418,1319,4033,982,62153,13372,48394,7329,23112,25743,10525,2151,7641,2441,140715,18768,47825,5632,19618,28079,7839,1689,6928,2352,138731,17391,36225,4797,18819,29667,8300,1909,7940,1808,126853,8369,20536,2762,12869,21728,6323,1454,6927,1053,82022,1714,4269,537,2330,5164,1604,317,1616,284,17825,242,326,44,115,422,157,8,157,112,1590,17,11,0,5,18,5,0,4,50,112,63489,170307,25664,102949,124713,61166,9521,40300,9626,607740
3RQLD,620,503,8810,3417,670,8668,2131,12244,814,37885,2245,4086,16694,5889,1955,5372,4899,10737,1221,53113,12144,18388,37283,10214,4647,6496,13573,17354,2856,122963,20984,20386,33327,7828,5194,5447,15385,13167,2838,124556,24284,19717,29262,8166,6035,6096,18275,13399,2933,128160,19710,14767,22152,5917,5518,5253,17843,12451,2214,105824,8229,5682,5298,1364,1607,2151,5086,3821,821,34061,2293,789,425,138,260,401,448,559,347,5651,248,42,23,6,23,21,22,40,102,523,90760,84368,153277,42931,25912,39906,77667,83773,14140,612734,582,800,1705,10744,2645,17170,565,5699,764,40673,2432,8274,3331,14892,8061,8931,1217,4358,881,52386,10676,34287,7187,22956,20720,10296,2364,8927,1986,119403,15127,35540,6084,21484,25092,9264,2029,8762,2063,125437,16240,30791,5634,22961,29075,11325,2393,10686,1876,130985,11087,20569,3752,17518,24020,9764,1754,10489,1317,100263,3767,4890,809,3378,6315,2728,375,2726,554,25541,789,343,82,194,658,268,24,292,254,2901,66,16,4,6,33,10,0,17,74,226,60778,135508,28581,114137,116610,69749,10715,51961,9775,597814
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,3,4,0,16,0,8,0,0,0,0,3,12,0,28,0,9,0,0,0,0,9,10,0,25,0,5,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,0,5,0,0,21,32,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,3,0,0,3,0,13
4GADE,233,297,2651,1951,412,3950,827,5750,295,16367,1266,3701,7952,4110,2113,3994,2641,5818,663,32246,7421,17027,18383,6814,5261,4557,7447,9196,1493,77592,12908,17840,15112,5193,5451,3346,6905,6570,1481,74807,13687,14135,13155,4385,4960,3238,6957,6173,1384,68067,9775,10242,10187,3326,4051,2674,6688,5167,1002,53119,2909,3842,2428,810,1093,963,1492,1333,324,15201,550,588,237,50,146,171,110,164,136,2159,56,35,18,0,7,12,5,12,30,177,48793,67706,70118,26644,23495,22904,33074,40186,6815,339737,211,416,543,4721,997,8642,153,2526,254,18460,1403,5408,1794,9396,4767,6205,342,2256,485,32048,6024,24831,4194,14392,11941,5274,647,3931,1059,72305,8884,23948,3386,11764,13781,3976,548,3757,1034,71084,8713,18457,2909,10752,15808,4636,735,4410,902,67323,5357,12660,1988,8421,13441,4171,607,4132,592,51371,1225,3118,442,1563,3368,935,142,989,199,11975,131,234,47,86,282,88,13,86,93,1058,11,9,3,4,10,11,0,12,32,97,31950,89091,15310,61100,64395,33932,3186,22101,4649,325719
