LGA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
LGA10050,39,1473,780,270,1909,0.7,1428,2.3
LGA10180,37,1437,724,285,1844,0.7,1403,2.3
LGA10250,48,1950,736,420,1848,0.8,1420,2.4
LGA10300,44,1083,766,200,1781,0.8,1370,2.5
LGA10470,38,1733,795,320,2026,0.7,1584,2.5
LGA10500,35,2466,871,500,2243,1,1955,2.5
LGA10550,52,1506,650,315,1501,0.8,1210,2.2
LGA10600,50,1517,612,350,1479,0.8,1191,2.3
LGA10650,51,1200,618,210,1460,0.7,1127,2.2
LGA10750,34,2383,830,400,2251,0.9,2104,3.1
LGA10800,43,1083,762,200,1811,0.7,1357,2.3
LGA10850,42,1517,768,270,1974,0.8,1551,2.5
LGA10900,45,2032,817,400,2235,0.7,1760,2.4
LGA10950,42,1083,805,200,1931,0.8,1466,2.4
LGA11150,39,912,889,180,1899,0.8,1569,2.5
LGA11200,38,780,568,150,1232,0.8,965,2.3
LGA11250,44,867,653,220,1623,0.7,1185,2.2
LGA11300,34,2500,739,500,2101,1.1,1861,2.7
LGA11350,43,2167,763,530,1926,0.9,1607,2.5
LGA11400,44,1625,763,250,1984,0.8,1543,2.6
LGA11450,33,2500,982,500,2487,0.8,2351,3.1
LGA11500,35,2100,737,380,1927,0.9,1697,2.9
LGA11520,39,2993,1102,557,2870,1,2366,2.5
LGA11570,36,2167,625,400,1786,1,1553,2.9
LGA11600,37,867,858,200,1814,0.8,1541,2.5
LGA11650,43,2000,727,400,1954,0.8,1507,2.5
LGA11700,45,611,584,153,1128,0.8,1078,2.3
LGA11720,37,1647,698,340,1818,0.8,1495,2.6
LGA11730,49,1376,578,315,1398,0.8,1126,2.3
LGA11750,38,1096,963,195,2260,0.7,1753,2.3
LGA11800,44,1733,684,375,1685,0.8,1358,2.4
LGA12000,44,1300,689,205,1691,0.8,1307,2.5
LGA12150,39,867,653,188,1533,0.8,1228,2.4
LGA12160,48,1192,633,220,1518,0.7,1140,2.3
LGA12350,47,1200,604,230,1447,0.7,1112,2.3
LGA12380,34,2167,654,410,1808,1.1,1675,3
LGA12390,36,1517,837,300,1969,0.8,1596,2.5
LGA12700,46,1820,708,300,1856,0.8,1493,2.5
LGA12730,46,1083,703,220,1709,0.7,1236,2.2
LGA12750,54,1517,626,330,1436,0.7,1186,2.2
LGA12850,39,2000,485,390,1482,1,1388,3.2
LGA12870,50,1300,654,250,1592,0.7,1182,2.2
LGA12900,41,1292,715,230,1691,0.7,1263,2.4
LGA12930,38,2470,790,450,2209,1,1986,2.8
LGA12950,47,1083,628,200,1384,0.7,1146,2.3
LGA13010,49,1083,532,220,1324,0.7,938,2.1
LGA13310,41,1733,747,320,1939,0.7,1467,2.4
LGA13340,43,1300,727,220,1833,0.8,1419,2.5
LGA13450,37,1473,841,295,2006,0.8,1734,2.7
LGA13550,37,1473,788,300,2001,0.7,1566,2.5
LGA13660,50,997,533,200,1308,0.7,1031,2.3
LGA13800,39,2200,859,400,2272,0.8,1978,2.8
LGA13850,47,888,706,175,1622,0.7,1240,2.2
LGA13910,44,1213,661,250,1552,0.7,1177,2.4
LGA14000,41,2600,959,495,2825,0.9,2414,2.8
LGA14100,46,4000,1218,540,4116,0.8,2987,2.6
LGA14170,38,3000,1201,500,3155,1,2335,2.3
LGA14220,43,1205,619,260,1445,0.8,1160,2.4
LGA14300,40,1251,742,260,1796,0.7,1396,2.4
LGA14350,48,1300,554,300,1347,0.8,1096,2.4
LGA14400,47,2197,832,490,2202,0.7,1841,2.5
LGA14500,42,3500,1113,630,3447,0.8,3033,2.9
LGA14550,51,1224,521,250,1311,0.8,981,2.2
LGA14600,41,867,656,180,1576,0.7,1228,2.4
LGA14650,42,1950,759,375,2050,0.8,1621,2.5
LGA14700,37,2984,1418,540,3619,1,2794,2.4
LGA14750,37,1300,747,250,1815,0.8,1415,2.5
LGA14850,44,1517,687,310,1719,0.8,1317,2.4
LGA14870,46,1500,640,270,1658,0.7,1206,2.3
LGA14900,34,2200,695,400,2001,0.9,1815,3.2
LGA14920,46,1133,616,230,1479,0.7,1166,2.3
LGA14950,47,1192,637,200,1636,0.7,1293,2.5
