LGA_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
LGA10050,316,1573,1096,18237,199,21430,8,76,26,1914,16,2042,329,21,28,97,3,475,102,35,16,74,4,231,363,153,85,371,7,976,1994,1428,990,17478,232,22123,445,26,82,24,6,589,58,19,11,138,3,235,491,248,151,3189,30,4100,133,41,13,157,5,350,83,28,5,61,0,175,860,27,23,10,0,929,397,379,226,6329,45,7372,274,154,48,899,10,1380,38,6,13,3,0,64,31,19,21,81,0,153,8,3,0,5,0,17,39,22,13,90,0,164,101,35,12,30,4,179,98,68,47,54,0,277,155,38,27,135,0,354,55,9,15,26,0,105,19,6,0,3,0,33,524,358,252,4848,43,6019,73,11,0,30,0,120,85,21,9,11,0,131,76,14,15,78,0,179,65,4,7,5,0,72,76,0,8,6,0,84,69,42,12,152,0,279,3133,341,270,761,55,4560,109,22,8,448,2691,3280,8818,2990,2034,38766,3221,55832
LGA10180,128,770,618,8670,82,10272,7,51,14,1946,55,2087,326,15,23,71,0,436,9,9,0,12,0,38,113,69,38,98,0,314,1038,706,523,8219,110,10600,171,0,30,5,0,206,52,23,11,63,0,145,222,77,40,935,8,1278,29,7,11,28,0,77,20,4,0,17,0,45,255,4,5,8,0,273,246,160,110,2934,23,3479,73,37,15,202,0,321,25,0,0,0,0,26,16,7,7,52,0,76,0,0,0,0,0,0,14,6,4,26,0,55,48,21,15,15,0,98,60,36,17,18,0,129,48,14,4,43,0,112,25,7,8,16,0,57,17,8,4,0,0,27,312,194,159,2608,12,3283,14,3,0,6,0,18,57,11,18,4,0,85,52,3,3,21,0,83,42,7,9,0,0,57,89,0,4,0,3,93,42,26,14,89,0,171,2306,242,205,374,19,3150,51,5,5,180,2875,3112,4945,1413,1070,18377,3147,28948
LGA10250,281,1799,1383,14525,206,18195,11,64,46,1595,25,1737,198,39,55,108,5,398,53,18,9,43,0,117,331,103,96,169,0,708,3016,1611,1204,14550,221,20602,164,5,66,15,3,255,163,35,31,136,7,362,438,149,128,1377,16,2113,48,31,7,130,0,221,60,17,12,27,0,102,215,33,23,36,0,301,620,422,318,5251,52,6671,384,176,58,891,17,1526,23,0,5,0,0,30,18,14,4,43,0,81,11,9,0,5,0,18,62,25,14,79,0,190,83,45,32,20,0,180,197,90,58,57,0,406,111,33,35,74,0,254,59,18,8,32,6,112,13,9,0,0,0,26,791,447,339,4172,35,5781,26,9,3,5,0,48,135,19,16,27,0,202,109,5,9,52,0,170,16,8,9,11,0,44,52,3,9,0,0,74,139,41,25,164,3,378,1461,435,357,671,25,2946,73,32,18,278,2184,2586,7091,3263,2479,30770,2679,46290
LGA10300,5,40,29,725,4,800,0,0,0,142,3,140,27,0,0,3,0,34,0,0,0,0,0,0,6,4,3,3,0,16,48,25,28,648,17,774,17,0,3,0,0,15,0,0,0,4,0,3,5,8,0,59,0,71,0,0,0,5,0,10,0,0,0,0,0,0,10,0,0,0,0,10,8,9,8,196,3,220,70,14,15,169,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,3,0,11,0,0,0,6,0,5,0,0,0,3,0,3,5,0,0,0,0,5,0,0,0,0,11,11,12,7,5,172,3,206,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,3,0,0,0,0,0,0,5,0,3,0,0,13,0,0,0,4,0,10,79,8,16,20,5,133,6,0,0,18,318,341,266,70,68,1534,364,2304
LGA10470,191,1261,967,15883,136,18434,9,94,58,2623,42,2815,240,17,35,106,5,408,56,15,15,54,0,135,196,95,61,278,3,635,1531,1174,933,13988,152,17777,260,8,68,24,0,362,49,18,12,122,0,208,237,120,67,1033,7,1464,36,23,20,82,4,167,50,20,8,20,0,93,328,19,8,6,0,365,396,304,190,5317,41,6242,167,120,37,513,0,837,36,0,3,0,0,39,77,33,7,70,0,192,12,0,0,5,0,20,60,20,30,138,0,251,90,31,13,39,4,177,102,64,30,53,0,251,82,24,11,101,3,221,31,3,15,27,0,80,22,20,0,4,0,48,438,274,249,3649,23,4636,43,6,0,20,0,71,55,21,15,10,0,104,48,3,4,43,0,101,73,10,4,4,0,88,72,0,9,0,0,85,73,46,16,137,0,269,1486,233,195,510,15,2445,63,20,15,305,2840,3243,5376,2339,1746,31042,3185,43690
LGA10500,3443,3801,2999,14087,191,24529,75,174,71,1554,13,1894,24736,277,534,369,110,26025,1090,156,79,295,9,1635,441,121,85,184,5,832,8136,2478,1982,12134,253,24990,4290,111,391,69,21,4883,677,92,76,142,5,987,1253,220,147,1035,20,2676,8746,1299,718,3681,88,14525,440,54,39,99,0,634,3798,91,84,43,16,4025,3690,857,547,5498,76,10668,4601,832,413,2069,50,7964,867,19,39,5,4,935,5680,1070,449,1030,33,8262,4329,371,230,662,43,5637,940,247,140,495,24,1836,911,171,109,68,7,1275,594,166,110,68,6,950,827,96,68,150,5,1141,1211,70,90,94,9,1470,377,66,36,17,12,508,1661,595,470,3382,33,6137,1318,121,72,113,11,1630,437,66,64,19,0,586,1922,90,73,133,11,2228,238,24,15,18,0,290,2319,49,89,51,12,2527,250,58,57,181,0,549,38600,2036,1761,2064,222,44682,2147,96,85,340,9498,12167,113414,9956,7229,33839,10589,175031
LGA10550,182,1217,943,12206,175,14725,0,38,23,1209,20,1302,145,19,25,80,0,270,52,12,7,27,0,97,359,114,71,176,11,736,2353,1239,936,11061,228,15819,134,5,39,4,3,194,76,23,5,79,0,188,486,110,110,1151,10,1867,55,17,6,48,0,122,71,18,5,15,0,106,113,8,10,13,5,139,431,291,190,3762,39,4707,208,82,37,353,10,698,13,0,3,0,0,21,11,8,3,20,0,33,6,0,0,0,0,14,64,18,10,50,0,144,57,31,5,33,0,122,85,52,34,33,3,197,108,26,9,60,4,212,48,16,4,28,0,87,10,3,5,0,0,15,586,282,245,3014,33,4160,17,4,6,6,0,34,50,13,6,10,0,74,51,4,8,21,0,86,6,4,0,8,0,17,25,0,0,7,0,31,94,32,11,110,0,250,972,223,216,473,22,1906,44,13,10,284,2173,2528,5470,2277,1715,24178,2613,36250
LGA10600,67,588,369,4235,56,5312,0,22,11,496,7,540,38,17,4,27,0,89,16,8,0,17,0,38,140,33,18,59,0,248,948,539,327,4008,73,5906,38,0,17,0,0,58,46,14,13,33,0,100,185,54,45,394,3,689,16,7,0,23,0,42,24,12,6,17,0,52,17,3,3,4,0,29,192,140,72,1489,9,1903,56,37,8,121,0,222,3,0,3,0,0,8,5,5,0,9,0,13,3,0,0,0,0,0,15,14,8,21,0,54,13,10,6,8,0,39,46,29,22,18,0,110,31,22,5,34,0,90,18,14,5,12,0,42,0,4,0,0,0,9,225,149,108,1220,14,1715,5,3,0,5,0,13,19,10,6,4,0,44,29,5,11,16,0,55,0,0,0,0,0,0,5,0,0,10,0,9,47,16,14,46,0,124,395,147,97,182,4,816,12,3,5,88,895,1002,2025,1078,674,8671,1039,13482
LGA10650,36,229,153,2910,52,3385,0,14,7,220,0,245,29,3,4,15,0,47,4,3,0,4,0,12,62,13,21,27,3,131,300,205,153,2844,53,3552,48,0,11,5,0,54,7,0,0,12,0,20,54,20,16,219,0,305,0,0,0,12,0,17,3,5,0,3,0,11,25,4,0,3,0,34,79,42,26,1007,12,1165,42,19,3,165,9,231,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,3,9,0,3,0,18,18,0,0,5,0,22,22,16,7,5,0,52,10,5,0,8,0,24,8,4,0,9,0,17,0,0,0,0,0,0,87,55,34,786,14,971,8,0,0,6,0,15,11,0,0,3,0,19,5,0,0,7,0,13,13,0,0,3,0,17,3,0,4,0,0,6,11,3,0,21,0,35,146,35,8,81,6,267,9,0,4,94,765,872,855,404,275,6061,886,8476
LGA10750,9353,9365,6639,49408,681,75456,140,819,381,9379,161,10880,16356,278,485,491,91,17700,1822,308,180,601,28,2933,1249,396,221,765,21,2648,16473,6438,4432,38486,777,66609,32850,703,1518,353,108,35532,645,93,51,311,6,1107,2411,552,361,3131,74,6529,1786,410,218,1075,20,3503,760,140,56,234,7,1191,52742,374,258,176,97,53645,2840,1297,899,11366,120,16521,3668,1257,562,3592,37,9114,2857,28,82,30,7,3007,3509,973,453,1008,22,5968,332,48,43,89,6,512,3993,991,511,2898,51,8444,3099,491,335,232,35,4195,1461,484,320,244,21,2531,1743,221,176,547,18,2699,776,65,63,179,8,1093,5987,689,310,201,81,7275,2877,1321,939,8776,76,13993,1098,94,60,136,9,1390,1362,149,156,79,11,1758,2588,131,83,173,10,2985,2802,78,86,50,9,3022,1689,79,121,59,5,1946,273,107,70,407,7,866,96308,4551,2910,3872,523,108163,4553,212,130,846,21180,26917,244749,19563,13514,94764,23741,396334
