LGA_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA10050,21874,23806,45676,3,0,9,32,32,65,34,33,66,50,91,144,17,31,48,12,7,14,26,22,53,121,131,250,27,23,53,14,17,30,615,453,1072,13,29,37,12,12,25,5,0,5,32,21,52,52,35,84,10,11,13,20,19,44,13,5,21,28,31,55,176,167,348,87,101,187,295,285,578,46,25,68,156,272,420,13,16,28,12,24,33,87,81,170,49,43,96,3,15,18,21,72,94,655,639,1299,55,68,122,28,41,71,636,711,1346,1598,1549,3144,18,23,39,26935,28938,55874
LGA10180,10434,11070,21500,0,3,3,57,42,98,36,36,68,54,96,149,4,4,10,9,0,10,16,10,29,45,44,89,5,6,10,8,13,20,129,139,270,8,23,33,19,19,41,268,310,581,17,12,27,6,12,18,7,31,37,6,14,19,3,4,3,19,20,41,124,138,259,25,28,49,143,142,285,23,14,33,59,111,168,9,5,12,5,11,14,50,52,109,42,59,96,7,26,39,8,22,34,337,353,685,69,85,153,35,42,71,393,366,765,1464,1651,3116,30,17,48,13984,15012,28998
LGA10250,18318,19430,37748,0,0,0,4,4,6,69,82,149,19,44,59,4,4,11,5,7,12,15,18,37,81,97,182,5,6,8,12,24,34,97,87,183,14,33,54,14,9,24,0,0,5,49,31,78,63,42,105,27,57,89,11,11,27,3,0,3,31,36,61,17,15,28,59,87,149,372,400,775,3,3,5,32,132,165,10,18,19,14,14,28,130,128,262,15,14,30,5,3,7,29,100,128,955,1041,1993,105,131,241,19,28,47,422,499,918,1255,1361,2618,31,36,68,22306,24044,46351
LGA10300,908,868,1775,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,6,12,0,0,0,0,0,0,0,0,0,3,10,13,0,0,3,0,0,0,0,0,0,0,0,0,4,8,16,0,0,0,0,0,0,0,0,0,19,6,30,5,0,3,4,0,4,3,7,17,0,0,0,6,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,10,14,12,21,0,5,5,3,0,9,22,12,34,166,160,328,27,7,33,1207,1130,2336
LGA10470,18598,18416,37011,11,9,20,34,26,60,31,26,63,45,63,105,16,14,28,11,10,25,26,26,55,50,52,102,16,11,17,3,9,17,204,158,361,13,22,34,24,9,36,10,3,17,41,37,82,27,18,45,8,25,31,20,18,38,38,11,52,18,27,50,94,84,181,39,52,99,244,203,446,38,27,67,106,156,262,9,10,16,10,11,25,62,68,126,57,48,104,5,4,4,26,54,77,540,515,1053,43,56,95,38,45,84,285,268,552,1206,1065,2270,20,21,49,22052,21687,43740
LGA10500,41379,40143,81514,31,34,65,1485,1029,2506,123,118,235,5185,6690,11875,236,279,509,778,785,1561,386,467,851,217,190,403,1800,2094,3895,909,993,1897,1612,1306,2920,2088,2378,4460,233,194,421,275,278,549,940,795,1734,831,793,1624,160,370,530,263,394,658,1735,1629,3373,727,736,1462,2693,2013,4706,83,66,152,1422,1207,2630,319,141,460,1407,2171,3573,230,243,477,222,224,440,359,353,718,189,129,316,246,317,565,500,1104,1607,2155,1651,3801,261,281,544,841,1125,1960,10249,10641,20893,4681,4455,9135,358,383,747,87597,88183,175777
LGA10550,14368,14695,29067,0,0,0,3,7,11,36,41,77,20,33,51,12,13,27,7,3,12,8,11,17,110,143,256,9,10,20,13,15,29,50,50,98,7,12,13,8,0,9,0,0,0,37,38,77,45,13,57,9,17,27,7,8,12,3,0,4,19,21,42,26,24,48,78,115,195,212,222,433,0,8,5,33,117,146,12,16,23,9,12,21,61,63,129,10,7,14,0,6,6,24,65,89,846,870,1719,77,103,181,5,13,18,294,290,583,1389,1351,2737,21,23,43,17851,18447,36298
LGA10600,5206,5534,10738,0,0,0,0,0,0,15,21,34,4,9,15,3,0,3,0,0,0,3,0,9,47,55,99,3,0,3,4,3,9,4,3,12,0,8,10,0,0,4,0,0,0,11,12,24,7,5,12,0,3,10,0,3,3,0,0,0,9,15,20,3,0,8,32,28,62,97,88,186,0,0,0,7,32,35,0,4,9,5,6,12,36,26,62,3,0,3,0,9,9,5,9,13,373,344,722,22,45,67,0,0,0,96,147,241,519,537,1060,5,12,22,6529,6966,13500
LGA10650,3452,3522,6970,0,0,0,0,0,0,4,0,10,9,10,16,0,0,0,5,8,10,3,0,3,11,21,33,0,0,0,0,0,0,20,19,33,5,0,3,0,0,0,4,0,8,4,0,8,10,6,14,0,0,0,0,0,0,0,0,0,4,3,12,7,4,10,15,25,40,34,46,80,0,0,0,12,34,47,0,0,0,0,0,0,3,16,16,7,8,17,0,0,0,0,8,8,117,120,237,0,4,3,0,3,5,32,39,69,412,417,826,3,3,6,4172,4312,8484
LGA10750,100604,98984,199585,1440,1375,2818,1604,1585,3194,137,151,286,2782,3584,6360,416,474,889,1034,1005,2038,3575,3988,7564,397,429,828,328,347,675,552,578,1131,24444,22599,47041,792,1071,1861,1073,1073,2142,1092,1079,2175,345,260,605,632,584,1213,61,129,185,1011,1118,2131,1064,969,2036,786,919,1702,1842,1816,3657,227,206,434,4229,4172,8401,3277,2914,6182,11209,14027,25236,366,502,873,370,372,741,1049,1092,2141,3102,2923,6021,170,244,414,243,638,882,3094,2829,5924,462,458,919,564,764,1331,12653,13162,25810,10504,10393,20891,351,537,885,197872,199346,397215
LGA10800,2489,2333,4825,0,0,0,0,0,0,0,4,8,3,4,8,0,0,0,0,0,0,3,0,3,3,0,10,0,0,0,0,0,4,8,8,17,0,0,3,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,4,9,6,0,6,29,21,45,0,0,0,13,26,41,0,0,0,0,0,0,11,14,28,3,0,5,3,7,8,0,7,7,35,32,66,3,6,8,0,0,0,23,19,45,347,278,620,6,0,7,3004,2779,5783
LGA10850,3201,3251,6452,0,0,0,0,0,0,3,4,8,0,5,9,0,0,0,0,0,0,0,3,3,15,8,23,0,0,0,3,0,5,0,7,5,0,0,5,3,0,3,0,0,0,6,5,11,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,17,42,34,78,0,0,4,3,10,14,7,0,3,0,5,5,4,8,11,0,3,4,0,6,6,3,10,8,84,88,172,3,7,14,7,0,7,18,28,44,264,240,503,0,0,0,3692,3730,7422
LGA10900,30085,31701,61789,3,3,6,7,3,12,95,113,213,100,168,267,39,40,74,24,30,55,32,50,83,254,294,546,35,29,65,39,55,93,178,157,341,38,71,110,27,11,40,17,13,27,179,141,314,89,68,154,31,92,123,28,53,80,31,34,66,75,102,180,27,21,48,163,161,326,563,611,1176,22,11,38,102,249,350,80,122,202,46,39,87,155,197,352,34,33,71,10,19,29,50,123,172,2586,2494,5081,256,286,544,77,96,175,992,1240,2230,1158,1232,2390,41,41,84,37787,40204,77990
LGA10950,1125,1077,2194,0,0,0,0,0,0,0,0,3,4,5,4,0,0,0,0,0,0,4,0,10,0,4,6,0,0,0,3,0,0,5,3,13,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,0,0,0,10,15,21,4,0,5,0,8,5,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,8,8,11,11,23,0,0,0,0,0,5,13,9,23,124,96,220,0,0,5,1325,1252,2579
LGA11150,974,949,1921,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,19,0,5,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,12,7,21,0,0,0,7,6,14,4,3,7,0,4,7,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,8,12,21,0,3,4,0,0,0,10,6,14,231,229,457,4,0,11,1271,1245,2512
LGA11200,562,554,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,7,4,13,120,126,244,0,0,4,717,715,1430
LGA11250,7452,7786,15234,3,0,3,0,4,4,6,3,14,10,11,23,0,0,7,3,0,3,3,8,9,14,23,37,7,6,12,0,4,0,35,38,67,4,3,5,5,0,3,0,0,0,7,5,11,5,18,22,4,0,4,0,0,3,0,0,0,8,6,17,4,3,8,3,10,19,46,36,84,4,0,4,65,133,205,0,0,5,0,0,0,5,13,21,4,4,8,0,0,0,5,10,11,102,92,192,7,18,27,3,3,8,69,73,141,750,799,1551,7,10,15,8647,9132,17779
LGA11300,7406,7438,14850,3,0,0,40,32,75,30,16,47,3190,4112,7298,75,81,158,56,48,107,58,64,126,44,33,75,160,186,346,379,458,832,679,566,1243,207,208,412,36,21,57,18,12,31,83,45,127,422,475,894,42,86,126,427,556,988,297,313,607,442,331,772,1816,1243,3061,16,5,22,205,167,369,55,32,84,217,386,601,37,36,71,59,84,138,33,36,71,109,110,216,232,230,465,109,234,341,269,173,445,39,58,104,432,645,1080,887,914,1799,1010,1063,2074,97,82,177,19712,20571,40289
LGA11350,11929,12914,24836,3,0,8,0,0,0,79,159,242,9,35,42,10,9,16,8,10,16,16,7,23,200,260,462,11,7,23,9,15,27,56,40,102,28,34,59,6,6,13,0,0,0,69,40,110,148,96,243,59,135,196,9,12,18,6,7,15,12,34,51,9,10,17,63,114,179,413,443,859,5,0,3,24,73,100,11,21,35,16,22,40,112,119,233,15,11,22,10,12,17,19,67,86,1082,1079,2165,213,265,477,11,24,28,993,1119,2110,1823,1877,3704,84,77,157,17591,19134,36727
LGA11400,5841,5927,11772,0,0,0,0,0,0,9,7,14,7,9,18,0,0,6,0,0,0,0,0,0,9,25,35,0,0,0,5,0,8,15,22,31,0,3,4,3,0,4,0,0,0,10,0,9,12,8,19,0,5,5,0,0,4,3,0,0,3,9,12,3,4,7,11,6,18,67,59,122,4,0,3,11,17,25,0,5,5,0,3,8,23,19,44,0,0,0,0,3,6,0,7,9,134,137,273,17,20,34,0,3,3,44,52,92,559,564,1126,0,7,5,6803,6916,13714
LGA11450,43337,44869,88210,95,87,176,309,294,606,42,74,118,379,502,882,150,170,319,197,177,375,554,643,1198,124,169,291,88,81,164,49,80,122,1498,1359,2857,92,150,235,105,96,197,631,661,1293,200,193,392,412,344,756,4,35,40,30,59,87,251,196,445,107,112,221,409,391,800,73,75,150,917,847,1765,346,338,680,641,856,1495,83,110,194,30,49,82,309,310,617,145,151,296,28,61,93,95,213,303,1719,1685,3403,155,103,254,171,268,441,2871,3146,6019,1635,1667,3297,68,96,168,58361,60692,119053
LGA11500,52038,52880,104914,163,160,321,2764,2731,5495,67,57,124,893,1127,2022,198,215,412,463,424,883,1358,1607,2958,204,226,436,180,156,341,155,173,321,3516,3318,6831,359,494,856,161,135,293,704,675,1384,161,117,284,271,223,496,34,81,112,87,105,194,769,660,1433,209,259,471,1870,1800,3668,112,86,202,2058,2220,4278,960,779,1739,2028,2967,4994,214,258,468,79,88,165,420,454,871,328,354,681,36,61,94,252,562,813,2197,2199,4397,170,169,341,507,726,1239,5884,6269,12158,4580,4821,9398,147,169,324,86582,89822,176407
