LGA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
LGA10050,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,3,12,3,8,3,11,7,0,0,0,0,0,0,5,52,4,30,18,3,0,0,4,8,0,4,10,4,0,0,4,84,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,13,0,0,0,0,3,0,13,11,3,10,3,0,0,0,0,44,0,0,3,0,0,0,5,3,0,0,0,0,0,0,0,21,0,0,9,7,3,7,4,6,0,3,0,6,0,0,0,55,0,0,0,0,0,0,85,152,23,43,23,15,0,0,10,348,12,117,32,8,6,9,6,8,0,0,0,0,0,0,0,187,0,12,43,100,125,87,105,49,4,0,9,10,9,4,10,578,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,28,9,7,13,0,0,0,0,68
LGA10180,0,3,5,4,0,0,0,41,0,0,0,0,0,0,14,26,9,6,167,325,22,0,6,581,0,0,0,0,5,3,3,3,0,0,0,0,0,0,0,27,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,5,5,15,4,0,5,0,3,0,0,0,37,0,0,0,0,0,0,8,0,0,4,0,5,0,0,0,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,3,0,4,5,3,9,6,0,0,0,0,0,0,41,0,0,0,0,0,0,15,27,24,31,50,78,14,0,9,259,0,21,16,5,0,3,3,0,0,0,0,0,0,0,0,49,4,3,26,55,48,31,43,38,7,0,7,0,7,5,6,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,3,6,4,4,0,0,33
LGA10250,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,6,6,11,24,7,3,0,3,0,0,0,3,78,13,33,13,0,6,0,5,16,0,5,3,4,0,0,3,105,0,0,0,0,10,12,25,23,6,3,4,6,0,0,7,89,0,0,0,6,4,8,8,3,0,3,0,5,0,0,0,27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,13,13,6,12,4,0,4,0,0,0,0,3,61,0,0,0,5,0,0,9,0,8,7,4,0,0,0,0,28,10,58,11,4,15,5,14,11,0,3,7,3,0,0,4,149,0,8,75,142,145,101,114,80,20,13,0,8,16,3,41,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,7,10,9,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,3,5,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,0,0,5,4,0,0,3,36,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,17,0,4,14,15,12,8,17,13,0,4,6,5,0,0,4,82,0,13,17,0,4,0,3,6,0,0,0,0,0,0,0,45,0,0,6,0,0,7,4,0,0,3,3,0,0,0,0,31,0,0,0,0,0,7,14,8,4,4,0,3,0,0,0,38,0,0,20,7,8,3,3,0,0,0,0,0,0,0,11,52,0,0,9,7,11,0,10,0,0,0,0,3,0,0,0,50,0,0,0,0,0,0,37,34,18,41,27,11,8,0,3,181,8,36,17,6,12,6,0,0,0,0,0,0,0,0,3,99,0,0,34,70,100,67,91,30,10,0,9,3,3,0,30,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,5,21,0,3,9,13,3,0,0,67
LGA10500,17,13,22,14,18,3,11,421,0,0,6,18,31,193,132,91,24,17,10,11,5,0,16,549,3,3,34,48,107,77,355,466,87,142,139,202,51,4,18,1734,27,366,477,110,50,55,102,174,49,28,31,22,0,5,142,1624,0,0,0,13,68,116,116,87,20,22,30,35,3,0,17,530,0,0,0,23,71,123,181,124,36,14,34,32,8,0,12,658,6,39,280,881,817,459,372,192,33,40,53,34,44,19,110,3373,4,3,31,98,299,145,325,208,75,59,80,68,30,13,33,1462,0,0,0,0,0,59,809,705,337,613,998,843,206,23,112,4706,3,31,12,14,14,14,29,14,4,0,0,6,0,0,6,152,5,15,84,295,452,559,591,278,51,57,54,47,20,27,100,2630,0,54,983,809,335,283,196,67,18,16,15,12,9,0,93,2884,0,0,4,9,32,42,68,100,21,38,43,50,28,9,12,460
LGA10550,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,7,10,9,15,8,0,0,0,0,0,0,0,77,3,17,13,4,5,8,4,0,0,0,0,0,0,0,4,57,0,0,0,0,0,3,8,0,0,0,4,0,0,0,3,27,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,3,8,9,4,5,0,0,0,0,0,4,42,0,0,0,0,0,0,4,9,9,7,7,6,0,0,0,48,14,92,20,17,21,11,10,6,0,0,0,0,0,0,5,195,0,8,45,140,91,51,47,16,7,0,0,0,0,0,26,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LGA10600,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,4,0,0,4,0,0,0,0,24,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,0,4,0,0,8,20,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,8,8,20,13,0,3,7,8,0,0,0,0,0,0,0,0,62,0,5,19,46,51,18,16,5,0,0,0,0,0,0,8,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,10,0,23,4,0,0,3,0,0,0,3,0,0,0,0,0,40,0,0,4,14,24,14,11,4,0,0,0,0,4,0,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10750,72,58,68,89,20,7,37,2142,0,0,9,24,47,501,582,465,94,146,76,155,32,6,32,2175,4,17,89,89,86,51,118,110,9,11,13,4,8,0,4,605,34,310,489,136,38,43,43,50,8,8,3,3,0,0,42,1213,0,3,0,4,15,35,58,38,11,4,12,0,7,0,5,185,0,0,0,62,355,493,791,269,50,30,9,21,13,0,32,2131,0,33,226,450,400,331,262,124,24,33,17,36,4,5,78,2036,0,0,53,126,400,223,409,208,59,56,67,37,21,10,25,1702,0,0,0,0,7,169,1744,821,158,177,224,218,102,10,31,3657,11,208,61,34,25,10,25,12,4,0,5,13,3,0,14,434,0,15,96,429,1071,1924,2141,1266,268,234,266,221,81,47,332,8401,0,0,60,61,29,15,21,0,0,8,0,0,0,0,16,220,0,0,5,49,340,753,1550,1669,425,396,418,313,156,33,78,6182
