LGA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA10050,20,17,90,139,113,226,373,447,286,1723,0,11,44,58,101,80,59,39,19,405,181,217,446,411,350,368,338,341,188,2839,1485,3494,7364,6875,6691,6734,5795,3462,1381,43283
LGA10180,16,27,48,68,55,127,196,187,120,843,6,24,46,36,24,22,22,14,4,200,425,440,412,293,274,271,239,268,158,2774,1283,2313,3761,3208,3213,3529,2785,1889,705,22695
LGA10250,5,15,55,48,65,163,310,365,317,1338,3,0,19,11,12,22,23,8,15,112,120,109,301,304,287,290,380,371,309,2478,1001,1918,4313,5246,5873,6458,6691,3973,1819,37297
LGA10300,0,3,9,3,13,15,42,31,15,138,0,0,0,0,0,0,3,4,0,10,18,15,43,49,55,51,62,15,10,310,40,105,283,231,307,361,309,111,53,1798
LGA10470,16,11,43,40,82,187,305,292,198,1182,0,9,19,11,21,18,23,16,11,127,147,284,629,541,434,313,265,247,153,3012,1318,2933,5729,5174,5406,5226,4394,2493,1046,33721
LGA10500,11,26,142,183,306,726,1653,2020,925,5993,9,46,226,193,212,356,520,599,353,2516,404,876,2561,1590,1114,1000,923,936,752,10157,3447,13623,36473,26592,20686,17433,13396,8603,3714,143965
LGA10550,15,10,32,62,86,166,331,361,205,1266,0,5,9,4,10,14,21,12,11,75,144,103,257,223,323,412,421,314,238,2429,801,1334,3125,3391,4401,6311,6183,3125,1106,29772
LGA10600,9,0,9,12,19,58,106,105,91,416,0,0,7,5,7,9,5,3,8,34,56,31,74,126,141,135,178,111,53,914,291,421,1062,1302,1774,2278,2186,1098,405,10826
LGA10650,4,5,3,16,20,41,143,144,67,432,0,0,4,0,0,0,0,4,0,18,40,33,78,70,90,124,156,152,107,856,180,284,736,792,956,1252,1477,861,329,6873
LGA10750,78,128,484,741,1065,1976,3046,2237,1001,10751,16,93,346,441,646,776,771,557,288,3921,1299,1807,4463,4049,2752,2127,1932,1416,879,20710,10693,26260,59054,67214,47438,37788,26892,12451,4369,292160
