LGA_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA10050,179,253,302,280,357,477,931,774,451,3999,227,375,498,427,421,538,723,470,173,3853,137,585,659,506,473,510,473,286,94,3726,90,566,1090,712,653,652,458,197,106,4517,31,389,1151,878,870,828,370,124,21,4659,14,208,858,720,651,564,219,66,6,3305,0,73,625,609,556,469,175,53,25,2588,0,31,329,466,473,340,104,28,4,1783,0,31,439,763,719,474,113,27,7,2569,0,0,48,114,120,96,35,3,3,424,0,13,79,194,215,161,77,30,7,769,229,228,493,416,394,374,354,351,178,3026,5,0,16,4,0,6,4,0,0,35,3385,3510,7382,6884,6699,6744,5803,3465,1386,45253
LGA10180,88,137,186,163,147,263,410,361,149,1904,112,226,294,218,220,289,321,218,86,1993,66,257,361,270,214,247,249,150,68,1881,45,220,482,267,300,324,206,118,37,1991,17,163,463,360,319,364,235,107,17,2041,9,80,314,312,241,251,126,30,17,1378,5,41,267,244,246,195,81,66,7,1156,0,17,207,193,196,176,59,22,11,876,0,14,180,401,425,290,69,25,5,1412,0,4,19,32,85,73,28,9,5,247,0,8,30,67,120,136,44,17,4,423,459,441,429,318,276,270,222,238,151,2804,0,0,17,3,8,6,7,0,0,46,2329,2325,3777,3214,3224,3536,2794,1889,705,23795
LGA10250,134,159,188,197,300,522,1016,847,477,3845,149,272,316,345,384,593,889,560,229,3728,88,315,463,449,429,530,594,338,135,3343,53,304,565,586,643,709,527,213,86,3690,14,188,657,647,697,721,492,178,46,3638,5,73,432,496,546,433,255,100,20,2365,4,40,327,434,486,432,200,71,26,2026,8,21,184,338,405,293,108,40,5,1397,0,8,231,571,652,473,167,52,13,2175,0,0,30,102,113,112,30,17,9,415,8,6,61,232,256,215,89,31,9,899,174,134,326,333,327,318,391,357,365,2725,3,3,11,7,16,9,6,0,0,57,2436,1928,4329,5257,5896,6467,6699,3974,1827,38810
LGA10300,3,4,10,16,14,15,31,37,12,145,4,12,18,19,25,24,14,14,4,141,0,12,26,15,23,25,12,0,3,122,8,16,41,21,33,38,25,0,0,180,0,12,44,38,30,47,23,5,0,205,0,7,21,14,24,25,10,0,0,106,0,0,14,8,21,16,6,0,0,71,0,0,18,10,14,21,8,0,0,67,0,0,4,15,27,17,3,0,0,73,0,0,6,5,4,0,0,0,0,14,0,0,4,3,5,10,4,0,0,26,16,13,41,47,57,51,61,26,19,330,0,5,19,8,3,0,0,0,0,35,103,108,299,241,312,358,309,111,53,1899
LGA10470,147,219,220,200,245,359,668,561,321,2949,180,270,360,303,265,412,483,314,117,2707,128,352,480,337,356,364,398,212,63,2688,86,471,712,485,544,452,327,133,35,3239,44,325,759,601,594,542,304,84,15,3266,16,213,651,500,454,398,200,43,9,2484,3,99,478,462,484,363,126,38,9,2070,4,41,339,385,420,324,83,12,6,1607,0,28,402,684,739,470,121,21,5,2481,0,3,50,84,119,74,24,0,0,353,0,8,51,122,161,132,50,13,0,539,203,322,654,566,469,356,283,230,153,3238,0,6,6,8,6,6,3,3,0,39,3034,2936,5740,5180,5418,5245,4401,2498,1046,35504
LGA10500,253,1001,1219,854,791,1139,1984,1828,939,10011,359,1525,2137,1204,1111,1152,1247,794,299,9825,188,1520,2695,1599,1305,1204,864,469,173,10023,105,1573,3894,2104,1769,1529,772,326,100,12170,59,1441,5035,2822,2255,1736,721,199,65,14340,15,868,3964,2363,1811,1304,463,108,47,10933,8,423,3434,2314,1667,1143,365,97,37,9491,6,206,2378,1950,1364,891,270,47,15,7122,0,141,3684,4028,2662,1401,327,50,25,12318,3,20,607,1031,673,322,81,30,10,2775,0,27,542,1487,1241,509,122,50,22,4003,539,1024,2834,1748,1254,1015,850,900,814,10968,23,57,173,101,111,127,81,38,3,710,7828,13714,36702,26709,20836,17594,13518,8660,3718,149278
LGA10550,102,90,182,175,264,555,949,636,272,3233,110,189,270,244,360,605,725,382,120,3004,68,182,315,322,372,538,535,261,84,2680,43,202,380,381,464,595,420,171,40,2698,15,148,431,423,548,645,429,136,24,2801,5,67,257,332,403,395,211,60,7,1739,0,14,231,257,281,320,177,48,25,1347,0,6,146,177,245,228,100,22,8,940,0,12,155,285,357,339,111,26,13,1304,0,3,33,48,59,60,21,9,0,229,5,10,34,75,109,103,42,23,4,404,198,119,252,239,346,411,403,314,225,2500,4,3,18,0,3,4,6,0,0,40,1778,1340,3141,3394,4408,6311,6185,3123,1105,30802
LGA10600,26,38,74,86,112,211,335,216,91,1189,26,62,95,108,128,213,277,144,54,1099,23,62,115,128,157,200,175,88,25,972,6,49,137,142,190,223,130,56,19,950,4,32,143,143,177,189,133,41,8,867,3,20,74,88,150,137,76,18,4,578,0,9,58,82,130,121,54,18,5,468,0,3,37,70,94,101,28,7,0,344,0,0,38,89,165,105,48,9,0,465,0,0,10,12,19,21,6,6,0,78,0,0,4,21,31,49,19,0,0,124,80,31,77,130,149,135,203,127,61,995,0,0,4,3,5,0,7,0,0,18,707,421,1068,1311,1777,2283,2192,1101,405,11261
LGA10650,17,21,31,45,55,117,233,166,63,740,26,36,55,50,74,108,186,100,24,651,16,36,69,63,80,100,117,68,7,565,16,50,106,101,102,118,83,37,10,625,4,28,97,93,96,132,71,16,0,547,0,7,72,61,68,69,43,6,0,342,0,5,69,72,66,50,31,4,4,306,0,10,25,41,48,44,14,4,0,184,0,3,32,63,81,63,19,0,7,275,0,0,3,10,6,11,5,0,0,37,0,0,3,10,29,25,18,9,0,94,56,33,80,80,105,125,172,163,114,932,0,0,0,0,3,0,0,0,0,6,442,284,736,794,961,1257,1477,861,329,7145
LGA10750,902,1893,2298,2065,1840,2284,4089,2855,1243,19461,1032,2704,3318,3047,2408,2142,2343,1248,542,18800,673,3088,4349,3876,2995,2482,1607,741,154,19944,429,3351,6278,5744,4622,3518,1341,354,99,25740,217,2905,8110,7797,5778,4267,1329,229,43,30670,64,1622,6825,6556,4577,3009,821,83,16,23571,28,720,5139,6026,4040,2463,609,89,28,19155,18,275,3483,4833,3133,1751,381,22,10,13899,0,207,4602,10024,5603,2719,457,32,0,23648,0,17,640,2279,1162,453,83,13,0,4662,6,35,536,2183,1302,527,129,42,16,4774,1609,2076,4888,4320,2968,2141,1662,1239,849,21757,11,32,77,63,65,258,265,50,12,845,24340,26379,59210,67342,47569,38106,27210,12529,4386,307067
LGA10800,23,15,25,25,31,51,108,76,45,393,12,20,46,45,47,75,62,27,15,349,17,40,56,48,56,51,57,29,3,361,10,36,62,62,67,78,50,15,7,394,5,42,71,64,78,88,39,19,6,423,0,15,64,46,46,59,27,17,0,261,0,21,55,49,43,59,18,8,0,247,5,9,45,35,37,28,6,0,0,173,0,12,75,93,76,57,10,4,0,331,0,0,14,12,14,8,4,3,0,54,0,0,9,20,27,23,4,3,3,88,33,26,65,92,76,99,86,63,43,586,0,0,3,0,0,0,0,0,0,7,293,278,654,674,711,835,685,395,178,4699
