LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA10050,1004,625,611,560,548,488,344,254,106,4541,10622,6892,7369,6880,6695,6736,5797,3466,1379,55832
LGA10180,671,975,474,355,338,348,237,213,140,3762,5201,4650,3761,3208,3211,3532,2791,1889,705,28948
LGA10250,671,370,401,425,447,444,448,297,167,3663,7532,4355,4316,5246,5882,6467,6693,3974,1822,46290
LGA10300,82,35,44,39,54,59,55,15,7,400,435,208,287,231,307,361,309,111,53,2304
LGA10470,696,643,754,673,594,439,311,186,92,4382,8223,5970,5731,5174,5414,5239,4395,2494,1046,43690
LGA10500,1984,1691,2906,1998,1615,1304,921,668,449,13555,26460,21466,36523,26614,20728,17464,13437,8623,3717,175031
LGA10550,559,340,306,290,420,499,457,268,185,3328,5492,3120,3127,3391,4404,6311,6182,3124,1102,36250
LGA10600,241,128,99,160,183,185,204,102,32,1325,2237,1129,1062,1306,1774,2276,2186,1098,405,13482
LGA10650,202,103,83,94,116,144,160,99,36,1041,1347,730,736,792,959,1252,1477,861,329,8476
LGA10750,7395,4436,5324,5046,3790,2676,1707,978,555,31905,90109,50669,59127,67274,47507,37845,26951,12472,4375,396334
LGA10800,145,55,77,106,95,105,72,49,28,733,1089,566,647,671,711,835,685,395,178,5783
LGA10850,143,77,57,70,102,101,80,51,19,702,1521,774,797,771,975,1080,858,482,160,7416
LGA10900,909,510,426,554,653,574,480,305,213,4614,13613,8070,7111,9547,10956,11162,10465,5225,1747,77907
LGA10950,37,37,30,24,48,45,36,25,13,283,489,290,350,231,369,335,246,197,72,2573
LGA11150,136,64,63,66,63,62,42,26,0,528,518,278,331,279,305,378,262,119,38,2501
LGA11200,39,37,36,24,35,38,30,3,3,250,269,178,207,140,178,226,158,58,16,1428
LGA11250,410,286,266,259,226,228,178,133,118,2109,2992,1894,2194,1896,2032,2628,2284,1268,583,17767
LGA11300,282,449,619,335,289,279,197,219,240,2908,4807,6828,8791,5017,4457,4088,3024,1939,1156,40111
LGA11350,809,452,621,678,659,649,465,184,82,4596,5892,3254,4977,5151,5231,5270,4515,1692,582,36569
LGA11400,285,136,98,155,171,169,145,99,60,1311,2801,1470,1135,1534,1819,1979,1672,959,343,13713
LGA11450,1926,888,1011,1106,868,557,331,196,90,6975,29967,14412,19359,18819,14235,10279,7148,3445,1216,118890
LGA11500,3679,1989,2135,2132,1659,1368,881,521,215,14582,38828,22196,25590,26558,20233,19348,14738,6655,1935,176083
LGA11520,855,599,958,784,727,623,609,453,422,6022,14083,9361,14822,13612,11751,10200,8106,4872,2295,89107
LGA11570,7039,4393,5274,4769,3988,3313,2277,1557,1234,33831,73225,47559,55096,50789,45515,41765,29549,17319,8225,369038
LGA11600,73,40,82,49,71,65,41,27,5,460,567,321,517,362,384,414,265,132,57,3011
LGA11650,5329,3280,2995,3138,3289,3055,2596,1958,1275,26925,62456,38816,38087,41310,44102,44601,40322,25556,10498,345747
LGA11700,74,64,64,53,56,76,65,21,11,492,316,222,251,203,266,302,283,120,24,1989
LGA11720,1237,817,1136,979,840,632,433,249,128,6448,12867,7562,9106,7917,7757,7539,6477,3078,1159,63463
LGA11730,963,678,926,832,773,776,660,334,144,6077,8708,5117,5253,5421,6600,8519,8679,4852,1771,54917
LGA11750,148,96,127,113,89,114,69,43,7,808,823,479,664,583,512,633,426,218,76,4411
LGA11800,1321,807,842,885,876,841,677,510,321,7074,14030,8266,8903,9342,9888,10594,10389,5862,2328,79602
LGA12000,81,42,31,39,38,47,36,37,14,362,857,459,435,432,514,596,557,332,130,4316
LGA12150,177,78,81,83,50,76,55,41,9,654,819,414,482,405,442,541,449,234,85,3859
LGA12160,216,141,112,131,154,165,164,106,38,1224,1973,1132,1024,1128,1325,1697,1707,1059,378,11420
LGA12350,255,180,152,133,178,149,163,106,34,1354,2169,1370,1301,1216,1574,1767,1888,1099,409,12776
LGA12380,4764,2967,4215,3520,2474,2048,1283,802,513,22590,46793,31144,43480,36009,25906,23128,16058,8754,3444,234713
LGA12390,1556,875,1062,888,798,648,472,309,140,6751,11538,6302,8215,6588,6261,6423,5166,3138,1183,54814
LGA12700,148,70,57,95,72,73,63,34,12,635,1780,917,852,1114,1263,1542,1257,666,185,9576
LGA12730,171,105,121,113,122,135,98,73,27,963,1474,867,855,835,1050,1267,1090,665,287,8385
LGA12750,715,402,321,391,518,654,602,327,155,4085,5737,3338,3298,3654,4847,7049,7799,3992,1492,41212
LGA12850,3550,2374,2272,2276,2267,2174,1465,805,544,17726,37118,29066,26822,24860,27153,27823,20249,9977,4350,207422
LGA12870,237,133,128,116,146,176,194,88,51,1271,2010,1171,1112,1157,1517,1907,2037,1219,464,12599
LGA12900,201,144,115,103,119,129,97,88,31,1012,1924,1088,1012,997,1087,1215,1115,739,272,9455
LGA12930,1407,1203,1524,1241,1200,1108,888,695,686,9945,24157,19523,23572,20602,19012,18638,13897,8245,4278,151926
LGA12950,123,60,72,69,87,87,78,52,17,651,819,371,437,431,547,665,591,357,133,4346
LGA13010,220,132,149,144,153,165,133,90,41,1222,1364,867,862,842,1076,1418,1344,830,294,8897
LGA13310,675,395,522,454,447,359,300,161,65,3380,5810,3688,4260,3793,3994,4281,3720,2098,823,32468
LGA13340,236,131,70,141,152,183,143,96,23,1173,2257,1191,935,1251,1360,1643,1413,737,232,11021
LGA13450,594,354,409,370,395,347,264,161,94,2988,5271,3304,4073,3429,3505,3267,2346,1419,688,27309
