LGA_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
LGA10050,207,1337,135,3,1679,174,1421,120,0,1716,351,3017,245,9,3622,498,2606,215,0,3319,558,2455,194,0,3215,548,2499,155,3,3198,532,2097,122,5,2754,265,1144,98,0,1506,51,394,55,0,502,3183,16966,1331,16,21498,275,1317,109,0,1707,220,1461,108,0,1794,416,3120,223,9,3763,638,2732,197,4,3571,658,2680,142,0,3484,663,2709,165,3,3542,658,2254,136,0,3047,359,1430,166,0,1956,62,738,86,0,886,3948,18444,1338,19,23753,482,2653,245,5,3385,394,2884,229,0,3510,769,6135,468,16,7382,1136,5338,406,4,6884,1216,5138,342,0,6699,1207,5211,321,6,6744,1191,4354,257,4,5803,623,2569,268,0,3465,110,1133,140,0,1386,7130,35414,2672,35,45253
LGA10180,152,734,186,0,1076,147,769,219,4,1141,234,1381,211,9,1838,260,1170,146,4,1584,307,1092,140,4,1538,349,1243,138,3,1732,358,897,88,0,1345,209,539,86,0,841,33,194,37,0,266,2054,8028,1255,29,11357,206,765,281,0,1252,186,762,233,0,1190,296,1425,213,10,1942,378,1105,149,0,1633,388,1165,126,6,1679,436,1245,117,0,1801,444,890,114,0,1446,258,670,125,0,1051,29,315,91,0,444,2616,8358,1449,18,12441,359,1502,466,0,2329,330,1541,453,0,2325,531,2809,425,17,3777,637,2279,294,3,3214,693,2255,262,8,3224,787,2493,254,6,3536,802,1783,197,7,2794,463,1214,213,0,1889,64,510,133,0,705,4670,16377,2704,46,23795
LGA10250,160,1013,99,0,1274,96,822,65,4,983,170,1691,152,4,2023,375,1995,161,9,2539,479,2139,143,6,2762,534,2395,135,3,3065,685,2352,148,6,3187,361,1359,115,0,1838,69,529,86,0,686,2932,14304,1097,22,18355,166,926,69,3,1165,101,788,56,0,946,272,1869,154,8,2304,503,2066,140,3,2716,621,2351,151,10,3130,642,2625,136,4,3408,915,2424,172,3,3511,471,1524,147,0,2135,83,894,164,0,1138,3771,15459,1195,34,20453,327,1936,167,3,2436,193,1614,115,3,1928,445,3564,304,11,4329,879,4063,303,7,5257,1095,4487,294,16,5896,1171,5020,270,9,6467,1607,4769,315,6,6699,833,2882,261,0,3974,155,1421,247,0,1827,6699,29758,2295,57,38810
LGA10300,9,35,8,0,57,11,50,8,6,67,14,99,18,14,143,16,77,22,7,129,36,93,22,3,160,41,122,20,0,190,39,100,30,0,168,15,26,6,0,50,6,13,0,0,20,190,619,146,27,980,3,32,9,0,50,6,27,5,0,38,22,109,19,3,161,30,66,21,0,113,50,85,20,0,153,32,108,26,0,168,39,72,26,0,143,19,37,11,0,64,3,20,8,0,33,207,553,149,10,918,14,73,18,0,103,19,72,12,5,108,38,205,41,19,299,49,144,40,8,241,88,170,53,3,312,79,234,48,0,358,74,174,60,0,309,32,59,22,0,111,5,36,9,0,53,398,1171,297,35,1899
LGA10470,195,1291,109,0,1592,145,1184,221,3,1548,265,2225,491,3,2988,318,1922,421,7,2674,393,1977,290,0,2661,400,2004,178,0,2590,460,1605,124,0,2183,222,889,83,4,1202,41,297,32,0,369,2440,13393,1955,20,17810,227,1146,75,0,1440,169,1137,80,4,1390,294,2323,139,0,2750,481,1900,133,0,2506,466,2135,150,6,2757,455,2077,120,3,2656,497,1618,94,0,2213,246,958,87,3,1297,31,592,57,0,684,2865,13890,929,21,17701,422,2436,181,0,3034,309,2323,299,6,2936,554,4548,630,6,5740,799,3820,555,8,5180,858,4109,442,6,5418,861,4074,301,6,5245,955,3228,217,3,4401,472,1855,173,3,2498,73,887,85,0,1046,5303,27275,2888,39,35504
LGA10500,354,3462,269,9,4093,535,6100,502,29,7173,1126,15811,1435,73,18443,1047,11614,885,68,13609,961,8561,588,63,10172,697,7374,493,53,8611,496,5543,372,36,6446,228,3368,343,17,3947,48,1224,258,0,1532,5484,63049,5141,342,74020,455,3059,208,9,3735,783,5252,477,21,6538,1317,15509,1321,98,18257,1318,10980,767,39,13105,1182,8886,558,46,10664,766,7684,460,75,8982,623,6055,350,45,7071,298,4012,375,25,4712,57,1735,391,4,2190,6807,63174,4912,369,75260,805,6522,482,23,7828,1320,11358,981,57,13714,2450,31320,2754,173,36702,2364,22594,1654,101,26709,2141,17444,1151,111,20836,1463,15056,950,127,17594,1116,11598,722,81,13518,530,7380,718,38,8660,100,2958,654,3,3718,12293,126223,10054,710,149278
LGA10550,138,704,108,0,951,80,550,50,0,684,195,1193,145,6,1540,293,1192,107,0,1593,394,1541,173,3,2102,675,2082,187,0,2948,884,2084,198,3,3158,349,1073,119,0,1537,45,344,83,0,480,3054,10756,1169,17,15006,124,616,90,0,831,74,523,54,3,655,240,1246,108,6,1598,446,1244,113,0,1804,498,1644,154,0,2303,821,2347,196,4,3365,972,1884,164,8,3026,388,1057,142,0,1584,54,451,121,0,623,3615,11016,1141,20,15795,266,1312,195,4,1778,155,1078,105,3,1340,439,2430,251,18,3141,735,2435,218,0,3394,893,3187,328,3,4408,1502,4424,389,4,6311,1852,3970,359,6,6185,733,2128,262,0,3123,102,798,205,0,1105,6676,21771,2313,40,30802
LGA10600,40,282,37,0,358,21,176,11,0,214,80,395,37,3,520,98,456,59,0,616,170,559,79,0,815,242,748,63,0,1049,274,762,76,6,1122,121,365,51,0,537,11,139,21,0,163,1066,3888,433,4,5392,41,261,46,0,345,29,169,13,0,206,94,411,43,0,546,165,467,55,4,692,257,643,62,0,965,331,841,56,0,1230,338,648,87,3,1071,151,356,54,0,570,30,175,38,0,242,1433,3972,446,12,5861,85,545,82,0,707,53,349,25,0,421,177,808,79,4,1068,261,924,117,3,1311,430,1205,141,5,1777,569,1590,113,0,2283,613,1411,164,7,2192,272,726,105,0,1101,38,311,51,0,405,2502,7862,883,18,11261
LGA10650,55,144,36,0,236,24,107,20,0,150,63,265,31,0,357,81,240,38,0,360,122,326,42,0,485,117,417,52,0,588,176,522,73,0,768,95,280,40,0,415,16,99,29,0,148,750,2406,350,3,3515,44,138,32,0,205,18,104,12,0,132,66,275,39,0,382,129,276,34,0,434,106,317,50,3,474,158,456,50,0,664,184,455,71,0,709,115,276,62,0,447,23,120,32,0,176,837,2408,384,3,3628,97,286,65,0,442,46,212,30,0,284,126,539,74,0,736,209,511,72,0,794,228,642,92,3,961,275,876,104,0,1257,357,979,143,0,1477,207,557,102,0,861,40,222,65,0,329,1585,4818,736,6,7145
LGA10750,1121,10671,829,10,12630,1094,11526,1165,12,13795,1954,24057,2649,49,28712,2894,28556,2296,40,33782,2396,20004,1462,23,23882,1529,16024,1023,67,18646,1038,11072,633,109,12848,386,4983,429,32,5828,46,1331,194,4,1573,12456,128224,10689,333,151704,1336,9674,701,7,11711,1452,10299,810,21,12583,2424,25942,2093,37,30497,3217,28331,1979,28,33556,2490,19918,1236,41,23685,1705,16690,873,191,19460,1256,12192,756,155,14362,416,5763,496,24,6702,62,2336,400,5,2812,14354,131149,9349,510,155365,2458,20342,1529,11,24340,2548,21826,1973,32,26379,4375,50002,4746,77,59210,6113,56886,4278,63,67342,4879,39925,2701,65,47569,3237,32715,1896,258,38106,2294,23265,1386,265,27210,802,10747,924,50,12529,108,3671,596,12,4386,26806,259381,20037,845,307067
