LGA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
LGA10050,1254,2313,928,512,1400,331,6,6744,769,1568,982,596,1582,298,4,5803,396,697,456,387,1243,278,0,3465,170,193,102,72,693,146,0,1386,9166,12788,5624,3613,11225,2799,35,45253
LGA10180,605,1198,565,254,641,264,6,3536,362,830,497,321,572,207,7,2794,223,430,252,233,519,231,0,1889,78,131,66,44,255,137,0,705,4450,6654,2969,1845,5111,2723,46,23795
LGA10250,1184,2296,1089,558,1054,280,9,6467,850,1900,1291,856,1455,339,6,6699,455,871,625,518,1218,286,0,3974,185,256,139,105,868,279,0,1827,7656,11361,5501,3580,8249,2399,57,38810
LGA10300,56,94,49,30,85,51,0,358,33,49,35,38,97,58,0,309,12,17,17,11,34,23,0,111,6,5,6,4,24,10,0,53,286,386,197,166,517,311,35,1899
LGA10470,893,1706,858,504,977,304,6,5245,528,1186,814,579,1066,226,3,4401,279,498,360,276,897,182,3,2498,108,141,67,51,587,92,0,1046,6902,9832,4518,3034,8273,2910,39,35504
LGA10500,2736,4694,2370,1578,5106,971,127,17594,1747,3190,1842,1279,4607,769,81,13518,1146,1727,974,686,3357,740,38,8660,451,456,252,147,1754,659,3,3718,27268,35445,14682,10468,50378,10328,710,149278
LGA10550,981,2138,1196,703,907,392,4,6311,691,1720,1242,961,1200,366,6,6185,354,677,517,435,862,277,0,3123,123,147,103,72,451,208,0,1105,5314,8936,4968,3401,5784,2361,40,30802
LGA10600,376,749,439,272,320,125,0,2283,270,545,483,304,414,170,7,2192,104,234,197,145,310,115,0,1101,37,60,36,34,183,54,0,405,1903,3169,1958,1311,1988,918,18,11261
LGA10650,198,380,188,133,252,105,0,1257,166,338,228,205,395,151,0,1477,91,152,105,120,279,119,0,861,30,35,24,24,152,68,0,329,1215,1787,901,765,1708,765,6,7145
LGA10750,5249,9660,5079,4135,11700,2024,258,38106,3108,5460,3627,3118,10100,1527,265,27210,1489,2143,1259,1021,5552,1015,50,12529,454,427,204,133,2548,608,12,4386,50155,70077,34311,29564,101112,20998,845,307067
