LGA_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
LGA10050,65,1470,135,3,1679,91,1497,125,0,1716,241,3120,257,9,3622,362,2730,222,0,3319,461,2543,202,0,3215,512,2519,168,3,3198,336,2281,135,5,2754,184,1225,98,0,1506,55,388,52,0,502,2311,17774,1399,16,21498,90,1505,109,0,1707,135,1538,117,0,1794,425,3091,238,9,3763,628,2725,211,4,3571,770,2558,158,0,3484,873,2497,176,3,3542,556,2348,142,0,3047,244,1532,182,0,1956,44,749,89,0,886,3759,18542,1425,19,23753,153,2977,248,5,3385,233,3037,240,0,3510,663,6209,495,16,7382,988,5451,439,4,6884,1237,5100,363,0,6699,1376,5015,341,6,6744,886,4630,278,4,5803,422,2756,282,0,3465,101,1140,139,0,1386,6074,36320,2823,35,45253
LGA10180,63,824,183,0,1076,58,863,210,4,1141,141,1472,219,9,1838,161,1262,150,4,1584,185,1214,134,4,1538,299,1303,135,3,1732,178,1071,94,0,1345,112,639,92,0,841,36,184,44,0,266,1232,8839,1266,29,11357,59,912,274,0,1252,70,881,235,0,1190,192,1526,213,10,1942,247,1232,158,0,1633,342,1211,125,6,1679,435,1241,117,0,1801,226,1106,115,0,1446,116,809,129,0,1051,33,316,98,0,444,1723,9232,1462,18,12441,123,1737,465,0,2329,131,1749,448,0,2325,333,2995,432,17,3777,411,2494,307,3,3214,530,2427,257,8,3224,734,2544,254,6,3536,403,2176,210,7,2794,228,1441,219,0,1889,63,501,140,0,705,2955,18066,2724,46,23795
LGA10250,67,1110,102,0,1274,58,862,64,4,983,144,1725,153,4,2023,236,2129,177,9,2539,387,2228,142,6,2762,521,2399,147,3,3065,391,2632,157,6,3187,219,1501,113,0,1838,83,514,88,0,686,2097,15096,1137,22,18355,75,1005,77,3,1165,79,804,58,0,946,204,1933,159,8,2304,398,2167,146,3,2716,683,2283,156,10,3130,855,2408,135,4,3408,595,2733,179,3,3511,274,1702,167,0,2135,58,900,180,0,1138,3223,15942,1256,34,20453,140,2113,179,3,2436,136,1673,121,3,1928,345,3660,314,11,4329,633,4289,324,7,5257,1068,4512,294,16,5896,1379,4810,279,9,6467,987,5369,337,6,6699,493,3201,280,0,3974,146,1416,263,0,1827,5325,31039,2393,57,38810
LGA10300,6,49,8,0,57,0,50,3,6,67,4,112,13,14,143,13,84,28,7,129,16,110,22,3,160,19,143,28,0,190,15,123,32,0,168,5,38,6,0,50,4,18,4,0,20,78,728,154,27,980,7,30,13,0,50,6,25,5,0,38,23,110,19,3,161,20,73,19,0,113,27,98,24,0,153,22,121,27,0,168,24,92,23,0,143,7,48,11,0,64,0,23,8,0,33,131,618,158,10,918,7,74,17,0,103,10,79,15,5,108,25,218,35,19,299,30,157,47,8,241,43,216,51,3,312,44,264,51,0,358,35,215,61,0,309,13,79,20,0,111,4,36,12,0,53,213,1347,309,35,1899
LGA10470,69,1415,109,0,1592,69,1257,220,3,1548,181,2300,504,3,2988,233,2006,425,7,2674,376,2001,279,0,2661,403,1993,188,0,2590,248,1810,123,0,2183,144,963,94,4,1202,40,292,36,0,369,1768,14029,1985,20,17810,72,1296,81,0,1440,94,1215,79,4,1390,281,2320,146,0,2750,415,1958,131,0,2506,620,1972,159,6,2757,643,1896,113,3,2656,364,1738,110,0,2213,163,1041,92,3,1297,23,597,60,0,684,2677,14030,970,21,17701,138,2703,194,0,3034,163,2472,301,6,2936,461,4621,651,6,5740,656,3969,555,8,5180,995,3975,440,6,5418,1042,3891,304,6,5245,615,3547,236,3,4401,308,2005,181,3,2498,67,885,91,0,1046,4446,28066,2956,39,35504
LGA10500,180,3628,282,9,4093,299,6317,519,29,7173,813,16073,1485,73,18443,1145,11453,938,68,13609,1428,8056,619,63,10172,1191,6855,515,53,8611,627,5388,397,36,6446,372,3192,366,17,3947,113,1159,252,0,1532,6174,62117,5384,342,74020,201,3299,228,9,3735,337,5694,488,21,6538,1002,15786,1357,98,18257,1539,10732,801,39,13105,2136,7886,601,46,10664,1719,6719,463,75,8982,941,5703,380,45,7071,520,3791,381,25,4712,101,1685,405,4,2190,8501,61291,5104,369,75260,374,6923,511,23,7828,645,12006,1004,57,13714,1820,31857,2847,173,36702,2686,22183,1740,101,26709,3562,15943,1222,111,20836,2915,13567,984,127,17594,1566,11094,776,81,13518,894,6984,744,38,8660,215,2845,654,3,3718,14674,123409,10488,710,149278
LGA10550,53,780,110,0,951,48,584,53,0,684,122,1269,142,6,1540,185,1290,110,0,1593,266,1664,173,3,2102,467,2289,193,0,2948,346,2622,197,3,3158,150,1255,139,0,1537,48,342,87,0,480,1684,12096,1211,17,15006,42,705,79,0,831,55,538,62,3,655,198,1283,116,6,1598,305,1377,120,0,1804,478,1674,152,0,2303,725,2431,207,4,3365,481,2367,173,8,3026,175,1259,150,0,1584,31,474,131,0,623,2481,12102,1188,20,15795,97,1489,197,4,1778,106,1118,118,3,1340,316,2550,257,18,3141,493,2670,227,0,3394,745,3332,328,3,4408,1190,4727,401,4,6311,824,4988,368,6,6185,325,2514,286,0,3123,77,816,215,0,1105,4165,24197,2400,40,30802
LGA10600,21,309,32,0,358,13,188,10,0,214,58,419,35,3,520,63,494,59,0,616,108,626,76,0,815,159,826,69,0,1049,122,916,76,6,1122,63,425,47,0,537,11,133,21,0,163,621,4339,429,4,5392,18,288,46,0,345,19,170,16,0,206,73,427,47,0,546,127,501,60,4,692,206,697,61,0,965,281,877,64,0,1230,174,805,89,3,1071,65,445,57,0,570,16,189,39,0,242,976,4398,472,12,5861,35,593,80,0,707,38,361,24,0,421,136,853,79,4,1068,197,993,116,3,1311,310,1327,142,5,1777,440,1708,132,0,2283,295,1728,166,7,2192,127,867,105,0,1101,25,320,57,0,405,1602,8741,900,18,11261
LGA10650,15,189,28,0,236,15,118,20,0,150,25,296,32,0,357,22,294,37,0,360,65,372,48,0,485,87,448,50,0,588,88,617,71,0,768,53,320,47,0,415,20,100,31,0,148,393,2757,361,3,3515,3,174,25,0,205,14,104,13,0,132,32,303,43,0,382,74,326,31,0,434,90,333,50,3,474,151,465,53,0,664,104,526,74,0,709,59,325,67,0,447,11,125,36,0,176,545,2689,398,3,3628,21,365,51,0,442,30,224,33,0,284,59,605,76,0,736,102,620,72,0,794,161,706,93,3,961,235,910,105,0,1257,191,1142,140,0,1477,109,645,110,0,861,31,230,66,0,329,941,5443,752,6,7145
LGA10750,514,11219,888,10,12630,683,11869,1231,12,13795,1703,24159,2806,49,28712,2957,28316,2466,40,33782,2617,19681,1564,23,23882,2044,15459,1077,67,18646,1265,10775,703,109,12848,575,4762,457,32,5828,125,1242,209,4,1573,12481,127484,11400,333,151704,610,10326,763,7,11711,820,10887,858,21,12583,2696,25535,2236,37,30497,4320,27094,2115,28,33556,3885,18468,1293,41,23685,3069,15264,930,191,19460,1719,11678,806,155,14362,573,5537,562,24,6702,81,2306,410,5,2812,17774,127105,9980,510,155365,1122,21546,1655,11,24340,1498,22764,2085,32,26379,4392,49694,5037,77,59210,7281,55414,4585,63,67342,6504,38147,2864,65,47569,5113,30724,2009,258,38106,2983,22457,1514,265,27210,1152,10300,1018,50,12529,211,3548,619,12,4386,30256,254584,21386,845,307067
LGA10800,6,118,16,0,140,9,123,13,0,148,26,287,49,0,363,30,257,49,0,341,36,285,50,0,365,56,355,61,0,472,38,285,45,0,365,20,151,20,0,189,0,55,11,0,67,223,1911,314,6,2450,12,120,17,0,149,5,110,12,0,132,24,240,17,0,289,62,228,43,0,335,67,247,29,0,339,76,265,32,0,368,58,230,30,0,321,27,152,30,0,206,3,81,22,0,111,339,1677,226,0,2243,17,244,32,0,293,17,237,25,0,278,48,526,70,3,654,91,484,98,0,674,110,525,74,0,711,131,616,89,0,835,101,515,73,0,685,46,298,54,0,395,12,136,29,0,178,564,3594,540,7,4699
LGA10850,13,199,25,0,239,8,145,16,0,165,24,337,18,0,382,42,299,25,0,363,73,352,38,0,474,71,426,39,0,534,47,371,38,0,456,26,191,27,0,245,11,55,8,0,62,306,2374,236,0,2921,18,193,16,0,223,12,120,15,0,139,45,347,20,0,420,77,311,21,0,410,122,351,28,0,508,120,386,44,0,545,72,306,29,0,404,26,182,30,0,232,4,72,7,0,92,500,2267,212,0,2983,26,393,42,0,466,17,260,31,0,304,70,685,44,0,797,117,608,48,0,771,200,705,69,3,979,196,807,81,0,1084,117,672,70,0,858,53,372,58,0,482,14,126,15,0,160,809,4639,446,0,5899
LGA10900,128,2235,93,0,2463,102,1661,51,0,1828,256,3090,145,8,3497,478,3901,178,6,4556,801,4287,170,10,5264,831,4253,146,4,5228,602,4229,155,6,4992,266,1960,114,0,2338,83,535,35,0,653,3545,26147,1088,32,30815,131,1987,84,0,2199,129,1415,43,0,1593,375,3112,131,8,3628,853,3993,149,7,5004,1322,4197,183,3,5708,1359,4429,150,4,5942,857,4472,157,10,5493,314,2425,152,6,2894,56,896,151,0,1099,5386,26928,1199,40,33552,261,4222,181,0,4660,230,3082,99,4,3417,627,6206,279,14,7126,1330,7893,329,14,9560,2121,8484,354,18,10970,2185,8681,292,4,11169,1459,8697,316,13,10485,580,4379,267,9,5232,134,1434,180,0,1747,8928,53077,2288,78,64367
LGA10950,3,68,7,0,78,6,73,8,0,80,13,144,10,0,171,11,99,12,0,123,19,147,18,0,185,30,133,25,0,187,6,109,16,0,129,10,71,17,0,89,5,21,3,0,29,102,867,118,0,1091,3,53,0,0,61,3,50,7,0,64,19,153,6,0,179,27,73,9,0,107,25,143,15,0,184,34,102,14,0,149,14,90,13,0,118,12,76,19,0,112,0,22,18,0,40,134,758,109,0,1001,7,122,17,0,140,9,124,10,0,148,32,293,21,0,350,33,175,22,0,231,42,293,38,0,369,66,235,33,0,339,18,199,29,0,246,22,142,38,0,197,5,47,17,0,72,234,1630,228,5,2090
LGA11150,0,37,21,0,63,3,59,13,0,82,4,114,27,6,149,11,97,22,0,134,15,120,31,0,164,29,145,31,0,198,5,111,25,0,145,8,40,9,0,60,0,7,0,0,10,73,734,181,4,999,3,40,14,0,65,0,66,7,0,79,13,138,35,0,187,16,94,33,0,148,28,87,31,0,144,24,120,29,0,174,23,88,16,0,121,0,46,16,0,58,0,22,4,0,24,119,692,186,0,997,5,82,34,0,123,5,123,25,0,155,20,249,59,7,336,35,189,58,0,279,40,207,61,0,310,49,265,62,0,378,27,191,36,0,262,12,88,27,0,119,3,29,4,0,38,195,1431,367,11,1996
LGA11200,0,37,6,0,47,0,29,11,0,44,0,64,23,0,91,4,52,16,0,72,8,57,12,0,77,16,88,17,0,121,4,64,19,0,86,3,23,3,0,32,0,3,0,0,5,33,423,105,0,571,0,26,5,0,35,0,35,18,0,52,8,89,23,0,118,7,49,12,0,70,14,66,19,0,98,14,74,23,0,107,5,55,13,0,74,4,21,8,0,28,0,13,4,0,14,55,429,108,0,592,3,64,13,0,84,0,66,27,0,96,7,153,40,0,207,6,104,23,0,140,23,122,28,0,178,27,161,34,0,226,10,122,24,4,159,3,49,10,0,58,0,10,3,0,16,85,856,215,4,1160
LGA11250,16,430,71,0,515,22,404,56,0,489,72,881,111,3,1062,91,717,109,0,921,154,775,94,0,1020,210,985,84,0,1276,120,927,84,3,1132,56,433,57,0,539,20,149,35,0,204,761,5692,701,7,7160,27,370,47,0,446,17,379,41,0,440,132,898,103,0,1135,174,714,92,0,983,204,727,75,0,1009,313,957,85,4,1359,186,889,78,0,1156,94,536,96,0,723,24,279,81,0,377,1172,5750,702,10,7629,44,805,119,0,967,44,780,99,3,930,204,1779,211,6,2199,261,1433,199,0,1898,361,1507,172,0,2029,524,1939,162,4,2633,300,1814,166,3,2282,148,966,156,0,1268,40,425,116,0,583,1929,11443,1398,15,14788
LGA11300,52,779,28,3,862,100,2305,222,6,2631,153,3975,372,30,4533,237,2116,167,13,2540,289,1658,112,9,2070,284,1599,89,15,1991,136,1198,73,19,1421,83,691,82,3,856,31,337,83,0,456,1363,14664,1240,99,17361,39,880,50,0,969,107,2106,167,10,2382,174,3827,291,20,4305,320,2027,151,10,2500,466,1805,129,16,2411,425,1581,106,19,2122,239,1282,97,5,1627,107,856,125,0,1087,19,519,160,0,705,1883,14877,1276,76,18108,91,1659,80,8,1830,203,4408,387,15,5014,327,7802,662,48,8839,558,4147,317,20,5045,756,3463,237,23,4482,710,3177,196,29,4119,374,2479,167,21,3050,187,1547,206,4,1944,55,861,242,0,1165,3244,29542,2511,169,35471
LGA11350,37,729,110,0,873,31,565,81,14,690,122,1874,308,31,2330,172,1965,281,0,2432,291,1859,257,7,2412,332,1940,253,4,2526,227,1850,219,7,2309,71,684,83,4,845,15,178,17,0,209,1307,11632,1597,81,14620,43,708,84,3,844,41,703,123,12,886,163,2214,303,28,2707,332,2117,286,4,2733,493,2052,284,5,2837,570,1924,262,11,2763,371,1671,176,3,2222,103,672,74,4,858,13,310,47,0,375,2130,12376,1636,77,16215,78,1433,196,3,1712,71,1269,202,32,1573,280,4082,612,58,5032,503,4084,566,9,5163,784,3913,538,16,5247,903,3861,511,16,5288,604,3518,391,15,4528,182,1359,160,13,1700,30,485,65,0,583,3434,24011,3232,157,30832
