LGA_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
LGA10050,5,54,0,61,1483,132,3,1679,84,51,0,139,1461,119,0,1716,982,111,29,1119,2253,241,9,3622,1753,65,73,1891,1212,215,0,3319,951,103,29,1081,1930,203,0,3215,177,273,3,459,2583,159,3,3198,22,344,0,370,2253,135,5,2754,0,83,0,91,1319,96,0,1506,0,3,0,3,439,54,0,502,3981,1095,139,5212,14925,1353,16,21498,15,153,3,165,1428,109,0,1707,177,121,9,305,1376,112,0,1794,1473,163,81,1715,1812,226,9,3763,2134,133,130,2397,965,204,4,3571,973,293,43,1310,2023,150,0,3484,81,705,7,791,2583,166,3,3542,19,554,6,576,2332,137,0,3047,3,106,0,113,1682,163,0,1956,0,5,0,8,787,90,0,886,4874,2232,284,7391,14983,1361,19,23753,22,203,3,230,2911,239,5,3385,260,176,8,443,2829,234,0,3510,2449,274,108,2837,4068,470,16,7382,3893,199,201,4290,2174,414,4,6884,1920,394,75,2390,3950,349,0,6699
LGA10180,8,41,0,44,847,184,0,1076,41,14,5,64,862,210,4,1141,402,48,14,466,1149,210,9,1838,734,28,22,784,643,145,4,1584,467,37,15,510,892,132,4,1538,120,111,5,230,1364,138,3,1732,21,129,4,151,1102,87,0,1345,0,31,0,29,715,94,0,841,0,0,0,0,225,42,0,266,1788,443,53,2284,7802,1243,29,11357,5,86,0,95,886,272,0,1252,82,50,7,135,819,232,0,1190,651,69,35,759,964,211,10,1942,911,40,43,995,485,154,0,1633,452,114,30,598,956,125,6,1679,41,259,0,303,1387,114,0,1801,9,208,0,214,1124,109,0,1446,3,38,0,40,886,121,0,1051,0,0,0,4,339,94,0,444,2158,867,111,3134,7846,1435,18,12441,10,120,0,137,1733,458,0,2329,118,70,7,194,1683,442,0,2325,1056,118,49,1222,2114,425,17,3777,1643,75,61,1782,1128,303,3,3214,915,152,38,1109,1846,256,8,3224
LGA10250,4,57,0,58,1113,105,0,1274,26,26,0,53,868,60,4,983,535,59,20,614,1261,153,4,2023,1342,54,52,1451,924,163,9,2539,950,66,32,1049,1577,137,6,2762,205,229,9,438,2484,135,3,3065,30,341,0,372,2664,149,6,3187,19,70,0,84,1633,121,0,1838,5,0,0,6,600,82,0,686,3121,895,108,4122,13117,1087,22,18355,12,70,0,86,999,73,3,1165,56,64,8,127,757,61,0,946,852,106,35,990,1151,159,8,2304,1697,87,86,1868,715,134,3,2716,981,179,46,1202,1766,154,10,3130,79,530,8,617,2650,134,4,3408,23,584,3,611,2737,167,3,3511,8,89,0,95,1888,154,0,2135,0,5,0,5,954,178,0,1138,3704,1718,179,5594,13612,1218,34,20453,15,128,0,144,2116,178,3,2436,78,95,8,181,1624,124,3,1928,1392,161,51,1602,2406,309,11,4329,3036,139,135,3315,1636,294,7,5257,1928,250,74,2254,3340,288,16,5896
LGA10300,0,3,0,3,43,8,0,57,4,0,0,6,50,3,6,67,38,3,0,41,74,14,14,143,43,0,0,47,51,22,7,129,40,4,0,37,86,22,3,160,3,15,0,20,147,23,0,190,9,9,0,13,124,35,0,168,0,0,0,0,44,6,0,50,0,0,0,0,14,4,0,20,132,30,0,167,646,150,27,980,0,6,0,6,35,9,0,50,0,0,0,4,30,5,0,38,61,5,4,67,56,19,3,161,61,0,0,65,29,18,0,113,30,7,0,38,95,20,0,153,0,34,0,38,112,26,0,168,3,11,0,13,103,27,0,143,0,0,0,0,52,15,0,64,0,0,0,0,23,8,0,33,157,70,11,234,528,153,10,918,0,5,0,5,81,18,0,103,6,8,0,12,79,15,5,108,100,6,4,111,137,35,19,299,104,0,9,110,78,43,8,241,67,12,0,78,186,53,3,312
LGA10470,3,59,0,64,1417,113,0,1592,68,47,4,113,1214,220,3,1548,767,74,31,868,1621,496,3,2988,1281,56,37,1376,865,426,7,2674,772,108,28,908,1472,279,0,2661,140,210,6,353,2044,193,0,2590,25,275,0,294,1761,121,0,2183,4,55,0,53,1058,83,4,1202,0,3,0,3,338,32,0,369,3064,877,106,4043,11791,1954,20,17810,15,127,0,145,1221,73,0,1440,117,83,10,212,1102,76,4,1390,1173,115,84,1373,1242,139,0,2750,1570,80,87,1739,642,125,0,2506,750,236,28,1009,1587,155,6,2757,58,549,5,610,1933,108,3,2656,10,414,0,433,1684,106,0,2213,4,61,0,62,1149,78,3,1297,0,7,0,7,619,55,0,684,3697,1671,213,5586,11176,921,21,17701,20,189,0,207,2640,188,0,3034,185,129,9,322,2311,298,6,2936,1939,188,114,2243,2861,633,6,5740,2849,137,127,3112,1507,547,8,5180,1520,344,56,1918,3062,433,6,5418
LGA10500,6,102,0,105,3702,270,9,4093,48,86,0,140,6496,504,29,7173,2308,147,17,2470,14450,1454,73,18443,5804,117,27,5956,6689,897,68,13609,3363,89,21,3477,6036,590,63,10172,761,250,11,1026,7041,495,53,8611,114,438,4,556,5471,390,36,6446,15,122,0,144,3447,347,17,3947,6,10,0,12,1261,252,0,1532,12426,1364,87,13878,54598,5205,342,74020,9,169,3,179,3327,219,9,3735,149,152,6,305,5729,479,21,6538,3814,253,40,4107,12735,1313,98,18257,6911,189,74,7176,5138,756,39,13105,3435,268,36,3733,6321,566,46,10664,341,754,21,1115,7348,446,75,8982,73,787,15,877,5796,358,45,7071,20,171,0,191,4129,365,25,4712,5,9,0,13,1777,395,4,2190,14760,2752,189,17705,52295,4896,369,75260,14,269,4,292,7029,490,23,7828,200,240,6,443,12226,986,57,13714,6123,398,59,6579,27184,2769,173,36702,12721,310,100,13129,11829,1653,101,26709,6799,357,57,7217,12362,1156,111,20836
LGA10550,5,33,0,41,793,115,0,951,46,29,0,75,563,49,0,684,444,50,12,503,884,139,6,1540,808,34,40,885,599,107,0,1593,612,58,19,696,1246,164,3,2102,166,208,5,376,2384,190,0,2948,41,240,3,280,2678,209,3,3158,4,54,0,59,1353,126,0,1537,3,3,0,4,389,83,0,480,2128,706,83,2919,10888,1179,17,15006,5,65,3,76,668,86,0,831,86,40,0,129,465,59,3,655,662,67,50,780,701,108,6,1598,1066,62,81,1213,474,110,0,1804,590,170,20,789,1367,150,0,2303,76,465,3,548,2616,202,4,3365,23,356,3,382,2467,176,8,3026,5,68,0,73,1375,137,0,1584,0,6,0,6,496,128,0,623,2514,1303,168,3983,10633,1157,20,15795,10,102,3,109,1465,203,4,1778,125,69,6,207,1023,108,3,1340,1109,118,57,1286,1586,251,18,3141,1874,98,121,2096,1076,221,0,3394,1205,227,44,1481,2613,313,3,4408
LGA10600,3,10,0,15,311,36,0,358,13,7,0,20,180,13,0,214,148,19,9,174,306,38,3,520,325,8,12,350,206,59,0,616,261,19,16,297,440,77,0,815,69,64,0,132,858,57,0,1049,8,91,0,101,937,77,6,1122,4,16,0,21,471,46,0,537,0,0,0,0,143,19,0,163,828,239,35,1111,3853,421,4,5392,3,24,0,23,278,45,0,345,15,25,3,42,153,13,0,206,243,24,20,286,223,37,0,546,424,18,41,487,151,58,4,692,326,62,19,400,499,57,0,965,33,178,5,220,947,65,0,1230,3,139,0,143,841,83,3,1071,3,30,0,32,481,53,0,570,0,0,0,5,207,30,0,242,1048,493,90,1633,3775,454,12,5861,4,30,0,40,588,80,0,707,29,33,7,60,334,25,0,421,390,38,31,461,530,74,4,1068,750,28,54,834,356,117,3,1311,586,78,31,698,938,139,5,1777
LGA10650,0,9,0,10,195,32,0,236,10,8,0,11,116,20,0,150,119,8,0,124,200,31,0,357,188,3,6,206,114,35,0,360,146,11,6,164,281,43,0,485,26,43,0,69,469,53,0,588,4,54,0,64,642,68,0,768,0,13,0,13,365,39,0,415,0,0,0,0,117,33,0,148,485,153,13,655,2496,357,3,3515,11,17,0,27,156,26,0,205,22,18,0,32,85,12,0,132,163,13,7,190,152,41,0,382,271,14,20,303,97,34,0,434,111,35,4,153,275,47,3,474,16,112,3,131,485,53,0,664,5,74,0,71,561,67,0,709,0,6,0,6,379,64,0,447,0,0,0,0,139,38,0,176,589,284,42,915,2333,385,3,3628,11,27,0,38,350,56,0,442,26,18,0,43,208,31,0,284,276,21,11,309,354,73,0,736,460,20,32,512,212,75,0,794,259,41,9,313,556,94,3,961
LGA10750,44,356,3,410,11352,860,10,12630,361,347,18,729,11881,1176,12,13795,6709,487,89,7285,18682,2698,49,28712,18645,309,164,19116,12287,2347,40,33782,7707,351,69,8124,14243,1496,23,23882,1288,769,25,2078,15477,1019,67,18646,264,947,15,1219,10853,669,109,12848,27,183,0,213,5146,438,32,5828,6,7,0,15,1367,197,4,1573,35048,3755,377,39183,101286,10899,333,151704,83,697,7,785,10183,741,7,11711,881,652,34,1565,10154,842,21,12583,12332,671,200,13198,15158,2102,37,30497,21529,431,239,22202,9331,1995,28,33556,6704,916,110,7731,14682,1225,41,23685,700,2176,48,2919,15473,878,191,19460,225,1611,35,1869,11582,756,155,14362,25,228,3,256,5888,531,24,6702,5,9,0,12,2395,393,5,2812,42476,7384,680,50540,94850,9466,510,155365,129,1051,13,1191,21535,1601,11,24340,1240,1000,51,2293,22036,2014,32,26379,19040,1154,292,20487,33837,4804,77,59210,40175,740,402,41319,21619,4342,63,67342,14412,1264,186,15855,28927,2726,65,47569
