LGA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
LGA10050,98,210,308,43,74,123,67,277,347,65,520,583,246,1317,1558,342,988,1330,937,638,1577,834,769,1602,1015,772,1786,1211,555,1767,929,429,1356,976,275,1245,2055,455,2504,1439,81,1516,1085,87,1167,642,32,671,1333,162,1498,856,87,941,187,363,546,14360,8079,22437
LGA10180,72,94,158,32,60,89,35,150,180,34,260,288,130,608,738,147,442,590,484,341,832,422,385,812,489,353,844,586,265,852,431,216,646,491,158,648,880,273,1154,618,44,663,448,58,505,305,18,320,703,87,788,422,69,492,69,157,228,6793,4024,10819
LGA10250,92,174,269,59,89,148,36,188,222,51,375,428,207,1097,1301,216,851,1063,860,516,1375,801,599,1400,986,487,1478,1109,355,1463,751,265,1022,801,197,1001,1610,325,1939,1142,69,1214,872,80,949,529,27,557,1402,143,1547,769,96,866,166,315,477,12451,6252,18704
LGA10300,6,10,15,0,0,3,3,9,12,4,20,21,9,46,60,18,24,37,35,11,48,31,19,44,42,35,75,31,21,50,34,15,42,47,10,60,67,18,86,40,0,40,28,0,28,20,4,24,33,4,38,48,0,49,13,24,41,503,263,769
LGA10470,80,152,236,38,62,100,39,143,185,59,326,382,163,811,974,187,559,744,618,361,983,588,497,1083,788,492,1275,862,347,1210,642,316,957,683,218,903,1486,354,1841,1186,60,1254,843,72,917,606,14,627,1213,110,1315,781,65,846,137,209,344,10999,5167,16168
LGA10500,705,1055,1761,158,297,453,208,527,740,211,1181,1392,657,2382,3036,690,1323,2012,2053,1063,3117,1794,1425,3219,2209,1741,3946,2744,1551,4297,2288,1509,3804,2424,1229,3647,5866,2274,8139,4514,476,4992,4047,692,4743,2857,229,3082,8313,888,9200,2083,517,2596,453,630,1085,44280,20988,65273
LGA10550,115,173,286,70,84,151,52,204,255,69,360,430,223,1049,1277,241,681,925,876,456,1332,739,469,1211,888,460,1348,1003,283,1284,597,229,829,651,154,805,1182,242,1425,774,44,820,528,65,600,295,15,312,603,122,724,686,45,729,136,285,418,9738,5412,15159
LGA10600,42,63,109,26,27,53,27,59,89,28,165,196,84,376,461,86,232,312,293,165,462,256,191,447,332,147,480,343,96,445,220,77,302,232,60,291,389,78,473,288,14,298,201,13,217,114,6,123,195,41,241,256,42,298,59,91,150,3482,1955,5440
LGA10650,30,47,73,9,9,16,11,38,49,13,72,89,44,289,334,57,166,220,251,103,347,173,108,282,194,104,302,227,49,278,118,47,169,139,32,167,267,32,293,174,0,178,127,3,130,62,0,60,129,15,146,156,11,163,61,90,155,2235,1219,3458
LGA10750,1035,1067,2102,261,299,557,378,783,1163,519,1746,2267,1386,3589,4979,1640,1742,3382,4210,1278,5494,3855,1817,5671,4918,2147,7069,6340,1639,7981,5345,1348,6697,5538,1068,6603,13833,1735,15570,10910,329,11239,9655,415,10071,6703,141,6848,16203,548,16746,5036,356,5390,1111,899,2012,98872,22947,121824
