LGA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
LGA10050,18642,46958,3741,5862,491,755,4233,6613,241,331,84,133,35,48,0,0,3,12,357,526,50,73,49,68,8,7,23,50,132,195,49,103,23414,54400,1941,..,25357,54400
LGA10180,9561,23527,1033,1739,177,303,1215,2043,477,765,60,107,0,0,0,3,9,16,542,882,15,14,84,93,0,3,19,38,116,148,38,84,11467,26682,1422,..,12888,26682
LGA10250,13671,35054,2381,4457,1645,3207,4023,7667,679,1175,160,287,88,150,19,33,48,85,992,1733,222,309,375,522,14,24,33,55,646,904,77,119,19412,45472,1421,..,20832,45472
LGA10300,793,2014,34,38,0,0,34,38,14,20,0,0,0,0,0,0,0,0,14,20,4,15,3,7,9,9,3,7,23,41,30,52,891,2171,192,..,1075,2171
LGA10470,14145,36752,1353,2271,419,728,1769,2995,742,1112,9,8,0,0,0,0,21,35,771,1158,37,63,8,16,17,22,23,56,83,163,51,99,16818,41165,1580,..,18400,41165
LGA10500,23075,70711,4737,11109,3565,9818,8302,20931,3289,6754,6937,14536,14260,31400,11365,26127,269,627,36123,79450,77,95,0,0,4,11,458,1029,540,1139,184,388,68218,172611,6513,..,74734,172611
LGA10550,13167,30853,828,1203,547,927,1371,2134,718,1119,42,74,3,9,0,3,17,33,784,1235,116,229,258,462,25,40,25,48,428,781,82,173,15841,35173,2914,..,18753,35173
LGA10600,5087,12156,162,260,56,111,213,370,179,269,0,0,0,0,5,5,11,16,192,299,132,248,63,107,9,6,3,14,212,378,29,60,5738,13267,633,..,6371,13267
LGA10650,3318,7591,258,372,0,0,258,372,35,49,0,0,0,0,0,0,0,0,38,52,44,125,5,4,0,4,19,36,65,166,40,59,3716,8245,524,..,4236,8245
LGA10750,102829,327804,4506,11438,10956,33187,15456,44627,1285,2088,551,1029,6065,13861,244,625,758,1930,8898,19538,0,0,5,6,20,27,85,252,110,290,234,627,127529,392885,6351,..,133887,392885
LGA10800,2181,5086,97,147,0,0,97,147,51,80,0,0,0,0,0,0,3,3,51,81,25,45,25,31,4,10,11,22,69,110,52,97,2455,5522,637,..,3090,5522
LGA10850,2816,7089,77,112,8,16,91,122,27,36,0,0,0,0,0,0,0,0,27,36,12,8,0,0,0,0,13,28,19,41,11,31,2967,7322,270,..,3241,7322
LGA10900,29025,72709,827,1326,584,1021,1414,2347,620,870,219,309,32,46,0,0,143,309,1013,1530,0,0,5,6,5,7,48,80,58,86,69,112,31576,76788,3566,..,35139,76788
LGA10950,931,2299,49,71,4,4,60,81,6,3,0,0,0,0,0,0,0,0,6,3,13,31,4,0,0,0,3,4,21,35,25,56,1039,2476,259,..,1298,2476
LGA11150,872,2210,12,18,0,3,8,21,17,17,0,0,0,0,0,0,0,0,17,17,22,40,14,18,8,9,0,0,46,71,45,77,983,2395,322,..,1301,2395
LGA11200,520,1207,44,91,0,0,44,91,4,5,0,0,0,3,0,0,0,5,4,10,6,8,0,8,4,9,3,16,16,31,25,45,613,1384,120,..,734,1384
LGA11250,7470,16384,187,263,23,48,206,308,226,287,0,0,0,0,0,0,0,0,226,289,70,148,3,4,0,3,5,7,80,160,40,59,8021,17206,1528,..,9551,17206
LGA11300,5033,15508,733,1824,1487,4379,2213,6206,789,1706,1970,4914,2105,4773,2456,5703,55,140,7370,17236,0,0,0,0,4,0,106,187,104,187,91,165,14817,39298,1341,..,16160,39298
LGA11350,11468,29766,593,1221,959,2087,1545,3302,655,1096,111,191,0,0,0,10,149,293,911,1593,215,359,204,321,51,64,88,150,557,889,90,169,14568,35714,2348,..,16915,35714
LGA11400,4949,12751,70,129,10,31,78,157,57,74,0,5,0,0,0,0,0,6,63,80,23,40,3,13,4,5,188,476,216,535,8,19,5320,13539,563,..,5881,13539
LGA11450,35264,112064,937,1817,1362,3281,2293,5092,223,334,0,0,35,48,0,0,120,300,379,689,31,50,132,188,0,0,15,29,181,266,66,138,38185,118252,1398,..,39588,118252
LGA11500,46767,144836,4152,9290,5240,12818,9393,22102,1119,1974,527,861,1664,3262,187,350,432,987,3927,7433,0,0,0,0,4,8,13,21,15,25,76,146,60175,174543,2888,..,63062,174543
LGA11520,13052,39016,1110,2805,2316,5848,3425,8661,3471,6879,3479,7111,7196,15127,4530,9761,101,232,18777,39118,0,0,0,0,0,0,398,844,402,849,56,110,35718,87747,3369,..,39085,87747
LGA11570,67401,220162,4579,11721,14746,45481,19325,57202,13296,30165,11228,26733,8268,19630,2642,6471,1026,2963,36457,85963,5,8,0,0,4,0,650,1530,653,1541,297,744,124137,365612,9183,..,133317,365612
LGA11600,1046,2562,0,3,0,0,0,3,27,77,0,0,0,0,0,0,0,0,27,77,21,47,19,36,10,19,8,8,54,108,21,51,1155,2801,139,..,1292,2801
LGA11650,107480,286428,10223,16979,6522,13005,16745,29979,7028,11905,1638,2877,2682,4755,641,1159,444,932,12438,21628,440,651,583,904,17,27,162,324,1200,1903,313,597,138174,340550,14532,..,152706,340550
LGA11700,630,1513,33,38,0,3,30,35,14,17,0,0,0,0,0,0,0,5,13,18,39,79,5,7,5,3,0,0,45,88,102,204,822,1862,228,..,1055,1862
LGA11720,21311,57159,1584,2738,282,459,1861,3203,270,389,0,5,0,0,0,0,58,127,335,512,44,52,7,9,18,27,19,34,87,116,60,119,23659,61114,2108,..,25765,61114
LGA11730,19147,46339,937,1505,562,1059,1506,2563,857,1319,129,223,36,57,0,0,47,83,1070,1690,336,617,444,676,42,69,172,407,998,1757,137,266,22849,52614,3211,..,26065,52614
LGA11750,1524,3649,61,100,3,6,67,110,105,143,0,0,0,0,0,0,0,0,105,143,25,44,28,61,4,5,8,27,60,126,15,35,1779,4058,533,..,2309,4058
LGA11800,23607,62426,2183,3915,1599,3364,3783,7283,2456,4314,428,775,289,466,117,183,80,156,3379,5884,357,738,472,733,67,70,28,57,926,1595,176,335,31859,77521,2730,..,34586,77521
LGA12000,1689,4160,24,47,0,4,24,48,9,8,0,0,0,0,0,0,6,3,13,15,3,9,3,3,3,9,3,6,12,22,6,6,1748,4253,219,..,1974,4253
LGA12150,1429,3505,26,48,0,6,28,53,57,78,0,0,0,0,0,0,0,0,57,78,23,41,8,4,0,3,3,17,29,70,15,29,1560,3738,265,..,1817,3738
LGA12160,4460,10442,215,284,22,37,238,317,86,142,12,16,0,0,0,0,0,0,100,159,22,27,10,28,0,0,26,56,62,115,14,36,4876,11062,612,..,5487,11062
LGA12350,5028,11790,271,393,29,46,308,432,97,133,9,17,0,0,0,0,3,4,109,155,21,35,17,33,5,6,8,17,52,94,19,29,5509,12504,732,..,6243,12504
LGA12380,39614,133655,3177,7731,8329,26609,11504,34341,5167,12055,7565,18817,8962,23427,2561,7547,771,2355,25021,64198,0,0,0,0,12,18,198,598,208,616,276,661,76629,233472,6472,..,83099,233472
LGA12390,17750,47309,1598,2779,79,149,1681,2930,1302,2085,17,33,0,5,0,0,27,56,1344,2171,87,148,22,30,6,14,67,134,178,321,117,192,21070,52925,1623,..,22693,52925
LGA12700,3654,9230,54,88,0,0,54,88,8,11,0,0,0,0,0,0,0,0,8,11,18,31,14,35,4,5,11,14,47,87,21,56,3788,9472,416,..,4206,9472
LGA12730,3269,7580,323,445,8,13,335,455,21,40,0,0,0,0,0,0,0,0,22,42,27,29,0,4,3,3,8,12,36,48,43,68,3707,8195,523,..,4231,8195
LGA12750,15101,34940,880,1409,638,1139,1513,2541,966,1495,58,93,37,53,0,3,29,44,1093,1689,208,346,251,381,27,41,29,77,515,856,78,129,18305,40157,6226,..,24531,40157
LGA12850,45944,158025,1676,4180,6325,20090,8000,24271,2967,6428,3016,6826,2213,5106,604,1428,933,2698,9725,22490,93,115,0,0,7,10,122,292,224,423,217,573,64125,205778,3484,..,67606,205778
LGA12870,4929,11332,582,838,0,4,586,845,31,44,0,0,0,0,0,0,0,0,30,44,11,24,40,52,4,8,14,22,70,107,23,53,5626,12376,888,..,6517,12376
LGA12900,3456,8459,166,259,9,18,181,279,190,240,5,7,0,0,0,0,4,0,198,249,18,39,29,41,0,0,22,33,69,117,17,23,3915,9122,451,..,4365,9122
LGA12930,27702,85872,2294,5059,3922,11080,6211,16144,2076,4248,5899,13627,8451,20252,3211,8045,307,776,19944,46948,0,0,3,4,0,0,350,763,352,763,98,197,54316,149921,4070,..,58386,149921
LGA12950,1627,3912,42,50,0,0,42,50,63,93,0,0,0,0,0,0,0,0,63,87,27,46,23,28,4,9,7,13,60,91,11,9,1802,4152,315,..,2113,4152
LGA13010,3664,8059,174,248,13,21,189,268,85,108,0,0,0,0,0,0,0,0,85,108,34,56,14,20,9,13,7,28,63,118,15,22,4015,8572,579,..,4592,8572
LGA13310,11185,27978,938,1534,186,336,1120,1869,309,449,67,93,0,0,0,0,18,33,401,580,27,41,56,85,0,6,47,80,132,212,34,51,12865,30684,1799,..,14671,30684
LGA13340,4160,10605,85,116,3,0,86,118,0,0,0,0,0,0,0,0,0,0,4,0,13,21,0,0,0,7,4,18,16,49,16,27,4284,10801,548,..,4831,10801
LGA13450,8334,23131,399,790,81,116,475,903,987,2123,27,73,0,0,0,0,10,29,1030,2218,55,82,39,46,11,4,52,128,154,264,44,110,10042,26630,753,..,10792,26630
LGA13550,4570,11885,384,600,53,88,437,683,89,113,0,0,5,6,0,0,4,11,100,127,44,50,14,26,0,0,7,11,69,89,13,22,5185,12803,632,..,5821,12803
LGA13660,1973,4610,28,42,0,0,28,42,9,10,0,0,0,0,0,0,0,0,11,13,32,57,9,19,4,9,0,23,52,99,31,50,2093,4812,348,..,2435,4812
LGA13800,20724,59764,1732,3216,586,1250,2327,4458,516,821,112,191,19,28,0,0,71,159,717,1205,87,136,78,103,11,33,29,67,210,342,70,145,24048,65912,1424,..,25473,65912
LGA13850,1154,2591,92,142,0,0,92,142,13,25,0,0,0,0,0,0,0,0,12,30,8,19,0,0,0,4,3,3,11,26,16,33,1291,2818,239,..,1531,2818
LGA13910,7243,17654,491,760,18,29,506,788,138,194,0,0,0,0,0,0,3,11,144,202,20,36,24,36,0,3,25,53,77,131,38,69,8010,18840,1185,..,9195,18840
LGA14000,36475,112271,1045,1942,3360,8657,4401,10602,1495,2580,3315,6669,4048,9304,2681,6425,234,551,11767,25532,18,25,60,92,0,0,60,152,142,272,71,133,52852,148804,3055,..,55909,148804
LGA14100,2972,9166,99,236,658,1476,756,1715,403,653,242,422,433,720,0,0,3,0,1086,1794,0,0,6,8,0,0,10,13,9,22,10,13,4839,12712,472,..,5307,12712
LGA14170,21840,61824,11591,28045,9083,23258,20674,51300,10260,18424,11834,21138,9318,17030,1299,2519,367,716,33076,59832,0,0,15,25,3,4,1180,2384,1200,2409,173,322,76964,175696,8152,..,85118,175696
