LGA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
LGA10050,6181,611,44,33,10,6874,6739,336,13,7,6,7099,3007,2234,186,14,5,5451,514,175,20,0,0,705,87,91,11,0,0,188,766,250,8,4,3,1030,105,39,3,25,3,175,26,20,7,0,0,57,4507,2811,236,40,19,7613,339,102,31,4,3,486,877,374,39,44,21,1345,18642,4233,357,132,49,23414
LGA10180,3548,137,14,21,3,3724,2760,72,12,0,6,2839,1500,660,292,12,10,2472,215,48,56,0,3,331,98,50,61,0,0,203,488,64,25,3,5,584,109,12,3,30,0,160,13,9,0,0,0,19,2423,858,439,48,16,3771,238,35,3,0,4,281,606,117,71,49,11,850,9561,1215,542,116,38,11467
LGA10250,6040,1195,200,261,20,7714,4136,679,142,16,7,4973,1422,1041,348,14,5,2841,202,282,49,0,0,537,54,72,15,0,0,140,721,307,91,22,9,1153,94,19,8,97,28,250,23,10,0,0,0,43,2521,1731,514,138,42,4960,388,142,54,13,0,597,585,280,81,213,15,1167,13671,4023,992,646,77,19412
LGA10300,293,0,0,11,14,317,179,0,0,3,10,189,27,7,7,0,0,38,16,13,0,0,0,28,9,0,3,0,0,13,57,10,4,0,0,71,29,0,5,7,0,41,3,0,0,0,0,3,141,24,11,7,0,190,41,0,0,4,9,54,131,5,0,0,4,140,793,34,14,23,30,891
LGA10470,5064,305,92,16,17,5496,5033,181,42,5,7,5261,2120,793,425,12,8,3353,321,119,52,0,4,500,51,58,7,0,0,115,636,117,41,0,8,804,71,19,8,5,0,109,21,9,0,0,0,32,3223,1113,538,22,23,4912,192,28,32,6,7,266,635,142,69,37,5,890,14145,1769,771,83,51,16818
LGA10500,10248,2453,4140,79,12,16929,7627,2680,8464,31,17,18820,2732,1593,16942,231,67,21564,174,530,1130,0,3,1835,70,96,251,3,0,429,812,324,1745,67,24,2976,110,82,419,26,18,657,20,13,85,5,0,121,3921,2638,20574,337,109,27582,326,118,467,12,5,923,957,415,2479,81,45,3971,23075,8302,36123,540,184,68218
LGA10550,6516,466,167,219,29,7405,3599,167,94,13,15,3884,964,328,331,4,7,1637,184,66,18,6,0,273,42,43,8,0,0,98,703,115,74,24,10,935,115,9,7,61,5,204,15,5,0,0,0,29,2029,567,438,102,28,3163,271,69,20,20,5,386,758,102,57,66,10,999,13167,1371,784,428,82,15841
LGA10600,2369,65,42,128,13,2618,1356,32,5,9,6,1409,450,54,67,5,3,577,48,15,19,0,0,78,22,12,0,0,0,34,358,14,22,0,4,412,39,3,11,29,4,89,6,0,0,0,0,6,932,96,117,36,13,1193,97,6,0,3,0,108,333,18,25,38,0,417,5087,213,192,212,29,5738
LGA10650,1508,59,8,14,8,1598,923,21,0,5,4,947,234,86,12,0,0,336,7,0,0,0,0,11,13,18,0,0,0,31,174,28,4,0,3,211,56,13,3,8,3,77,6,0,0,0,0,7,497,144,19,6,9,675,79,17,0,8,3,106,317,22,9,32,14,397,3318,258,38,65,40,3716
LGA10750,22775,1480,382,13,9,24667,44680,5455,1856,29,91,52106,19778,4341,4145,52,63,28366,4499,1757,870,0,8,7135,359,255,154,0,0,767,3588,474,409,6,19,4502,670,108,73,0,8,855,150,52,36,0,3,240,29054,6979,5688,55,96,41873,840,365,108,0,3,1315,5490,1171,868,14,30,7569,102829,15456,8898,110,234,127529
