LGA_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
LGA10050,294,18,0,0,0,319,145,17,3,0,0,166,124,27,0,0,0,155,282,49,0,0,0,333,477,57,0,0,0,535,1582,78,0,0,0,1673,1451,36,0,0,0,1484,1192,20,3,0,0,1213,412,6,0,0,0,421,279,6,0,0,0,288,180,0,0,0,0,181,326,16,0,0,0,344,6739,336,13,7,6,7099
LGA10180,156,0,0,0,0,166,59,0,0,0,0,63,66,0,0,0,0,68,130,5,0,0,0,141,202,10,4,0,0,223,603,10,3,0,0,626,545,14,0,0,0,559,437,9,0,0,0,443,171,4,0,0,0,176,125,3,0,0,0,130,103,0,0,0,0,105,150,5,0,0,0,153,2760,72,12,0,6,2839
LGA10250,214,35,8,0,0,250,66,17,3,0,0,90,72,20,8,0,0,93,109,39,3,0,0,149,167,40,8,0,0,212,457,97,24,3,0,587,566,111,33,0,0,713,910,145,28,4,0,1084,534,60,9,0,0,601,487,44,10,0,0,536,297,26,7,0,0,337,265,47,8,0,0,317,4136,679,142,16,7,4973
LGA10300,16,0,0,0,0,20,6,0,0,0,0,6,4,0,0,0,0,4,19,0,0,0,0,20,30,0,0,0,0,26,46,0,0,0,0,46,9,0,0,0,0,18,10,0,0,0,0,10,6,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,8,20,0,0,0,0,20,179,0,0,3,10,189
LGA10470,198,3,7,0,0,205,65,3,0,0,0,75,85,7,0,0,0,96,152,8,5,0,0,162,228,21,3,0,0,249,766,45,16,0,5,826,1075,33,3,0,0,1124,1235,24,3,0,0,1260,481,4,0,0,0,487,310,0,0,0,0,313,183,5,0,0,0,191,260,17,0,0,0,274,5033,181,42,5,7,5261
LGA10500,428,134,314,4,0,882,89,33,78,4,0,201,83,25,62,0,0,173,136,47,135,0,0,310,159,77,186,0,0,425,468,158,632,0,0,1256,483,200,919,3,3,1613,909,380,2253,10,0,3556,783,335,1610,7,0,2734,1387,576,1182,3,5,3150,2029,537,597,5,0,3167,668,169,505,0,3,1343,7627,2680,8464,31,17,18820
LGA10550,214,6,7,6,0,236,128,11,9,7,0,145,86,5,3,0,0,95,157,9,10,0,0,181,234,17,17,0,3,272,669,49,27,0,0,747,683,33,6,0,0,724,687,16,7,5,4,713,263,5,0,0,0,271,178,3,3,0,0,182,109,4,3,0,0,118,192,4,3,0,0,207,3599,167,94,13,15,3884
LGA10600,78,3,0,6,0,85,42,0,0,0,0,47,31,3,0,0,0,35,54,0,0,0,3,56,91,0,0,0,0,91,264,4,0,0,0,275,223,8,3,0,0,233,260,5,0,0,0,267,102,7,0,0,0,111,83,0,0,0,0,82,44,4,0,0,0,47,81,4,0,0,0,85,1356,32,5,9,6,1409
LGA10650,64,3,0,0,0,66,35,0,0,0,0,40,29,3,0,0,0,33,81,7,0,0,0,83,109,3,0,0,0,108,202,4,0,0,0,208,135,0,0,0,0,135,123,0,0,0,0,123,30,0,0,0,0,33,23,0,0,0,0,23,18,0,0,0,0,18,63,0,0,0,0,63,923,21,0,5,4,947
LGA10750,1727,166,42,0,0,1934,411,33,20,0,0,459,393,38,14,0,0,449,697,79,29,0,0,804,940,114,50,0,0,1096,3111,398,210,0,0,3721,4109,697,411,8,3,5228,8764,1643,671,8,12,11100,8606,1008,178,3,42,9833,8884,634,75,6,16,9618,4019,286,56,0,7,4359,3027,358,97,5,6,3491,44680,5455,1856,29,91,52106
LGA10800,51,4,0,0,4,54,26,0,0,0,0,26,34,0,0,0,0,32,48,0,0,0,0,52,62,0,0,0,0,64,129,0,0,5,0,131,70,0,0,0,0,74,61,0,0,0,0,65,15,0,0,0,0,15,10,0,0,0,0,10,19,0,0,0,0,20,37,0,0,0,0,37,567,5,0,10,5,587
LGA10850,55,0,0,0,0,55,16,0,0,0,0,16,19,0,0,0,0,19,36,0,0,0,0,38,68,4,0,0,0,74,200,5,0,0,0,199,167,0,0,0,0,167,155,0,0,0,0,155,69,0,0,0,0,71,68,0,0,0,0,67,50,0,0,0,0,49,45,0,0,0,0,45,943,9,0,4,8,963
LGA10900,562,15,8,0,0,584,216,5,4,0,0,228,158,4,5,0,0,166,325,11,5,0,0,340,398,4,5,0,0,410,1183,18,21,0,0,1225,1589,36,13,0,0,1633,2795,33,14,3,0,2840,1775,15,7,0,0,1794,1417,10,8,0,0,1441,714,8,3,0,3,726,534,14,6,0,0,553,11658,177,93,4,6,11941
LGA10950,23,0,0,0,0,24,10,0,0,0,0,10,6,0,0,0,0,6,27,0,0,0,0,27,25,0,0,0,0,32,48,0,0,0,0,52,30,0,0,0,0,30,17,0,0,0,3,20,4,0,0,0,0,4,3,0,0,0,0,3,14,0,0,0,0,14,13,0,0,0,0,13,227,0,0,0,3,231
LGA11150,20,0,0,0,0,20,11,0,0,0,0,11,12,0,0,0,0,14,15,0,0,0,0,15,20,0,0,0,0,20,27,0,0,0,0,27,21,0,0,0,0,23,9,0,0,0,0,9,3,0,0,0,0,3,5,0,0,0,0,5,5,0,0,0,0,3,14,0,0,0,0,14,169,0,0,0,0,171
LGA11200,9,0,0,0,0,9,8,0,0,0,0,8,5,0,0,0,0,5,7,0,0,0,0,7,6,0,0,0,0,6,7,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,6,0,0,0,0,6,48,0,0,0,0,50
LGA11250,138,0,0,0,0,138,183,6,0,0,0,184,184,0,0,0,0,186,336,0,0,0,0,339,322,3,0,0,0,325,479,0,0,0,0,479,227,0,0,3,0,231,110,0,0,0,0,108,38,0,0,0,0,38,22,0,0,0,0,28,19,0,0,0,0,19,143,0,0,0,0,143,2195,10,0,0,4,2219
LGA11300,125,43,60,0,0,231,22,12,8,0,0,37,18,13,11,0,0,36,19,13,17,0,0,50,33,19,24,0,0,73,79,36,75,0,0,191,69,43,109,0,0,221,155,92,274,5,0,520,111,68,202,0,0,380,239,123,161,0,0,518,472,131,70,0,0,675,145,60,68,0,0,274,1489,645,1068,0,0,3209
LGA11350,216,15,3,6,0,240,69,8,3,0,0,83,53,10,3,5,0,68,85,5,8,0,0,98,122,5,3,0,5,139,292,27,11,0,0,342,348,53,14,0,0,420,532,59,24,0,3,627,375,49,9,0,0,436,408,35,10,4,0,460,479,17,12,0,0,505,244,24,3,3,0,274,3230,318,115,25,7,3690
