LGA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA10050,29,137,1913,8428,6264,877,159,847,18642,10,419,2418,529,37,4,6,322,3741,0,126,181,103,19,3,0,66,491,14,549,2598,629,54,8,6,386,4233,0,87,102,21,0,0,0,19,241,4,8,64,0,0,0,0,11,84,0,0,25,4,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,96,186,27,4,0,0,40,357,18,22,24,17,5,0,0,41,132,0,5,3,13,7,0,0,18,49,56,803,4728,9109,6332,888,164,1327,23414
LGA10180,28,155,950,4083,2859,699,177,599,9561,6,139,581,185,14,5,0,97,1033,0,33,78,43,10,0,0,16,177,6,171,662,224,21,3,0,116,1215,8,130,215,47,5,0,3,63,477,0,7,34,5,0,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,8,139,255,56,5,5,3,70,542,10,24,17,6,4,0,0,52,116,0,6,6,7,8,0,0,11,38,50,506,1892,4386,2898,708,181,850,11467
LGA10250,43,214,1416,5584,4680,949,204,571,13671,3,114,1031,967,101,10,3,155,2381,3,117,580,727,90,9,7,114,1645,8,232,1611,1691,192,19,4,268,4023,4,76,375,148,12,3,0,53,679,0,4,103,49,0,0,0,11,160,0,10,25,39,0,0,0,16,88,0,0,12,3,0,0,0,0,19,3,21,7,4,3,0,0,3,48,3,115,526,249,14,6,3,79,992,31,146,188,57,7,0,0,218,646,4,29,10,8,8,0,0,13,77,94,736,3756,7595,4893,977,220,1146,19412
LGA10300,0,16,73,330,202,28,9,132,793,0,10,12,0,0,0,0,5,34,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,5,34,0,0,10,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,14,3,3,0,0,3,0,0,4,23,3,3,5,6,9,5,0,4,30,6,35,107,334,216,32,8,143,891
LGA10470,36,147,1024,5286,5523,1194,287,642,14145,6,145,663,382,56,5,3,100,1353,6,94,101,127,39,0,0,52,419,4,241,767,504,90,9,6,150,1769,20,149,425,72,10,0,4,70,742,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,4,21,20,154,429,75,9,0,4,70,771,7,16,13,9,0,4,0,38,83,7,10,5,10,8,0,10,4,51,78,566,2234,5886,5634,1203,304,908,16818
LGA10500,51,220,2469,10142,6380,2284,609,908,23075,23,184,1980,2075,221,34,10,218,4737,10,189,515,1895,684,83,13,180,3565,29,371,2498,3964,902,120,18,396,8302,87,598,1914,368,47,16,11,255,3289,55,618,4723,1006,27,0,4,501,6937,58,2286,9144,1698,63,3,6,1008,14260,42,2434,6353,1735,74,3,6,720,11365,4,52,97,60,24,12,7,17,269,249,5989,22229,4863,231,32,32,2507,36123,7,123,200,92,21,8,4,86,540,8,29,65,21,17,0,3,40,184,344,6734,27465,19080,7550,2438,665,3940,68218
LGA10550,114,451,1784,5853,3415,636,162,749,13167,7,88,441,202,18,0,0,69,828,0,31,240,210,27,0,0,31,547,7,125,683,411,43,3,0,104,1371,11,79,423,132,8,0,0,63,718,0,3,25,11,0,0,0,3,42,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,0,3,3,0,0,17,11,88,457,144,8,0,0,65,784,63,127,117,30,7,0,5,76,428,7,19,16,21,11,0,0,10,82,204,803,3058,6462,3495,650,170,998,15841
LGA10600,41,213,770,2214,1220,235,69,334,5087,0,23,70,35,5,3,0,19,162,0,0,24,19,0,0,0,3,56,4,23,96,47,12,3,4,19,213,0,22,119,11,0,0,0,25,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,4,0,0,0,11,0,28,119,14,5,3,0,25,192,54,78,23,15,7,0,0,34,212,5,10,4,8,0,0,0,0,29,100,360,1012,2301,1241,238,76,414,5738
LGA10650,16,59,362,1554,866,123,27,317,3318,0,32,167,39,0,0,0,17,258,0,0,0,0,0,0,0,0,0,0,32,167,39,0,0,0,17,258,3,0,10,10,3,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,10,3,0,0,3,38,6,8,7,4,4,0,0,32,65,0,6,9,8,3,0,0,18,40,20,105,564,1620,882,126,27,381,3716
LGA10750,146,858,5472,38653,40370,9985,1853,5485,102829,27,286,1067,2125,544,68,15,367,4506,28,432,1400,5742,2335,193,36,798,10956,65,720,2464,7866,2880,254,51,1162,15456,126,535,212,184,24,0,0,208,1285,0,55,375,48,0,0,0,74,551,36,497,4378,637,16,3,0,496,6065,0,16,144,45,3,0,0,26,244,10,48,343,160,69,32,16,77,758,168,1147,5461,1074,118,34,21,873,8898,0,10,30,30,18,6,0,14,110,8,28,50,46,62,16,0,27,234,379,2761,13477,47674,43450,10296,1922,7566,127529
LGA10800,8,46,215,916,648,129,32,191,2181,0,20,41,23,5,0,0,4,97,0,0,0,0,0,0,0,0,0,0,20,41,23,5,0,0,4,97,0,20,16,0,6,0,0,11,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,20,0,6,0,0,11,51,12,13,12,7,5,0,0,27,69,0,7,3,10,9,5,0,30,52,27,99,290,956,664,132,38,256,2455
LGA10850,12,68,286,1120,866,211,59,190,2816,0,22,31,18,3,0,0,4,77,0,0,3,0,0,0,0,0,8,0,26,35,15,8,0,0,4,91,0,12,17,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,3,27,0,10,7,3,0,0,0,0,19,0,3,0,7,4,0,0,0,11,14,113,338,1148,875,214,64,204,2967
LGA10900,59,454,3310,12263,9150,2472,503,805,29025,13,144,271,317,38,0,0,44,827,4,32,212,270,24,5,5,33,584,17,174,487,585,60,9,3,77,1414,18,226,261,60,7,4,0,43,620,4,52,114,22,0,0,4,21,219,0,19,14,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,33,50,27,18,9,0,3,143,18,327,441,110,26,9,3,76,1013,0,10,25,11,5,0,0,11,58,8,12,7,8,4,0,5,23,69,109,981,4264,12972,9241,2497,517,990,31576
