LGA_CODE_2021,M_PG_Deg_15_24_yr,M_PG_Deg_25_34_yr,M_PG_Deg_35_44_yr,M_PG_Deg_45_54_yr,M_PG_Deg_55_64_yr,M_PG_Deg_65_74_yr,M_PG_Deg_75_84_yr,M_PG_Deg_85_yr_over,M_PG_Deg_Tot,M_Grad_Dip_Cer_15_24,M_Grad_Dip_Cer_25_34,M_Grad_Dip_Cer_35_44,M_Grad_Dip_Cer_45_54,M_Grad_Dip_Cer_55_64,M_Grad_Dip_Cer_65_74,M_Grad_Dip_Cer_75_84,M_Grad_Dip_Cer_85_over,M_Grad_Dip_Cer_Tot,M_B_Deg_15_24_yr,M_B_Deg_25_34_yr,M_B_Deg_35_44_yr,M_B_Deg_45_54_yr,M_B_Deg_55_64_yr,M_B_Deg_65_74_yr,M_B_Deg_75_84_yr,M_B_Deg_85_yr_over,M_B_Deg_Tot,M_Adv_Dip_Dip_15_24_yr,M_Adv_Dip_Dip_25_34_yr,M_Adv_Dip_Dip_35_44_yr,M_Adv_Dip_Dip_45_54_yr,M_Adv_Dip_Dip_55_64_yr,M_Adv_Dip_Dip_65_74_yr,M_Adv_Dip_Dip_75_84_yr,M_Adv_Dip_Dip_85_yr_over,M_Adv_Dip_Dip_Total,M_Cer_III_IV_15_24_yr,M_Cer_III_IV_25_34_yr,M_Cer_III_IV_35_44_yr,M_Cer_III_IV_45_54_yr,M_Cer_III_IV_55_64_yr,M_Cer_III_IV_65_74_yr,M_Cer_III_IV_75_84_yr,M_Cer_III_IV_85_yr_over,M_Cer_III_IV_Tot,M_Cer_I_II_15_24_yr,M_Cer_I_II_25_34_yr,M_Cer_I_II_35_44_yr,M_Cer_I_II_45_54_yr,M_Cer_I_II_55_64_yr,M_Cer_I_II_65_74_yr,M_Cer_I_II_75_84_yr,M_Cer_I_II_85_yr_over,M_Cer_I_II_Tot,M_Cer_nfd_15_24_yr,M_Cer_nfd_25_34_yr,M_Cer_nfd_35_44_yr,M_Cer_nfd_45_54_yr,M_Cer_nfd_55_64_yr,M_Cer_nfd_65_74_yr,M_Cer_nfd_75_84_yr,M_Cer_nfd_85_yr_over,M_Cer_nfd_Tot,M_Cer_Tot_15_24_yr,M_Cer_Tot_25_34_yr,M_Cer_Tot_35_44_yr,M_Cer_Tot_45_54_yr,M_Cer_Tot_55_64_yr,M_Cer_Tot_65_74_yr,M_Cer_Tot_75_84_yr,M_Cer_Tot_85_yr_over,M_Cer_Tot_Tot,M_lvl_educ_inad_desc_15_24,M_lvl_educ_inad_desc_25_34,M_lvl_educ_inad_desc_35_44,M_lvl_educ_inad_desc_45_54,M_lvl_educ_inad_desc_55_64,M_lvl_educ_inad_desc_65_74,M_lvl_educ_inad_desc_75_84,M_lvl_educ_inad_desc_85ov,M_lvl_educ_inad_desc_Tot,M_lvl_educ_ns_15_24,M_lvl_educ_ns_25_34,M_lvl_educ_ns_35_44,M_lvl_educ_ns_45_54,M_lvl_educ_ns_55_64,M_lvl_educ_ns_65_74,M_lvl_educ_ns_75_84,M_lvl_educ_ns_85_yr_over,M_lvl_educ_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_PG_Deg_15_24_yr,F_PG_Deg_25_34_yr,F_PG_Deg_35_44_yr,F_PG_Deg_45_54_yr,F_PG_Deg_55_64_yr,F_PG_Deg_65_74_yr,F_PG_Deg_75_84_yr,F_PG_Deg_85_yr_over,F_PGuate_Deg_Tot,F_Grad_Dip_Cer_15_24_yr,F_Grad_Dip_Cer_25_34_yr,F_Grad_Dip_Cer_35_44_yr,F_Grad_Dip_Cer_45_54_yr,F_Grad_Dip_Cer_55_64_yr,F_Grad_Dip_Cer_65_74_yr,F_Grad_Dip_Cer_75_84_yr,F_Grad_Dip_Cer_85_yr_over,F_Grad_Dip_Cer_Tot,F_B_Deg_15_24_yr,F_B_Deg_25_34_yr,F_B_Deg_35_44_yr,F_B_Deg_45_54_yr,F_B_Deg_55_64_yr,F_B_Deg_65_74_yr,F_B_Deg_75_84_yr,F_B_Deg_85_yr_over,F_B_Deg_Tot,F_Adv_Dip_Dip_15_24,F_Adv_Dip_Dip_25_34,F_Adv_Dip_Dip_35_44,F_Adv_Dip_Dip_45_54,F_Adv_Dip_Dip_55_64,F_Adv_Dip_Dip_65_74,F_Adv_Dip_Dip_75_84,F_Adv_Dip_Dip_85_over,F_Adv_Dip_Dip_Total,F_Cer_III_IV_15_24_yr,F_Cer_III_IV_25_34_yr,F_Cer_III_IV_35_44_yr,F_Cer_III_IV_45_54_yr,F_Cer_III_IV_55_64_yr,F_Cer_III_IV_65_74_yr,F_Cer_III_IV_75_84_yr,F_Cer_III_IV_85_yr_over,F_Cer_III_IV_Tot,F_Cer_I_II_15_24_yr,F_Cer_I_II_25_34_yr,F_Cer_I_II_35_44_yr,F_Cer_I_II_45_54_yr,F_Cer_I_II_55_64_yr,F_Cer_I_II_65_74_yr,F_Cer_I_II_75_84_yr,F_Cer_I_II_85_yr_over,F_Cer_I_II_Tot,F_Cer_nfd_15_24_yr,F_Cer_nfd_25_34_yr,F_Cer_nfd_35_44_yr,F_Cer_nfd_45_54_yr,F_Cer_nfd_55_64_yr,F_Cer_nfd_65_74_yr,F_Cer_nfd_75_84_yr,F_Cer_nfd_85_yr_over,F_Cer_nfd_Tot,F_Cer_Tot_15_24_yr,F_Cer_Tot_25_34_yr,F_Cer_Tot_35_44_yr,F_Cer_Tot_45_54_yr,F_Cer_Tot_55_64_yr,F_Cer_Tot_65_74_yr,F_Cer_Tot_75_84_yr,F_Cer_Tot_85_yr_over,F_Cer_Tot_Tot,F_lvl_educ_inad_desc_15_24,F_lvl_educ_inad_desc_25_34,F_lvl_educ_inad_desc_35_44,F_lvl_educ_inad_desc_45_54,F_lvl_educ_inad_desc_55_64,F_lvl_educ_inad_desc_65_74,F_lvl_educ_inad_desc_75_84,F_lvl_educ_inad_desc_85ov,F_lvl_educ_inad_desc_Tot,F_lvl_educ_ns_15_24_yr,F_lvl_educ_ns_25_34_yr,F_lvl_educ_ns_35_44_yr,F_lvl_educ_ns_45_54_yr,F_lvl_educ_ns_55_64_yr,F_lvl_educ_ns_65_74_yr,F_lvl_educ_ns_75_84_yr,F_lvl_educ_ns_85_yr_over,F_lvl_educ_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_PG_Deg_15_24_yr,P_PG_Deg_25_34_yr
LGA10050,15,201,166,124,121,84,37,3,751,0,46,67,75,84,59,22,3,355,103,498,551,425,277,276,89,22,2244,50,330,304,320,282,239,97,25,1640,492,1240,1021,960,990,691,343,108,5854,51,50,44,30,22,19,6,0,219,18,28,49,50,60,56,35,8,306,562,1317,1119,1047,1078,771,386,120,6382,9,18,15,15,3,19,16,4,102,253,264,245,230,209,181,157,86,1625,982,2683,2469,2240,2056,1620,801,255,13110,7,273,253,167,141,69,20,0,933,18,121,172,158,135,99,27,0,738,186,968,961,649,445,335,140,22,3706,140,401,446,493,502,326,142,36,2485,421,835,659,677,532,292,60,28,3500,73,85,58,67,59,46,7,0,403,31,44,66,99,133,116,47,21,553,530,964,772,838,729,454,116,53,4463,3,9,20,9,22,34,29,6,127,232,247,235,180,270,265,303,157,1891,1120,2985,2860,2500,2242,1580,779,276,14342,26,476
LGA10180,3,145,218,174,180,145,84,25,976,4,24,42,40,50,48,6,0,217,80,356,260,245,211,184,79,17,1440,30,95,130,128,141,94,52,9,671,216,443,375,350,418,287,151,45,2277,55,33,25,11,13,4,7,0,149,11,15,17,30,32,26,13,3,153,285,491,412,387,467,319,171,47,2578,8,9,12,12,7,10,6,3,70,409,217,159,157,163,105,141,48,1400,819,1341,1228,1145,1220,910,535,158,7351,6,235,274,204,189,119,53,12,1103,11,70,80,85,91,74,25,0,439,130,519,413,369,319,216,122,33,2127,63,147,164,219,248,158,100,29,1126,180,307,229,211,177,89,36,12,1239,73,20,25,24,37,27,4,3,217,22,12,21,48,65,67,47,9,291,282,348,278,286,279,180,87,24,1752,6,11,9,10,14,15,18,3,80,508,216,159,143,153,181,193,131,1696,1005,1540,1380,1314,1293,952,601,235,8318,5,383
LGA10250,3,67,144,121,141,151,54,16,705,0,14,49,62,65,95,20,3,314,57,331,527,519,421,463,179,59,2555,36,151,249,319,288,315,161,47,1572,254,677,782,781,970,799,414,128,4793,40,25,14,27,26,25,5,4,163,4,21,40,49,59,85,33,7,312,297,729,839,856,1058,910,457,138,5271,5,8,8,19,18,20,17,8,117,165,174,197,166,180,223,187,120,1412,562,1471,2012,2067,2176,2180,1083,391,11935,10,162,209,194,188,138,36,0,935,7,61,113,140,142,138,30,4,633,97,663,853,763,575,499,201,40,3698,60,302,342,486,523,440,213,67,2435,270,401,450,504,513,298,68,26,2522,44,33,36,50,68,59,19,5,315,26,47,60,78,138,178,73,28,626,340,482,551,626,714,534,162,56,3462,4,8,8,20,31,44,45,18,167,138,181,170,194,226,318,308,253,1793,659,1857,2241,2426,2399,2101,988,435,13120,11,226
LGA10300,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,5,0,6,10,8,4,6,0,0,42,5,5,3,12,10,7,0,0,39,11,35,28,29,40,25,9,0,182,0,4,0,0,0,0,0,0,3,0,5,0,4,0,3,0,0,6,8,41,34,33,40,23,9,0,197,4,0,0,0,0,0,0,0,4,13,14,24,26,29,34,10,5,162,30,74,79,84,88,69,16,9,454,0,6,3,5,0,0,0,0,7,0,0,0,9,0,3,0,0,8,0,32,17,15,13,8,4,0,83,5,11,13,11,19,11,3,0,66,13,31,23,23,21,7,0,0,112,0,4,3,0,8,0,0,0,16,0,0,0,6,0,0,0,0,7,14,38,26,24,28,7,0,0,138,0,0,0,0,3,0,0,0,8,17,22,16,24,28,29,11,3,162,33,112,76,87,86,53,17,9,481,0,4
LGA10470,7,103,129,118,134,112,61,8,672,3,29,44,48,57,52,11,0,247,83,374,353,309,260,185,86,18,1670,39,160,185,245,227,184,71,18,1126,363,959,848,841,800,568,284,69,4729,52,45,35,24,22,14,6,4,204,12,38,32,42,66,67,25,11,294,433,1043,915,907,886,651,315,87,5225,4,5,11,19,14,11,12,5,85,325,501,441,313,227,180,138,60,2187,894,2210,2081,1963,1806,1365,696,200,11211,11,155,154,151,132,82,28,5,709,13,71,94,115,88,82,25,9,505,187,749,628,538,399,297,96,21,2916,95,278,308,374,374,224,129,42,1836,394,626,547,507,372,174,42,13,2675,54,55,52,69,61,43,4,0,335,39,42,57,83,116,119,38,15,522,485,719,653,658,552,335,86,37,3525,4,10,10,20,21,33,23,8,131,167,157,144,189,156,180,179,129,1310,967,2144,1996,2039,1731,1242,569,244,10930,17,252
LGA10500,108,2659,2046,941,585,316,91,21,6759,19,235,264,191,134,91,25,4,958,1464,6011,3684,1852,1348,754,304,71,15492,765,1809,1605,1301,875,494,190,46,7081,788,2295,1934,1889,1668,1077,703,234,10595,71,102,92,85,65,33,17,0,465,76,158,210,220,224,146,73,19,1125,941,2547,2239,2191,1955,1256,792,256,12179,53,193,130,86,73,63,25,13,634,806,1598,1045,704,610,517,464,309,6056,4156,15057,11014,7272,5575,3492,1885,714,49170,165,3359,2143,1011,443,218,38,3,7378,68,434,368,296,199,122,25,12,1519,1758,7041,4394,2351,1431,697,216,65,17954,805,1904,1786,1696,1163,594,274,63,8287,543,1168,1007,993,768,376,144,49,5059,93,109,120,187,131,74,24,4,740,85,205,213,406,410,263,103,34,1725,729,1480,1350,1585,1309,714,264,94,7519,52,157,104,125,132,100,46,18,733,720,1453,895,687,633,599,572,446,6010,4292,15833,11040,7753,5308,3036,1431,697,49396,273,6020
LGA10550,0,47,75,72,100,149,50,8,505,0,7,27,47,60,97,17,0,260,14,189,198,240,330,374,146,29,1519,9,77,114,183,255,287,116,30,1075,226,573,588,687,901,820,357,91,4239,16,27,21,22,24,21,8,0,142,10,17,30,23,76,65,30,9,260,253,615,634,734,1002,903,399,98,4641,0,3,8,15,15,26,17,8,81,172,141,130,194,226,270,178,111,1427,453,1090,1186,1477,1990,2105,915,287,9505,0,96,106,103,168,129,24,0,630,9,55,94,101,144,129,37,9,572,69,336,399,436,501,432,157,37,2362,26,161,222,315,451,357,130,48,1701,208,382,385,442,478,255,65,20,2225,28,33,39,39,73,52,12,4,284,23,24,22,68,118,91,64,13,426,255,447,440,543,676,400,139,37,2938,0,10,9,10,37,39,18,5,121,154,120,134,179,298,289,248,163,1586,510,1218,1402,1693,2269,1767,762,285,9915,0,144
LGA10600,0,10,22,40,47,45,33,4,195,0,4,13,20,26,41,9,0,105,7,92,97,122,121,151,48,12,646,6,26,51,75,98,96,36,9,394,76,170,207,237,350,287,118,38,1490,9,8,4,0,0,3,5,0,35,0,3,6,18,14,30,9,5,88,82,187,219,251,369,327,131,42,1611,0,4,0,4,5,7,3,0,27,54,41,66,85,82,95,67,22,518,152,371,466,602,754,752,327,91,3500,3,22,48,58,71,50,23,0,276,0,20,23,51,66,60,12,0,239,19,141,178,245,222,171,47,16,1034,8,61,80,155,186,133,53,15,692,48,102,128,154,177,93,27,5,730,8,15,18,9,27,19,5,0,101,5,4,23,31,42,30,19,0,151,63,118,168,197,246,141,43,10,982,0,4,7,6,10,12,7,4,50,61,45,59,74,98,127,93,43,607,161,407,567,786,895,700,281,84,3881,3,29
LGA10650,0,5,4,12,0,5,0,0,33,0,3,8,4,8,9,0,0,26,6,38,44,32,31,26,8,0,187,0,30,29,40,44,32,13,3,191,41,127,130,162,181,184,78,22,921,7,3,5,11,4,8,0,0,34,0,4,4,7,10,13,4,5,46,52,136,138,173,196,201,82,23,1000,0,0,0,0,4,3,4,0,18,51,39,44,48,63,87,73,53,456,111,256,264,300,341,371,183,89,1909,0,12,5,9,8,6,0,0,41,3,14,16,16,20,10,0,0,81,9,89,89,64,68,55,34,7,405,8,39,60,43,60,57,28,4,302,37,96,96,94,108,69,15,0,515,4,3,14,14,16,13,0,0,67,3,4,4,11,25,13,3,0,63,40,105,117,122,154,86,23,0,646,0,5,3,0,3,3,4,0,25,38,46,41,59,83,112,111,62,541,97,306,332,310,388,322,195,84,2043,0,18
LGA10750,128,2500,5928,2187,1139,618,174,29,12700,25,284,651,423,226,148,47,0,1803,1692,6724,8690,4363,2804,1693,497,91,26548,995,2948,3490,2513,1708,889,300,50,12899,2177,4890,4700,4606,3871,2407,1100,272,24015,222,229,218,182,152,91,26,5,1122,166,272,451,474,410,301,138,25,2224,2570,5385,5372,5260,4436,2793,1256,296,27365,74,217,320,223,162,147,54,6,1202,2053,2840,2546,1761,1291,1033,715,296,12534,7535,20896,26989,16731,11759,7322,3042,772,95055,213,4093,5521,1673,744,369,79,13,12712,120,759,916,547,354,179,49,0,2927,2315,9721,10133,5092,3176,1831,434,93,32791,1085,3196,3791,3014,1976,1025,313,85,14488,1886,3318,3443,2951,1895,737,168,58,14458,366,320,433,400,323,162,51,7,2059,218,358,551,754,654,448,140,47,3171,2477,3993,4429,4098,2870,1346,365,115,19685,59,223,356,214,183,164,70,12,1282,1589,2395,2285,1574,1332,1276,895,656,12000,7860,24388,27432,16215,10647,6192,2188,974,95894,343,6600
