LGA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA10050,418,294,262,150,53,3,1685,22,173,240,234,223,155,45,3,1100,285,1468,1516,1076,721,608,227,45,5953,183,728,746,814,791,559,240,59,4127,918,2073,1681,1634,1529,981,405,140,9357,120,137,100,96,81,67,13,5,621,51,73,116,149,190,175,78,30,867,1093,2284,1889,1882,1806,1222,505,173,10844,15,23,35,26,23,49,39,11,235,478,515,481,416,476,450,463,239,3511,2098,5670,5330,4741,4300,3200,1577,535,27447
LGA10180,498,375,373,266,137,38,2074,12,88,124,127,137,124,34,4,653,211,877,668,616,533,406,203,55,3566,88,243,294,348,384,256,148,40,1803,400,752,602,556,596,371,186,54,3515,131,56,45,40,52,30,11,3,370,37,33,43,72,99,92,58,14,442,566,837,689,667,742,495,252,71,4324,17,23,18,20,22,27,21,3,153,912,436,320,297,320,295,332,182,3095,1820,2884,2613,2463,2511,1861,1136,394,15666
LGA10250,351,317,332,287,92,17,1633,7,75,161,203,213,227,46,8,943,157,994,1383,1279,998,963,381,105,6251,99,451,598,809,812,761,374,106,4006,528,1075,1231,1282,1476,1093,483,152,7318,84,59,55,75,99,85,23,3,482,25,71,104,127,190,265,113,41,936,638,1210,1383,1476,1770,1442,615,195,8730,7,16,22,37,51,64,59,21,284,304,358,362,362,405,540,496,372,3201,1218,3329,4258,4497,4575,4285,2072,828,25053
LGA10300,5,9,3,0,0,0,23,0,0,0,8,0,4,0,0,14,4,39,27,22,15,16,4,0,125,7,17,19,25,23,14,3,0,108,26,64,48,52,64,28,9,0,289,3,6,5,0,6,0,0,0,18,0,6,0,6,5,3,0,0,16,26,79,56,54,70,29,11,0,332,4,0,0,0,3,0,0,0,8,27,45,47,60,58,64,21,7,322,69,186,155,172,176,127,38,9,932
LGA10470,280,267,265,198,83,19,1383,12,104,139,161,150,134,39,10,753,267,1117,974,846,656,486,188,40,4588,134,434,495,618,599,405,202,60,2957,762,1582,1393,1344,1168,737,330,81,7400,104,102,83,92,82,59,9,7,534,52,82,91,126,184,187,66,29,811,925,1765,1567,1560,1438,983,402,116,8755,14,16,18,38,35,48,30,14,214,490,661,590,505,386,358,316,187,3494,1855,4355,4070,4011,3532,2611,1260,445,22140
LGA10500,4189,1950,1017,533,130,22,14143,91,666,635,489,332,213,43,16,2479,3226,13057,8073,4209,2784,1449,513,138,33448,1563,3716,3394,2995,2033,1092,461,117,15371,1336,3462,2944,2885,2432,1457,852,281,15653,168,209,217,268,198,106,32,4,1200,166,358,428,623,633,402,174,53,2848,1674,4030,3585,3776,3265,1970,1059,345,19700,106,349,232,214,205,160,65,32,1365,1521,3048,1947,1393,1249,1116,1039,752,12062,8451,30889,22061,15022,10882,6531,3318,1414,98563
LGA10550,177,178,265,278,78,8,1134,9,66,120,153,205,222,55,11,829,87,525,597,676,827,807,302,60,3883,32,235,338,500,709,644,247,72,2775,435,955,972,1126,1380,1077,425,108,6472,45,62,62,60,97,73,20,8,422,30,46,44,89,197,154,93,26,680,510,1060,1077,1277,1674,1306,541,133,7579,0,16,16,20,47,62,37,7,203,327,258,265,372,523,562,428,273,3019,961,2311,2587,3168,4261,3872,1681,576,19417
LGA10600,72,94,119,94,54,4,472,0,22,37,72,89,97,18,0,342,30,238,273,370,341,315,101,24,1682,15,91,139,228,277,232,87,25,1088,124,274,334,392,530,378,142,40,2223,21,22,24,15,27,26,7,0,137,8,9,31,41,56,66,28,3,236,142,304,386,449,610,468,170,52,2594,4,10,3,9,18,16,9,4,79,111,88,130,160,182,223,163,66,1120,306,777,1036,1388,1642,1451,606,174,7381
LGA10650,13,16,13,8,0,0,72,3,16,21,22,21,19,0,0,107,12,127,127,94,94,82,38,9,594,5,66,88,86,97,88,41,9,498,73,222,231,255,290,247,93,26,1435,11,11,19,24,19,15,0,0,104,3,7,13,19,36,23,6,5,113,91,240,260,297,349,286,109,23,1644,0,3,3,4,9,5,11,4,38,87,87,82,97,144,198,179,121,1001,201,563,598,613,734,689,380,167,3957
LGA10750,11451,3860,1886,988,244,43,25412,146,1046,1568,970,575,328,91,3,4732,4009,16443,18819,9450,5980,3517,929,186,59339,2076,6145,7278,5533,3685,1916,613,137,27379,4066,8199,8143,7553,5768,3142,1267,331,38480,591,548,655,576,475,248,78,12,3181,390,626,1000,1230,1062,745,278,68,5400,5047,9375,9797,9355,7312,4136,1625,408,47055,137,438,667,439,345,312,128,16,2485,3640,5237,4837,3334,2618,2311,1610,952,24538,15392,45283,54421,32949,22406,13516,5233,1741,190941
LGA10800,14,9,4,3,4,0,53,6,13,7,14,13,7,0,0,61,14,111,92,81,41,27,17,3,381,13,37,65,77,63,34,18,3,309,95,222,202,173,184,98,41,9,1026,7,8,17,14,9,10,0,0,80,5,5,7,13,15,17,10,4,75,110,233,227,203,214,123,51,14,1177,3,5,3,3,4,8,4,0,27,48,74,95,91,108,96,68,37,620,194,482,500,471,450,308,162,64,2623
LGA10850,22,39,34,21,14,3,154,0,12,21,25,22,28,6,5,125,15,136,147,143,103,79,34,8,661,17,64,75,101,92,67,28,10,463,121,277,259,263,233,127,36,15,1334,13,16,16,22,17,18,7,0,110,8,3,12,23,37,31,13,4,131,143,298,283,310,288,177,58,19,1575,0,0,9,3,3,10,6,0,29,64,50,49,81,94,90,85,17,534,239,586,602,702,641,474,227,58,3532
LGA10900,1210,1291,1226,1060,307,53,5854,13,195,364,536,587,570,145,18,2440,433,1870,2601,2681,2317,2038,772,177,12884,238,739,1232,1525,1609,1351,594,161,7437,894,1734,1978,2085,2010,1418,618,172,10895,116,105,107,106,151,108,48,10,750,65,63,138,237,373,417,242,58,1589,1073,1897,2217,2430,2529,1940,903,248,13238,16,26,48,68,80,114,103,29,480,269,305,371,443,450,506,514,345,3200,2070,5709,8036,8963,8800,7582,3347,1029,45533
LGA10950,6,6,11,3,0,0,43,0,4,3,10,5,0,0,0,30,14,61,35,46,26,11,4,0,196,6,27,18,21,20,13,3,3,114,39,112,60,78,73,33,20,3,414,3,4,0,3,3,0,0,0,15,3,0,3,14,6,3,4,0,45,47,119,61,98,85,35,21,3,473,0,0,0,3,4,4,3,0,11,21,20,29,40,48,44,35,25,259,91,242,151,226,196,115,67,28,1118
LGA11150,13,4,11,4,3,0,43,0,3,0,8,3,4,0,0,27,17,68,31,30,31,13,3,0,196,0,31,37,24,24,8,5,0,137,30,58,50,49,50,34,7,0,279,4,3,4,5,4,0,0,0,23,3,0,5,4,5,6,5,0,28,39,65,57,66,58,41,5,0,332,0,0,0,3,0,0,0,0,5,69,63,66,63,65,45,27,9,408,122,252,203,197,194,121,50,10,1154
LGA11200,10,7,8,3,0,0,17,0,4,0,0,4,6,0,0,13,7,21,11,9,13,11,7,0,84,3,11,12,10,11,8,3,0,59,9,30,21,20,30,7,6,0,125,0,8,0,6,0,0,0,0,17,0,5,0,0,0,0,0,0,7,13,39,21,27,32,11,6,0,151,0,0,0,0,0,0,0,0,0,38,46,25,38,42,29,12,3,228,61,122,83,93,108,67,16,3,551
LGA11250,59,54,56,35,3,0,289,3,44,49,38,66,32,9,0,236,67,310,206,177,171,137,48,11,1115,26,149,166,210,228,107,28,13,927,222,614,512,506,584,408,142,36,3018,37,48,23,28,38,29,4,0,203,17,20,28,43,63,46,24,10,255,276,682,560,575,690,486,169,41,3480,9,7,3,6,18,15,5,0,68,215,208,229,203,219,241,200,145,1665,605,1478,1270,1266,1449,1042,454,209,7776
LGA11300,967,563,376,184,57,21,4109,52,169,123,108,103,80,27,7,671,1188,3036,1596,1131,879,522,223,72,8644,910,839,502,570,472,251,114,64,3721,283,494,398,432,409,253,127,59,2456,42,33,38,44,42,18,11,4,230,40,69,67,106,91,73,35,15,490,362,595,506,580,545,341,175,78,3186,34,67,55,51,60,44,34,13,354,448,719,367,265,260,230,252,262,2803,3115,7247,4116,3270,2695,1649,882,512,23490
LGA11350,444,419,371,317,79,10,1926,3,80,156,181,203,172,36,0,842,158,1465,1444,1357,1008,891,249,44,6606,116,559,668,648,679,517,178,40,3403,274,793,787,868,885,594,188,43,4435,32,55,33,48,63,49,8,4,284,26,67,89,122,147,133,46,11,643,327,914,913,1036,1091,774,239,59,5355,20,41,40,36,47,52,17,13,262,388,637,608,579,579,490,225,121,3642,1019,3979,4275,4255,3983,3204,1029,288,22033
LGA11400,70,96,80,56,19,0,351,5,22,29,52,46,27,12,0,185,41,210,334,334,224,169,55,18,1390,24,87,166,202,222,154,74,11,942,197,397,400,440,450,228,95,14,2227,21,15,37,26,46,16,5,0,167,11,14,24,32,58,54,9,6,213,227,426,469,500,558,303,109,16,2605,0,3,8,3,11,11,9,0,51,136,81,124,155,173,185,163,83,1100,436,862,1206,1339,1317,904,443,128,6626
LGA11450,1640,755,379,187,67,12,4530,55,403,444,333,192,117,27,8,1592,821,4248,4009,2185,1002,580,200,47,13095,641,2474,2669,1997,1155,602,181,38,9747,1732,4796,4191,3375,2208,1224,484,107,18124,182,228,205,186,134,76,17,4,1028,167,266,379,434,357,269,75,20,1980,2083,5293,4776,3990,2701,1570,578,139,21130,46,87,131,101,83,86,28,9,572,538,847,841,563,483,425,387,280,4370,4233,14779,14514,9931,5997,3573,1463,530,55026
LGA11500,3148,1374,754,386,93,14,7802,58,393,509,339,254,189,41,6,1795,1391,5574,5578,2827,1957,1207,343,59,18941,808,2705,3092,2250,1911,1126,306,61,12261,2162,4728,4402,3695,3614,2287,877,139,21899,289,365,370,270,267,181,43,3,1789,169,295,438,535,615,485,166,36,2754,2625,5385,5207,4499,4497,2960,1090,182,26444,68,166,227,167,164,144,68,12,1025,1604,1975,1979,1437,1265,1228,973,457,10931,6632,18166,19745,12895,10804,7241,2914,794,79194
LGA11520,2742,1618,1131,709,209,34,9552,43,380,450,437,358,271,99,23,2062,1349,6055,5025,3532,2324,1462,549,135,20427,587,1263,1619,1695,1346,876,357,91,7835,484,1165,1146,1307,1300,831,471,134,6828,66,70,86,110,116,62,28,10,544,57,136,179,311,399,317,142,52,1602,613,1368,1412,1725,1816,1213,638,189,8978,37,88,106,104,93,119,56,19,622,459,900,684,529,515,624,597,543,4856,3187,13073,12024,9645,7583,5274,2502,1032,54332
LGA11570,5446,2827,1717,739,208,38,17744,140,900,991,821,624,355,115,13,3960,4767,16008,11710,7228,4820,2479,831,269,48118,2194,5528,6556,5616,3877,1949,675,232,26627,2817,5910,6044,6212,5197,2832,1615,580,31214,410,408,513,563,506,246,62,22,2733,386,650,892,1215,1253,748,293,108,5554,3618,6962,7449,7998,6957,3826,1968,717,39498,178,496,492,418,417,283,118,52,2449,3649,5327,4701,3592,3169,2628,2099,1694,26848,14866,41666,37339,28500,21580,12260,6018,3006,165239
