LGA_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
LGA10050,302,843,2328,2235,2021,1606,331,22,3,9694,479,384,491,368,368,413,337,63,0,2898,40,34,53,56,70,80,37,3,0,378,26,21,65,36,30,23,8,3,0,215,845,1287,2937,2697,2491,2128,708,100,3,13188,55,71,99,92,80,80,7,0,0,489,80,50,39,24,15,32,19,0,0,257,127,119,141,112,99,115,28,0,0,747,980,1412,3073,2805,2587,2241,734,100,3,13934,595,196,309,308,435,800,1893,1314,435,6291,100,107,234,201,191,154,122,96,57,1263,1676,1716,3612,3319,3207,3199,2753,1509,500,21481,123,534,1380,1238,1431,953,151,5,0,5812,760,661,1164,1299,1130,1095,382,32,0,6529,50,61,233,114,90,82,36,0,0,677,12,26,38,28,27,24,7,3,0,161,950,1275,2811,2686,2681,2148,578,41,3,13173,24,47,44,47,47,28,0,0,0,238,90,55,54,53,44,50,6,0,0,359,115,97,99,101,85,81,10,0,0,593
LGA10180,145,340,960,922,935,826,217,44,4,4401,259,247,302,223,165,237,198,51,5,1680,19,30,33,27,25,52,23,6,3,219,8,12,27,19,11,25,8,3,0,119,433,624,1324,1192,1138,1133,438,110,16,6415,13,41,72,41,34,30,4,0,0,231,43,34,26,13,16,15,4,0,0,153,57,79,96,52,49,40,10,0,0,384,489,705,1423,1242,1195,1178,452,110,16,6803,418,234,205,198,213,430,804,641,210,3336,169,200,203,139,131,131,80,89,44,1191,1076,1135,1827,1579,1535,1731,1337,841,266,11327,62,212,644,643,737,527,114,10,0,2944,331,348,537,460,441,504,195,39,0,2866,44,45,88,50,45,62,29,10,0,366,16,9,14,14,13,13,5,5,0,92,453,616,1290,1168,1232,1108,349,56,5,6269,16,28,33,21,20,21,0,0,0,140,51,39,31,23,16,18,8,0,0,185,67,74,62,43,42,37,8,0,0,329
LGA10250,185,429,1104,1550,1583,1294,305,39,0,6480,472,272,412,443,510,589,416,80,10,3214,41,30,63,87,87,115,41,3,5,473,13,26,38,33,35,30,16,10,0,191,712,755,1621,2107,2216,2020,774,132,15,10357,17,34,48,37,37,37,8,0,0,230,61,13,21,11,26,35,15,5,0,186,79,49,71,48,66,72,21,5,0,412,792,805,1689,2162,2284,2097,795,134,15,10769,418,117,190,217,347,838,2249,1596,592,6574,67,59,138,161,128,123,142,104,72,984,1274,982,2023,2537,2758,3063,3188,1838,686,18330,72,282,708,844,1224,852,136,13,0,4136,575,373,819,1094,1069,1148,405,48,0,5534,52,48,164,125,96,102,45,0,0,633,16,11,29,38,29,31,7,4,0,158,717,711,1709,2105,2408,2131,601,70,6,10463,15,18,29,13,33,21,0,0,0,130,52,18,29,34,40,37,4,0,0,221,66,39,59,48,71,54,6,0,0,347
LGA10300,7,33,89,74,95,107,44,3,0,444,14,11,10,7,16,21,14,0,0,91,0,0,7,3,3,0,6,0,0,24,0,0,0,0,0,0,0,0,0,12,24,49,103,86,113,131,63,5,6,574,0,0,3,3,4,5,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,3,5,4,5,0,0,0,20,24,55,109,89,120,131,66,5,6,592,23,9,9,8,10,33,72,42,15,217,5,3,18,27,25,20,33,9,4,144,57,64,132,122,155,192,168,50,20,959,0,15,44,39,56,58,12,0,0,227,7,12,40,32,38,38,14,4,0,192,0,0,9,3,3,0,0,0,0,18,4,0,0,4,6,0,0,0,0,16,11,24,99,77,100,93,30,4,0,447,0,3,0,0,4,0,0,0,0,7,0,0,4,0,0,3,0,0,0,7,0,3,6,0,0,3,0,0,0,17
LGA10470,224,634,1722,1675,1700,1244,301,35,0,7530,455,356,365,232,252,317,261,60,3,2299,53,36,64,54,63,89,33,7,0,397,16,37,38,29,22,20,10,3,0,174,746,1063,2198,1985,2040,1670,597,106,7,10398,37,59,71,48,57,45,4,0,0,320,56,31,24,14,14,17,5,4,0,161,97,84,100,56,73,59,8,4,0,485,836,1147,2289,2038,2107,1730,607,106,9,10876,681,313,552,477,419,726,1469,1007,323,5961,74,87,139,150,129,137,102,83,37,946,1592,1547,2985,2670,2655,2585,2184,1195,369,17786,120,478,1081,1052,1262,816,141,3,0,4953,589,512,805,812,799,723,271,36,5,4550,44,57,171,85,64,95,32,0,4,556,21,17,37,22,15,16,4,4,0,130,773,1062,2095,1974,2137,1650,449,45,8,10184,25,25,38,24,29,22,0,0,0,156,67,47,38,36,31,27,7,0,0,245,86,73,73,56,51,51,8,0,0,405
LGA10500,181,1626,8577,7587,5417,3411,739,53,8,27597,728,1851,3488,2011,1447,1311,550,80,4,11471,254,597,1127,754,581,527,200,17,3,4059,19,130,395,225,138,82,38,6,0,1015,1189,4193,13581,10573,7585,5326,1525,156,12,44145,52,253,549,373,312,230,38,0,0,1801,147,265,269,113,64,93,23,7,0,982,195,519,815,483,376,320,63,5,0,2784,1383,4714,14390,11063,7959,5647,1589,163,12,46936,2472,1972,2639,1664,1590,2451,4469,3426,1253,21924,227,450,1342,816,558,463,350,349,262,4818,4081,7139,18373,13539,10110,8559,6412,3930,1531,73679,95,1571,7404,5086,4191,2423,417,19,0,21200,762,1815,3846,3120,2502,1796,569,53,3,14471,328,617,1381,938,601,492,134,23,4,4507,18,93,256,121,101,61,27,7,0,681,1197,4097,12888,9261,7390,4770,1148,94,9,40857,20,143,355,204,176,138,13,0,0,1055,161,232,317,178,131,127,24,0,0,1175,184,372,671,381,304,272,41,4,0,2231
LGA10550,159,323,850,970,1129,1032,278,42,3,4788,272,156,262,218,375,554,343,49,11,2233,28,25,49,43,61,96,40,7,0,355,16,6,33,41,41,35,13,3,3,187,477,512,1191,1272,1612,1712,672,106,16,7568,20,19,43,28,37,40,6,0,0,192,23,23,21,6,17,29,12,0,0,133,41,35,65,33,50,76,23,0,0,324,516,551,1255,1307,1655,1788,695,106,16,7894,357,86,146,182,284,988,2275,1319,377,6012,74,48,130,106,164,174,194,109,82,1076,945,690,1531,1593,2101,2948,3159,1537,475,14989,59,175,484,594,828,656,109,15,0,2933,340,241,567,709,829,1018,329,43,0,4080,27,24,110,69,71,104,40,4,0,461,13,11,24,23,28,20,16,8,0,145,443,455,1195,1394,1758,1799,490,66,4,7606,4,14,14,9,28,18,3,0,0,95,24,14,20,13,25,36,10,0,0,145,34,23,36,29,48,56,12,0,0,237
LGA10600,31,86,253,311,383,365,110,18,0,1556,86,53,110,133,169,213,119,24,6,917,8,6,11,9,28,41,20,4,0,126,8,0,11,13,18,8,0,0,0,52,129,150,387,466,596,626,248,51,8,2655,10,13,27,18,17,24,3,0,0,114,13,6,8,11,10,10,6,0,0,67,24,16,35,32,32,34,13,0,0,178,156,170,421,490,623,662,263,53,8,2839,181,33,62,64,109,332,786,435,146,2145,28,11,37,62,76,53,74,50,17,399,358,214,519,617,816,1049,1120,537,163,5388,16,43,133,167,304,243,66,9,0,989,122,78,209,279,346,390,130,12,0,1575,9,5,27,20,34,49,13,0,0,148,9,7,9,10,10,11,0,3,0,51,157,132,375,480,700,693,203,22,4,2763,5,0,10,8,10,14,0,0,0,44,18,8,6,19,16,17,5,0,0,89,23,11,19,21,22,31,4,0,0,130
LGA10650,49,91,231,241,317,260,100,22,0,1301,53,21,30,34,36,74,83,27,0,361,0,0,6,8,5,14,10,0,0,51,4,0,16,10,10,0,7,9,0,60,110,113,285,291,366,354,197,52,0,1769,3,6,7,3,11,12,0,0,0,42,8,0,5,0,3,8,0,0,0,18,12,6,11,7,12,14,0,0,0,64,121,121,291,297,379,367,195,52,0,1826,95,14,28,28,58,167,505,309,108,1314,22,17,33,36,41,51,69,57,45,372,236,150,357,359,485,586,768,415,148,3514,9,43,126,145,176,147,40,0,0,682,85,37,114,170,137,207,82,12,4,852,9,7,19,8,16,19,8,3,0,84,3,6,8,9,8,4,0,0,0,36,105,90,269,327,342,378,132,15,4,1662,0,0,5,0,0,6,0,0,0,16,3,3,7,6,8,5,0,0,0,29,3,4,13,0,5,10,0,0,0,47
LGA10750,621,3425,13346,20389,13091,7921,1442,65,5,60313,1980,3144,4290,3615,2622,1993,837,96,8,18585,922,1556,2607,2259,1815,1495,465,32,3,11151,83,292,712,605,297,208,44,16,4,2251,3613,8425,20954,26861,17827,11618,2783,205,17,92297,236,617,883,855,625,475,86,0,0,3776,616,471,326,137,155,144,64,3,0,1909,847,1084,1208,987,780,617,145,10,0,5686,4456,9508,22164,27854,18608,12237,2930,216,17,97986,7477,3369,4520,4151,4031,5427,9160,5147,1359,44632,685,905,1986,1744,1228,908,654,438,199,8749,12622,13787,28669,33744,23866,18580,12738,5802,1574,151369,413,3162,11161,13539,9505,5282,800,17,0,43885,2387,3297,5865,7292,4802,3114,831,40,3,27636,876,1291,2365,1976,1337,1127,269,18,0,9257,69,181,481,345,224,132,36,7,0,1480,3748,7933,19875,23153,15875,9652,1938,90,3,82260,180,370,688,666,379,242,34,3,0,2557,556,393,547,502,269,231,45,0,0,2543,742,761,1237,1165,649,468,71,3,0,5103
