LGA_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA10050,1061,1376,2912,2785,2767,2231,588,41,7,13771,557,315,632,597,576,1153,2312,1753,800,8707,82,101,214,180,138,154,148,160,84,1261,1708,1793,3760,3564,3484,3540,3045,1956,886,23731,425,1375,3704,3476,3453,2558,481,29,3,15508,1242,1046,1651,1668,1495,1509,720,95,5,9430,95,97,293,170,167,165,71,3,0,1049,41,47,97,62,56,48,14,7,3,376,1793,2566,5747,5382,5167,4280,1284,139,12,26364,78,113,143,139,127,114,8,0,0,725,170,103,91,72,58,86,33,0,0,618,247,220,240,216,189,197,42,0,0,1340,2043,2784,5983,5590,5351,4473,1324,139,9,27707,1155,512,937,904,1015,1958,4203,3072,1237,14991,186,209,446,384,326,311,272,254,140,2516,3379,3511,7369,6880,6695,6736,5797,3466,1379,45214
LGA10180,514,683,1351,1213,1267,1149,348,56,5,6595,478,276,387,276,284,543,980,869,347,4432,258,221,196,145,126,112,118,125,95,1398,1252,1180,1936,1633,1677,1797,1447,1051,444,12420,209,548,1606,1562,1672,1350,329,52,11,7344,593,597,842,689,609,738,391,89,6,4546,60,72,123,73,71,112,49,12,4,582,24,24,44,31,23,43,14,13,0,212,888,1244,2613,2357,2366,2238,785,171,19,12684,27,73,106,57,54,54,4,0,0,374,98,74,58,37,33,31,11,0,0,337,122,149,157,92,84,80,20,0,0,711,1009,1387,2775,2458,2457,2325,809,171,19,13399,895,508,588,464,499,963,1786,1508,552,7767,424,426,400,285,253,242,194,210,136,2588,2329,2319,3761,3208,3211,3532,2791,1889,705,23752
LGA10250,783,751,1772,2155,2480,2184,607,71,6,10812,331,142,368,432,502,1092,2734,1930,961,8493,42,50,156,128,137,129,171,145,170,1115,1164,945,2293,2710,3119,3408,3507,2135,1136,20425,256,717,1808,2393,2811,2146,442,46,0,10619,1047,641,1231,1542,1579,1744,824,133,14,8748,95,78,231,212,180,208,89,6,5,1099,30,36,64,72,64,58,18,14,3,356,1430,1468,3340,4219,4625,4155,1374,195,20,20822,35,50,78,52,67,58,8,0,0,355,113,31,49,40,70,70,20,3,0,404,148,89,127,97,138,131,28,3,0,762,1580,1555,3468,4318,4763,4284,1402,204,20,21586,746,262,562,648,850,1928,4988,3526,1558,15069,112,104,289,284,268,253,307,244,245,2104,2434,1925,4316,5246,5882,6467,6693,3974,1822,38755
LGA10300,14,30,101,77,102,99,27,4,0,458,25,0,27,15,22,47,86,52,23,303,13,5,22,19,20,30,24,8,8,146,50,37,152,108,153,168,143,64,33,912,16,46,135,112,148,156,53,3,0,669,22,28,48,38,52,61,30,4,0,287,0,0,13,3,8,10,6,0,0,42,4,3,3,5,6,0,4,0,0,27,43,76,203,160,219,223,92,6,6,1020,0,5,6,3,6,5,0,0,0,24,0,0,4,0,0,3,0,0,0,9,0,6,6,5,8,3,0,0,0,31,41,80,211,160,225,232,96,6,6,1050,47,8,28,22,36,80,161,90,40,519,18,15,41,44,53,50,54,18,9,289,103,105,287,231,307,361,309,111,53,1867
LGA10470,858,1132,2168,2037,2186,1702,455,45,8,10592,524,180,459,355,426,852,1653,1161,599,6201,57,71,124,119,142,98,106,88,74,887,1440,1389,2753,2503,2751,2648,2214,1295,684,17682,340,1114,2803,2725,2962,2061,436,34,0,12483,1041,868,1175,1042,1050,1045,527,92,8,6845,103,95,235,138,124,180,70,15,4,950,34,52,74,53,39,35,10,3,0,301,1515,2124,4286,3959,4169,3321,1047,152,16,20584,57,84,109,72,84,66,3,0,0,475,125,76,62,43,44,47,17,4,0,411,178,159,168,113,128,108,19,4,0,890,1695,2285,4461,4076,4295,3428,1063,153,19,21467,1206,490,1010,829,845,1574,3123,2161,922,12169,133,160,265,269,267,237,209,178,108,1829,3034,2933,5731,5174,5414,5239,4395,2494,1046,35464
LGA10500,1384,4471,13562,9643,7693,5044,1186,97,10,43096,2160,1615,3373,2701,2409,3426,5486,4219,1776,27173,178,434,1211,719,515,435,358,374,403,4629,3729,6518,18151,13071,10627,8902,7025,4688,2189,74894,280,3195,15983,12671,9609,5830,1157,70,7,48796,1494,3667,7332,5132,3952,3108,1121,133,6,25944,582,1209,2507,1685,1179,1025,333,42,8,8570,37,222,646,341,239,138,64,9,0,1698,2391,8291,26472,19833,14973,10096,2675,253,22,85009,75,398,897,577,491,367,51,3,0,2853,304,496,584,296,193,225,54,7,3,2160,384,890,1484,871,682,587,100,12,0,5017,2769,9187,27958,20709,15656,10687,2775,265,20,90024,4628,3589,6017,4364,3996,5881,9954,7637,3032,49096,410,880,2551,1539,1077,893,706,725,662,9449,7807,13652,36523,26614,20728,17464,13437,8623,3717,148566
LGA10550,478,484,1228,1420,1807,1853,503,73,4,7848,291,117,258,275,357,1310,2366,1384,498,6849,64,50,106,109,142,194,159,133,125,1074,830,653,1594,1801,2303,3365,3023,1588,623,15773,222,495,1338,1560,1959,1686,388,63,7,7719,613,395,824,926,1205,1569,664,97,10,6309,56,54,161,114,131,198,85,9,5,813,25,20,56,61,69,59,28,11,4,331,919,971,2386,2669,3365,3514,1163,174,22,15181,30,32,63,37,63,65,8,0,0,289,51,35,41,25,36,67,25,0,0,277,76,68,104,60,98,127,37,0,0,564,990,1035,2480,2732,3459,3642,1198,179,22,15743,653,203,405,451,641,2302,4638,2706,875,12866,139,100,232,208,301,370,349,242,208,2154,1779,1340,3127,3391,4404,6311,6182,3124,1102,30762
LGA10600,174,138,398,501,717,722,209,22,4,2895,143,47,113,132,185,442,771,489,201,2534,28,19,38,58,58,56,87,48,39,424,345,206,547,691,959,1230,1068,566,242,5856,45,128,389,483,688,608,174,23,3,2545,206,134,317,411,519,603,254,44,5,2495,17,12,44,27,63,91,29,4,0,279,16,6,19,18,26,17,0,11,0,108,286,286,765,940,1290,1319,454,73,8,5422,16,14,40,24,28,39,4,0,0,163,33,8,17,28,28,26,9,0,0,154,45,29,57,48,52,64,18,0,0,314,331,313,817,987,1348,1385,467,73,8,5734,324,81,175,200,295,779,1561,925,342,4680,50,25,72,113,134,112,155,102,54,824,707,421,1062,1306,1774,2276,2186,1098,405,11247
LGA10650,109,95,283,332,348,390,133,15,4,1705,80,30,56,72,76,223,499,355,113,1503,21,13,38,32,49,51,71,79,57,415,205,132,382,434,470,664,709,447,176,3630,60,130,362,382,485,402,137,23,0,1984,140,56,146,207,176,284,164,39,0,1212,8,7,27,14,29,37,15,0,0,138,10,3,24,16,21,10,7,8,0,96,219,205,552,616,704,734,324,73,0,3424,3,11,11,5,16,16,0,0,0,56,9,3,15,3,8,15,4,0,0,51,14,9,28,8,20,25,5,0,0,106,225,214,580,623,730,758,329,73,0,3536,173,39,90,97,134,391,1006,659,221,2817,47,29,75,66,87,103,141,134,104,788,442,284,736,792,959,1252,1477,861,329,7135
LGA10750,4489,8695,21110,24319,16521,10127,2011,97,5,87360,6641,3126,7392,7367,5948,8307,11441,6055,2396,58672,573,740,1966,1841,1174,840,753,522,403,8821,11706,12561,30460,33528,23644,19270,14203,6678,2804,154854,1034,6593,24512,33924,22599,13207,2241,82,5,104201,4371,6444,10154,10908,7423,5105,1659,136,9,46221,1800,2846,4965,4235,3151,2621,730,59,3,20411,154,476,1189,946,526,342,77,22,4,3727,7355,16359,40823,50012,33701,21269,4719,296,21,174555,416,984,1576,1519,1005,716,112,0,0,6338,1171,865,872,633,427,372,106,6,0,4452,1591,1850,2446,2154,1427,1088,222,8,0,10787,8944,18200,43273,52167,35129,22360,4943,311,23,185346,14118,6488,11906,11519,9979,13741,20598,11203,3751,103311,1261,1648,3945,3586,2399,1744,1408,960,604,17565,24321,26345,59127,67274,47507,37845,26951,12472,4375,306220
