LGA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
LGA10050,3062,5325,3840,3659,3210,2486,1777,2570,433,26364
LGA10180,1967,3093,1450,1577,1386,1012,512,1491,201,12684
LGA10250,2917,4693,2863,2815,2290,1992,846,2085,321,20822
LGA10300,245,104,111,103,102,54,111,176,21,1020
LGA10470,2469,3920,2936,3097,2429,1770,1377,2224,356,20584
LGA10500,11178,22808,9527,8307,12263,7304,4794,7043,1778,85009
LGA10550,2085,2699,2265,2043,1574,1378,865,2009,256,15181
LGA10600,790,1268,718,722,549,419,287,581,90,5422
LGA10650,644,434,463,413,366,252,286,503,71,3424
LGA10750,19180,41484,18484,17418,26614,13338,19331,14975,3729,174555
LGA10800,642,305,426,239,243,163,346,308,57,2723
LGA10850,603,502,498,381,384,229,331,462,70,3459
LGA10900,5083,11109,4553,4271,4500,2439,1442,2440,485,36320
LGA10950,274,173,165,136,98,52,188,160,32,1274
LGA11150,243,183,117,157,110,36,90,111,34,1089
LGA11200,111,85,41,72,42,12,33,67,19,468
LGA11250,692,1257,1122,1169,769,653,731,728,157,7275
LGA11300,2320,5651,1773,1859,2455,1629,727,1822,494,18730
LGA11350,2933,4460,2286,2104,1376,1403,468,1461,383,16884
LGA11400,1407,1088,915,637,734,388,463,754,117,6500
LGA11450,8082,11920,8422,6402,9122,5194,4852,4347,1051,59385
LGA11500,6920,13713,8731,8580,10826,6235,8265,7564,1716,72551
LGA11520,9022,16141,3707,3176,6603,3452,1081,1993,834,46010
LGA11570,15387,30949,15268,13702,20458,11938,10171,11881,3348,133101
LGA11600,466,108,164,117,123,38,195,336,23,1572
LGA11650,18643,30927,21918,19511,19751,13862,8889,14560,2553,150616
LGA11700,176,97,36,84,43,10,43,118,5,607
LGA11720,2594,3243,4891,3752,2905,2411,3347,3452,501,27097
LGA11730,2451,3184,2738,3094,2234,1850,1382,2651,407,19995
LGA11750,315,250,394,145,181,109,385,228,36,2034
LGA11800,4159,6794,4557,4902,4177,3339,1591,4176,588,34286
LGA12000,454,264,252,264,208,133,153,197,32,1953
LGA12150,355,198,143,188,142,62,96,207,43,1423
LGA12160,781,618,582,546,449,372,357,739,95,4534
LGA12350,965,686,700,645,548,476,342,723,91,5171
LGA12380,8495,20330,9761,8915,11995,6823,7393,9337,2675,85733
LGA12390,3166,4740,3580,3829,3171,2330,1592,2684,480,25573
LGA12700,710,669,791,480,516,309,398,477,83,4429
LGA12730,717,555,483,482,426,307,250,446,101,3765
LGA12750,1986,2645,2494,2140,1830,1562,801,1712,338,15504
LGA12850,5454,10749,7686,6226,9123,5499,8573,8422,1833,63568
LGA12870,861,615,811,617,550,439,479,911,109,5388
LGA12900,818,640,544,459,402,367,334,531,85,4186
LGA12930,9212,19612,7271,7023,10457,6273,3389,5476,1434,70141
LGA12950,492,247,194,218,143,128,115,199,46,1784
LGA13010,677,441,413,419,374,306,203,484,71,3382
LGA13310,1771,2159,2145,2162,1665,1292,1236,1745,303,14476
LGA13340,1087,721,716,499,551,335,358,580,103,4944
LGA13450,2137,1875,1872,1266,1554,1208,971,2632,347,13860
LGA13550,933,832,831,628,570,444,921,714,111,5988
LGA13660,592,244,175,181,189,108,139,282,38,1948
LGA13800,4653,5215,6081,3472,4825,2559,2815,3031,607,33262
LGA13850,271,136,186,123,137,108,93,218,24,1296
LGA13910,1573,1048,1162,933,831,724,500,1169,159,8097
LGA14000,12659,27012,6661,6345,10253,5118,1817,3628,1059,74555
LGA14100,1577,2293,327,402,803,441,91,154,96,6178
LGA14170,18791,41156,7718,7343,11834,6205,2335,4002,1426,100794
LGA14220,1151,988,897,998,660,692,397,1179,131,7099
LGA14300,466,308,312,352,240,150,230,429,31,2519
LGA14350,1344,1695,1415,1840,1138,985,690,1520,220,10850
LGA14400,1629,2974,1532,1222,1130,645,398,644,146,10320
LGA14500,12923,24274,2883,3672,7198,4048,743,1557,1008,58314
LGA14550,667,524,429,445,345,233,263,550,105,3549
LGA14600,711,302,289,293,245,131,249,271,47,2547
