LGA_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
LGA10050,34,26,283,310,81,647,38,355,28,1793,111,266,546,598,221,349,123,307,46,2566,507,1420,1085,849,513,408,419,459,83,5747,822,1401,719,637,611,317,345,423,91,5382,791,1118,580,650,825,359,332,423,87,5167,595,806,495,480,723,294,380,445,68,4280,180,260,122,129,224,97,117,140,21,1284,35,30,13,9,17,10,8,16,14,139,0,0,0,0,0,0,0,0,3,12,3062,5325,3840,3659,3210,2486,1777,2570,433,26364
LGA10180,24,31,114,176,34,260,47,190,16,888,69,142,179,289,112,183,38,210,18,1244,295,653,376,394,259,158,92,347,31,2613,346,768,290,233,274,118,74,241,29,2357,472,681,201,255,302,137,75,215,37,2366,421,589,232,181,309,116,142,222,31,2238,227,207,59,52,78,38,37,67,14,785,93,25,5,4,6,4,5,11,21,171,12,0,0,0,3,0,0,0,0,19,1967,3093,1450,1577,1386,1012,512,1491,201,12684
LGA10250,25,19,184,257,34,507,44,333,28,1430,69,133,277,324,115,238,69,214,24,1468,310,850,635,480,306,261,113,336,49,3340,663,1176,625,510,450,282,128,305,68,4219,763,1215,550,600,592,296,183,348,71,4625,669,960,452,527,567,295,220,421,39,4155,299,313,138,105,198,96,88,121,23,1374,94,25,7,12,21,14,13,9,14,195,11,4,0,0,0,0,0,0,4,20,2917,4693,2863,2815,2290,1992,846,2085,321,20822
LGA10300,0,0,6,11,3,10,0,11,0,43,8,3,13,9,4,11,11,17,4,76,38,23,29,21,25,10,15,39,3,203,49,18,15,13,14,3,18,26,3,160,60,30,19,22,25,4,27,32,0,219,59,17,21,26,23,11,24,34,7,223,29,7,16,3,11,0,16,15,4,92,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,6,245,104,111,103,102,54,111,176,21,1020
LGA10470,15,37,185,311,59,467,49,365,18,1515,88,219,385,605,163,275,100,250,38,2124,393,961,763,691,427,333,243,409,71,4286,575,913,604,465,525,237,257,305,77,3959,638,864,529,558,594,193,315,389,90,4169,471,705,356,373,514,185,291,386,36,3321,234,200,98,95,136,74,106,97,20,1047,59,26,12,4,10,0,13,16,7,152,4,3,0,0,0,0,0,0,7,16,2469,3920,2936,3097,2429,1770,1377,2224,356,20584
LGA10500,36,133,283,337,173,874,88,440,33,2391,406,1592,1036,1393,1014,1342,400,930,185,8291,2895,8969,3128,2566,3148,1866,1183,2082,628,26472,3558,6054,2100,1517,2821,1261,913,1196,415,19833,2620,3488,1505,1277,2755,1040,997,1029,271,14973,1318,1952,1166,952,1871,701,949,1020,166,10096,313,559,283,241,454,197,254,316,71,2675,25,49,32,19,34,25,15,36,13,253,7,4,0,0,0,0,0,0,0,22,11178,22808,9527,8307,12263,7304,4794,7043,1778,85009
LGA10550,23,11,158,175,26,259,18,240,19,919,47,61,242,177,63,127,49,189,18,971,227,482,486,334,206,174,106,328,42,2386,398,579,415,336,272,177,140,309,42,2669,510,632,452,449,404,277,229,371,45,3365,501,681,387,455,454,266,252,453,54,3514,278,227,113,107,144,86,68,106,24,1163,88,19,12,7,7,9,11,11,8,174,7,5,0,0,4,0,0,0,5,22,2085,2699,2265,2043,1574,1378,865,2009,256,15181
LGA10600,5,0,40,56,8,72,5,89,5,286,21,22,68,58,14,35,12,44,8,286,72,179,129,140,60,65,35,79,4,765,125,248,140,116,99,59,59,78,17,940,202,385,161,150,144,66,70,99,23,1290,212,308,154,155,174,84,78,142,23,1319,114,117,31,37,47,34,28,42,9,454,37,12,3,4,6,0,3,6,6,73,9,0,0,0,0,0,0,0,0,8,790,1268,718,722,549,419,287,581,90,5422
LGA10650,6,0,46,23,4,56,5,70,4,219,6,14,44,35,17,19,18,41,3,205,87,101,97,72,50,24,32,82,12,552,105,110,95,70,69,27,42,84,11,616,163,88,78,70,90,47,59,89,12,704,146,84,79,99,89,50,80,93,12,734,101,41,27,32,31,25,33,29,6,324,24,5,4,0,11,4,7,8,7,73,0,0,0,0,0,0,0,0,0,0,644,434,463,413,366,252,286,503,71,3424
LGA10750,128,312,866,861,441,2590,492,1514,156,7355,695,2420,2051,2368,2188,2436,2048,1755,387,16359,3809,11879,4499,4085,5548,2555,4576,2847,1029,40823,7257,15347,4585,4201,7763,2551,4456,2816,1041,50012,4586,7233,3511,3260,5800,1728,3973,2985,626,33701,2245,3448,2426,2150,3934,1177,3067,2438,381,21269,428,782,514,463,889,270,687,585,88,4719,28,69,35,22,39,27,27,27,19,296,3,0,3,0,5,0,0,7,4,21,19180,41484,18484,17418,26614,13338,19331,14975,3729,174555
