POA_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
POA2000,1362,3850,10390,5222,2278,1754,1189,572,155,26784,0,8,17,10,3,4,3,0,0,51,221,249,701,598,400,318,126,31,9,2659,65,69,151,91,80,49,21,4,0,526,26,24,81,66,61,46,21,3,0,328,0,16,27,12,9,4,4,0,0,80,7,10,29,20,19,16,3,4,0,102,4,0,10,9,5,0,3,5,0,43,0,0,0,3,4,3,0,0,0,14,8,5,38,32,26,9,3,0,0,121,0,0,0,0,0,0,0,0,0,0,341,365,1043,831,594,445,191,45,11,3871,341,379,1058,840,603,452,192,45,11,3931,109,76,261,180,119,109,56,12,0,918,1814,4305,11713,6245,2999,2317,1442,629,173,31636
POA2007,470,1436,2570,1251,586,375,282,117,56,7142,0,3,0,0,0,0,0,0,0,8,9,33,29,19,20,7,0,0,0,126,0,3,4,0,0,0,0,0,0,14,0,5,0,3,3,5,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,57,37,31,22,11,4,0,0,166,9,60,41,30,22,11,4,0,0,177,0,18,31,12,3,5,4,0,0,73,476,1510,2634,1295,615,391,292,115,54,7392
POA2008,392,2961,3708,1315,657,472,277,92,25,9896,0,3,4,0,0,0,0,0,0,9,9,76,90,28,16,14,7,0,0,239,0,4,0,0,0,0,0,0,0,10,5,3,3,0,4,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,9,92,95,36,24,14,10,0,0,282,14,92,96,38,24,14,10,0,0,289,0,32,20,7,3,8,4,0,0,78,406,3079,3829,1362,682,494,290,94,25,10264
POA2009,1268,945,3096,2615,1429,1275,1006,424,98,12157,0,4,4,4,4,5,0,0,0,20,14,24,55,32,18,34,17,5,8,199,0,0,6,3,4,0,0,0,0,16,0,0,0,4,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,28,58,40,26,39,23,9,8,246,12,28,65,37,31,44,23,10,8,257,6,11,12,11,5,24,16,0,0,75,1290,983,3174,2667,1467,1338,1046,435,99,12494
POA2010,1361,2144,7968,5012,3238,2525,1550,830,313,24943,0,0,5,8,4,5,7,9,0,31,25,119,256,160,193,170,139,109,68,1246,0,0,20,14,9,3,8,0,0,59,0,15,29,15,14,0,0,0,0,78,0,0,3,0,4,0,0,0,0,17,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,6,5,0,0,0,6,0,21,0,4,11,0,3,3,8,0,0,33,0,0,0,0,0,0,0,0,0,0,25,141,329,200,229,192,158,115,67,1455,25,141,336,202,234,196,163,120,72,1496,6,15,52,22,14,16,12,6,0,142,1398,2302,8352,5238,3487,2743,1716,955,383,26582
POA2011,730,1090,4883,3280,2287,1980,1538,816,407,17018,3,6,0,6,0,6,3,0,0,29,18,609,931,401,288,123,70,30,14,2482,0,12,24,24,10,12,0,0,0,86,0,277,209,55,45,17,3,0,0,603,0,8,22,3,4,0,4,0,0,45,0,123,87,54,38,11,5,0,0,313,0,11,0,7,5,0,0,0,0,27,0,5,10,0,5,0,0,0,0,13,0,7,12,27,10,13,0,0,0,71,0,0,0,0,0,0,0,0,0,0,18,1054,1289,582,397,172,84,34,14,3646,21,1053,1295,588,403,181,89,31,11,3674,0,13,58,23,12,19,11,3,0,143,749,2158,6236,3891,2706,2180,1638,853,419,20835
POA2015,1264,904,3468,2391,1400,852,479,170,41,10983,0,0,0,0,0,0,0,0,0,6,13,29,74,29,13,20,8,0,3,190,0,0,0,0,0,0,0,0,0,3,0,0,7,0,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13,32,85,27,25,23,14,3,4,224,13,32,83,27,27,23,11,3,4,228,0,0,7,4,3,3,0,0,0,24,1283,944,3565,2420,1431,878,492,176,45,11233
POA2016,1038,1223,3427,2204,1569,1322,919,546,199,12453,0,0,0,0,3,4,0,5,0,16,12,53,96,42,43,33,26,6,4,311,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,53,104,44,46,35,28,13,4,334,12,57,105,45,51,40,28,12,7,348,0,17,35,3,0,6,0,4,0,68,1053,1299,3557,2254,1627,1367,945,568,207,12871
POA2017,2257,3851,10865,5106,2180,1710,1249,607,216,28029,0,0,3,0,3,9,4,3,0,30,157,169,219,135,82,68,43,23,0,886,9,8,11,11,3,7,3,0,0,49,4,5,6,12,9,5,3,3,0,48,0,0,4,3,3,0,0,0,0,20,0,0,3,0,0,4,0,0,0,13,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,169,185,254,160,101,81,58,20,0,1033,166,187,256,167,109,90,56,29,3,1059,17,34,60,35,13,36,11,13,0,224,2443,4067,11185,5299,2300,1831,1320,641,221,29315
POA2018,2601,2355,4794,3197,2188,1687,1336,931,321,19406,0,3,0,6,4,8,0,4,0,25,33,47,64,31,28,22,13,7,0,254,0,7,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,30,56,76,37,34,23,17,7,0,283,30,54,79,41,36,31,17,14,0,311,0,9,18,0,7,13,6,0,0,50,2637,2420,4885,3244,2229,1727,1352,946,318,19756
