POA_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
POA2000,249,352,347,1307,15,2264,17,8,4,73,8,110,8529,44,123,40,35,8772,56,13,6,16,0,96,102,18,14,39,0,171,2041,307,268,1594,21,4227,460,4,22,5,0,494,226,10,13,15,4,269,297,43,29,181,0,539,119,39,11,61,0,230,53,10,5,4,0,72,969,7,6,6,0,983,434,72,76,746,5,1334,486,57,28,148,6,721,846,0,11,4,4,865,118,19,12,32,0,180,25,0,0,0,0,29,29,10,13,16,0,63,47,5,0,0,0,52,71,9,4,0,0,90,116,9,12,18,0,159,208,9,12,15,0,239,28,0,0,0,0,31,279,85,65,522,0,949,47,3,0,0,0,53,56,4,5,0,0,63,272,8,3,5,0,293,49,0,0,4,0,58,566,5,28,3,0,590,31,6,6,34,0,74,8772,127,148,105,44,9189,357,3,6,20,3375,3762,22420,755,726,3308,3503,30712
POA2007,53,98,119,370,10,654,4,9,0,56,0,72,2221,17,33,16,12,2297,12,3,0,5,0,22,18,9,3,15,0,51,413,87,87,385,15,982,132,3,13,0,0,154,56,0,0,8,0,64,82,14,6,52,5,161,10,7,0,10,0,28,17,0,0,0,0,16,329,0,0,0,3,333,93,27,23,192,0,334,126,12,9,37,0,185,142,0,0,0,0,144,12,3,0,3,0,24,3,0,0,0,0,6,10,3,0,10,0,24,11,4,0,0,0,15,21,9,5,3,0,34,39,0,3,4,0,53,45,5,0,0,0,56,6,0,0,0,0,9,78,30,15,116,0,238,21,0,5,0,0,25,16,0,5,0,0,19,85,0,0,5,0,90,18,0,0,0,0,21,145,4,0,3,0,152,5,0,3,5,0,20,1867,51,77,36,13,2041,74,0,0,3,503,588,5436,226,247,854,551,7317
POA2008,68,237,241,877,3,1422,7,0,0,78,6,98,3099,24,48,28,16,3215,13,4,3,15,0,33,50,12,9,22,0,99,644,192,176,852,5,1873,153,0,21,0,0,178,75,4,7,14,0,106,87,33,24,110,0,255,37,16,15,44,0,105,9,4,0,9,0,22,300,7,0,3,0,307,178,68,54,472,4,774,138,43,23,110,0,314,185,0,5,5,0,193,20,8,6,12,0,50,3,3,0,4,0,11,5,6,5,12,0,35,35,0,3,3,0,44,49,8,8,4,0,74,40,11,3,24,0,74,66,0,3,7,0,73,9,0,0,0,0,9,151,49,63,308,3,567,13,0,0,0,0,17,29,3,3,0,0,36,108,0,4,9,0,118,35,0,3,0,0,38,189,0,4,3,0,197,18,4,6,27,0,59,1724,102,94,81,7,2016,62,6,7,7,735,812,6510,473,465,1957,778,10189
POA2009,144,282,248,1025,12,1712,6,8,4,120,0,144,2066,35,80,34,7,2218,47,9,0,11,0,72,74,11,10,26,0,114,950,234,170,1143,9,2506,239,9,17,4,0,271,126,10,5,10,0,154,176,29,29,99,0,337,91,28,18,45,0,179,23,5,0,5,0,40,587,4,11,0,0,605,307,75,50,550,4,990,398,67,28,95,0,596,238,10,8,5,0,263,66,24,6,13,0,105,32,3,0,3,0,43,24,12,6,9,0,48,37,3,0,0,0,46,58,4,3,3,0,73,112,10,15,17,0,150,136,4,11,4,0,159,21,0,0,0,0,20,252,61,40,379,3,733,77,5,7,7,0,92,52,4,8,0,0,57,181,4,3,7,0,193,28,0,0,0,0,31,223,6,19,6,6,253,41,3,4,16,0,60,2447,108,120,120,14,2810,114,4,4,12,874,1009,7856,630,524,2477,929,12420
POA2010,236,800,661,3206,57,4964,14,8,5,199,12,238,1837,73,88,76,11,2086,106,14,12,37,0,166,230,62,42,61,0,394,2881,800,618,3733,57,8083,355,5,32,0,5,401,423,29,19,61,5,540,476,88,74,405,9,1044,243,77,24,166,0,512,76,32,15,35,0,148,438,17,15,15,4,480,957,253,215,1939,17,3381,639,165,73,355,6,1230,198,5,6,0,0,214,118,23,14,68,0,224,49,8,3,10,0,61,62,18,11,48,0,141,102,18,10,0,0,128,183,26,25,14,4,251,256,31,21,67,0,377,211,19,14,45,4,289,18,3,0,0,0,22,733,205,164,1335,4,2442,64,7,5,16,0,94,135,21,5,5,0,170,351,12,3,14,0,379,73,11,3,0,0,80,292,9,16,3,4,314,117,18,11,79,0,222,4072,283,279,318,38,4993,141,7,3,35,2311,2504,12877,1774,1390,7883,2511,26434
POA2011,147,655,456,2576,32,3865,4,24,10,219,6,260,758,34,36,45,3,871,74,13,7,36,5,137,129,40,25,71,0,260,1909,606,474,3248,48,6282,203,7,28,0,0,243,306,31,17,65,3,414,380,77,56,399,9,910,160,47,25,113,0,348,83,21,5,18,0,129,289,15,12,3,0,326,653,195,137,1721,14,2718,496,112,41,286,5,934,90,0,8,3,0,105,78,17,10,46,0,157,33,9,3,3,0,50,35,16,10,44,0,106,81,15,5,0,0,101,135,16,24,21,0,194,175,30,26,57,0,291,124,13,14,31,4,183,17,0,0,0,0,19,615,178,152,1200,6,2151,64,12,5,12,0,85,72,13,4,6,0,99,233,19,5,15,0,275,26,0,0,0,0,31,137,5,3,0,5,151,71,21,12,55,0,159,2484,247,191,283,25,3226,77,3,5,45,3455,3588,7915,1404,1023,6772,3576,20690
POA2015,109,521,374,1697,12,2708,3,28,4,183,0,219,986,47,69,68,9,1184,36,5,3,33,0,77,66,31,14,63,0,175,1057,413,285,1652,16,3423,168,13,29,8,0,215,113,12,12,21,4,155,148,43,26,178,3,397,86,27,9,69,0,199,33,12,4,26,0,80,196,11,4,8,0,224,429,128,79,824,11,1468,226,72,32,178,0,509,81,0,0,0,0,89,58,11,9,35,0,105,36,3,5,3,0,48,24,11,16,35,0,89,46,4,6,7,0,66,75,28,24,5,0,133,83,18,7,40,0,146,73,5,10,15,0,101,10,3,0,0,0,12,296,107,91,580,4,1082,40,3,3,3,0,51,60,12,5,3,0,83,102,8,4,24,0,139,31,3,8,0,0,45,168,5,9,11,0,198,43,11,3,32,0,92,1540,174,145,182,12,2060,74,0,0,20,485,585,5180,982,719,3781,542,11209
POA2016,123,421,354,1611,15,2530,5,25,20,342,11,403,1032,20,50,29,13,1146,46,8,7,15,0,83,87,37,19,36,0,179,1124,455,300,1704,39,3627,148,10,19,0,3,181,167,19,15,36,0,232,214,41,47,204,6,497,203,30,25,82,5,341,48,8,8,7,0,72,268,13,8,9,0,296,394,143,92,853,6,1495,247,66,25,136,6,478,125,0,3,0,0,135,134,13,9,42,0,204,15,3,3,4,0,26,24,9,0,20,0,58,62,14,4,5,0,84,81,20,10,5,0,115,87,19,11,24,0,138,119,7,8,12,0,150,10,0,3,0,0,17,328,100,64,599,3,1094,86,3,7,5,0,104,61,10,3,0,0,75,173,5,8,5,0,187,30,3,3,0,0,34,131,5,3,3,0,146,40,9,7,30,0,86,1904,155,127,185,16,2390,80,8,8,14,989,1097,6149,952,698,3904,1099,12801
POA2017,266,565,483,2111,30,3452,15,43,7,483,9,549,7021,51,112,75,36,7297,81,20,9,20,0,121,140,32,19,54,0,246,2642,471,383,2216,43,5756,421,12,53,8,5,497,240,15,16,34,0,302,382,45,45,248,9,723,186,60,18,101,3,371,65,6,4,19,0,94,718,14,12,10,0,752,1467,139,93,963,17,2683,692,98,59,213,3,1069,431,0,18,11,3,459,142,26,14,48,4,224,37,11,7,10,0,58,43,21,12,38,0,114,108,11,3,3,0,133,142,20,11,6,0,191,225,22,20,43,3,307,424,14,12,22,9,473,42,7,0,0,0,47,564,114,84,683,14,1457,104,0,0,7,0,118,126,8,5,0,0,139,362,11,8,12,0,384,59,3,11,0,0,68,423,6,12,11,6,457,92,11,7,38,0,150,5000,247,210,266,36,5757,251,5,5,47,2104,2424,19524,1206,990,5084,2285,29091
POA2018,315,426,399,1534,20,2697,8,12,9,181,0,207,3141,42,81,40,8,3314,105,17,6,13,0,144,45,16,13,21,0,92,1185,289,267,1342,26,3106,477,10,48,0,6,538,89,6,15,13,0,127,161,35,22,137,0,344,1052,154,65,400,11,1681,61,11,17,7,0,96,453,18,6,0,0,484,798,111,70,630,15,1628,563,90,48,245,6,947,155,6,10,3,0,172,152,26,26,36,0,240,48,10,10,14,0,77,87,29,13,46,0,180,82,17,5,17,0,123,88,17,18,7,0,132,129,20,12,18,0,176,282,13,3,16,0,319,33,0,0,0,0,40,284,81,69,367,0,798,109,5,3,9,0,125,64,9,5,0,0,84,258,11,4,18,0,292,51,0,0,5,0,58,163,8,19,0,0,186,46,3,4,28,0,82,4537,262,203,225,28,5257,183,4,11,25,945,1167,13145,1040,861,3606,1058,19712
