POA_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
POA2000,985,277,312,101,104,145,197,111,112,56,2397,1175,754,1289,415,519,530,744,291,179,154,6049,191,174,349,130,138,121,176,62,40,70,1455,5,0,0,0,5,0,0,0,4,0,12,1374,928,1644,552,659,657,923,352,220,224,7522,0,0,4,0,0,0,0,0,0,21,37,2357,1209,1962,650,764,806,1123,462,338,301,9958,686,190,244,80,92,100,179,104,79,32,1784,1216,900,1508,562,564,625,899,335,139,130,6885,289,148,400,145,175,169,251,88,47,67,1781,3,4,0,0,0,0,0,3,0,3,16,1508,1053,1918,708,736,793,1150,428,189,198,8684,0,0,0,0,0,3,0,0,0,19,26,2198,1247,2159,789,829,898,1333,535,264,250,10500,1673,466,558,180,191,245,376,213,189,91,4188,2395,1651,2805,979,1079,1155,1642,625,319,281,12932,482,324,755,276,313,295,425,155,87,137,3242,8,3,0,0,5,0,0,3,9,3,37,2878,1981
POA2007,206,71,66,25,27,40,72,28,8,10,551,245,142,249,104,134,162,261,107,15,16,1449,70,43,67,26,28,32,61,26,3,9,354,0,0,0,0,3,0,0,0,0,0,0,318,182,316,131,165,198,321,134,16,32,1811,0,0,0,0,0,0,3,0,0,5,6,522,252,380,156,192,233,399,168,26,45,2369,161,54,58,28,27,28,33,27,10,15,444,237,180,297,133,141,198,270,127,15,30,1643,121,33,59,22,32,20,68,28,0,21,406,0,0,0,0,0,0,0,0,0,0,7,363,216,361,158,171,225,344,153,14,46,2056,0,0,0,0,0,0,0,0,0,13,16,523,273,413,182,198,256,384,177,24,73,2510,366,130,125,54,54,70,107,54,16,27,995,490,321,548,243,278,366,533,239,28,50,3094,195,74,122,43,59,57,133,46,5,29,761,0,0,0,5,3,0,0,0,0,0,7,686,398
POA2008,366,98,107,28,51,53,69,30,20,15,847,239,171,347,172,189,196,296,134,46,33,1829,23,11,30,11,19,20,43,17,0,10,176,0,0,0,0,0,0,0,0,0,0,0,261,189,374,182,212,215,344,149,46,37,2004,0,0,0,0,0,0,0,0,0,8,9,627,283,485,213,260,267,414,181,69,56,2861,233,71,91,23,37,46,56,31,24,9,627,236,186,393,178,215,274,408,186,24,20,2133,37,13,44,13,13,32,47,21,3,8,236,0,0,0,0,0,0,0,0,0,0,0,275,201,439,193,233,311,456,213,29,26,2367,0,0,0,0,0,0,0,0,0,0,3,510,272,527,221,267,358,511,246,50,36,3001,599,167,201,55,90,96,131,61,44,21,1470,480,359,740,353,408,472,708,324,72,52,3959,61,33,74,24,32,58,91,38,3,12,419,0,0,0,0,0,0,0,0,0,0,0,539,390
POA2009,612,162,205,44,46,48,67,40,13,11,1260,522,220,257,100,108,139,199,66,14,11,1637,83,31,36,9,11,13,29,11,0,3,221,0,0,0,0,0,0,0,0,0,0,6,603,254,296,113,116,147,228,78,17,15,1866,0,0,0,0,0,0,0,0,0,3,7,1217,421,501,152,167,199,294,115,34,35,3131,543,153,143,41,36,58,65,30,18,24,1098,665,280,364,107,110,135,209,67,12,22,1969,128,38,36,16,9,12,39,19,0,7,310,0,0,0,0,0,0,0,0,0,0,0,790,318,407,120,121,150,250,80,15,28,2282,0,0,0,0,0,3,0,0,0,3,4,1331,470,547,166,154,211,312,114,35,54,3391,1153,315,349,85,82,111,136,75,32,32,2362,1181,503,623,208,216,273,405,131,29,35,3606,214,71,72,29,18,21,64,27,5,8,529,0,0,0,0,0,0,0,0,0,0,6,1395,573
POA2010,1759,455,529,154,143,179,199,118,47,38,3620,714,282,464,134,160,163,217,84,20,45,2287,146,31,61,14,21,15,37,13,4,12,358,0,0,0,0,0,0,4,0,0,0,10,866,312,524,153,177,186,261,98,26,52,2651,16,0,0,0,0,0,0,0,0,81,104,2642,765,1055,306,318,368,461,215,72,181,6378,1011,260,306,114,112,144,202,82,51,43,2318,584,235,371,162,147,194,219,95,16,27,2044,203,51,62,13,12,14,43,12,0,12,428,0,0,0,0,0,0,0,0,0,0,0,785,285,431,169,158,205,261,111,15,48,2467,0,0,0,0,0,0,0,0,0,56,62,1793,546,739,280,271,353,459,187,66,150,4854,2771,708,837,265,253,325,397,198,94,84,5945,1295,515,827,299,307,353,434,179,35,76,4326,349,79,125,25,28,31,83,23,6,29,785,3,0,0,0,0,0,8,0,0,0,14,1650,600
POA2011,1274,314,330,81,99,97,107,55,21,33,2418,389,193,238,94,89,101,108,49,8,18,1289,43,11,7,0,4,0,11,12,0,4,98,0,0,0,0,0,0,0,0,0,0,3,437,200,246,99,88,103,120,59,12,23,1396,0,0,0,0,0,0,0,0,0,12,15,1711,520,580,179,191,203,231,115,35,71,3829,934,182,222,59,69,63,84,39,12,28,1689,397,143,215,76,92,97,115,42,9,9,1190,66,8,12,7,0,3,22,6,0,9,135,4,4,0,0,0,0,0,0,0,0,8,469,159,218,86,94,106,135,45,11,19,1329,0,0,0,0,0,0,3,0,0,15,22,1406,341,445,141,163,164,224,82,23,60,3046,2210,498,558,132,168,160,192,90,35,64,4108,791,338,451,173,175,197,222,92,19,26,2477,112,17,15,13,3,9,35,14,0,16,231,5,4,0,0,0,0,0,0,0,0,14,903,356
POA2015,575,175,205,35,46,45,44,16,12,18,1167,272,121,164,65,54,51,41,24,0,19,815,31,5,3,6,4,8,5,3,0,6,66,0,0,0,0,0,0,0,0,0,0,0,299,129,163,67,56,60,50,29,0,23,884,0,0,0,0,0,0,0,0,0,0,3,879,302,372,97,111,105,86,44,16,41,2060,477,150,156,47,50,53,48,15,9,12,1016,312,117,166,53,56,53,44,37,7,7,856,54,14,10,6,0,0,10,0,0,8,108,0,0,0,0,0,0,0,0,0,0,0,372,126,178,58,61,54,53,38,7,19,969,0,0,0,0,0,0,0,0,0,0,0,854,277,335,98,105,103,104,49,13,35,1982,1054,322,361,79,95,98,92,28,20,25,2181,587,237,331,114,112,108,91,58,7,28,1675,88,23,16,9,3,10,16,4,0,10,179,0,0,0,0,0,0,0,0,0,0,0,674,263
POA2016,708,157,202,43,47,69,82,25,14,31,1383,402,127,161,71,83,99,145,48,3,27,1162,156,31,18,5,8,6,15,6,3,3,246,3,0,0,0,0,0,0,0,0,0,3,557,157,177,74,88,103,161,57,9,33,1411,3,0,0,0,0,0,0,0,0,26,32,1267,311,382,117,132,171,237,79,21,91,2824,505,101,140,30,40,58,53,28,14,20,987,343,104,142,66,65,83,141,48,6,13,1006,239,44,29,9,8,5,10,7,0,7,366,5,0,0,0,0,0,0,0,0,0,7,586,149,171,75,71,87,151,59,6,17,1380,0,0,0,0,0,0,0,0,0,40,38,1099,253,312,106,106,143,206,91,18,78,2410,1216,259,343,73,85,124,135,54,25,51,2372,744,229,303,135,140,183,284,103,15,42,2172,392,79,51,14,17,9,25,12,3,10,608,12,0,0,0,0,0,0,0,0,0,12,1146,310
POA2017,1047,425,631,220,220,242,293,114,26,46,3258,924,647,929,369,465,481,517,189,38,57,4602,231,46,86,24,52,74,122,32,8,14,691,0,0,0,0,0,0,0,4,0,0,7,1161,690,1017,395,510,552,635,224,42,79,5301,3,0,0,0,0,0,0,0,0,35,43,2208,1115,1643,619,733,791,932,334,67,160,8598,678,245,521,172,184,253,283,109,31,40,2520,977,652,1078,388,445,489,562,172,40,66,4871,366,90,113,36,54,59,99,54,9,22,899,4,0,0,0,0,0,0,0,0,3,9,1346,742,1192,429,493,544,665,228,53,87,5774,0,0,0,3,0,0,0,0,0,30,35,2026,984,1714,602,679,800,944,336,87,158,8329,1726,673,1147,396,402,495,578,219,59,86,5774,1907,1296,2005,766,902,962,1079,360,77,123,9473,595,136,198,63,102,131,219,85,15,36,1590,0,0,0,0,0,0,0,4,0,3,15,2504,1432
POA2018,652,213,281,78,76,76,89,40,5,26,1541,1255,383,484,144,179,173,191,63,8,50,2928,305,37,34,12,20,22,30,7,0,7,478,5,0,0,0,0,0,0,0,0,0,9,1565,418,523,154,200,189,221,72,8,65,3418,0,0,0,0,6,0,0,0,0,3,10,2221,628,808,235,275,266,319,117,13,90,4965,575,148,242,58,58,78,68,27,6,14,1284,1369,425,505,165,175,162,182,68,10,34,3093,490,54,61,14,26,35,39,14,6,19,757,6,0,0,0,0,0,0,0,0,0,12,1868,478,570,182,203,199,216,77,15,54,3859,0,0,0,0,0,0,0,0,0,0,3,2445,628,814,238,266,277,288,109,24,62,5147,1227,362,526,141,132,149,165,73,13,42,2825,2624,803,992,308,353,336,374,129,18,82,6018,793,92,101,28,52,60,71,21,6,26,1237,14,0,4,0,0,0,0,0,0,0,17,3425,898
