POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
POA2000,2585,3412,5996,562,488,1050,0,0,3,142,145,285,0,0,3,2018,1884,3902,5,3,10,134,137,273,7,10,10,3,3,8,18,18,42,11,10,21,76,66,142,85,138,224,161,174,330,0,3,5,16,7,26,129,136,272,452,481,936,8,0,13,3846,3707,7546,500,363,865,347,256,605,79,58,138,0,0,0,29,20,48,67,51,120,90,72,163,6110,5141,11247,55,43,97,25,19,52,6195,5205,11396,2231,1764,3999,540,376,918,16422,15215,31636
POA2007,371,560,928,83,68,151,0,0,0,29,27,54,0,0,0,451,411,856,0,0,0,28,24,56,3,5,10,9,4,8,0,0,5,0,6,6,9,7,19,14,23,47,17,27,44,0,0,0,0,0,0,21,29,44,67,97,164,5,0,7,737,723,1460,169,112,283,149,76,230,10,16,21,0,0,0,11,7,16,16,16,31,30,23,52,1865,1716,3581,14,14,34,14,11,20,1893,1742,3631,362,354,712,42,30,73,3758,3639,7392
POA2008,323,468,791,125,134,262,0,0,0,39,27,63,0,0,0,484,520,1004,0,0,0,27,22,52,0,0,4,0,0,0,3,8,8,4,0,6,13,22,37,17,34,53,33,38,78,0,0,0,7,4,7,33,33,73,89,115,206,6,0,3,883,980,1860,137,86,223,123,96,216,25,20,46,0,0,0,14,3,17,19,24,41,31,27,56,3084,2749,5832,56,43,94,12,19,32,3150,2809,5960,544,480,1023,38,48,78,5256,5003,10264
POA2009,299,482,777,317,359,677,3,0,6,42,41,85,0,0,0,1102,1187,2292,0,0,0,146,151,293,7,7,12,0,3,7,6,13,25,14,15,26,27,17,48,31,44,74,66,63,131,5,0,6,5,10,8,66,70,138,112,172,284,6,3,7,1957,2164,4119,264,209,470,139,99,238,33,31,60,0,0,0,10,13,22,27,37,61,37,50,87,2868,2557,5428,40,18,58,12,12,28,2921,2588,5509,621,531,1146,27,50,75,6293,6195,12494
POA2010,547,569,1116,806,601,1411,0,0,3,57,60,117,0,0,0,2094,1640,3732,0,0,4,247,231,476,4,4,6,4,0,4,39,30,75,6,12,16,30,26,55,31,37,65,114,91,210,8,5,10,10,7,15,94,95,192,173,164,347,12,10,17,3741,3011,6748,172,123,294,232,130,364,230,166,400,0,0,0,22,12,29,61,39,102,83,48,131,8463,5785,14251,141,85,227,49,48,98,8652,5922,14575,1756,1058,2808,79,72,142,15482,11093,26582
POA2011,189,264,455,717,638,1348,0,0,0,43,46,92,0,0,0,1698,1482,3180,0,0,3,163,174,335,0,4,3,4,8,16,24,25,49,8,3,9,43,22,63,24,29,57,104,90,195,3,3,3,12,0,14,85,66,157,104,121,225,4,4,13,3042,2718,5756,117,78,198,132,82,215,178,156,334,4,7,8,4,7,7,35,31,66,38,43,82,5483,4024,9513,87,52,144,38,63,107,5616,4143,9759,2698,1199,3891,84,62,143,12094,8744,20835
POA2015,150,206,358,285,271,561,0,0,0,24,24,46,0,0,0,926,988,1915,0,5,3,122,108,231,3,10,8,9,3,11,13,12,15,8,9,10,17,17,34,26,35,57,51,35,84,3,0,0,0,0,8,40,40,80,72,98,171,0,0,7,1590,1664,3258,56,44,101,93,60,153,55,68,125,4,0,8,3,3,6,19,17,33,29,21,47,3393,2924,6313,45,47,93,6,28,32,3449,2994,6445,386,340,724,13,9,24,5823,5406,11233
POA2016,207,248,457,345,258,604,3,6,4,32,34,66,0,0,0,969,856,1826,0,0,5,188,175,357,0,5,7,3,5,8,11,14,26,4,3,10,18,17,38,9,24,36,55,53,102,3,3,8,6,4,7,59,55,112,89,92,177,0,0,0,1805,1599,3410,122,70,192,126,68,189,93,86,177,4,5,8,9,7,16,26,25,53,33,39,73,3767,3100,6863,82,44,125,14,19,34,3864,3159,7020,773,514,1282,41,23,68,7055,5810,12871
POA2017,558,745,1303,556,541,1092,0,0,0,83,78,162,0,0,0,2435,2418,4850,0,7,3,260,286,545,14,14,25,8,6,9,16,9,20,6,8,20,47,51,98,108,139,244,156,132,288,4,3,10,20,27,44,100,89,192,279,316,592,11,6,11,4097,4127,8223,279,225,499,373,275,640,176,196,376,4,3,7,17,23,44,52,57,107,76,85,162,8230,6759,14989,93,60,158,25,29,59,8355,6851,15206,1476,1206,2681,121,105,224,15504,13810,29315
POA2018,295,406,706,409,406,807,46,51,101,63,60,119,0,0,4,2201,2467,4666,3,3,5,955,1059,2017,8,16,26,8,5,19,7,16,25,57,52,105,35,31,69,76,95,171,122,129,250,0,5,8,7,11,24,66,73,138,236,250,486,3,0,10,4308,4733,9041,195,172,370,774,676,1451,137,134,270,0,0,0,14,9,27,32,29,58,49,38,82,3369,2965,6332,38,26,63,20,18,36,3421,3004,6430,721,641,1359,30,18,50,9933,9825,19756
POA2019,104,187,298,556,614,1168,6,10,14,31,36,68,0,0,0,2157,2357,4509,0,0,3,328,337,666,11,14,31,15,24,37,9,3,16,19,13,26,33,38,63,50,58,110,69,85,157,0,4,0,7,3,6,54,57,114,156,165,318,3,6,6,3504,3819,7322,56,66,128,127,111,228,178,189,371,0,0,0,6,8,11,11,7,19,20,15,33,2109,1895,4006,28,14,42,9,18,29,2145,1927,4073,447,425,870,10,17,30,6584,6762,13349
POA2020,810,1026,1835,432,376,807,9,14,21,91,108,196,0,0,0,2512,2620,5133,0,0,0,463,498,961,16,22,34,26,19,51,6,8,12,38,29,67,52,53,107,117,147,261,160,173,329,0,0,0,10,12,16,101,106,206,340,384,723,7,4,11,4381,4570,8955,398,351,744,532,433,970,70,61,128,0,0,0,29,28,59,39,36,76,69,55,131,4120,3492,7615,43,29,71,13,11,19,4175,3528,7707,1054,875,1934,191,152,342,11686,11059,22748
POA2021,76,136,209,721,899,1622,0,0,0,11,22,29,0,0,0,1273,1572,2849,0,0,0,186,205,388,8,6,17,0,4,8,14,11,20,0,6,4,28,19,45,21,22,41,95,97,189,5,0,5,0,9,5,61,71,136,71,88,157,0,0,6,2488,3028,5517,35,38,71,39,26,67,209,224,432,0,0,0,3,7,11,10,12,25,11,20,36,3562,3465,7022,46,28,79,18,31,51,3625,3525,7152,410,437,847,14,27,39,6910,7462,14375
POA2022,84,162,245,442,520,964,0,0,0,13,30,48,0,0,0,1369,1430,2807,4,3,4,153,174,324,8,8,14,0,5,7,4,16,23,5,3,13,15,16,35,23,30,48,62,64,131,0,3,4,0,5,0,43,48,92,61,85,147,0,4,4,2208,2453,4663,56,57,106,49,30,80,681,833,1516,0,0,0,5,4,11,16,22,40,19,28,46,2781,2703,5486,28,24,50,3,17,24,2813,2748,5560,529,554,1085,40,60,104,6485,6927,13414
