POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2000,251,490,1316,786,439,313,135,58,15,3795,1702,4232,11451,6069,2884,2208,1386,620,166,30712
POA2007,44,134,180,123,44,37,25,13,12,610,470,1488,2610,1285,611,388,290,115,54,7317
POA2008,23,273,329,124,60,47,33,11,4,904,403,3048,3802,1354,675,487,289,93,25,10189
POA2009,122,74,289,237,134,112,91,27,13,1099,1280,975,3158,2659,1459,1317,1029,435,99,12420
POA2010,109,236,736,494,439,343,206,169,89,2824,1393,2284,8301,5215,3470,2726,1712,950,383,26434
POA2011,81,860,1274,617,435,239,146,96,72,3818,749,2148,6177,3873,2688,2158,1627,850,418,20690
POA2015,76,70,222,159,87,54,35,19,3,714,1283,942,3554,2419,1425,872,488,175,45,11209
POA2016,77,107,301,219,181,137,98,54,27,1205,1050,1278,3528,2249,1621,1357,943,561,207,12801
POA2017,281,345,835,433,248,228,141,90,32,2628,2421,4029,11122,5269,2283,1798,1309,627,223,29091
POA2018,181,174,341,225,134,125,98,55,23,1364,2637,2411,4872,3238,2223,1714,1351,946,318,19712
POA2019,161,99,195,201,134,91,59,34,9,984,2511,1421,2259,2291,1901,1366,915,490,160,13322
POA2020,179,352,677,286,192,177,91,42,13,2011,2563,3694,7633,3404,1962,1494,937,530,185,22404
POA2021,83,105,191,150,108,73,70,56,71,899,1880,1363,3153,2304,1991,1504,1130,759,250,14335
POA2022,88,110,292,171,105,85,92,70,28,1043,1928,1207,3155,2208,1608,1209,1023,680,295,13307
POA2023,86,87,112,76,74,67,49,33,7,587,1753,1164,1545,1428,1376,1230,1047,555,174,10272
POA2024,132,75,158,105,99,83,51,41,37,775,1983,1019,1852,1730,1587,1165,791,535,406,11062
POA2025,76,38,64,53,52,43,50,54,80,514,1059,614,1123,934,855,735,769,595,280,6954
POA2026,321,220,786,464,291,185,118,99,62,2555,4567,2588,9454,5814,3830,2451,1735,1042,429,31902
POA2027,62,45,105,95,79,68,67,53,19,600,821,560,1209,1025,867,922,975,792,330,7521
POA2028,38,24,65,44,20,27,25,32,15,283,565,392,964,662,484,475,520,364,138,4562
POA2029,84,77,83,105,80,74,58,62,59,676,1591,977,1373,1429,1303,1042,931,703,350,9704
POA2030,165,108,102,113,143,87,64,53,21,852,2694,1905,1256,1688,2254,1782,1362,794,412,14156
POA2031,400,303,449,358,269,216,201,207,345,2740,5308,3419,7179,5517,4353,3205,2400,1559,934,33875
POA2032,87,182,226,123,96,93,68,37,21,934,1955,2392,2844,1898,1690,1411,1114,781,389,14475
POA2033,79,242,188,97,89,53,47,21,6,814,1427,2396,2450,1659,1208,997,714,527,281,11655
POA2034,217,128,351,255,192,118,108,51,26,1442,3000,1861,4548,3264,2606,2006,1435,803,304,19837
POA2035,321,208,332,315,326,234,183,142,66,2122,5586,3741,5097,5138,4627,3890,3014,2144,997,34238
POA2036,467,332,609,606,527,430,298,158,46,3481,5706,3850,4876,4920,4582,3925,3055,1841,703,33448
POA2037,118,187,280,189,156,164,108,48,13,1259,1738,2078,3730,2682,1956,1821,1441,660,168,16282
POA2038,102,73,120,116,109,77,64,12,3,680,1497,919,1607,1553,1424,1039,799,334,128,9299
POA2039,85,39,57,83,74,56,47,15,6,455,1451,658,1270,1585,1321,925,785,333,57,8387
POA2040,197,143,203,243,210,138,105,99,88,1426,4311,2120,3244,4015,3572,2359,1667,845,424,22559
POA2041,158,87,99,160,151,157,97,63,48,1026,2589,1241,1762,2423,2518,2055,1651,831,233,15293
POA2042,101,176,315,203,174,125,71,27,16,1201,1801,2238,5124,3202,2481,1777,1003,388,137,18162
POA2043,36,33,167,121,60,44,19,13,0,494,1032,669,3041,2189,1209,780,347,139,35,9436
POA2044,66,43,104,102,55,46,35,19,11,483,1237,716,1819,1641,1074,747,563,255,103,8165
POA2045,40,40,26,36,48,48,27,21,14,290,1055,837,511,654,1038,926,697,438,278,6427
POA2046,256,127,210,256,200,187,193,135,167,1725,4699,2456,3136,4116,4059,3378,2719,1673,864,27094
POA2047,117,61,110,101,104,84,67,74,91,815,1851,1066,1682,1762,1691,1480,1163,748,398,11833
POA2048,31,52,86,79,77,46,43,40,18,456,982,880,1603,1209,1148,739,468,312,127,7476
POA2049,103,118,256,160,113,109,69,41,47,1023,1555,1384,2882,2062,1628,1174,812,433,192,12118
POA2050,76,105,238,181,155,142,139,113,111,1266,756,1699,2628,1723,1170,835,553,287,157,9810
POA2060,95,85,246,205,129,115,79,71,31,1047,1530,1270,3554,2668,1754,1573,1308,864,263,14797
POA2061,32,30,122,70,75,85,75,46,25,554,384,376,1345,933,706,831,719,499,145,5941
POA2062,46,26,34,46,55,30,37,25,6,306,1281,507,1012,1217,1054,739,633,352,80,6884
POA2063,62,41,32,36,62,31,26,25,14,326,1304,797,364,750,1021,829,653,409,273,6399
POA2064,82,40,95,106,70,29,39,12,11,479,1838,864,1447,1896,1218,846,678,336,151,9275
POA2065,250,184,411,416,256,269,279,226,195,2489,4617,2642,6925,6322,4101,3175,2666,1463,602,32516
POA2066,269,147,242,297,179,161,95,70,94,1554,6379,3308,4997,5922,4486,3356,2585,1531,692,33263
POA2067,212,133,239,235,182,139,116,67,37,1361,4577,2969,4356,4877,3535,2611,2246,1225,668,27062
POA2068,164,92,55,101,129,93,54,50,61,802,3596,2023,1277,2440,2826,2120,1513,880,449,17114
POA2069,123,79,46,67,83,79,63,51,54,639,2892,1907,1189,1924,2197,1741,1380,831,379,14436
POA2070,119,84,54,71,87,65,45,36,19,575,2949,1813,1199,2052,2153,1694,1331,854,408,14465
POA2071,98,93,39,51,79,65,48,36,73,586,2444,1916,1123,1672,2069,1693,1244,814,428,13410
POA2072,73,69,60,60,62,50,35,12,6,430,1496,1202,1062,1290,1314,1028,753,420,181,8749
POA2073,140,93,56,80,114,100,71,37,15,710,3476,2311,1303,2331,2638,2211,1561,837,352,17027
POA2074,148,107,69,90,137,120,64,81,82,900,4287,2878,1530,2912,3428,2825,2212,1912,1168,23152
POA2075,141,68,36,83,126,103,83,54,22,712,4543,2417,1280,2974,3212,2589,2137,1669,732,21543
POA2076,201,141,73,135,164,142,99,131,151,1244,4810,3207,1728,3298,3827,3041,2372,1899,1238,25412
POA2077,425,234,295,394,276,208,211,161,157,2359,8242,4328,6074,8116,5570,4338,3474,1822,806,42761
POA2079,57,38,34,39,71,48,28,9,0,326,1550,937,831,1151,1188,1075,618,330,95,7771
POA2080,20,10,8,7,16,19,0,6,0,87,371,203,133,236,282,240,161,93,23,1737
POA2081,43,35,8,32,25,27,22,12,0,209,1120,722,395,686,876,758,446,284,53,5338
POA2082,53,37,16,23,44,31,11,11,4,223,1148,659,330,759,923,637,572,290,71,5399
POA2083,13,16,14,12,25,16,25,5,4,139,210,149,139,180,254,339,236,128,18,1656
POA2084,25,34,12,18,33,37,22,5,4,201,667,468,246,379,606,530,417,298,141,3742
POA2085,76,65,30,41,82,52,55,40,23,463,2133,1429,579,1258,1869,1260,1204,1133,486,11359
POA2086,135,107,69,95,150,105,86,104,66,913,3124,1864,1066,1914,2395,1606,1165,932,314,14380
POA2087,119,83,46,73,90,74,50,46,73,650,2785,1746,704,1581,2209,1576,1027,979,457,13062
POA2088,219,176,143,187,219,177,138,127,42,1425,4496,2896,2922,3602,4109,3568,2961,2147,912,27598
POA2089,68,44,106,109,73,64,55,61,57,633,1450,941,2419,1999,1373,1176,967,594,236,11152
POA2090,88,69,96,114,91,74,63,39,28,669,1947,1089,2200,2180,1815,1547,1445,814,260,13297
POA2092,92,47,28,43,65,54,30,16,3,382,1688,940,427,893,1303,892,576,380,155,7258
POA2093,225,123,121,142,193,158,83,41,41,1126,4952,2565,2301,3313,3855,2714,1836,1109,526,23170
POA2094,72,36,51,75,54,49,20,18,3,368,1023,544,926,962,828,763,501,307,98,5963
POA2095,122,101,213,176,147,112,73,47,17,1004,2143,1316,3508,2782,1988,1798,1257,835,362,15994
POA2096,133,68,127,126,152,99,52,20,12,786,2581,1485,2684,2342,2199,1587,1023,546,190,14641
POA2097,195,123,78,112,180,120,71,43,16,940,2967,2067,1599,2054,2507,1944,1370,889,386,15783
POA2099,416,266,369,384,341,291,192,135,86,2485,7431,4785,6446,6627,6076,4766,3223,2166,918,42440
POA2100,208,142,112,149,196,117,85,76,55,1150,4368,2678,2153,3007,3476,2564,1755,1133,585,21715
POA2101,227,141,134,161,168,172,118,78,75,1274,3467,2060,2085,2554,2728,2430,1953,1450,964,19691
POA2102,134,54,33,75,73,50,38,47,68,564,1815,947,647,1187,1295,886,670,529,300,8280
POA2103,124,83,77,91,99,89,89,86,71,813,1781,1208,950,1177,1509,1448,1354,924,437,10788
POA2104,22,29,11,17,38,41,33,39,24,246,450,354,179,240,455,540,610,622,298,3746
POA2105,28,9,11,23,20,29,21,14,0,152,271,226,97,168,339,388,298,148,33,1972
POA2106,80,65,63,58,95,108,48,35,6,560,1558,1183,952,988,1445,1572,1120,587,162,9561
POA2107,170,113,70,98,124,130,89,46,15,851,2837,1784,927,1607,2254,2359,1972,1072,401,15208
POA2108,11,13,4,14,20,25,19,18,8,132,221,161,126,147,224,360,353,242,40,1866
POA2110,83,76,48,63,92,67,71,116,245,871,1681,1235,608,1027,1451,1210,1064,725,592,9592
POA2111,118,65,105,118,107,87,74,57,115,855,2584,1586,2236,2295,2192,1778,1372,847,420,15306
POA2112,360,212,366,329,237,250,194,126,169,2250,6534,3922,6744,6417,4490,4148,2992,1655,892,37799
POA2113,233,261,458,289,227,210,122,60,53,1910,4112,3846,6285,4642,2933,2575,1797,1058,640,27891
POA2114,162,127,240,211,126,134,114,86,66,1260,4004,2586,4844,4360,2960,2799,2132,1065,450,25201
POA2115,169,102,132,127,110,90,66,34,23,854,2472,1377,1913,2034,1575,1457,1037,487,226,12575
POA2116,82,50,90,83,65,63,42,21,7,490,1387,870,1039,1062,1007,920,542,297,111,7241
POA2117,278,170,175,197,173,177,106,51,33,1363,4137,2623,2664,3250,3077,2902,1905,1000,454,22006
POA2118,242,131,149,208,153,141,89,73,22,1207,5817,3009,3167,4746,3376,3169,2442,1440,556,27730
