POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2000,1702,4232,11451,6069,2884,2208,1386,620,166,30712
POA2007,470,1488,2610,1285,611,388,290,115,54,7317
POA2008,403,3048,3802,1354,675,487,289,93,25,10189
POA2009,1280,975,3158,2659,1459,1317,1029,435,99,12420
POA2010,1393,2284,8301,5215,3470,2726,1712,950,383,26434
POA2011,749,2148,6177,3873,2688,2158,1627,850,418,20690
POA2015,1283,942,3554,2419,1425,872,488,175,45,11209
POA2016,1050,1278,3528,2249,1621,1357,943,561,207,12801
POA2017,2421,4029,11122,5269,2283,1798,1309,627,223,29091
POA2018,2637,2411,4872,3238,2223,1714,1351,946,318,19712
POA2019,2511,1421,2259,2291,1901,1366,915,490,160,13322
POA2020,2563,3694,7633,3404,1962,1494,937,530,185,22404
POA2021,1880,1363,3153,2304,1991,1504,1130,759,250,14335
POA2022,1928,1207,3155,2208,1608,1209,1023,680,295,13307
POA2023,1753,1164,1545,1428,1376,1230,1047,555,174,10272
POA2024,1983,1019,1852,1730,1587,1165,791,535,406,11062
POA2025,1059,614,1123,934,855,735,769,595,280,6954
POA2026,4567,2588,9454,5814,3830,2451,1735,1042,429,31902
POA2027,821,560,1209,1025,867,922,975,792,330,7521
POA2028,565,392,964,662,484,475,520,364,138,4562
POA2029,1591,977,1373,1429,1303,1042,931,703,350,9704
POA2030,2694,1905,1256,1688,2254,1782,1362,794,412,14156
POA2031,5308,3419,7179,5517,4353,3205,2400,1559,934,33875
POA2032,1955,2392,2844,1898,1690,1411,1114,781,389,14475
POA2033,1427,2396,2450,1659,1208,997,714,527,281,11655
POA2034,3000,1861,4548,3264,2606,2006,1435,803,304,19837
POA2035,5586,3741,5097,5138,4627,3890,3014,2144,997,34238
POA2036,5706,3850,4876,4920,4582,3925,3055,1841,703,33448
POA2037,1738,2078,3730,2682,1956,1821,1441,660,168,16282
POA2038,1497,919,1607,1553,1424,1039,799,334,128,9299
POA2039,1451,658,1270,1585,1321,925,785,333,57,8387
POA2040,4311,2120,3244,4015,3572,2359,1667,845,424,22559
POA2041,2589,1241,1762,2423,2518,2055,1651,831,233,15293
POA2042,1801,2238,5124,3202,2481,1777,1003,388,137,18162
POA2043,1032,669,3041,2189,1209,780,347,139,35,9436
POA2044,1237,716,1819,1641,1074,747,563,255,103,8165
