POA_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
POA2000,46,254,39,20,351,143,1412,215,33,1803,357,4607,695,151,5812,242,2549,457,107,3353,150,1212,248,71,1686,128,912,193,63,1300,125,558,74,27,785,52,246,23,9,322,5,77,5,0,86,1251,11813,1946,481,15492,34,246,36,5,324,162,1430,213,20,1827,412,4717,659,107,5900,208,2264,344,77,2898,141,976,152,47,1313,140,745,87,44,1016,96,482,52,27,652,47,231,26,6,307,8,63,7,0,85,1252,11169,1575,332,14321,81,506,71,20,677,304,2839,428,53,3629,768,9326,1356,261,11713,449,4812,803,180,6245,294,2187,404,119,2999,266,1657,284,109,2317,219,1041,123,56,1442,97,477,49,12,629,14,139,12,0,173,2500,22985,3525,812,29820
POA2007,15,76,11,0,104,92,470,51,12,624,105,1135,92,17,1347,63,567,58,3,696,41,265,18,3,327,25,151,18,0,198,13,121,12,0,151,9,44,5,0,58,0,14,8,0,23,369,2843,274,42,3523,27,101,16,3,147,95,477,51,7,637,126,1059,94,12,1291,63,489,44,4,600,31,238,26,0,284,22,150,18,5,196,10,114,7,0,139,8,47,8,0,57,0,27,10,0,37,390,2696,272,30,3389,39,179,26,3,254,190,946,104,22,1260,230,2195,183,31,2634,128,1056,105,12,1295,72,500,42,3,615,48,299,39,5,391,30,235,21,4,292,11,90,11,0,115,0,43,16,0,54,754,5539,549,73,6917
POA2008,27,167,15,9,216,189,897,110,5,1201,193,1594,159,10,1960,74,625,69,5,775,58,298,31,3,388,34,217,14,0,271,29,133,15,0,176,5,32,4,0,45,0,6,0,0,12,612,3973,415,38,5041,60,149,13,5,227,289,1025,115,15,1440,225,1472,157,12,1873,84,450,50,3,585,56,217,22,8,299,43,155,21,4,227,21,79,12,0,116,8,35,0,0,54,0,12,4,0,9,786,3597,395,40,4819,85,317,29,9,446,475,1924,224,19,2637,421,3068,315,20,3829,158,1073,123,7,1362,114,516,54,3,682,77,377,36,8,494,51,212,30,4,290,17,71,8,0,94,0,22,6,0,25,1399,7572,810,81,9856
POA2009,16,125,8,0,147,50,271,37,0,357,133,1337,139,8,1616,117,1114,100,5,1338,71,608,56,0,735,89,517,49,8,652,103,362,45,4,518,53,158,11,0,223,0,39,5,0,50,622,4537,451,24,5638,31,110,0,0,144,28,275,28,7,339,147,1268,138,4,1560,142,1081,107,5,1336,89,585,50,5,729,125,506,43,16,685,92,396,31,6,523,34,157,14,0,212,5,43,4,0,55,690,4420,412,46,5570,46,232,11,0,290,81,548,59,9,695,277,2610,272,12,3174,259,2199,206,11,2667,160,1195,105,5,1467,207,1021,87,24,1338,194,760,78,16,1046,87,317,30,0,435,6,83,10,0,99,1318,8956,860,70,11208
POA2010,18,131,18,0,167,124,721,90,12,943,555,3644,398,32,4622,376,2572,281,11,3243,297,1735,243,9,2281,250,1310,221,7,1779,147,731,138,6,1018,57,336,126,6,525,6,117,44,0,165,1835,11295,1550,75,14751,37,150,29,3,221,160,727,78,9,973,533,2920,255,15,3726,302,1532,144,13,1995,198,870,126,8,1203,180,683,89,9,966,112,518,66,6,700,55,307,63,0,425,10,146,63,0,222,1587,7863,914,60,10429,55,284,47,3,389,291,1449,165,16,1918,1083,6567,654,52,8352,683,4110,422,22,5238,491,2605,367,14,3487,429,1991,302,16,2743,259,1246,204,12,1716,115,646,188,6,955,19,261,103,0,383,3424,19155,2462,139,25180
POA2011,18,89,58,0,163,77,562,561,0,1206,340,2381,880,36,3637,272,1682,435,14,2400,198,1151,318,8,1666,218,882,113,6,1218,144,619,64,11,837,73,311,52,0,442,8,114,30,0,152,1340,7779,2512,84,11718,15,72,59,0,148,75,392,166,6,644,365,1883,336,22,2603,212,1129,144,8,1494,175,770,78,9,1037,204,672,74,14,958,177,569,56,3,801,56,295,59,0,413,11,170,84,0,266,1292,5952,1066,62,8364,32,163,110,3,308,147,959,737,13,1849,696,4261,1216,58,6236,483,2811,574,23,3891,377,1915,397,12,2706,419,1554,185,19,2180,320,1188,119,11,1638,128,603,121,3,853,15,278,118,0,419,2636,13733,3575,143,20082
POA2015,13,98,3,0,119,47,258,15,0,325,187,1534,105,5,1830,146,1064,69,4,1282,117,639,28,0,787,82,360,16,0,461,32,188,16,0,236,5,68,0,0,81,0,12,5,0,17,636,4240,262,13,5148,7,113,6,0,123,64,288,26,0,373,201,1432,90,6,1733,153,942,46,0,1144,111,503,27,6,641,73,326,18,0,418,32,209,12,0,258,19,74,3,0,96,3,21,3,0,28,662,3902,234,9,4799,22,209,8,0,242,110,545,39,0,697,393,2967,195,7,3565,301,2003,114,4,2420,230,1140,53,3,1431,154,689,34,3,878,65,401,23,0,492,19,148,11,0,176,3,37,6,0,45,1293,8141,489,24,9950
POA2016,27,100,11,10,141,74,393,45,3,510,232,1501,154,19,1908,154,986,105,7,1253,121,798,109,0,1037,85,672,65,0,830,62,396,59,0,512,11,211,38,0,263,3,65,18,0,88,776,5120,606,41,6535,20,90,9,0,118,94,401,33,3,533,261,1267,121,16,1655,151,765,78,0,999,129,423,37,0,590,102,387,39,3,535,56,330,44,0,429,28,214,55,0,302,3,92,23,0,116,851,3965,443,24,5281,46,187,19,10,257,168,795,73,12,1044,494,2763,273,35,3557,308,1755,184,3,2254,254,1223,151,0,1627,187,1058,109,6,1367,121,721,105,0,945,42,430,94,4,568,13,156,39,0,207,1625,9082,1045,66,11818
POA2017,20,231,42,0,293,175,1398,112,15,1706,419,4890,394,36,5739,264,2562,211,20,3057,146,1073,129,8,1360,110,726,130,11,977,52,540,83,4,677,22,251,62,9,342,0,84,17,0,104,1218,11768,1174,110,14266,34,241,37,0,314,234,1372,127,13,1747,518,4531,368,25,5445,221,1842,165,11,2244,115,744,79,8,947,98,667,68,18,858,62,521,50,7,642,29,234,30,7,294,3,94,26,0,118,1314,10242,957,99,12611,52,472,84,0,613,413,2774,236,31,3456,936,9423,759,60,11185,486,4407,380,35,5299,266,1815,206,13,2300,207,1391,193,36,1831,117,1062,133,11,1320,48,483,94,13,641,5,177,42,0,221,2525,22012,2127,211,26872
POA2018,41,341,25,0,410,60,715,51,11,840,182,2123,160,7,2477,160,1387,93,0,1645,104,994,69,0,1163,65,732,40,4,841,43,558,31,0,633,12,387,31,0,428,9,117,11,0,134,677,7345,511,30,8566,42,318,22,0,383,120,629,44,3,796,200,2073,136,5,2408,170,1341,85,0,1600,140,885,41,4,1066,58,777,41,5,886,60,630,35,0,722,27,460,29,0,514,7,166,13,0,181,816,7278,441,18,8558,80,658,51,0,789,178,1347,93,9,1633,378,4190,294,18,4885,331,2726,183,0,3244,239,1879,110,7,2229,123,1512,82,13,1727,104,1185,62,6,1352,39,849,57,0,946,20,280,22,0,318,1495,14626,955,50,17123
