POA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
POA2000,92,79,0,174,1744,286,109,2317,30,95,0,129,1133,117,56,1442,3,16,0,19,558,47,12,629,0,0,0,0,153,13,0,173,2045,325,9,2389,23076,3548,812,29820
POA2007,19,10,0,33,313,39,5,391,9,15,0,25,242,20,4,292,0,4,0,4,99,11,0,115,0,0,0,0,43,16,0,54,551,82,3,638,5657,551,73,6917
POA2008,35,11,0,44,410,40,8,494,4,27,0,32,232,25,4,290,0,10,0,10,81,8,0,94,0,0,0,0,16,3,0,25,515,109,0,625,8331,822,81,9856
POA2009,78,87,0,170,1067,83,24,1338,26,110,0,132,818,81,16,1046,3,35,0,32,373,27,0,435,0,6,0,6,88,8,0,99,1529,318,17,1869,8412,855,70,11208
POA2010,86,54,0,137,2287,300,16,2743,9,84,0,90,1413,203,12,1716,0,29,0,29,735,191,6,955,0,0,0,0,271,108,0,383,1670,355,20,2045,20536,2466,139,25180
POA2011,59,60,5,113,1859,184,19,2180,12,119,0,137,1375,122,11,1638,0,36,0,32,700,119,3,853,0,0,0,0,301,118,0,419,994,347,12,1351,15006,3584,143,20082
POA2015,55,31,0,88,750,33,3,878,11,33,0,47,421,23,0,492,0,14,0,15,159,11,0,176,0,0,0,0,38,6,0,45,1534,168,18,1718,7713,495,24,9950
POA2016,50,36,0,81,1171,111,6,1367,17,54,0,62,773,105,0,945,0,11,0,11,463,86,4,568,0,3,0,5,165,37,0,207,1170,191,17,1379,9327,1048,66,11818
POA2017,71,84,0,159,1435,198,36,1831,18,87,8,112,1070,130,11,1320,0,13,0,17,517,95,13,641,0,4,0,4,176,43,0,221,2719,356,31,3105,21403,2155,211,26872
POA2018,103,83,4,191,1437,85,13,1727,22,121,0,149,1143,60,6,1352,7,37,0,44,845,60,0,946,0,0,0,0,296,20,0,318,2906,417,29,3349,12759,965,50,17123
POA2019,97,105,0,203,1097,67,4,1368,16,114,6,130,726,56,4,919,0,30,0,30,408,60,9,498,0,6,0,6,116,45,0,160,2693,410,34,3137,7001,671,23,10835
POA2020,93,77,0,167,1195,126,58,1549,17,94,0,106,769,64,22,963,6,17,0,27,462,44,13,545,0,0,0,0,171,11,0,185,2849,367,21,3238,14940,1666,334,20176
